code,latitude,longitude,N,size,N_min,N_max
AAORDMD,39.2,-76.594,0.0,2.0,0.3,117.097
ABIRJVA,36.732,-81.912,0.484,2.0,0.067,10.833
ABQHOLD,35.052,-106.627,1.161,2.0,0.032,29.3
ABRMCTX,32.375,-99.744,,15.0,0.129,0.129
ABRXSPA,40.192,-75.916,0.71,2.0,0.032,5.0
ABTHOLD,32.57,-99.679,0.0,2.0,0.033,1.067
ADACOID,43.607,-116.27,0.0,2.0,0.032,10.194
ADAIRKY,37.104,-85.307,0.0,2.0,0.032,0.032
ADAMSCO,39.991,-104.798,0.0,2.0,0.032,0.032
ADAMSMS,31.557,-91.222,2288.613,15.0,6.467,2288.613
ADAMSWA,47.127,-118.383,0.0,2.0,0.032,0.833
ADDCOVT,44.012,-73.164,0.032,2.0,0.032,0.567
ADLNTCA,34.559,-117.441,1748.71,15.0,1.742,1855.839
ADVHBCA,35.385,-119.019,,15.0,0.032,1.033
ADVHCHI,21.381,-157.758,,15.0,0.032,0.032
ADVHDCA,35.762,-119.239,,15.0,0.032,0.161
AFRC,32.859,-104.415,0.0,2.0,0.032,532.097
AGAHOLD,13.476,144.75,0.0,2.0,0.032,0.893
AGC,18.43,-67.154,9.387,2.0,0.032,59.516
AGMDCCA,33.82,-117.909,,15.0,0.032,1.968
AHGRFND,47.912,-97.069,,15.0,0.1,0.1
AIRHOPR,18.44,-65.999,0.0,2.0,0.032,1.1
AKANVIL,64.537,-165.413,0.129,2.0,0.129,0.129
AKCOOKI,61.218,-149.858,0.0,2.0,0.032,0.871
AKFAIRB,64.833,-147.759,0.0,2.0,0.032,0.968
AKGSCCC,61.36,-150.008,0.0,2.0,0.032,0.129
AKHIGHL,61.303,-149.579,0.0,2.0,0.032,3.857
AKKETCH,55.348,-131.649,0.0,2.0,0.033,0.161
AKLEMON,58.363,-134.484,0.0,2.0,0.032,0.677
AKMATSU,61.602,-149.109,0.0,2.0,0.065,0.129
AKMCYOU,61.188,-149.831,0.0,2.0,0.065,0.097
AKPALMC,61.691,-149.008,0.0,2.0,0.065,0.167
AKPSYNJ,40.22,-74.764,,15.0,0.032,0.033
AKWILCC,60.584,-151.3,0.0,2.0,0.161,0.161
AKWILPT,60.584,-151.3,0.0,2.0,0.065,0.133
ALAMCNC,36.068,-79.404,0.0,2.0,0.033,89.067
ALAMOCO,37.455,-105.876,0.0,2.0,0.032,0.036
ALAMOTX,26.182,-98.119,0.032,2.0,0.032,0.968
ALBCONY,42.751,-73.816,0.0,2.0,1.258,291.774
ALBEMVA,38.006,-78.495,0.0,2.0,0.032,0.097
