date,index
2008-10,0
2008-11,31
2008-12,61
2009-01,92
2009-02,123
2009-03,151
2009-04,182
2009-05,212
2009-06,243
2009-07,273
2009-08,304
2009-09,335
2009-10,365
2009-11,396
2009-12,426
2010-01,457
2010-02,488
2010-03,516
2010-04,547
2010-05,577
2010-06,608
2010-07,638
2010-08,669
2010-09,700
2010-10,730
2010-11,761
2010-12,791
2011-01,822
2011-02,853
2011-03,881
2011-04,912
2011-05,942
2011-06,973
2011-07,1003
2011-08,1034
2011-09,1065
2011-10,1095
2011-11,1126
2011-12,1156
2012-01,1187
2012-02,1218
2012-03,1247
2012-04,1278
2012-05,1308
2012-06,1339
2012-07,1369
2012-08,1400
2012-09,1431
2012-10,1461
2012-11,1492
2012-12,1522
2013-01,1553
2013-02,1584
2013-03,1612
2013-04,1643
2013-05,1673
2013-06,1704
2013-07,1734
2013-08,1765
2013-09,1796
2013-10,1826
2013-11,1857
2013-12,1887
2014-01,1918
2014-02,1949
2014-03,1977
2014-04,2008
2014-05,2038
2014-06,2069
2014-07,2099
2014-08,2130
2014-09,2161
2014-10,2191
2014-11,2222
2014-12,2252
2015-01,2283
2015-02,2314
2015-03,2342
2015-04,2373
2015-05,2403
2015-06,2434
2015-07,2464
2015-08,2495
2015-09,2526
2015-10,2556
2015-11,2587
2015-12,2617
2016-01,2648
2016-02,2679
2016-03,2708
2016-04,2739
2016-05,2769
2016-06,2800
2016-07,2830
2016-08,2861
2016-09,2892
2016-10,2922
2016-11,2953
2016-12,2983
2017-01,3014
2017-02,3045
2017-03,3073
2017-04,3104
2017-05,3134
2017-06,3165
2017-07,3195
2017-08,3226
2017-09,3257
2017-10,3287
2017-11,3318
2017-12,3348
2018-01,3379
2018-02,3410
2018-03,3438
2018-04,3469
2018-05,3499
2018-06,3530
2018-07,3560
2018-08,3591
2018-09,3622
2018-10,3652
2018-11,3683
2018-12,3713
2019-01,3744
2019-02,3775
2019-03,3803
2019-04,3834
2019-05,3864
2019-06,3895
2019-07,3925
2019-08,3956
2019-09,3987
2019-10,4017
2019-11,4048
2019-12,4078
2020-01,4109
2020-02,4140
2020-03,4169
2020-04,4200
2020-05,4230
2020-06,4261
2020-07,4291
2020-08,4322
2020-09,4353
2020-10,4383
2020-11,4414
2020-12,4444
2021-01,4475
2021-02,4506
2021-03,4534
2021-04,4565
2021-05,4595
2021-06,4626
2021-07,4656
2021-08,4687
2021-09,4718
2021-10,4748
2021-11,4779
2021-12,4809
2022-01,4840
2022-02,4871
2022-03,4899
2022-04,4930
2022-05,4960
2022-06,4991
2022-07,5021
2022-08,5052
2022-09,5083
2022-10,5113
2022-11,5144
2022-12,5174
2023-01,5205
2023-02,5236
2023-03,5264
2023-04,5295
2023-05,5325
2023-06,5356
2023-07,5386
2023-08,5417
2023-09,5448
2023-10,5478
2023-11,5509
2023-12,5539
2024-01,5570
2024-02,5601
2024-03,5630
2024-04,5661
2024-05,5691
2024-06,5722
2024-07,5752
2024-08,5783
2024-09,5814
2024-10,5844
2024-11,5875
2024-12,5905
2025-01,5936
2025-02,5967
