detention_facility_code,name,state,type_detailed,start,end,place
RICRANS,"ACI, Cranston RI",RI,IGSA,0,196,"Cranston, RI"
AZDCTUC,AZ Dpt Corrections Tucson,AZ,IGSA,0,196,"Tucson, AZ"
IWAHOLD,AZ Rem Op Coord Center (AROCC),AZ,HOLD,16,196,"Mesa, AZ"
ANWHMMN,Abbott Northwestern Hosp,MN,HOSPITAL,0,196,"Minneapolis, MN"
ABTHOLD,Abilene Hold Room,TX,HOLD,61,75,"Abilene, TX"
ABRMCTX,Abilene Regional Med Ctr,TX,HOSPITAL,0,196,"Abilene, TX"
ABRXSPA,Abraxas Academy Detention Center,PA,JUVENILE,85,130,"Morgantown, PA"
ADACOID,Ada County Jail,ID,IGSA,0,8,"Boise, ID"
ADAIRKY,Adair County Regional Jail,KY,OTHER,0,196,"Columbia, KY"
ADAMSWA,Adams County,WA,IGSA,1,7,"Ritzville, WA"
ADAMSMS,Adams County Det Center,MS,DIGSA,129,196,"Natchez, MS"
ADAMSCO,Adams County Jail,CO,IGSA,0,196,"Brighton, CO"
ADDCOVT,Addison County Jail,VT,IGSA,1,2,"Middlebury, VT"
ADLNTCA,Adelanto ICE Processing Center,CA,CDF / DIGSA,35,196,"Adelanto, CA"
NYADIRC,"Adirondack CF, Raybrook",NY,OTHER,0,196,"Ray Brook, NY"
ADVHBCA,Adventist Health Bakersfield,CA,HOSPITAL,186,187,"Bakersfield, CA"
ADVHDCA,Adventist Health Delano,CA,HOSPITAL,0,196,"Delano, CA"
AGAHOLD,Agana INS,GU,HOLD,18,173,"Hagatna, GU"
AGC,Aguadilla SPC,PR,HOLD,0,196,"Aguadilla, PR"
AIRHOPR,"Airport Hotel, Saj.",PR,HOTEL,33,120,"Isla Verde, PR"
ALAMCNC,Alamance Co. Det. Facility,NC,IGSA,0,196,"Graham, NC"
ALAMOTX,Alamo Police Dept.,TX,UNKNOWN,90,91,"Alamo, TX"
ALAMOCO,Alamosa County Jail,CO,UNKNOWN,0,196,"Alamosa, CO"
ALMHOLD,Alamosa Holdroom,CO,HOLD,27,137,"Alamosa, CO"
ALBCONY,Albany County Jail,NY,USMS IGA,0,126,"Albany, NY"
ALBHOLD,Albany Holdroom,NY,HOLD,195,196,"Latham, NY"
ALBEMVA,Albemarle-Charlottesville,VA,IGSA,0,196,"Charlottesville, VA"
ABQHOLD,Albuquerque Hold Room,NM,HOLD,8,196,"Albuquerque, NM"
ALEXAVA,Alexandria City Jail,VA,USMS IGA,76,122,"Alexandria, VA"
ALEXAAL,Alexandria City Jail,VA,UNKNOWN,0,196,"Alexandria, VA"
JENATLA,Alexandria Staging Facility,LA,STAGING,74,196,"Alexandria, LA"
BHCALCA,Alhambra BHC Hospital,CA,HOSPITAL,0,5,"Rosemead, CA"
ALHAMCA,Alhambra City Jail,CA,USMS IGA,0,65,"Alhambra, CA"
ALLEGNY,Allegany County Jail,NY,IGSA,0,117,"Belmont, NY"
ALLEGPA,Allegheny Co. Jail,PA,USMS IGA,0,72,"Pittsburgh, PA"
ALLENIN,Allen County Jail,IN,USMS IGA,137,164,"Ft. Wayne, IN"
APPSCLA,Allen Parish Public Safety Complex,LA,IGSA,92,196,"Oberlin, LA"
BOPALM,Allenwood (Med) FCI,PA,BOP,0,18,"White Deer, PA"
APIBHCA,Alvarado Parkway Institute,CA,HOSPITAL,83,158,"La Mesa, CA"
AMTHOLD,Amarillo Hold Room,TX,HOLD,54,196,"Amarillo, TX"
AGMDCCA,Anaheim Global Medical Center,CA,HOSPITAL,82,191,"Anaheim, CA"
ANCHOAK,Anchorage Jail,AK,USMS IGA,0,196,"Anchorage, AK"
