Date,Midnight population,24-hour population
2008-10-01,61,63
2008-10-02,71,71
2008-10-03,42,91
2008-10-04,42,42
2008-10-05,42,42
2008-10-06,52,52
2008-10-07,56,91
2008-10-08,69,70
2008-10-09,93,94
2008-10-10,70,125
2008-10-11,70,70
2008-10-12,70,70
2008-10-13,83,83
2008-10-14,108,109
2008-10-15,85,136
2008-10-16,99,100
2008-10-17,72,127
2008-10-18,72,72
2008-10-19,72,72
2008-10-20,81,82
2008-10-21,64,113
2008-10-22,87,87
2008-10-23,109,109
2008-10-24,70,130
2008-10-25,70,70
2008-10-26,70,70
2008-10-27,85,86
2008-10-28,63,112
2008-10-29,84,85
2008-10-30,94,95
2008-10-31,58,131
2008-11-01,58,58
2008-11-02,59,59
2008-11-03,80,80
2008-11-04,59,102
2008-11-05,77,79
2008-11-06,88,88
2008-11-07,55,115
2008-11-08,55,55
2008-11-09,55,55
2008-11-10,78,78
2008-11-11,78,78
2008-11-12,97,97
2008-11-13,111,113
2008-11-14,75,125
2008-11-15,75,75
2008-11-16,75,75
2008-11-17,98,98
2008-11-18,70,120
2008-11-19,98,99
2008-11-20,105,106
2008-11-21,70,143
2008-11-22,72,72
2008-11-23,73,73
2008-11-24,85,85
2008-11-25,97,101
2008-11-26,70,129
2008-11-27,70,70
2008-11-28,80,80
2008-11-29,82,82
2008-11-30,82,82
2008-12-01,81,82
2008-12-02,65,125
2008-12-03,85,85
2008-12-04,90,90
2008-12-05,62,116
2008-12-06,62,62
2008-12-07,62,62
2008-12-08,74,76
2008-12-09,58,106
2008-12-10,58,58
2008-12-11,78,78
2008-12-12,63,110
2008-12-13,63,63
2008-12-14,63,63
2008-12-15,81,81
2008-12-16,40,90
2008-12-17,60,61
2008-12-18,71,71
2008-12-19,62,111
2008-12-20,62,62
2008-12-21,62,62
2008-12-22,61,74
2008-12-23,47,100
2008-12-24,57,58
2008-12-25,57,57
2008-12-26,57,57
2008-12-27,58,58
2008-12-28,59,59
2008-12-29,63,63
2008-12-30,56,101
2008-12-31,65,66
2009-01-01,66,66
2009-01-02,44,83
2009-01-03,44,44
2009-01-04,44,44
2009-01-05,60,60
2009-01-06,26,65
2009-01-07,44,44
2009-01-08,61,61
2009-01-09,41,81
2009-01-10,41,41
2009-01-11,42,42
2009-01-12,58,58
2009-01-13,28,68
2009-01-14,45,46
2009-01-15,59,59
2009-01-16,41,82
2009-01-17,40,41
2009-01-18,40,40
2009-01-19,40,40
2009-01-20,40,41
2009-01-21,61,64
2009-01-22,26,70
2009-01-23,39,40
2009-01-24,39,39
2009-01-25,39,39
2009-01-26,58,59
2009-01-27,27,63
2009-01-28,61,61
2009-01-29,68,68
2009-01-30,62,104
2009-01-31,62,62
2009-02-01,62,62
2009-02-02,72,72
2009-02-03,28,78
2009-02-04,37,37
2009-02-05,49,49
2009-02-06,47,79
2009-02-07,47,47
2009-02-08,47,47
2009-02-09,58,59
2009-02-10,34,72
2009-02-11,55,57
2009-02-12,61,61
2009-02-13,49,88
2009-02-14,49,49
2009-02-15,49,49
2009-02-16,56,56
2009-02-17,70,71
2009-02-18,57,98
2009-02-19,57,58
2009-02-20,43,86
2009-02-21,43,43
2009-02-22,43,43
2009-02-23,60,60
2009-02-24,38,87
2009-02-25,56,56
2009-02-26,64,64
2009-02-27,47,96
2009-02-28,47,47
2009-03-01,47,47
2009-03-02,47,47
2009-03-03,62,62
2009-03-04,44,84
2009-03-05,53,54
2009-03-06,22,61
2009-03-07,22,22
2009-03-08,22,22
2009-03-09,39,41
2009-03-10,31,59
2009-03-11,53,53
2009-03-12,59,61
2009-03-13,46,91
2009-03-14,46,46
2009-03-15,46,46
2009-03-16,64,64
2009-03-17,39,83
2009-03-18,61,61
2009-03-19,61,62
2009-03-20,50,97
2009-03-21,50,50
2009-03-22,50,50
2009-03-23,59,59
2009-03-24,42,84
2009-03-25,58,59
2009-03-26,59,59
2009-03-27,38,86
2009-03-28,38,38
2009-03-29,38,38
2009-03-30,61,61
2009-03-31,46,79
2009-04-01,59,61
2009-04-02,64,64
2009-04-03,34,82
2009-04-04,35,35
2009-04-05,35,35
2009-04-06,52,53
2009-04-07,45,78
2009-04-08,58,59
2009-04-09,58,58
2009-04-10,38,87
2009-04-11,38,38
2009-04-12,38,38
2009-04-13,61,61
2009-04-14,47,80
2009-04-15,52,55
2009-04-16,66,66
2009-04-17,40,72
2009-04-18,53,54
2009-04-19,53,53
2009-04-20,63,63
2009-04-21,41,84
2009-04-22,59,73
2009-04-23,60,60
2009-04-24,25,68
2009-04-25,25,25
2009-04-26,25,25
2009-04-27,38,38
2009-04-28,44,59
2009-04-29,57,57
2009-04-30,63,63
2009-05-01,58,100
2009-05-02,58,58
