Date,Midnight population,24-hour population
2008-10-01,138,153
2008-10-02,146,150
2008-10-03,136,152
2008-10-04,135,136
2008-10-05,135,135
2008-10-06,120,138
2008-10-07,116,121
2008-10-08,158,161
2008-10-09,162,168
2008-10-10,161,167
2008-10-11,158,161
2008-10-12,158,158
2008-10-13,159,159
2008-10-14,169,175
2008-10-15,174,184
2008-10-16,170,178
2008-10-17,155,173
2008-10-18,158,160
2008-10-19,155,158
2008-10-20,156,166
2008-10-21,156,168
2008-10-22,153,161
2008-10-23,162,166
2008-10-24,153,167
2008-10-25,155,156
2008-10-26,158,161
2008-10-27,159,166
2008-10-28,174,184
2008-10-29,174,188
2008-10-30,159,188
2008-10-31,176,183
2008-11-01,176,176
2008-11-02,177,177
2008-11-03,181,186
2008-11-04,188,192
2008-11-05,185,204
2008-11-06,184,200
2008-11-07,167,192
2008-11-08,166,167
2008-11-09,166,166
2008-11-10,173,173
2008-11-11,174,174
2008-11-12,172,186
2008-11-13,171,187
2008-11-14,153,175
2008-11-15,151,154
2008-11-16,151,151
2008-11-17,159,162
2008-11-18,154,173
2008-11-19,162,168
2008-11-20,147,177
2008-11-21,151,163
2008-11-22,153,156
2008-11-23,152,156
2008-11-24,160,171
2008-11-25,165,172
2008-11-26,171,178
2008-11-27,171,171
2008-11-28,173,175
2008-11-29,173,173
2008-11-30,174,174
2008-12-01,168,174
2008-12-02,171,177
2008-12-03,177,186
2008-12-04,181,194
2008-12-05,179,191
2008-12-06,176,179
2008-12-07,176,176
2008-12-08,174,182
2008-12-09,175,180
2008-12-10,177,184
2008-12-11,175,185
2008-12-12,172,179
2008-12-13,171,172
2008-12-14,171,171
2008-12-15,177,180
2008-12-16,170,179
2008-12-17,174,177
2008-12-18,172,181
2008-12-19,174,194
2008-12-20,174,174
2008-12-21,173,174
2008-12-22,173,176
2008-12-23,169,179
2008-12-24,179,185
2008-12-25,178,179
2008-12-26,179,179
2008-12-27,181,182
2008-12-28,184,185
2008-12-29,191,198
2008-12-30,185,194
2008-12-31,186,190
2009-01-01,187,187
2009-01-02,186,190
2009-01-03,187,187
2009-01-04,186,187
2009-01-05,190,197
2009-01-06,185,196
2009-01-07,181,194
2009-01-08,183,194
2009-01-09,175,185
2009-01-10,175,176
2009-01-11,175,176
2009-01-12,174,180
2009-01-13,172,179
2009-01-14,179,189
2009-01-15,182,187
2009-01-16,182,190
2009-01-17,181,183
2009-01-18,182,182
2009-01-19,182,182
2009-01-20,182,186
2009-01-21,184,192
2009-01-22,182,186
2009-01-23,173,187
2009-01-24,172,174
2009-01-25,173,174
2009-01-26,189,192
2009-01-27,193,201
2009-01-28,191,204
2009-01-29,199,213
2009-01-30,197,217
2009-01-31,199,200
2009-02-01,200,200
2009-02-02,191,207
2009-02-03,186,196
2009-02-04,168,196
2009-02-05,165,176
2009-02-06,162,172
2009-02-07,161,162
2009-02-08,163,163
2009-02-09,159,169
2009-02-10,179,189
2009-02-11,176,191
2009-02-12,180,188
2009-02-13,163,189
2009-02-14,164,164
2009-02-15,164,164
2009-02-16,164,164
2009-02-17,171,176
2009-02-18,178,183
2009-02-19,172,188
2009-02-20,162,177
2009-02-21,164,164
2009-02-22,165,165
2009-02-23,171,174
2009-02-24,165,181
2009-02-25,176,180
2009-02-26,184,189
2009-02-27,186,192
2009-02-28,188,188
2009-03-01,186,188
2009-03-02,192,198
2009-03-03,198,204
2009-03-04,190,200
2009-03-05,172,192
2009-03-06,175,183
2009-03-07,175,175
2009-03-08,175,175
2009-03-09,178,182
2009-03-10,177,186
2009-03-11,181,187
2009-03-12,178,192
2009-03-13,177,183
2009-03-14,180,180
2009-03-15,178,181
2009-03-16,185,186
2009-03-17,178,187
2009-03-18,186,192
2009-03-19,184,196
2009-03-20,185,198
2009-03-21,184,185
2009-03-22,184,184
2009-03-23,186,193
2009-03-24,182,188
2009-03-25,183,191
2009-03-26,175,187
2009-03-27,172,182
2009-03-28,174,174
2009-03-29,174,175
2009-03-30,177,181
2009-03-31,175,184
2009-04-01,181,190
2009-04-02,176,186
2009-04-03,179,194
2009-04-04,178,179
2009-04-05,183,183
2009-04-06,178,193
2009-04-07,180,198
2009-04-08,178,193
2009-04-09,179,190
2009-04-10,172,184
2009-04-11,174,174
2009-04-12,174,174
2009-04-13,174,178
2009-04-14,169,178
2009-04-15,171,177
2009-04-16,181,188
2009-04-17,174,190
2009-04-18,176,176
2009-04-19,173,176
2009-04-20,167,180
2009-04-21,169,182
2009-04-22,180,185
2009-04-23,188,205
2009-04-24,190,211
2009-04-25,191,191
2009-04-26,192,192
2009-04-27,198,208
2009-04-28,192,207
2009-04-29,178,194
2009-04-30,185,191
2009-05-01,179,196
2009-05-02,178,179
2009-05-03,182,182
2009-05-04,192,196
2009-05-05,185,200
2009-05-06,188,193
2009-05-07,175,192
2009-05-08,179,184
2009-05-09,180,181
2009-05-10,180,181
2009-05-11,188,194
2009-05-12,183,197
2009-05-13,182,186
2009-05-14,171,191
2009-05-15,182,187
2009-05-16,182,182
2009-05-17,182,182
2009-05-18,185,186
2009-05-19,195,201
2009-05-20,203,209
2009-05-21,208,215
2009-05-22,206,213
2009-05-23,205,206
2009-05-24,206,206
2009-05-25,204,206
2009-05-26,211,213
2009-05-27,211,222
2009-05-28,209,215
2009-05-29,218,230
2009-05-30,218,218
2009-05-31,218,218
2009-06-01,215,234
2009-06-02,210,218
2009-06-03,215,223
2009-06-04,213,219
2009-06-05,217,229
2009-06-06,196,217
2009-06-07,197,197
2009-06-08,199,206
2009-06-09,206,208
2009-06-10,208,217
2009-06-11,209,212
2009-06-12,205,214
2009-06-13,206,206
2009-06-14,205,206
2009-06-15,213,214
2009-06-16,187,220
2009-06-17,209,227
2009-06-18,205,212
2009-06-19,209,214
2009-06-20,213,214
2009-06-21,213,213
2009-06-22,209,220
2009-06-23,208,217
2009-06-24,208,218
2009-06-25,209,217
2009-06-26,201,214
2009-06-27,202,202
2009-06-28,202,202
2009-06-29,202,207
2009-06-30,208,212
2009-07-01,208,215
2009-07-02,207,220
2009-07-03,208,209
2009-07-04,208,208
2009-07-05,209,209
2009-07-06,203,221
2009-07-07,203,210
2009-07-08,198,207
2009-07-09,200,203
2009-07-10,189,205
2009-07-11,189,189
2009-07-12,189,189
2009-07-13,194,196
2009-07-14,197,204
2009-07-15,187,204
2009-07-16,178,189
2009-07-17,185,188
2009-07-18,185,185
2009-07-19,185,185
2009-07-20,182,194
2009-07-21,190,197
2009-07-22,166,191
2009-07-23,165,172
2009-07-24,166,175
2009-07-25,164,166
2009-07-26,164,164
2009-07-27,167,173
2009-07-28,159,174
2009-07-29,163,172
2009-07-30,157,169
2009-07-31,157,160
2009-08-01,157,157
2009-08-02,157,157
2009-08-03,159,165
2009-08-04,165,167
2009-08-05,162,169
2009-08-06,154,166
2009-08-07,163,163
2009-08-08,163,163
2009-08-09,164,164
2009-08-10,156,169
2009-08-11,155,169
2009-08-12,153,180
2009-08-13,149,162
2009-08-14,162,167
2009-08-15,163,163
2009-08-16,163,163
2009-08-17,164,170
2009-08-18,167,174
2009-08-19,164,178
2009-08-20,165,173
2009-08-21,167,175
2009-08-22,167,167
2009-08-23,167,167
2009-08-24,173,182
2009-08-25,160,179
2009-08-26,167,178
2009-08-27,163,171
2009-08-28,164,174
2009-08-29,164,165
2009-08-30,164,164
2009-08-31,167,178
2009-09-01,167,174
2009-09-02,160,184
2009-09-03,165,181
2009-09-04,166,175
2009-09-05,168,168
2009-09-06,168,168
2009-09-07,168,168
2009-09-08,162,173
2009-09-09,160,171
2009-09-10,156,173
2009-09-11,130,165
2009-09-12,130,130
2009-09-13,130,130
2009-09-14,137,143
2009-09-15,135,143
2009-09-16,146,151
2009-09-17,169,177
2009-09-18,174,180
2009-09-19,174,175
2009-09-20,175,175
2009-09-21,182,190
2009-09-22,186,200
2009-09-23,188,203
2009-09-24,176,197
2009-09-25,172,183
2009-09-26,175,175
2009-09-27,175,176
2009-09-28,175,190
2009-09-29,174,188
2009-09-30,179,185
2009-10-01,177,196
2009-10-02,186,191
2009-10-03,185,186
2009-10-04,188,188
2009-10-05,184,194
2009-10-06,178,193
2009-10-07,176,184
2009-10-08,177,188
2009-10-09,180,188
2009-10-10,180,181
2009-10-11,179,180
2009-10-12,179,179
2009-10-13,178,187
2009-10-14,178,191
2009-10-15,180,185
2009-10-16,174,188
2009-10-17,174,174
2009-10-18,174,174
2009-10-19,171,183
2009-10-20,176,181
2009-10-21,182,190
2009-10-22,180,193
2009-10-23,175,188
2009-10-24,175,175
2009-10-25,177,177
2009-10-26,178,185
2009-10-27,178,189
