Date,Midnight population,24-hour population
2008-10-01,84,89
2008-10-02,82,84
2008-10-03,80,82
2008-10-04,82,82
2008-10-05,82,82
2008-10-06,82,83
2008-10-07,85,86
2008-10-08,86,86
2008-10-09,86,86
2008-10-10,79,86
2008-10-11,79,79
2008-10-12,79,79
2008-10-13,79,79
2008-10-14,82,82
2008-10-15,82,82
2008-10-16,79,84
2008-10-17,77,79
2008-10-18,82,82
2008-10-19,84,84
2008-10-20,84,84
2008-10-21,83,89
2008-10-22,85,85
2008-10-23,83,85
2008-10-24,81,83
2008-10-25,81,81
2008-10-26,81,81
2008-10-27,81,81
2008-10-28,79,85
2008-10-29,83,85
2008-10-30,80,83
2008-10-31,82,82
2008-11-01,82,82
2008-11-02,82,82
2008-11-03,84,84
2008-11-04,82,86
2008-11-05,85,86
2008-11-06,83,85
2008-11-07,83,83
2008-11-08,83,83
2008-11-09,83,83
2008-11-10,83,83
2008-11-11,83,83
2008-11-12,83,83
2008-11-13,81,83
2008-11-14,86,86
2008-11-15,86,86
2008-11-16,86,86
2008-11-17,88,88
2008-11-18,81,88
2008-11-19,74,81
2008-11-20,76,76
2008-11-21,80,81
2008-11-22,82,82
2008-11-23,82,82
2008-11-24,82,82
2008-11-25,74,82
2008-11-26,74,74
2008-11-27,74,74
2008-11-28,74,74
2008-11-29,74,74
2008-11-30,76,76
2008-12-01,76,76
2008-12-02,78,78
2008-12-03,80,80
2008-12-04,82,82
2008-12-05,82,82
2008-12-06,86,86
2008-12-07,86,86
2008-12-08,78,86
2008-12-09,78,80
2008-12-10,85,85
2008-12-11,85,85
2008-12-12,85,85
2008-12-13,87,87
2008-12-14,87,87
2008-12-15,84,87
2008-12-16,79,84
2008-12-17,77,79
2008-12-18,79,80
2008-12-19,79,79
2008-12-20,79,79
2008-12-21,79,79
2008-12-22,77,79
2008-12-23,83,83
2008-12-24,83,83
2008-12-25,83,83
2008-12-26,83,83
2008-12-27,85,85
2008-12-28,85,85
2008-12-29,83,85
2008-12-30,83,83
2008-12-31,83,83
2009-01-01,83,83
2009-01-02,83,83
2009-01-03,83,83
2009-01-04,83,83
2009-01-05,75,83
2009-01-06,80,80
2009-01-07,80,83
2009-01-08,79,82
2009-01-09,75,79
2009-01-10,81,81
2009-01-11,81,81
2009-01-12,83,83
2009-01-13,83,83
2009-01-14,79,84
2009-01-15,79,80
2009-01-16,79,79
2009-01-17,84,84
2009-01-18,84,84
2009-01-19,84,84
2009-01-20,81,84
2009-01-21,77,81
2009-01-22,73,77
2009-01-23,75,75
2009-01-24,75,75
2009-01-25,75,75
2009-01-26,75,77
2009-01-27,73,75
2009-01-28,70,73
2009-01-29,70,70
2009-01-30,66,71
2009-01-31,66,66
2009-02-01,66,66
2009-02-02,68,68
2009-02-03,63,68
2009-02-04,61,63
2009-02-05,55,61
2009-02-06,60,60
2009-02-07,62,62
2009-02-08,62,62
2009-02-09,62,62
2009-02-10,60,62
2009-02-11,62,62
2009-02-12,64,64
2009-02-13,67,67
2009-02-14,67,67
2009-02-15,67,67
2009-02-16,67,67
2009-02-17,63,73
2009-02-18,61,63
2009-02-19,63,65
2009-02-20,59,65
2009-02-21,59,59
2009-02-22,59,59
2009-02-23,59,59
2009-02-24,60,62
2009-02-25,60,60
2009-02-26,60,60
2009-02-27,60,60
2009-02-28,57,60
2009-03-01,57,57
2009-03-02,57,57
2009-03-03,57,57
2009-03-04,57,57
2009-03-05,61,61
2009-03-06,61,61
2009-03-07,63,63
2009-03-08,63,63
2009-03-09,66,68
2009-03-10,69,69
2009-03-11,71,71
2009-03-12,73,73
2009-03-13,73,73
2009-03-14,75,75
2009-03-15,75,75
2009-03-16,73,75
2009-03-17,73,73
2009-03-18,71,73
2009-03-19,75,75
2009-03-20,75,77
2009-03-21,77,79
2009-03-22,77,77
2009-03-23,77,77
2009-03-24,75,77
2009-03-25,79,83
2009-03-26,78,81
2009-03-27,78,78
2009-03-28,80,80
2009-03-29,80,80
2009-03-30,77,81
2009-03-31,79,79
2009-04-01,81,81
2009-04-02,78,81
2009-04-03,73,78
2009-04-04,79,83
2009-04-05,79,79
2009-04-06,79,79
2009-04-07,75,79
2009-04-08,77,77
2009-04-09,77,77
2009-04-10,74,77
2009-04-11,77,80
2009-04-12,77,77
2009-04-13,77,77
2009-04-14,77,79
2009-04-15,78,82
2009-04-16,78,78
2009-04-17,76,78
2009-04-18,76,76
2009-04-19,76,76
2009-04-20,76,76
2009-04-21,84,85
2009-04-22,80,84
2009-04-23,80,80
2009-04-24,82,82
2009-04-25,84,86
2009-04-26,84,84
2009-04-27,84,84
2009-04-28,82,84
2009-04-29,82,82
2009-04-30,82,82
2009-05-01,80,82
2009-05-02,80,80
2009-05-03,80,80
2009-05-04,80,80
2009-05-05,80,80
2009-05-06,80,80
2009-05-07,80,80
2009-05-08,78,80
2009-05-09,78,78
2009-05-10,78,78
2009-05-11,78,78
2009-05-12,78,78
2009-05-13,78,78
2009-05-14,78,78
2009-05-15,74,85
2009-05-16,76,78
2009-05-17,76,76
2009-05-18,76,76
2009-05-19,76,76
2009-05-20,76,76
2009-05-21,76,76
2009-05-22,76,76
2009-05-23,76,76
2009-05-24,76,76
2009-05-25,76,76
2009-05-26,76,76
2009-05-27,78,78
2009-05-28,79,81
2009-05-29,81,83
2009-05-30,81,81
2009-05-31,81,81
2009-06-01,81,81
2009-06-02,78,81
2009-06-03,78,78
2009-06-04,84,84
2009-06-05,82,84
2009-06-06,82,82
2009-06-07,82,82
2009-06-08,81,82
2009-06-09,81,81
2009-06-10,81,81
2009-06-11,83,85
2009-06-12,83,83
2009-06-13,83,83
2009-06-14,83,83
2009-06-15,81,83
2009-06-16,81,81
2009-06-17,81,81
2009-06-18,81,83
2009-06-19,81,85
2009-06-20,81,81
2009-06-21,81,81
2009-06-22,83,83
2009-06-23,81,83
2009-06-24,81,81
2009-06-25,77,81
2009-06-26,75,77
2009-06-27,77,79
2009-06-28,79,81
2009-06-29,79,80
2009-06-30,79,79
2009-07-01,77,79
2009-07-02,77,77
2009-07-03,77,77
2009-07-04,77,77
2009-07-05,77,77
2009-07-06,77,77
2009-07-07,77,77
2009-07-08,75,77
2009-07-09,75,75
2009-07-10,75,75
2009-07-11,75,75
2009-07-12,75,75
2009-07-13,75,75
2009-07-14,76,83
2009-07-15,76,76
2009-07-16,76,76
2009-07-17,76,76
2009-07-18,74,76
2009-07-19,76,76
2009-07-20,76,80
2009-07-21,74,76
2009-07-22,74,74
2009-07-23,74,74
2009-07-24,76,78
2009-07-25,81,86
2009-07-26,83,85
2009-07-27,83,83
2009-07-28,75,83
2009-07-29,75,77
2009-07-30,77,77
2009-07-31,77,77
2009-08-01,77,77
2009-08-02,77,77
2009-08-03,77,77
2009-08-04,84,91
2009-08-05,82,84
2009-08-06,80,82
2009-08-07,79,83
2009-08-08,79,79
2009-08-09,81,83
2009-08-10,81,81
2009-08-11,84,87
2009-08-12,80,84
2009-08-13,73,80
2009-08-14,71,80
2009-08-15,71,71
2009-08-16,71,71
2009-08-17,72,77
2009-08-18,72,72
2009-08-19,72,72
2009-08-20,72,72
2009-08-21,77,77
2009-08-22,77,77
2009-08-23,82,82
2009-08-24,82,82
2009-08-25,82,83
2009-08-26,75,82
2009-08-27,73,75
2009-08-28,78,78
2009-08-29,79,79
2009-08-30,79,79
2009-08-31,79,79
2009-09-01,77,79
2009-09-02,77,77
2009-09-03,77,77
2009-09-04,77,85
2009-09-05,77,77
2009-09-06,80,80
2009-09-07,78,80
2009-09-08,80,82
2009-09-09,80,80
2009-09-10,80,82
2009-09-11,74,80
2009-09-12,74,74
2009-09-13,74,74
2009-09-14,74,74
2009-09-15,71,74
2009-09-16,68,71
2009-09-17,68,68
2009-09-18,68,68
2009-09-19,70,70
2009-09-20,70,70
2009-09-21,70,70
2009-09-22,70,70
2009-09-23,68,70
2009-09-24,68,68
2009-09-25,60,68
2009-09-26,60,60
2009-09-27,60,60
2009-09-28,61,61
2009-09-29,62,63
2009-09-30,66,66
2009-10-01,60,67
2009-10-02,60,60
2009-10-03,60,60
2009-10-04,60,60
2009-10-05,60,60
2009-10-06,56,60
2009-10-07,55,60
2009-10-08,55,55
2009-10-09,57,57
2009-10-10,59,59
2009-10-11,59,59
2009-10-12,59,59
2009-10-13,59,59
2009-10-14,59,59
2009-10-15,59,59
2009-10-16,59,59
2009-10-17,59,59
2009-10-18,59,59
2009-10-19,59,59
2009-10-20,55,61
2009-10-21,55,55
2009-10-22,55,55
2009-10-23,55,55
2009-10-24,57,57
2009-10-25,57,57
2009-10-26,57,57
2009-10-27,57,57
2009-10-28,57,57
2009-10-29,55,57
2009-10-30,55,55
2009-10-31,55,55
2009-11-01,55,55
2009-11-02,54,55
2009-11-03,54,54
2009-11-04,54,54
2009-11-05,54,54
2009-11-06,44,54
2009-11-07,47,47
2009-11-08,47,47
2009-11-09,47,47
2009-11-10,47,47
2009-11-11,47,47
2009-11-12,49,49
2009-11-13,47,49
2009-11-14,47,47
2009-11-15,47,47
2009-11-16,49,49
2009-11-17,51,51
2009-11-18,47,51
2009-11-19,47,47
2009-11-20,49,49
2009-11-21,49,49
2009-11-22,49,49
2009-11-23,49,49
2009-11-24,50,51
2009-11-25,47,50
2009-11-26,47,47
2009-11-27,47,47
2009-11-28,47,47
2009-11-29,47,47
2009-11-30,49,49
2009-12-01,45,49
2009-12-02,45,45
2009-12-03,43,50
2009-12-04,43,43
2009-12-05,43,43
2009-12-06,43,43
2009-12-07,43,43
2009-12-08,43,43
2009-12-09,43,43
2009-12-10,43,43
2009-12-11,39,43
2009-12-12,41,41
2009-12-13,41,41
2009-12-14,44,44
2009-12-15,49,49
2009-12-16,44,49
2009-12-17,40,44
2009-12-18,40,40
2009-12-19,40,40
2009-12-20,40,40
2009-12-21,40,40
2009-12-22,38,40
2009-12-23,38,38
2009-12-24,38,38
2009-12-25,38,38
2009-12-26,38,38
2009-12-27,38,38
2009-12-28,40,40
2009-12-29,37,40
2009-12-30,37,37
2009-12-31,38,40
2010-01-01,38,38
2010-01-02,39,39
2010-01-03,39,39
