Date,Midnight population,24-hour population
2008-10-01,110,115
2008-10-02,110,111
2008-10-03,116,116
2008-10-04,130,131
2008-10-05,131,131
2008-10-06,122,131
2008-10-07,123,125
2008-10-08,116,123
2008-10-09,121,125
2008-10-10,121,123
2008-10-11,126,127
2008-10-12,126,126
2008-10-13,121,126
2008-10-14,121,121
2008-10-15,113,123
2008-10-16,118,118
2008-10-17,118,120
2008-10-18,131,131
2008-10-19,130,131
2008-10-20,121,130
2008-10-21,136,137
2008-10-22,137,148
2008-10-23,136,144
2008-10-24,131,139
2008-10-25,131,131
2008-10-26,131,131
2008-10-27,132,135
2008-10-28,135,138
2008-10-29,124,135
2008-10-30,131,135
2008-10-31,127,132
2008-11-01,127,127
2008-11-02,129,129
2008-11-03,129,132
2008-11-04,132,144
2008-11-05,144,146
2008-11-06,141,146
2008-11-07,144,151
2008-11-08,142,144
2008-11-09,142,142
2008-11-10,142,147
2008-11-11,142,142
2008-11-12,141,142
2008-11-13,138,144
2008-11-14,148,149
2008-11-15,144,148
2008-11-16,144,144
2008-11-17,144,148
2008-11-18,141,145
2008-11-19,141,143
2008-11-20,142,144
2008-11-21,143,149
2008-11-22,145,145
2008-11-23,145,145
2008-11-24,145,147
2008-11-25,137,147
2008-11-26,139,144
2008-11-27,139,139
2008-11-28,136,139
2008-11-29,133,136
2008-11-30,133,133
2008-12-01,135,135
2008-12-02,130,135
2008-12-03,126,130
2008-12-04,123,126
2008-12-05,121,126
2008-12-06,120,121
2008-12-07,120,120
2008-12-08,129,130
2008-12-09,121,131
2008-12-10,119,121
2008-12-11,118,119
2008-12-12,117,118
2008-12-13,117,117
2008-12-14,117,117
2008-12-15,116,117
2008-12-16,111,116
2008-12-17,110,114
2008-12-18,110,110
2008-12-19,111,113
2008-12-20,111,111
2008-12-21,111,111
2008-12-22,112,116
2008-12-23,110,113
2008-12-24,109,110
2008-12-25,109,109
2008-12-26,109,109
2008-12-27,109,109
2008-12-28,109,109
2008-12-29,105,109
2008-12-30,108,110
2008-12-31,108,109
2009-01-01,107,108
2009-01-02,113,114
2009-01-03,113,113
2009-01-04,113,113
2009-01-05,111,113
2009-01-06,107,112
2009-01-07,106,107
2009-01-08,110,110
2009-01-09,109,110
2009-01-10,109,109
2009-01-11,97,109
2009-01-12,97,97
2009-01-13,96,98
2009-01-14,97,98
2009-01-15,97,97
2009-01-16,93,97
2009-01-17,98,102
2009-01-18,98,98
2009-01-19,98,98
2009-01-20,99,100
2009-01-21,98,99
2009-01-22,101,103
2009-01-23,101,101
2009-01-24,101,101
2009-01-25,101,101
2009-01-26,100,101
2009-01-27,108,108
2009-01-28,105,110
2009-01-29,102,107
2009-01-30,106,108
2009-01-31,106,106
2009-02-01,106,106
2009-02-02,107,109
2009-02-03,109,110
2009-02-04,114,123
2009-02-05,113,114
2009-02-06,107,114
2009-02-07,107,107
2009-02-08,107,107
2009-02-09,109,110
2009-02-10,117,117
2009-02-11,115,117
2009-02-12,113,121
2009-02-13,118,119
2009-02-14,119,120
2009-02-15,119,119
2009-02-16,120,120
2009-02-17,113,127
2009-02-18,118,122
2009-02-19,123,125
2009-02-20,124,129
2009-02-21,123,124
2009-02-22,123,123
2009-02-23,124,126
2009-02-24,124,128
2009-02-25,121,127
2009-02-26,131,131
2009-02-27,136,138
2009-02-28,134,136
2009-03-01,134,134
2009-03-02,130,138
2009-03-03,138,142
2009-03-04,135,141
2009-03-05,128,136
2009-03-06,127,133
2009-03-07,133,133
2009-03-08,133,133
2009-03-09,134,135
2009-03-10,136,139
2009-03-11,138,140
2009-03-12,134,138
2009-03-13,137,139
2009-03-14,136,137
2009-03-15,136,136
2009-03-16,138,143
2009-03-17,138,143
2009-03-18,138,143
2009-03-19,129,139
2009-03-20,127,131
2009-03-21,133,133
2009-03-22,131,133
2009-03-23,136,137
2009-03-24,133,141
2009-03-25,132,138
2009-03-26,126,132
2009-03-27,125,127
2009-03-28,117,129
2009-03-29,117,117
2009-03-30,124,125
2009-03-31,131,135
2009-04-01,138,145
2009-04-02,127,138
2009-04-03,127,135
2009-04-04,136,137
2009-04-05,136,136
2009-04-06,137,139
2009-04-07,131,137
2009-04-08,133,138
2009-04-09,132,136
2009-04-10,134,137
2009-04-11,134,134
2009-04-12,134,134
2009-04-13,134,142
2009-04-14,131,136
2009-04-15,130,131
2009-04-16,135,136
2009-04-17,131,136
2009-04-18,135,137
2009-04-19,135,135
2009-04-20,134,135
2009-04-21,138,138
2009-04-22,129,138
2009-04-23,134,135
2009-04-24,130,135
2009-04-25,128,130
2009-04-26,135,135
2009-04-27,134,138
2009-04-28,132,135
2009-04-29,134,140
2009-04-30,129,134
2009-05-01,132,133
2009-05-02,130,132
2009-05-03,130,130
2009-05-04,135,136
2009-05-05,127,138
2009-05-06,118,127
2009-05-07,120,125
2009-05-08,120,121
2009-05-09,117,120
2009-05-10,117,117
2009-05-11,119,119
2009-05-12,116,119
2009-05-13,116,119
2009-05-14,115,116
2009-05-15,114,116
2009-05-16,112,114
2009-05-17,112,112
2009-05-18,110,112
2009-05-19,108,110
2009-05-20,108,112
2009-05-21,113,115
2009-05-22,116,119
2009-05-23,112,116
2009-05-24,112,112
2009-05-25,112,112
2009-05-26,113,113
2009-05-27,115,120
2009-05-28,109,115
2009-05-29,116,119
2009-05-30,116,116
2009-05-31,116,116
2009-06-01,115,119
2009-06-02,119,122
2009-06-03,118,122
2009-06-04,116,121
2009-06-05,113,116
2009-06-06,111,114
2009-06-07,111,111
2009-06-08,110,111
2009-06-09,108,112
2009-06-10,106,108
2009-06-11,124,125
2009-06-12,121,125
2009-06-13,129,129
2009-06-14,129,129
2009-06-15,120,132
2009-06-16,120,120
2009-06-17,126,132
2009-06-18,128,130
2009-06-19,124,128
2009-06-20,128,128
2009-06-21,128,128
2009-06-22,126,129
2009-06-23,126,128
2009-06-24,125,126
2009-06-25,127,129
2009-06-26,119,127
2009-06-27,118,119
2009-06-28,118,118
2009-06-29,120,121
2009-06-30,124,127
2009-07-01,126,129
2009-07-02,129,131
2009-07-03,128,129
2009-07-04,128,128
2009-07-05,128,128
2009-07-06,128,128
2009-07-07,129,131
2009-07-08,126,129
2009-07-09,124,130
2009-07-10,126,128
2009-07-11,126,126
2009-07-12,126,126
2009-07-13,125,127
2009-07-14,127,130
2009-07-15,127,132
2009-07-16,124,127
2009-07-17,121,128
2009-07-18,125,126
2009-07-19,125,125
2009-07-20,122,125
2009-07-21,131,137
2009-07-22,128,133
2009-07-23,127,128
2009-07-24,126,137
2009-07-25,125,126
2009-07-26,128,128
2009-07-27,130,132
2009-07-28,130,132
2009-07-29,123,130
2009-07-30,126,132
2009-07-31,124,129
2009-08-01,119,124
2009-08-02,119,119
2009-08-03,117,122
2009-08-04,122,127
2009-08-05,126,130
2009-08-06,118,127
2009-08-07,119,124
2009-08-08,119,119
2009-08-09,119,119
2009-08-10,111,120
2009-08-11,113,114
2009-08-12,124,125
2009-08-13,121,124
2009-08-14,128,129
2009-08-15,130,130
2009-08-16,130,130
2009-08-17,130,130
2009-08-18,128,131
2009-08-19,123,134
2009-08-20,132,132
