Date,Midnight population,24-hour population
2008-10-01,53,53
2008-10-02,45,54
2008-10-03,49,49
2008-10-04,49,49
2008-10-05,49,49
2008-10-06,45,53
2008-10-07,56,56
2008-10-08,74,74
2008-10-09,39,74
2008-10-10,47,47
2008-10-11,47,47
2008-10-12,47,47
2008-10-13,47,47
2008-10-14,43,52
2008-10-15,50,51
2008-10-16,43,54
2008-10-17,44,44
2008-10-18,44,44
2008-10-19,44,44
2008-10-20,44,49
2008-10-21,48,48
2008-10-22,56,56
2008-10-23,36,57
2008-10-24,39,39
2008-10-25,39,39
2008-10-26,39,39
2008-10-27,32,39
2008-10-28,39,39
2008-10-29,42,42
2008-10-30,32,47
2008-10-31,35,35
2008-11-01,35,35
2008-11-02,35,35
2008-11-03,33,39
2008-11-04,36,36
2008-11-05,39,39
2008-11-06,26,40
2008-11-07,30,30
2008-11-08,30,30
2008-11-09,30,30
2008-11-10,25,33
2008-11-11,25,25
2008-11-12,28,28
2008-11-13,34,39
2008-11-14,40,40
2008-11-15,40,40
2008-11-16,40,40
2008-11-17,29,45
2008-11-18,31,31
2008-11-19,32,32
2008-11-20,23,34
2008-11-21,31,31
2008-11-22,31,31
2008-11-23,31,31
2008-11-24,24,33
2008-11-25,30,30
2008-11-26,33,33
2008-11-27,33,33
2008-11-28,20,36
2008-11-29,20,20
2008-11-30,20,20
2008-12-01,23,27
2008-12-02,38,38
2008-12-03,45,45
2008-12-04,57,78
2008-12-05,66,67
2008-12-06,66,66
2008-12-07,66,66
2008-12-08,54,70
2008-12-09,62,62
2008-12-10,64,64
2008-12-11,76,93
2008-12-12,82,82
2008-12-13,82,82
2008-12-14,82,82
2008-12-15,81,93
2008-12-16,86,87
2008-12-17,93,93
2008-12-18,85,100
2008-12-19,85,86
2008-12-20,83,85
2008-12-21,83,83
2008-12-22,82,83
2008-12-23,68,82
2008-12-24,72,72
2008-12-25,72,72
2008-12-26,72,72
2008-12-27,72,72
2008-12-28,72,72
2008-12-29,74,74
2008-12-30,72,76
2008-12-31,76,76
