Date,Midnight population,24-hour population
2008-10-01,48,48
2008-10-02,57,58
2008-10-03,61,63
2008-10-04,61,61
2008-10-05,61,61
2008-10-06,61,61
2008-10-07,61,66
2008-10-08,45,62
2008-10-09,44,47
2008-10-10,47,48
2008-10-11,47,47
2008-10-12,47,47
2008-10-13,47,47
2008-10-14,42,50
2008-10-15,41,42
2008-10-16,42,43
2008-10-17,43,43
2008-10-18,43,43
2008-10-19,43,43
2008-10-20,44,44
2008-10-21,45,45
2008-10-22,44,47
2008-10-23,47,55
2008-10-24,46,48
2008-10-25,46,46
2008-10-26,46,46
2008-10-27,49,51
2008-10-28,48,49
2008-10-29,54,54
2008-10-30,48,54
2008-10-31,52,53
2008-11-01,52,52
2008-11-02,52,52
2008-11-03,54,54
2008-11-04,60,60
2008-11-05,74,75
2008-11-06,79,87
2008-11-07,82,83
2008-11-08,82,82
2008-11-09,82,82
2008-11-10,78,84
2008-11-11,81,81
2008-11-12,82,82
2008-11-13,77,84
2008-11-14,82,83
2008-11-15,82,82
2008-11-16,82,82
2008-11-17,74,82
2008-11-18,72,74
2008-11-19,70,72
2008-11-20,66,72
2008-11-21,67,71
2008-11-22,67,67
2008-11-23,67,67
2008-11-24,66,69
2008-11-25,59,66
2008-11-26,58,59
2008-11-27,58,58
2008-11-28,67,67
2008-11-29,67,67
2008-11-30,68,68
2008-12-01,68,69
2008-12-02,68,71
2008-12-03,65,68
2008-12-04,55,66
2008-12-05,62,64
2008-12-06,67,67
2008-12-07,67,67
2008-12-08,70,71
2008-12-09,65,72
2008-12-10,46,65
2008-12-11,42,46
2008-12-12,46,46
2008-12-13,46,46
2008-12-14,46,46
2008-12-15,52,54
2008-12-16,52,53
2008-12-17,54,55
2008-12-18,57,58
2008-12-19,39,57
2008-12-20,39,39
2008-12-21,40,40
2008-12-22,37,43
2008-12-23,35,37
2008-12-24,35,38
2008-12-25,35,35
2008-12-26,35,35
2008-12-27,35,35
2008-12-28,35,35
2008-12-29,36,36
2008-12-30,32,36
2008-12-31,33,33
2009-01-01,33,33
2009-01-02,34,34
2009-01-03,34,34
2009-01-04,34,34
2009-01-05,33,36
2009-01-06,33,33
2009-01-07,34,34
2009-01-08,34,36
2009-01-09,32,34
2009-01-10,32,32
2009-01-11,31,32
2009-01-12,31,32
2009-01-13,30,32
2009-01-14,27,31
2009-01-15,29,31
2009-01-16,33,33
2009-01-17,33,33
2009-01-18,33,33
2009-01-19,33,33
2009-01-20,32,33
2009-01-21,33,33
2009-01-22,33,33
2009-01-23,32,33
2009-01-24,32,32
2009-01-25,32,32
2009-01-26,32,33
2009-01-27,34,34
2009-01-28,34,35
2009-01-29,36,36
2009-01-30,36,37
2009-01-31,36,36
2009-02-01,36,36
2009-02-02,36,36
2009-02-03,38,38
2009-02-04,33,38
2009-02-05,25,33
2009-02-06,24,25
2009-02-07,24,24
2009-02-08,24,24
2009-02-09,25,25
2009-02-10,25,25
2009-02-11,32,36
2009-02-12,34,34
2009-02-13,36,36
2009-02-14,36,36
2009-02-15,36,36
2009-02-16,36,36
2009-02-17,39,40
2009-02-18,40,42
2009-02-19,45,48
2009-02-20,53,54
2009-02-21,53,53
2009-02-22,53,53
2009-02-23,53,55
2009-02-24,51,58
2009-02-25,55,55
2009-02-26,55,57
2009-02-27,54,57
2009-02-28,54,54
2009-03-01,54,54
2009-03-02,48,54
2009-03-03,48,49
2009-03-04,43,51
2009-03-05,41,43
2009-03-06,41,42
2009-03-07,41,41
2009-03-08,41,41
2009-03-09,46,47
2009-03-10,46,48
2009-03-11,47,47
2009-03-12,48,48
2009-03-13,51,51
2009-03-14,51,51
2009-03-15,51,51
2009-03-16,49,52
2009-03-17,49,49
2009-03-18,35,52
2009-03-19,32,35
2009-03-20,32,33
2009-03-21,32,32
2009-03-22,32,32
2009-03-23,32,35
2009-03-24,33,33
2009-03-25,33,34
2009-03-26,30,33
2009-03-27,41,41
2009-03-28,41,41
2009-03-29,41,41
2009-03-30,41,42
2009-03-31,41,42
2009-04-01,26,43
2009-04-02,28,29
2009-04-03,29,29
2009-04-04,29,29
2009-04-05,29,29
2009-04-06,27,29
2009-04-07,27,29
2009-04-08,24,27
2009-04-09,26,26
2009-04-10,28,28
2009-04-11,28,28
2009-04-12,28,28
2009-04-13,31,31
2009-04-14,31,31
2009-04-15,33,33
2009-04-16,33,33
2009-04-17,35,35
2009-04-18,35,35
2009-04-19,35,35
2009-04-20,32,35
2009-04-21,33,37
2009-04-22,32,34
2009-04-23,30,32
2009-04-24,34,34
2009-04-25,34,34
2009-04-26,34,34
2009-04-27,34,34
2009-04-28,33,34
2009-04-29,34,35
2009-04-30,25,34
2009-05-01,28,28
2009-05-02,28,28
2009-05-03,28,28
2009-05-04,34,34
2009-05-05,32,34
2009-05-06,32,34
2009-05-07,34,34
2009-05-08,36,37
2009-05-09,36,36
2009-05-10,36,36
2009-05-11,37,37
2009-05-12,39,39
2009-05-13,37,40
2009-05-14,34,39
