Date,Midnight population,24-hour population
2008-10-01,372,373
2008-10-02,334,372
2008-10-03,346,362
2008-10-04,346,346
2008-10-05,346,346
2008-10-06,340,347
2008-10-07,342,343
2008-10-08,343,344
2008-10-09,329,344
2008-10-10,452,461
2008-10-11,452,452
2008-10-12,452,452
2008-10-13,452,452
2008-10-14,368,478
2008-10-15,432,439
2008-10-16,464,489
2008-10-17,493,496
2008-10-18,493,493
2008-10-19,494,494
2008-10-20,499,521
2008-10-21,515,522
2008-10-22,510,518
2008-10-23,500,512
2008-10-24,491,504
2008-10-25,491,491
2008-10-26,491,491
2008-10-27,552,574
2008-10-28,554,554
2008-10-29,593,600
2008-10-30,615,639
2008-10-31,628,643
2008-11-01,628,628
2008-11-02,628,628
2008-11-03,600,629
2008-11-04,663,663
2008-11-05,661,664
2008-11-06,617,667
2008-11-07,620,630
2008-11-08,620,620
2008-11-09,620,620
2008-11-10,633,641
2008-11-11,633,633
2008-11-12,658,660
2008-11-13,605,659
2008-11-14,600,610
2008-11-15,600,600
2008-11-16,600,600
2008-11-17,574,600
2008-11-18,573,574
2008-11-19,569,574
2008-11-20,540,571
2008-11-21,535,543
2008-11-22,535,535
2008-11-23,535,535
2008-11-24,494,537
2008-11-25,490,494
2008-11-26,490,491
2008-11-27,490,490
2008-11-28,482,496
2008-11-29,482,482
2008-11-30,482,482
2008-12-01,464,485
2008-12-02,484,484
2008-12-03,486,486
2008-12-04,457,487
2008-12-05,441,459
2008-12-06,442,442
2008-12-07,444,444
2008-12-08,405,445
2008-12-09,406,406
2008-12-10,450,456
2008-12-11,491,513
2008-12-12,483,493
2008-12-13,483,483
2008-12-14,484,484
2008-12-15,446,485
2008-12-16,486,487
2008-12-17,480,486
2008-12-18,526,531
2008-12-19,514,528
2008-12-20,514,514
2008-12-21,514,514
2008-12-22,466,521
2008-12-23,523,523
2008-12-24,553,555
2008-12-25,553,553
2008-12-26,556,556
2008-12-27,558,558
2008-12-28,558,558
2008-12-29,556,559
2008-12-30,552,556
2008-12-31,534,555
2009-01-01,534,534
2009-01-02,538,539
2009-01-03,538,538
2009-01-04,538,538
2009-01-05,575,577
2009-01-06,615,615
2009-01-07,654,654
2009-01-08,651,685
2009-01-09,650,655
2009-01-10,650,650
2009-01-11,651,651
2009-01-12,610,654
2009-01-13,609,612
2009-01-14,604,612
2009-01-15,631,680
2009-01-16,629,634
2009-01-17,629,629
2009-01-18,629,629
2009-01-19,629,629
2009-01-20,661,662
2009-01-21,659,661
2009-01-22,615,661
2009-01-23,632,633
2009-01-24,632,632
2009-01-25,632,632
2009-01-26,616,658
2009-01-27,669,672
2009-01-28,705,707
2009-01-29,718,747
2009-01-30,744,749
2009-01-31,744,744
2009-02-01,744,744
2009-02-02,719,778
2009-02-03,771,775
2009-02-04,797,803
2009-02-05,769,797
2009-02-06,744,769
2009-02-07,744,744
2009-02-08,744,744
2009-02-09,720,777
2009-02-10,763,765
2009-02-11,762,766
2009-02-12,699,764
2009-02-13,720,726
2009-02-14,720,720
2009-02-15,720,720
2009-02-16,720,720
2009-02-17,716,720
2009-02-18,734,735
2009-02-19,743,746
2009-02-20,726,745
2009-02-21,726,726
2009-02-22,726,726
2009-02-23,681,726
2009-02-24,679,681
2009-02-25,715,724
2009-02-26,692,752
2009-02-27,723,739
2009-02-28,723,723
2009-03-01,723,723
2009-03-02,669,743
2009-03-03,701,702
2009-03-04,736,742
2009-03-05,705,761
2009-03-06,712,720
2009-03-07,712,712
2009-03-08,712,712
2009-03-09,671,713
2009-03-10,718,723
2009-03-11,717,719
2009-03-12,647,717
2009-03-13,636,652
2009-03-14,636,636
2009-03-15,636,636
2009-03-16,638,674
2009-03-17,651,651
2009-03-18,695,702
2009-03-19,702,741
2009-03-20,705,709
2009-03-21,705,705
2009-03-22,705,705
2009-03-23,653,706
2009-03-24,690,690
2009-03-25,667,694
2009-03-26,660,716
2009-03-27,665,668
2009-03-28,665,665
2009-03-29,665,665
