Date,Midnight population,24-hour population
2008-10-01,186,188
2008-10-02,187,191
2008-10-03,190,193
2008-10-04,190,190
2008-10-05,190,190
2008-10-06,191,195
2008-10-07,196,198
2008-10-08,183,197
2008-10-09,185,186
2008-10-10,185,185
2008-10-11,184,185
2008-10-12,184,184
2008-10-13,184,184
2008-10-14,190,193
2008-10-15,185,192
2008-10-16,184,186
2008-10-17,184,185
2008-10-18,184,184
2008-10-19,184,184
2008-10-20,186,188
2008-10-21,189,190
2008-10-22,182,191
2008-10-23,183,184
2008-10-24,177,186
2008-10-25,176,177
2008-10-26,176,176
2008-10-27,184,185
2008-10-28,190,192
2008-10-29,188,198
2008-10-30,190,194
2008-10-31,190,194
2008-11-01,189,190
2008-11-02,189,189
2008-11-03,189,191
2008-11-04,186,193
2008-11-05,188,190
2008-11-06,190,193
2008-11-07,187,192
2008-11-08,187,187
2008-11-09,187,187
2008-11-10,185,192
2008-11-11,185,185
2008-11-12,183,187
2008-11-13,183,188
2008-11-14,179,185
2008-11-15,179,179
2008-11-16,179,179
2008-11-17,182,192
2008-11-18,182,184
2008-11-19,181,183
2008-11-20,183,183
2008-11-21,183,187
2008-11-22,182,183
2008-11-23,182,182
2008-11-24,177,186
2008-11-25,174,177
2008-11-26,176,177
2008-11-27,176,176
2008-11-28,177,182
2008-11-29,178,178
2008-11-30,178,178
2008-12-01,178,180
2008-12-02,179,179
2008-12-03,179,187
2008-12-04,172,184
2008-12-05,174,177
2008-12-06,174,174
2008-12-07,174,174
2008-12-08,175,189
2008-12-09,177,187
2008-12-10,179,183
2008-12-11,170,182
2008-12-12,171,173
2008-12-13,171,171
2008-12-14,172,173
2008-12-15,168,178
2008-12-16,166,170
2008-12-17,167,174
2008-12-18,166,171
2008-12-19,165,167
2008-12-20,165,165
2008-12-21,165,165
2008-12-22,162,168
2008-12-23,169,172
2008-12-24,171,175
2008-12-25,171,171
2008-12-26,171,172
2008-12-27,171,171
2008-12-28,171,171
2008-12-29,169,174
2008-12-30,167,169
2008-12-31,171,172
2009-01-01,172,172
2009-01-02,174,178
2009-01-03,175,175
2009-01-04,176,176
2009-01-05,184,191
2009-01-06,184,184
2009-01-07,186,189
2009-01-08,186,186
2009-01-09,183,188
2009-01-10,183,183
2009-01-11,186,189
2009-01-12,179,187
2009-01-13,181,183
2009-01-14,183,187
2009-01-15,189,193
2009-01-16,187,189
2009-01-17,187,187
2009-01-18,187,187
2009-01-19,187,187
2009-01-20,188,189
2009-01-21,191,194
2009-01-22,191,193
2009-01-23,177,192
2009-01-24,177,177
2009-01-25,177,177
2009-01-26,174,180
2009-01-27,181,191
2009-01-28,176,181
2009-01-29,166,180
2009-01-30,167,168
2009-01-31,161,167
2009-02-01,161,161
2009-02-02,157,163
2009-02-03,158,162
2009-02-04,158,160
2009-02-05,155,162
2009-02-06,154,157
2009-02-07,155,156
2009-02-08,155,155
2009-02-09,148,159
2009-02-10,153,160
2009-02-11,151,154
2009-02-12,154,158
2009-02-13,153,157
2009-02-14,154,154
2009-02-15,155,155
2009-02-16,154,155
2009-02-17,156,158
2009-02-18,156,169
2009-02-19,146,160
2009-02-20,145,147
2009-02-21,145,145
2009-02-22,145,145
2009-02-23,146,149
2009-02-24,140,154
2009-02-25,147,148
2009-02-26,140,153
2009-02-27,138,143
2009-02-28,138,138
2009-03-01,138,138
2009-03-02,138,138
2009-03-03,136,138
2009-03-04,134,144
2009-03-05,130,145
2009-03-06,125,133
2009-03-07,124,125
2009-03-08,124,124
2009-03-09,124,124
2009-03-10,126,128
2009-03-11,117,128
2009-03-12,116,118
2009-03-13,115,117
2009-03-14,115,115
2009-03-15,115,115
2009-03-16,112,120
2009-03-17,110,112
2009-03-18,117,123
2009-03-19,118,122
2009-03-20,125,127
2009-03-21,125,125
2009-03-22,125,125
2009-03-23,129,135
2009-03-24,130,136
2009-03-25,125,139
2009-03-26,123,131
2009-03-27,127,128
2009-03-28,127,127
2009-03-29,128,129
2009-03-30,131,136
2009-03-31,128,131
2009-04-01,139,145
2009-04-02,150,155
2009-04-03,162,164
2009-04-04,162,162
2009-04-05,162,162
2009-04-06,168,170
2009-04-07,173,177
2009-04-08,181,186
2009-04-09,189,195
2009-04-10,193,201
2009-04-11,206,206
2009-04-12,206,206
2009-04-13,213,215
2009-04-14,209,213
2009-04-15,209,216
2009-04-16,214,217
2009-04-17,215,217
2009-04-18,215,215
2009-04-19,214,215
2009-04-20,213,215
2009-04-21,206,220
2009-04-22,208,215
2009-04-23,217,219
2009-04-24,217,220
2009-04-25,217,217
2009-04-26,217,217
2009-04-27,220,227
2009-04-28,217,225
2009-04-29,215,220
2009-04-30,215,220
2009-05-01,224,228
2009-05-02,224,224
2009-05-03,224,224
2009-05-04,216,224
2009-05-05,226,229
2009-05-06,223,233
2009-05-07,224,232
2009-05-08,222,227
