Date,Midnight population,24-hour population
2008-10-01,530,538
2008-10-02,495,541
2008-10-03,499,505
2008-10-04,527,527
2008-10-05,539,539
2008-10-06,532,553
2008-10-07,540,549
2008-10-08,537,543
2008-10-09,473,548
2008-10-10,495,502
2008-10-11,498,498
2008-10-12,505,505
2008-10-13,511,511
2008-10-14,486,522
2008-10-15,496,501
2008-10-16,460,505
2008-10-17,481,483
2008-10-18,488,488
2008-10-19,499,499
2008-10-20,466,508
2008-10-21,479,482
2008-10-22,486,491
2008-10-23,435,491
2008-10-24,452,461
2008-10-25,464,465
2008-10-26,464,465
2008-10-27,453,483
2008-10-28,489,502
2008-10-29,500,508
2008-10-30,486,521
2008-10-31,500,508
2008-11-01,508,508
2008-11-02,513,513
2008-11-03,529,544
2008-11-04,552,557
2008-11-05,548,555
2008-11-06,500,563
2008-11-07,502,511
2008-11-08,508,508
2008-11-09,513,513
2008-11-10,479,535
2008-11-11,482,482
2008-11-12,477,492
2008-11-13,456,496
2008-11-14,461,466
2008-11-15,463,463
2008-11-16,465,465
2008-11-17,461,487
2008-11-18,486,493
2008-11-19,478,490
2008-11-20,465,503
2008-11-21,467,475
2008-11-22,469,469
2008-11-23,472,473
2008-11-24,452,490
2008-11-25,466,472
2008-11-26,485,487
2008-11-27,486,487
2008-11-28,484,495
2008-11-29,487,487
2008-11-30,489,489
2008-12-01,474,494
2008-12-02,482,487
2008-12-03,491,497
2008-12-04,460,505
2008-12-05,494,502
2008-12-06,496,496
2008-12-07,503,503
2008-12-08,504,528
2008-12-09,518,523
2008-12-10,521,526
2008-12-11,505,532
2008-12-12,510,520
2008-12-13,510,511
2008-12-14,513,513
2008-12-15,469,520
2008-12-16,476,489
2008-12-17,488,493
2008-12-18,463,502
2008-12-19,471,473
2008-12-20,473,473
2008-12-21,477,477
2008-12-22,475,482
2008-12-23,472,483
2008-12-24,474,481
2008-12-25,478,478
2008-12-26,485,486
2008-12-27,489,489
2008-12-28,493,493
2008-12-29,486,500
2008-12-30,461,496
2008-12-31,475,477
2009-01-01,479,479
2009-01-02,485,492
2009-01-03,486,486
2009-01-04,490,490
2009-01-05,465,502
2009-01-06,477,481
2009-01-07,480,484
2009-01-08,469,497
2009-01-09,477,487
2009-01-10,478,478
2009-01-11,480,480
2009-01-12,484,496
2009-01-13,481,488
2009-01-14,480,485
2009-01-15,446,490
2009-01-16,464,467
2009-01-17,465,465
2009-01-18,467,467
