Date,Midnight population,24-hour population
2008-10-01,139,153
2008-10-02,161,166
2008-10-03,161,161
2008-10-04,161,161
2008-10-05,161,161
2008-10-06,152,168
2008-10-07,153,163
2008-10-08,113,153
2008-10-09,112,131
2008-10-10,112,112
2008-10-11,112,112
2008-10-12,112,112
2008-10-13,112,112
2008-10-14,86,112
2008-10-15,89,95
2008-10-16,115,117
2008-10-17,117,117
2008-10-18,117,117
2008-10-19,117,117
2008-10-20,117,128
2008-10-21,103,117
2008-10-22,90,110
2008-10-23,115,115
2008-10-24,90,118
2008-10-25,90,90
2008-10-26,90,90
2008-10-27,85,100
2008-10-28,85,85
2008-10-29,66,86
2008-10-30,94,94
2008-10-31,96,96
2008-11-01,96,96
2008-11-02,96,96
2008-11-03,66,104
2008-11-04,61,66
2008-11-05,65,66
2008-11-06,88,88
2008-11-07,89,89
2008-11-08,89,89
2008-11-09,89,89
2008-11-10,80,99
2008-11-11,80,80
2008-11-12,74,80
2008-11-13,86,88
2008-11-14,93,95
2008-11-15,93,93
2008-11-16,93,93
2008-11-17,67,93
2008-11-18,66,67
2008-11-19,71,74
2008-11-20,47,71
2008-11-21,46,48
2008-11-22,46,46
2008-11-23,46,46
2008-11-24,53,54
2008-11-25,55,66
2008-11-26,53,56
2008-11-27,53,53
2008-11-28,53,53
2008-11-29,53,53
2008-11-30,53,53
2008-12-01,55,55
2008-12-02,45,57
2008-12-03,62,62
2008-12-04,65,65
2008-12-05,65,65
2008-12-06,65,65
2008-12-07,65,65
2008-12-08,70,70
2008-12-09,45,70
2008-12-10,28,45
2008-12-11,43,43
2008-12-12,44,44
2008-12-13,44,44
2008-12-14,44,44
2008-12-15,52,57
2008-12-16,52,52
2008-12-17,51,52
2008-12-18,64,64
2008-12-19,75,77
2008-12-20,75,75
2008-12-21,75,75
2008-12-22,76,76
2008-12-23,96,96
2008-12-24,95,96
2008-12-25,95,95
2008-12-26,95,95
2008-12-27,95,95
2008-12-28,95,95
2008-12-29,95,95
2008-12-30,102,104
2008-12-31,102,103
2009-01-01,102,102
2009-01-02,109,115
2009-01-03,109,109
2009-01-04,109,109
2009-01-05,109,109
2009-01-06,63,112
2009-01-07,95,96
2009-01-08,98,98
2009-01-09,98,99
2009-01-10,98,98
2009-01-11,98,98
2009-01-12,96,100
2009-01-13,92,96
2009-01-14,107,115
2009-01-15,89,117
2009-01-16,91,91
2009-01-17,91,91
2009-01-18,91,91
2009-01-19,91,91
2009-01-20,78,92
2009-01-21,87,89
2009-01-22,92,92
2009-01-23,59,109
2009-01-24,59,59
2009-01-25,59,59
2009-01-26,57,59
2009-01-27,56,57
2009-01-28,56,56
2009-01-29,42,75
2009-01-30,42,42
2009-01-31,42,42
2009-02-01,42,42
2009-02-02,42,42
2009-02-03,42,42
2009-02-04,20,60
2009-02-05,32,32
2009-02-06,32,32
2009-02-07,32,32
2009-02-08,32,32
2009-02-09,32,32
2009-02-10,32,33
2009-02-11,20,48
2009-02-12,37,37
2009-02-13,35,37
2009-02-14,35,35
2009-02-15,35,35
2009-02-16,35,35
2009-02-17,35,35
2009-02-18,44,44
2009-02-19,70,70
2009-02-20,80,81
2009-02-21,80,80
2009-02-22,80,80
2009-02-23,49,82
2009-02-24,49,49
2009-02-25,44,79
2009-02-26,55,55
2009-02-27,55,55
2009-02-28,45,55
2009-03-01,44,45
2009-03-02,55,55
2009-03-03,55,55
2009-03-04,25,55
2009-03-05,43,43
2009-03-06,48,48
2009-03-07,48,48
2009-03-08,48,48
