Date,Midnight population,24-hour population
2008-10-01,0.0,0.0
2008-10-02,0.0,0.0
2008-10-03,0.0,0.0
2008-10-04,0.0,0.0
2008-10-05,0.0,0.0
2008-10-06,0.0,0.0
2008-10-07,0.0,0.0
2008-10-08,0.0,0.0
2008-10-09,0.0,0.0
2008-10-10,0.0,0.0
2008-10-11,0.0,0.0
2008-10-12,0.0,0.0
2008-10-13,0.0,0.0
2008-10-14,0.0,0.0
2008-10-15,0.0,0.0
2008-10-16,0.0,0.0
2008-10-17,0.0,0.0
2008-10-18,0.0,0.0
2008-10-19,0.0,0.0
2008-10-20,0.0,0.0
2008-10-21,0.0,0.0
2008-10-22,0.0,0.0
2008-10-23,0.0,0.0
2008-10-24,0.0,0.0
2008-10-25,0.0,0.0
2008-10-26,0.0,0.0
2008-10-27,0.0,0.0
2008-10-28,0.0,0.0
2008-10-29,0.0,0.0
2008-10-30,205.0,215.0
2008-10-31,205.0,214.0
2008-11-01,206.0,214.0
2008-11-02,205.0,214.0
2008-11-03,205.0,214.0
2008-11-04,204.0,213.0
2008-11-05,203.0,213.0
2008-11-06,203.0,212.0
2008-11-07,204.0,212.0
2008-11-08,204.0,212.0
2008-11-09,204.0,212.0
2008-11-10,204.0,212.0
2008-11-11,204.0,212.0
2008-11-12,204.0,212.0
2008-11-13,203.0,211.0
2008-11-14,202.0,210.0
2008-11-15,203.0,209.0
2008-11-16,202.0,209.0
2008-11-17,201.0,209.0
2008-11-18,201.0,208.0
2008-11-19,199.0,207.0
2008-11-20,198.0,206.0
2008-11-21,197.0,205.0
2008-11-22,197.0,204.0
2008-11-23,195.0,202.0
2008-11-24,194.0,201.0
2008-11-25,192.0,200.0
2008-11-26,190.0,199.0
2008-11-27,188.0,197.0
2008-11-28,188.0,196.0
2008-11-29,188.0,196.0
2008-11-30,188.0,195.0
2008-12-01,187.0,195.0
2008-12-02,187.0,195.0
2008-12-03,186.0,194.0
2008-12-04,186.0,193.0
2008-12-05,186.0,193.0
2008-12-06,185.0,192.0
2008-12-07,184.0,191.0
2008-12-08,184.0,191.0
2008-12-09,184.0,191.0
2008-12-10,183.0,191.0
2008-12-11,182.0,190.0
2008-12-12,183.0,190.0
2008-12-13,184.0,191.0
2008-12-14,184.0,192.0
2008-12-15,184.0,192.0
2008-12-16,185.0,192.0
2008-12-17,186.0,193.0
2008-12-18,187.0,195.0
2008-12-19,189.0,196.0
2008-12-20,191.0,197.0
2008-12-21,193.0,199.0
2008-12-22,194.0,201.0
2008-12-23,196.0,203.0
2008-12-24,198.0,205.0
2008-12-25,200.0,206.0
2008-12-26,202.0,207.0
2008-12-27,204.0,209.0
2008-12-28,205.0,210.0
2008-12-29,205.0,211.0
2008-12-30,206.0,212.0
2008-12-31,207.0,213.0
2009-01-01,208.0,214.0
2009-01-02,209.0,215.0
2009-01-03,210.0,215.0
2009-01-04,211.0,217.0
2009-01-05,212.0,218.0
2009-01-06,213.0,219.0
2009-01-07,213.0,219.0
2009-01-08,211.0,219.0
2009-01-09,211.0,218.0
2009-01-10,211.0,217.0
2009-01-11,209.0,216.0
2009-01-12,208.0,215.0
2009-01-13,207.0,214.0
2009-01-14,206.0,213.0
2009-01-15,205.0,212.0
2009-01-16,205.0,211.0
2009-01-17,204.0,210.0
2009-01-18,203.0,209.0
2009-01-19,201.0,207.0
2009-01-20,200.0,206.0
2009-01-21,199.0,205.0
2009-01-22,197.0,204.0
2009-01-23,196.0,203.0
2009-01-24,196.0,202.0
2009-01-25,195.0,202.0
2009-01-26,195.0,202.0
2009-01-27,195.0,202.0
2009-01-28,195.0,202.0
2009-01-29,195.0,202.0
2009-01-30,195.0,202.0
2009-01-31,195.0,202.0
2009-02-01,195.0,202.0
2009-02-02,195.0,202.0
