Date,Midnight population,24-hour population
2008-10-01,206,220
2008-10-02,198,227
2008-10-03,217,219
2008-10-04,217,217
2008-10-05,205,217
2008-10-06,217,223
2008-10-07,209,224
2008-10-08,199,236
2008-10-09,189,199
2008-10-10,218,221
2008-10-11,217,218
2008-10-12,217,217
2008-10-13,202,217
2008-10-14,208,221
2008-10-15,217,223
2008-10-16,185,218
2008-10-17,197,197
2008-10-18,197,197
2008-10-19,181,197
2008-10-20,217,220
2008-10-21,199,219
2008-10-22,194,199
2008-10-23,181,194
2008-10-24,213,214
2008-10-25,213,213
2008-10-26,211,215
2008-10-27,207,211
2008-10-28,222,224
2008-10-29,205,223
2008-10-30,196,205
2008-10-31,208,210
2008-11-01,208,208
2008-11-02,203,208
2008-11-03,211,220
2008-11-04,194,213
2008-11-05,177,195
2008-11-06,204,210
2008-11-07,216,221
2008-11-08,215,216
2008-11-09,215,215
2008-11-10,212,215
2008-11-11,212,212
2008-11-12,194,224
2008-11-13,180,194
2008-11-14,197,198
2008-11-15,197,197
2008-11-16,183,197
2008-11-17,169,183
2008-11-18,163,169
2008-11-19,182,197
2008-11-20,166,183
2008-11-21,165,166
2008-11-22,165,165
2008-11-23,159,165
2008-11-24,173,179
2008-11-25,158,173
2008-11-26,164,183
2008-11-27,163,164
2008-11-28,195,198
2008-11-29,195,195
2008-11-30,195,195
2008-12-01,189,195
2008-12-02,197,205
2008-12-03,183,197
2008-12-04,187,197
2008-12-05,187,187
2008-12-06,187,187
2008-12-07,181,187
2008-12-08,206,219
2008-12-09,204,206
2008-12-10,191,204
2008-12-11,183,191
2008-12-12,219,224
2008-12-13,217,219
2008-12-14,210,218
2008-12-15,197,210
2008-12-16,206,210
2008-12-17,192,206
2008-12-18,206,225
2008-12-19,223,223
2008-12-20,223,223
2008-12-21,223,223
2008-12-22,214,223
2008-12-23,219,223
2008-12-24,222,226
2008-12-25,222,222
2008-12-26,222,222
2008-12-27,223,223
2008-12-28,220,223
2008-12-29,216,220
2008-12-30,217,223
2008-12-31,217,236
2009-01-01,217,217
2009-01-02,221,223
2009-01-03,221,221
2009-01-04,221,221
2009-01-05,222,231
2009-01-06,199,223
2009-01-07,195,212
2009-01-08,166,196
2009-01-09,175,175
2009-01-10,175,175
2009-01-11,170,176
2009-01-12,189,199
2009-01-13,185,189
2009-01-14,174,185
2009-01-15,159,174
2009-01-16,184,187
2009-01-17,184,184
2009-01-18,184,184
2009-01-19,184,184
2009-01-20,180,184
2009-01-21,175,181
2009-01-22,180,192
2009-01-23,197,201
2009-01-24,205,205
2009-01-25,204,206
2009-01-26,218,223
2009-01-27,217,226
2009-01-28,212,227
2009-01-29,212,223
2009-01-30,220,223
2009-01-31,220,220
2009-02-01,219,220
2009-02-02,215,229
2009-02-03,221,236
2009-02-04,202,221
2009-02-05,217,220
2009-02-06,198,217
2009-02-07,210,211
2009-02-08,200,211
2009-02-09,210,218
2009-02-10,205,221
2009-02-11,219,223
2009-02-12,205,219
2009-02-13,210,212
2009-02-14,210,210
2009-02-15,210,210
2009-02-16,205,210
2009-02-17,193,205
2009-02-18,201,211
2009-02-19,196,201
2009-02-20,190,196
2009-02-21,190,190
2009-02-22,216,216
2009-02-23,223,242
2009-02-24,204,223
2009-02-25,215,221
2009-02-26,205,223
2009-02-27,215,217
2009-02-28,215,215
2009-03-01,215,215
2009-03-02,203,215
2009-03-03,194,204
2009-03-04,216,223
2009-03-05,191,216
2009-03-06,222,223
2009-03-07,222,222
2009-03-08,222,222
2009-03-09,219,222
2009-03-10,206,220
2009-03-11,182,206
2009-03-12,200,201
2009-03-13,198,210
2009-03-14,198,198
2009-03-15,199,199
2009-03-16,194,199
2009-03-17,190,195
2009-03-18,215,219
2009-03-19,182,215
2009-03-20,200,206
2009-03-21,200,200
2009-03-22,199,200
2009-03-23,189,199
2009-03-24,193,199
2009-03-25,179,194
2009-03-26,174,180
2009-03-27,191,195
2009-03-28,199,200
2009-03-29,217,220
2009-03-30,214,217
2009-03-31,207,214
2009-04-01,200,207
2009-04-02,204,219
2009-04-03,217,220
2009-04-04,222,224
2009-04-05,222,222
2009-04-06,218,222
2009-04-07,211,220
2009-04-08,191,211
2009-04-09,185,191
2009-04-10,184,185
2009-04-11,184,184
2009-04-12,185,185
2009-04-13,182,201
2009-04-14,178,182
2009-04-15,156,178
2009-04-16,147,157
2009-04-17,144,147
2009-04-18,144,144
2009-04-19,144,144
2009-04-20,160,162
2009-04-21,155,169
2009-04-22,170,175
2009-04-23,167,176
2009-04-24,166,167
2009-04-25,182,182
2009-04-26,182,182
2009-04-27,172,182
2009-04-28,168,172
2009-04-29,195,198
2009-04-30,177,195
2009-05-01,200,202
2009-05-02,222,222
2009-05-03,222,222
2009-05-04,218,222
2009-05-05,202,218
2009-05-06,194,203
2009-05-07,219,222
2009-05-08,221,223
2009-05-09,222,222
2009-05-10,223,223
2009-05-11,220,223
2009-05-12,210,220
2009-05-13,209,210
2009-05-14,190,209
2009-05-15,220,223
2009-05-16,220,220
2009-05-17,220,220
2009-05-18,205,220
2009-05-19,199,211
2009-05-20,220,224
2009-05-21,211,220
2009-05-22,216,225
2009-05-23,221,221
2009-05-24,221,221
2009-05-25,221,221
2009-05-26,197,221
2009-05-27,213,221
2009-05-28,218,229
2009-05-29,219,222
2009-05-30,219,219
2009-05-31,222,222
2009-06-01,216,223
2009-06-02,210,216
2009-06-03,207,210
2009-06-04,201,207
2009-06-05,218,220
2009-06-06,218,218
2009-06-07,218,218
2009-06-08,220,224
2009-06-09,202,230
2009-06-10,196,202
2009-06-11,181,196
2009-06-12,177,182
2009-06-13,177,177
2009-06-14,176,177
2009-06-15,190,196
2009-06-16,209,216
2009-06-17,203,217
2009-06-18,209,211
2009-06-19,206,209
2009-06-20,206,206
2009-06-21,223,223
2009-06-22,218,223
2009-06-23,176,218
2009-06-24,172,178
2009-06-25,151,186
2009-06-26,158,164
2009-06-27,158,158
2009-06-28,158,158
2009-06-29,172,176
2009-06-30,201,203
2009-07-01,193,201
2009-07-02,182,193
2009-07-03,186,186
2009-07-04,186,186
2009-07-05,170,186
2009-07-06,167,170
2009-07-07,151,167
2009-07-08,187,198
2009-07-09,181,187
2009-07-10,207,213
2009-07-11,207,207
2009-07-12,200,208
2009-07-13,211,217
2009-07-14,218,224
2009-07-15,217,222
2009-07-16,212,217
2009-07-17,208,213
2009-07-18,208,208
2009-07-19,208,208
2009-07-20,203,208
2009-07-21,198,203
2009-07-22,201,219
2009-07-23,199,201
2009-07-24,217,222
2009-07-25,217,217
2009-07-26,217,217
2009-07-27,207,218
2009-07-28,220,223
2009-07-29,206,220
2009-07-30,198,206
2009-07-31,202,209
2009-08-01,201,202
2009-08-02,201,201
2009-08-03,214,215
2009-08-04,220,222
2009-08-05,211,220
2009-08-06,211,212
2009-08-07,207,211
2009-08-08,207,207
2009-08-09,207,207
2009-08-10,218,223
2009-08-11,211,223
2009-08-12,208,223
2009-08-13,188,208
2009-08-14,201,201
2009-08-15,201,201
2009-08-16,199,201
2009-08-17,197,204
2009-08-18,185,197
2009-08-19,206,210
2009-08-20,194,207
2009-08-21,192,194
2009-08-22,192,192
2009-08-23,192,192
2009-08-24,194,199
2009-08-25,185,194
2009-08-26,180,186
2009-08-27,207,216
2009-08-28,207,209
2009-08-29,207,207
2009-08-30,218,218
2009-08-31,220,223
2009-09-01,217,220
2009-09-02,209,218
2009-09-03,203,209
2009-09-04,219,222
2009-09-05,219,219
2009-09-06,214,219
2009-09-07,214,214
2009-09-08,192,214
2009-09-09,184,193
2009-09-10,200,204
2009-09-11,215,218
2009-09-12,215,215
2009-09-13,215,215
2009-09-14,211,215
2009-09-15,216,219
2009-09-16,214,223
2009-09-17,221,243
2009-09-18,222,224
2009-09-19,222,222
2009-09-20,222,222
2009-09-21,215,222
2009-09-22,201,215
2009-09-23,211,222
2009-09-24,196,211
2009-09-25,218,221
2009-09-26,218,218
2009-09-27,218,218
2009-09-28,224,226
2009-09-29,222,224
2009-09-30,220,222
2009-10-01,213,231
2009-10-02,220,223
2009-10-03,220,220
2009-10-04,223,223
2009-10-05,215,225
2009-10-06,205,215
2009-10-07,198,216
2009-10-08,203,220
2009-10-09,201,204
2009-10-10,217,217
2009-10-11,217,217
2009-10-12,217,217
2009-10-13,215,223
2009-10-14,207,215
2009-10-15,215,223
2009-10-16,223,223
2009-10-17,223,223
2009-10-18,223,223
2009-10-19,221,223
2009-10-20,197,222
2009-10-21,190,197
2009-10-22,213,221
2009-10-23,219,220
2009-10-24,219,219
2009-10-25,219,219
2009-10-26,215,219
2009-10-27,208,215
2009-10-28,204,216
