Date,Midnight population,24-hour population,N,N2
2008-10-01,-1.0,-1.0,670,644
2008-10-02,-1.0,-1.0,667,659
2008-10-03,-1.0,-1.0,683,667
2008-10-04,-1.0,-1.0,675,674
2008-10-05,-1.0,-1.0,680,680
2008-10-06,-1.0,-1.0,696,654
2008-10-07,-1.0,-1.0,685,667
2008-10-08,-1.0,-1.0,710,659
2008-10-09,-1.0,-1.0,691,645
2008-10-10,-1.0,-1.0,665,645
2008-10-11,-1.0,-1.0,663,662
2008-10-12,-1.0,-1.0,679,678
2008-10-13,-1.0,-1.0,679,678
2008-10-14,-1.0,-1.0,694,677
2008-10-15,-1.0,-1.0,689,664
2008-10-16,-1.0,-1.0,701,648
2008-10-17,-1.0,-1.0,670,662
2008-10-18,-1.0,-1.0,678,677
2008-10-19,-1.0,-1.0,678,678
2008-10-20,-1.0,-1.0,683,653
2008-10-21,-1.0,-1.0,678,660
2008-10-22,-1.0,-1.0,668,641
2008-10-23,-1.0,-1.0,677,643
2008-10-24,-1.0,-1.0,663,653
2008-10-25,-1.0,-1.0,663,662
2008-10-26,-1.0,-1.0,668,667
2008-10-27,-1.0,-1.0,682,649
2008-10-28,-1.0,-1.0,685,658
2008-10-29,-1.0,-1.0,677,651
2008-10-30,660.0,679.0,671,635
2008-10-31,660.0,678.0,654,643
2008-11-01,659.0,678.0,653,652
2008-11-02,659.0,677.0,658,658
2008-11-03,658.0,677.0,676,646
2008-11-04,657.0,677.0,669,655
2008-11-05,657.0,676.0,674,654
2008-11-06,657.0,676.0,675,646
2008-11-07,657.0,674.0,672,659
2008-11-08,657.0,673.0,661,661
2008-11-09,658.0,673.0,664,664
2008-11-10,658.0,674.0,689,664
2008-11-11,658.0,674.0,672,671
2008-11-12,657.0,674.0,686,657
2008-11-13,656.0,674.0,698,652
2008-11-14,656.0,674.0,672,665
2008-11-15,657.0,673.0,676,676
2008-11-16,658.0,673.0,682,682
2008-11-17,657.0,674.0,689,667
2008-11-18,657.0,674.0,695,676
2008-11-19,658.0,675.0,689,658
2008-11-20,657.0,675.0,680,658
2008-11-21,658.0,675.0,673,662
2008-11-22,659.0,675.0,671,671
2008-11-23,660.0,675.0,672,671
2008-11-24,660.0,676.0,687,661
2008-11-25,659.0,676.0,675,648
2008-11-26,659.0,676.0,678,645
2008-11-27,659.0,675.0,660,660
2008-11-28,659.0,675.0,673,660
2008-11-29,660.0,675.0,673,673
2008-11-30,662.0,676.0,679,679
2008-12-01,663.0,677.0,690,679
2008-12-02,663.0,678.0,687,679
2008-12-03,664.0,678.0,690,668
2008-12-04,663.0,679.0,685,624
2008-12-05,662.0,680.0,694,637
2008-12-06,663.0,679.0,650,649
2008-12-07,663.0,678.0,661,661
2008-12-08,663.0,679.0,685,676
2008-12-09,663.0,680.0,695,656
2008-12-10,662.0,680.0,669,645
2008-12-11,661.0,679.0,657,648
2008-12-12,661.0,678.0,664,651
2008-12-13,661.0,677.0,653,653
2008-12-14,661.0,676.0,658,658
2008-12-15,660.0,677.0,687,654
2008-12-16,660.0,677.0,679,659
2008-12-17,659.0,676.0,679,649
2008-12-18,658.0,676.0,682,648
2008-12-19,658.0,676.0,679,656
2008-12-20,658.0,675.0,661,660
2008-12-21,658.0,675.0,663,658
2008-12-22,658.0,675.0,689,679
2008-12-23,658.0,677.0,719,673
2008-12-24,659.0,677.0,690,679
2008-12-25,660.0,677.0,680,680
2008-12-26,661.0,677.0,680,679
2008-12-27,662.0,678.0,680,679
2008-12-28,662.0,678.0,680,680
2008-12-29,662.0,679.0,698,660
2008-12-30,661.0,679.0,693,667
2008-12-31,660.0,679.0,686,647
2009-01-01,660.0,679.0,670,661
2009-01-02,660.0,678.0,684,670
2009-01-03,662.0,678.0,674,673
2009-01-04,663.0,677.0,678,678
2009-01-05,663.0,679.0,690,664
2009-01-06,664.0,679.0,682,667
2009-01-07,663.0,680.0,699,670
2009-01-08,664.0,680.0,688,663
2009-01-09,664.0,680.0,678,662
