Date,Midnight population,24-hour population
2008-10-01,"1,032","1,071"
2008-10-02,"1,018","1,045"
2008-10-03,"1,021","1,037"
2008-10-04,902,"1,028"
2008-10-05,907,907
2008-10-06,949,964
2008-10-07,973,993
2008-10-08,939,"1,069"
2008-10-09,953,969
2008-10-10,"1,028","1,036"
2008-10-11,912,"1,032"
2008-10-12,917,917
2008-10-13,917,917
2008-10-14,944,965
2008-10-15,936,"1,007"
2008-10-16,958,974
2008-10-17,"1,000","1,010"
2008-10-18,874,"1,002"
2008-10-19,884,884
2008-10-20,907,912
2008-10-21,942,954
2008-10-22,871,989
2008-10-23,899,911
2008-10-24,945,960
2008-10-25,820,949
2008-10-26,826,826
2008-10-27,877,882
2008-10-28,944,955
2008-10-29,911,"1,000"
2008-10-30,949,957
2008-10-31,989,999
2008-11-01,862,993
2008-11-02,863,863
2008-11-03,891,902
2008-11-04,923,933
2008-11-05,884,984
2008-11-06,919,932
2008-11-07,968,982
2008-11-08,891,980
2008-11-09,898,898
2008-11-10,910,928
2008-11-11,931,933
2008-11-12,921,979
2008-11-13,965,974
2008-11-14,"1,034","1,042"
2008-11-15,911,"1,039"
2008-11-16,914,914
2008-11-17,948,956
2008-11-18,963,980
2008-11-19,920,"1,038"
2008-11-20,946,962
2008-11-21,990,"1,001"
2008-11-22,886,"1,016"
2008-11-23,896,897
2008-11-24,939,957
2008-11-25,970,986
2008-11-26,917,"1,044"
2008-11-27,919,919
2008-11-28,960,968
2008-11-29,841,962
2008-11-30,844,844
2008-12-01,884,897
2008-12-02,923,933
2008-12-03,856,985
2008-12-04,876,889
2008-12-05,932,943
2008-12-06,809,936
2008-12-07,812,812
2008-12-08,868,875
2008-12-09,900,911
2008-12-10,877,960
2008-12-11,904,919
2008-12-12,958,967
2008-12-13,834,964
2008-12-14,836,836
2008-12-15,872,878
2008-12-16,901,912
2008-12-17,859,981
2008-12-18,888,891
2008-12-19,909,916
2008-12-20,804,934
2008-12-21,804,804
2008-12-22,824,826
2008-12-23,854,862
2008-12-24,867,941
2008-12-25,868,868
2008-12-26,870,870
2008-12-27,870,870
2008-12-28,867,870
2008-12-29,915,926
2008-12-30,955,966
2008-12-31,920,"1,041"
2009-01-01,923,924
2009-01-02,958,960
2009-01-03,895,959
2009-01-04,901,901
2009-01-05,932,935
2009-01-06,970,977
