Date,Midnight population,24-hour population
2008-10-01,4,4
2008-10-02,4,10
2008-10-03,4,9
2008-10-04,4,4
2008-10-05,4,4
2008-10-06,4,4
2008-10-07,5,5
2008-10-08,5,9
2008-10-09,4,5
2008-10-10,4,6
2008-10-11,4,4
2008-10-12,4,4
2008-10-13,4,4
2008-10-14,7,9
2008-10-15,4,8
2008-10-16,4,5
2008-10-17,4,5
2008-10-18,4,4
2008-10-19,4,4
2008-10-20,4,6
2008-10-21,32,35
2008-10-22,4,34
2008-10-23,5,5
2008-10-24,4,5
2008-10-25,4,4
2008-10-26,4,4
2008-10-27,4,6
2008-10-28,4,6
2008-10-29,4,9
2008-10-30,4,6
2008-10-31,4,4
2008-11-01,4,4
2008-11-02,4,4
2008-11-03,4,8
2008-11-04,4,4
2008-11-05,4,5
2008-11-06,4,4
2008-11-07,4,4
2008-11-08,4,4
2008-11-09,4,4
2008-11-10,4,6
2008-11-11,4,4
2008-11-12,4,8
2008-11-13,4,6
2008-11-14,4,14
2008-11-15,4,4
2008-11-16,4,4
2008-11-17,4,6
2008-11-18,4,5
2008-11-19,4,9
2008-11-20,5,5
2008-11-21,4,10
2008-11-22,4,4
2008-11-23,4,4
2008-11-24,4,10
2008-11-25,4,8
2008-11-26,5,5
2008-11-27,5,5
2008-11-28,5,5
2008-11-29,5,5
2008-11-30,5,5
2008-12-01,4,5
2008-12-02,4,6
2008-12-03,4,4
2008-12-04,4,5
2008-12-05,4,6
2008-12-06,4,4
2008-12-07,4,4
2008-12-08,6,10
2008-12-09,4,6
2008-12-10,4,9
2008-12-11,4,4
2008-12-12,4,5
2008-12-13,4,4
2008-12-14,4,4
2008-12-15,4,11
2008-12-16,4,7
2008-12-17,4,4
2008-12-18,4,4
2008-12-19,4,5
2008-12-20,4,4
2008-12-21,4,4
2008-12-22,4,6
2008-12-23,4,4
2008-12-24,4,6
2008-12-25,4,4
2008-12-26,4,4
2008-12-27,4,4
2008-12-28,4,4
2008-12-29,4,6
2008-12-30,4,4
2008-12-31,4,8
2009-01-01,4,4
2009-01-02,4,4
2009-01-03,4,4
2009-01-04,4,4
2009-01-05,7,9
