Date,Midnight population,24-hour population
2008-10-01,6,6
2008-10-02,6,6
2008-10-03,5,11
2008-10-04,5,5
2008-10-05,5,5
2008-10-06,5,5
2008-10-07,7,7
2008-10-08,7,7
2008-10-09,3,10
2008-10-10,1,4
2008-10-11,1,1
2008-10-12,1,1
2008-10-13,1,1
2008-10-14,2,2
2008-10-15,0,2
2008-10-16,12,12
2008-10-17,6,14
2008-10-18,6,6
2008-10-19,6,6
2008-10-20,6,6
2008-10-21,10,15
2008-10-22,11,12
2008-10-23,10,14
2008-10-24,5,15
2008-10-25,5,5
2008-10-26,5,5
2008-10-27,5,5
2008-10-28,13,13
2008-10-29,13,13
2008-10-30,14,14
2008-10-31,17,17
2008-11-01,17,17
2008-11-02,17,17
2008-11-03,3,17
2008-11-04,8,8
2008-11-05,10,10
2008-11-06,14,14
2008-11-07,21,21
2008-11-08,21,21
2008-11-09,21,21
2008-11-10,21,21
2008-11-11,0,21
2008-11-12,3,3
2008-11-13,8,8
2008-11-14,13,14
2008-11-15,13,13
2008-11-16,13,13
2008-11-17,0,13
2008-11-18,6,6
2008-11-19,12,12
2008-11-20,12,12
2008-11-21,5,17
2008-11-22,5,5
2008-11-23,5,5
2008-11-24,0,5
2008-11-25,5,5
2008-11-26,18,18
2008-11-27,18,18
2008-11-28,18,18
2008-11-29,18,18
2008-11-30,18,18
2008-12-01,3,20
2008-12-02,7,8
2008-12-03,7,10
2008-12-04,17,17
2008-12-05,2,17
2008-12-06,2,2
2008-12-07,2,2
2008-12-08,8,8
2008-12-09,5,13
2008-12-10,7,7
2008-12-11,10,10
2008-12-12,2,11
2008-12-13,2,2
2008-12-14,2,2
2008-12-15,7,7
2008-12-16,8,8
2008-12-17,11,11
2008-12-18,11,21
2008-12-19,12,12
2008-12-20,12,12
2008-12-21,12,12
2008-12-22,6,17
2008-12-23,6,8
2008-12-24,9,15
2008-12-25,9,9
2008-12-26,0,9
2008-12-27,0,0
2008-12-28,0,0
2008-12-29,1,1
2008-12-30,1,1
2008-12-31,3,3
2009-01-01,3,3
2009-01-02,4,4
2009-01-03,4,4
2009-01-04,4,4
2009-01-05,5,6
2009-01-06,9,14
2009-01-07,15,15
2009-01-08,24,24
2009-01-09,7,30
2009-01-10,7,7
2009-01-11,7,7
2009-01-12,3,10
2009-01-13,13,13
2009-01-14,15,16
2009-01-15,8,23
