Date,Midnight population,24-hour population
2008-10-01,0.0,0.0
2008-10-02,0.0,0.0
2008-10-03,0.0,0.0
2008-10-04,0.0,0.0
2008-10-05,0.0,0.0
2008-10-06,0.0,0.0
2008-10-07,0.0,0.0
2008-10-08,0.0,0.0
2008-10-09,0.0,0.0
2008-10-10,0.0,0.0
2008-10-11,0.0,0.0
2008-10-12,0.0,0.0
2008-10-13,0.0,0.0
2008-10-14,0.0,0.0
2008-10-15,0.0,0.0
2008-10-16,0.0,0.0
2008-10-17,0.0,0.0
2008-10-18,0.0,0.0
2008-10-19,0.0,0.0
2008-10-20,0.0,0.0
2008-10-21,0.0,0.0
2008-10-22,0.0,0.0
2008-10-23,0.0,0.0
2008-10-24,0.0,0.0
2008-10-25,0.0,0.0
2008-10-26,0.0,0.0
2008-10-27,0.0,0.0
2008-10-28,0.0,0.0
2008-10-29,0.0,0.0
2008-10-30,379.0,399.0
2008-10-31,378.0,399.0
2008-11-01,376.0,398.0
2008-11-02,377.0,396.0
2008-11-03,377.0,396.0
2008-11-04,376.0,396.0
2008-11-05,376.0,396.0
2008-11-06,377.0,395.0
2008-11-07,376.0,397.0
2008-11-08,376.0,397.0
2008-11-09,379.0,397.0
2008-11-10,381.0,399.0
2008-11-11,383.0,401.0
2008-11-12,383.0,403.0
2008-11-13,382.0,402.0
2008-11-14,380.0,402.0
2008-11-15,379.0,401.0
2008-11-16,379.0,399.0
2008-11-17,380.0,398.0
2008-11-18,380.0,399.0
2008-11-19,378.0,398.0
2008-11-20,378.0,397.0
2008-11-21,376.0,398.0
2008-11-22,374.0,396.0
2008-11-23,376.0,395.0
2008-11-24,376.0,396.0
2008-11-25,376.0,397.0
2008-11-26,375.0,396.0
2008-11-27,376.0,395.0
2008-11-28,373.0,395.0
2008-11-29,372.0,394.0
2008-11-30,373.0,393.0
2008-12-01,374.0,394.0
2008-12-02,374.0,395.0
2008-12-03,375.0,396.0
2008-12-04,375.0,395.0
2008-12-05,374.0,395.0
2008-12-06,372.0,393.0
2008-12-07,372.0,391.0
2008-12-08,371.0,390.0
2008-12-09,369.0,390.0
2008-12-10,369.0,389.0
2008-12-11,368.0,389.0
2008-12-12,367.0,388.0
2008-12-13,366.0,387.0
2008-12-14,367.0,386.0
2008-12-15,367.0,386.0
2008-12-16,367.0,387.0
2008-12-17,367.0,388.0
2008-12-18,368.0,388.0
2008-12-19,368.0,389.0
2008-12-20,367.0,388.0
2008-12-21,369.0,387.0
2008-12-22,370.0,388.0
2008-12-23,369.0,389.0
2008-12-24,370.0,389.0
2008-12-25,371.0,388.0
2008-12-26,371.0,389.0
2008-12-27,371.0,390.0
2008-12-28,374.0,390.0
2008-12-29,375.0,392.0
2008-12-30,375.0,393.0
2008-12-31,375.0,393.0
2009-01-01,376.0,392.0
2009-01-02,375.0,393.0
2009-01-03,375.0,393.0
2009-01-04,378.0,393.0
2009-01-05,380.0,395.0
2009-01-06,381.0,397.0
2009-01-07,383.0,399.0
2009-01-08,384.0,399.0
2009-01-09,383.0,400.0
2009-01-10,384.0,400.0
2009-01-11,386.0,400.0
2009-01-12,387.0,402.0
2009-01-13,387.0,403.0
2009-01-14,388.0,404.0
2009-01-15,390.0,404.0
2009-01-16,389.0,406.0
2009-01-17,389.0,406.0
2009-01-18,391.0,406.0
2009-01-19,392.0,407.0
2009-01-20,393.0,409.0
2009-01-21,393.0,409.0
2009-01-22,393.0,408.0
2009-01-23,391.0,408.0
2009-01-24,389.0,406.0
2009-01-25,388.0,405.0
2009-01-26,387.0,404.0
2009-01-27,386.0,404.0
2009-01-28,385.0,404.0
2009-01-29,385.0,403.0
2009-01-30,384.0,403.0
2009-01-31,383.0,403.0
2009-02-01,383.0,401.0
2009-02-02,383.0,401.0
