Date,Midnight population,24-hour population
2008-10-01,387,399
2008-10-02,408,414
2008-10-03,346,425
2008-10-04,389,389
2008-10-05,396,396
2008-10-06,394,403
2008-10-07,346,405
2008-10-08,373,383
2008-10-09,381,393
2008-10-10,336,408
2008-10-11,337,337
2008-10-12,342,344
2008-10-13,376,376
2008-10-14,395,402
2008-10-15,401,409
2008-10-16,409,414
2008-10-17,401,418
2008-10-18,334,425
2008-10-19,363,363
2008-10-20,402,406
2008-10-21,390,423
2008-10-22,390,398
2008-10-23,404,411
2008-10-24,353,427
2008-10-25,384,385
2008-10-26,398,398
2008-10-27,388,405
2008-10-28,366,408
2008-10-29,394,401
2008-10-30,390,396
2008-10-31,352,422
2008-11-01,363,363
2008-11-02,371,371
2008-11-03,375,380
2008-11-04,369,409
2008-11-05,382,387
2008-11-06,395,401
2008-11-07,347,432
2008-11-08,384,385
2008-11-09,406,407
2008-11-10,401,407
2008-11-11,403,403
2008-11-12,373,430
2008-11-13,379,387
2008-11-14,348,399
2008-11-15,370,370
2008-11-16,385,385
2008-11-17,386,393
2008-11-18,339,388
2008-11-19,363,371
2008-11-20,382,396
2008-11-21,326,411
2008-11-22,361,361
2008-11-23,399,400
2008-11-24,399,407
2008-11-25,370,425
2008-11-26,371,383
2008-11-27,384,384
2008-11-28,325,397
2008-11-29,360,360
2008-11-30,386,386
2008-12-01,388,395
2008-12-02,373,407
2008-12-03,390,399
2008-12-04,382,398
2008-12-05,337,394
2008-12-06,343,343
2008-12-07,357,357
2008-12-08,357,364
2008-12-09,345,396
2008-12-10,380,386
2008-12-11,381,384
2008-12-12,331,399
2008-12-13,358,358
2008-12-14,373,373
2008-12-15,379,383
2008-12-16,376,424
2008-12-17,391,397
2008-12-18,386,398
2008-12-19,341,407
2008-12-20,361,366
2008-12-21,375,375
2008-12-22,400,409
2008-12-23,382,417
2008-12-24,404,411
2008-12-25,404,404
2008-12-26,371,407
2008-12-27,400,400
2008-12-28,408,408
2008-12-29,404,411
2008-12-30,382,418
2008-12-31,389,394
2009-01-01,388,389
2009-01-02,366,414
2009-01-03,393,393
2009-01-04,402,402
2009-01-05,406,408
2009-01-06,391,419
2009-01-07,409,410
2009-01-08,396,410
2009-01-09,351,412
2009-01-10,388,389
2009-01-11,395,395
2009-01-12,413,417
2009-01-13,371,413
2009-01-14,406,414
2009-01-15,412,417
2009-01-16,382,465
2009-01-17,387,387
2009-01-18,392,392
2009-01-19,404,404
2009-01-20,395,442
2009-01-21,397,405
2009-01-22,391,400
2009-01-23,333,406
2009-01-24,348,348
2009-01-25,354,355
2009-01-26,371,378
2009-01-27,357,419
2009-01-28,385,393
2009-01-29,390,397
2009-01-30,337,409
2009-01-31,368,368
2009-02-01,374,374
2009-02-02,374,380
2009-02-03,365,419
2009-02-04,401,404
2009-02-05,406,415
2009-02-06,348,416
2009-02-07,371,372
2009-02-08,392,392
2009-02-09,383,396
2009-02-10,360,407
2009-02-11,381,386
2009-02-12,396,401
2009-02-13,339,408
2009-02-14,364,364
2009-02-15,376,376
2009-02-16,394,395
2009-02-17,386,425
2009-02-18,389,404
2009-02-19,395,404
2009-02-20,348,424
2009-02-21,367,367
2009-02-22,393,393
2009-02-23,394,403
2009-02-24,401,433
2009-02-25,392,406
2009-02-26,386,401
2009-02-27,350,404
2009-02-28,367,368
2009-03-01,392,392
2009-03-02,390,400
2009-03-03,359,401
2009-03-04,379,389
2009-03-05,387,393
2009-03-06,365,423
2009-03-07,380,381
2009-03-08,394,395
2009-03-09,389,401
2009-03-10,366,409
2009-03-11,365,375
2009-03-12,370,374
2009-03-13,351,406
2009-03-14,369,369
2009-03-15,384,385
2009-03-16,377,387
2009-03-17,370,426
2009-03-18,373,380
2009-03-19,369,375
2009-03-20,330,407
2009-03-21,345,345
2009-03-22,351,351
2009-03-23,364,369
2009-03-24,370,409
2009-03-25,379,387
2009-03-26,376,382
2009-03-27,352,387
2009-03-28,370,370
2009-03-29,381,381
2009-03-30,387,391
2009-03-31,376,410
2009-04-01,385,392
2009-04-02,384,389
2009-04-03,350,415
2009-04-04,364,364
2009-04-05,373,373
2009-04-06,366,378
2009-04-07,346,388
2009-04-08,391,395
2009-04-09,391,397
2009-04-10,360,412
2009-04-11,374,375
2009-04-12,388,388
2009-04-13,381,395
2009-04-14,358,416
2009-04-15,373,381
2009-04-16,400,405
2009-04-17,350,411
2009-04-18,356,356
2009-04-19,379,386
2009-04-20,387,395
2009-04-21,389,421
2009-04-22,398,404
2009-04-23,397,408
2009-04-24,368,403
2009-04-25,370,370
2009-04-26,385,385
2009-04-27,378,390
2009-04-28,360,397
2009-04-29,388,390
2009-04-30,386,392
2009-05-01,374,422
2009-05-02,339,374
2009-05-03,358,358
2009-05-04,359,368
2009-05-05,361,413
2009-05-06,373,378
2009-05-07,385,398
2009-05-08,320,391
2009-05-09,359,360
2009-05-10,392,392
2009-05-11,390,396
2009-05-12,358,405
2009-05-13,390,393
2009-05-14,396,404
2009-05-15,345,400
2009-05-16,369,369
2009-05-17,391,391
2009-05-18,392,399
2009-05-19,373,426
2009-05-20,393,397
2009-05-21,393,398
2009-05-22,359,432
2009-05-23,387,387
2009-05-24,388,388
2009-05-25,397,398
2009-05-26,394,428
2009-05-27,394,401
2009-05-28,397,400
2009-05-29,352,399
2009-05-30,364,364
2009-05-31,382,382
2009-06-01,393,397
2009-06-02,357,407
2009-06-03,387,391
2009-06-04,383,391
2009-06-05,333,391
2009-06-06,337,337
2009-06-07,354,354
2009-06-08,345,354
2009-06-09,354,385
2009-06-10,369,374
2009-06-11,372,379
2009-06-12,326,381
2009-06-13,355,356
2009-06-14,386,386
2009-06-15,402,405
2009-06-16,386,415
2009-06-17,388,394
2009-06-18,403,407
2009-06-19,349,409
2009-06-20,372,372
2009-06-21,390,390
2009-06-22,396,398
2009-06-23,359,408
2009-06-24,381,389
2009-06-25,386,393
2009-06-26,343,409
2009-06-27,349,349
2009-06-28,388,388
2009-06-29,384,392
2009-06-30,368,403
2009-07-01,394,398
2009-07-02,390,398
2009-07-03,335,391
2009-07-04,353,353
2009-07-05,394,394
2009-07-06,390,403
2009-07-07,383,407
2009-07-08,397,405
2009-07-09,396,410
2009-07-10,354,399
2009-07-11,382,382
2009-07-12,391,392
2009-07-13,387,395
2009-07-14,364,406
2009-07-15,395,404
2009-07-16,391,397
2009-07-17,340,394
2009-07-18,372,374
2009-07-19,392,393
2009-07-20,391,395
2009-07-21,381,430
2009-07-22,392,393
2009-07-23,394,403
