Date,Midnight population,24-hour population
2008-10-01,119,134
2008-10-02,117,121
2008-10-03,117,121
2008-10-04,117,117
2008-10-05,117,117
2008-10-06,120,123
2008-10-07,127,136
2008-10-08,134,135
2008-10-09,140,141
2008-10-10,139,142
2008-10-11,141,141
2008-10-12,141,142
2008-10-13,141,141
2008-10-14,146,147
2008-10-15,151,151
2008-10-16,128,151
2008-10-17,127,128
2008-10-18,127,127
2008-10-19,127,127
2008-10-20,131,132
2008-10-21,128,136
2008-10-22,114,129
2008-10-23,114,115
2008-10-24,119,119
2008-10-25,119,119
2008-10-26,119,119
2008-10-27,121,122
2008-10-28,125,125
2008-10-29,122,135
2008-10-30,141,141
2008-10-31,138,142
2008-11-01,138,138
2008-11-02,138,138
2008-11-03,140,140
2008-11-04,145,147
2008-11-05,144,161
2008-11-06,147,151
2008-11-07,150,155
2008-11-08,150,150
2008-11-09,150,150
2008-11-10,155,159
2008-11-11,155,155
2008-11-12,154,167
2008-11-13,152,156
2008-11-14,155,155
2008-11-15,155,155
2008-11-16,155,155
2008-11-17,151,160
2008-11-18,153,154
2008-11-19,137,157
2008-11-20,137,143
2008-11-21,135,138
2008-11-22,135,135
2008-11-23,135,135
2008-11-24,141,141
2008-11-25,143,146
2008-11-26,145,153
2008-11-27,145,145
2008-11-28,145,146
2008-11-29,145,145
2008-11-30,145,145
2008-12-01,154,154
2008-12-02,163,165
2008-12-03,154,167
2008-12-04,157,159
2008-12-05,158,159
2008-12-06,158,158
2008-12-07,158,158
2008-12-08,157,160
2008-12-09,159,159
2008-12-10,156,165
2008-12-11,157,161
2008-12-12,159,162
2008-12-13,159,159
2008-12-14,159,159
2008-12-15,157,160
2008-12-16,159,160
2008-12-17,148,167
2008-12-18,151,153
2008-12-19,155,157
2008-12-20,155,155
2008-12-21,155,155
2008-12-22,156,159
2008-12-23,149,161
2008-12-24,134,154
2008-12-25,134,134
2008-12-26,134,134
2008-12-27,134,134
2008-12-28,134,134
2008-12-29,137,139
2008-12-30,145,145
2008-12-31,137,146
2009-01-01,137,137
2009-01-02,140,141
2009-01-03,140,140
2009-01-04,140,140
2009-01-05,138,142
2009-01-06,135,142
2009-01-07,136,138
2009-01-08,137,138
2009-01-09,139,140
2009-01-10,139,139
2009-01-11,139,139
2009-01-12,139,140
2009-01-13,139,141
2009-01-14,123,143
2009-01-15,122,123
2009-01-16,117,125
2009-01-17,117,117
2009-01-18,117,117
2009-01-19,117,117
2009-01-20,107,128
2009-01-21,107,122
2009-01-22,108,112
2009-01-23,107,111
2009-01-24,107,107
2009-01-25,107,107
2009-01-26,109,109
2009-01-27,112,115
2009-01-28,100,116
2009-01-29,104,105
2009-01-30,94,114
2009-01-31,94,94
2009-02-01,94,94
2009-02-02,99,100
2009-02-03,100,101
2009-02-04,104,104
2009-02-05,83,111
2009-02-06,87,88
2009-02-07,87,87
2009-02-08,87,87
2009-02-09,88,91
2009-02-10,93,94
2009-02-11,86,95
2009-02-12,89,89
2009-02-13,91,91
2009-02-14,91,91
2009-02-15,91,91
2009-02-16,91,91
2009-02-17,93,94
2009-02-18,94,101
2009-02-19,97,99
2009-02-20,101,103
2009-02-21,101,101
2009-02-22,101,101
2009-02-23,102,105
2009-02-24,113,114
2009-02-25,101,123
2009-02-26,99,103
2009-02-27,101,102
2009-02-28,101,101
2009-03-01,101,101
2009-03-02,109,109
2009-03-03,112,113
2009-03-04,105,115
2009-03-05,110,111
2009-03-06,115,115
2009-03-07,115,115
2009-03-08,115,115
2009-03-09,126,126
2009-03-10,135,136
2009-03-11,123,139
2009-03-12,127,128
2009-03-13,126,129
2009-03-14,126,126
2009-03-15,126,126
2009-03-16,129,129
2009-03-17,134,134
2009-03-18,120,140
2009-03-19,124,125
2009-03-20,127,129
2009-03-21,127,127
2009-03-22,127,127
2009-03-23,127,129
2009-03-24,125,127
2009-03-25,113,129
2009-03-26,102,122
2009-03-27,102,104
2009-03-28,102,102
2009-03-29,102,102
2009-03-30,105,107
2009-03-31,106,109
2009-04-01,96,108
2009-04-02,102,102
2009-04-03,104,108
2009-04-04,104,104
2009-04-05,104,104
2009-04-06,108,109
2009-04-07,112,112
2009-04-08,99,114
2009-04-09,86,99
2009-04-10,88,88
2009-04-11,88,88
2009-04-12,88,88
2009-04-13,100,100
2009-04-14,108,108
2009-04-15,100,116
2009-04-16,102,102
2009-04-17,103,105
2009-04-18,103,103
2009-04-19,103,103
2009-04-20,103,104
2009-04-21,107,108
2009-04-22,104,118
2009-04-23,124,124
2009-04-24,108,125
2009-04-25,108,108
2009-04-26,108,108
2009-04-27,112,113
2009-04-28,107,113
2009-04-29,85,109
2009-04-30,86,90
2009-05-01,87,88
2009-05-02,87,87
2009-05-03,87,87
2009-05-04,88,89
2009-05-05,93,93
2009-05-06,83,95
2009-05-07,91,92
2009-05-08,95,96
2009-05-09,95,95
2009-05-10,95,95
2009-05-11,101,101
2009-05-12,110,110
2009-05-13,148,150
2009-05-14,116,160
2009-05-15,106,120
2009-05-16,106,106
2009-05-17,106,106
2009-05-18,110,110
2009-05-19,113,115
2009-05-20,103,116
2009-05-21,101,103
2009-05-22,105,107
2009-05-23,105,105
2009-05-24,105,105
2009-05-25,105,105
2009-05-26,106,107
2009-05-27,84,106
2009-05-28,91,91
2009-05-29,82,93
2009-05-30,82,82
2009-05-31,82,82
2009-06-01,86,88
2009-06-02,99,103
2009-06-03,90,101
2009-06-04,104,105
2009-06-05,111,111
2009-06-06,111,111
2009-06-07,111,111
2009-06-08,113,116
2009-06-09,116,118
2009-06-10,110,121
2009-06-11,108,113
2009-06-12,109,119
2009-06-13,109,109
2009-06-14,109,109
2009-06-15,117,119
2009-06-16,124,124
2009-06-17,122,130
2009-06-18,122,125
2009-06-19,117,126
2009-06-20,117,117
2009-06-21,117,117
2009-06-22,126,132
2009-06-23,131,134
2009-06-24,126,140
2009-06-25,131,132
2009-06-26,129,131
2009-06-27,129,129
2009-06-28,129,129
2009-06-29,132,133
2009-06-30,130,133
2009-07-01,103,134
2009-07-02,103,103
2009-07-03,103,103
2009-07-04,103,103
2009-07-05,103,103
2009-07-06,109,111
2009-07-07,111,111
2009-07-08,104,117
2009-07-09,105,108
2009-07-10,107,109
2009-07-11,107,107
2009-07-12,107,107
2009-07-13,111,114
2009-07-14,114,114
2009-07-15,102,122
2009-07-16,103,103
2009-07-17,107,108
2009-07-18,107,107
2009-07-19,107,107
2009-07-20,109,110
2009-07-21,114,116
2009-07-22,105,118
2009-07-23,104,106
2009-07-24,108,109
2009-07-25,108,108
2009-07-26,110,110
2009-07-27,113,113
2009-07-28,113,114
2009-07-29,101,116
2009-07-30,105,108
2009-07-31,107,111
2009-08-01,107,107
2009-08-02,107,107
2009-08-03,119,119
2009-08-04,123,123
2009-08-05,99,126
2009-08-06,105,105
2009-08-07,106,109
2009-08-08,106,106
2009-08-09,106,106
2009-08-10,109,110
2009-08-11,109,112
2009-08-12,97,113
2009-08-13,100,102
2009-08-14,99,100
2009-08-15,99,99
2009-08-16,99,99
2009-08-17,104,107
2009-08-18,107,107
2009-08-19,90,108
2009-08-20,96,96
2009-08-21,99,99
2009-08-22,99,99
2009-08-23,101,101
2009-08-24,105,107
2009-08-25,106,107
2009-08-26,102,111
2009-08-27,99,102
2009-08-28,79,101
2009-08-29,79,79
2009-08-30,80,80
2009-08-31,82,83
2009-09-01,86,87
2009-09-02,74,90
2009-09-03,75,76
2009-09-04,74,80
2009-09-05,74,74
2009-09-06,74,74
2009-09-07,74,74
2009-09-08,78,79
2009-09-09,64,84
2009-09-10,70,70
2009-09-11,68,71
2009-09-12,68,68
2009-09-13,68,68
2009-09-14,70,72
2009-09-15,72,74
2009-09-16,63,75
2009-09-17,69,70
2009-09-18,70,71
2009-09-19,70,70
2009-09-20,71,71
2009-09-21,74,75
2009-09-22,76,76
2009-09-23,70,77
2009-09-24,69,70
2009-09-25,68,70
2009-09-26,68,68
2009-09-27,68,68
2009-09-28,69,72
2009-09-29,70,70
2009-09-30,57,71
2009-10-01,58,59
2009-10-02,61,61
2009-10-03,61,61
2009-10-04,61,61
2009-10-05,60,62
2009-10-06,63,64
2009-10-07,55,63
2009-10-08,56,57
2009-10-09,55,57
2009-10-10,55,55
2009-10-11,55,55
2009-10-12,55,55
2009-10-13,62,62
2009-10-14,56,62
2009-10-15,58,59
2009-10-16,56,59
2009-10-17,56,56
2009-10-18,56,56
2009-10-19,57,58
2009-10-20,56,57
2009-10-21,55,58
2009-10-22,56,56
2009-10-23,57,58
2009-10-24,57,57
2009-10-25,57,57
2009-10-26,60,60
2009-10-27,61,62
2009-10-28,62,74
2009-10-29,69,69
2009-10-30,71,75
2009-10-31,71,71
2009-11-01,71,71
2009-11-02,77,80
2009-11-03,77,81
2009-11-04,72,80
2009-11-05,73,77
2009-11-06,75,76
2009-11-07,75,75
2009-11-08,75,75
2009-11-09,75,76
2009-11-10,78,80
2009-11-11,78,78
2009-11-12,68,92
2009-11-13,69,73
2009-11-14,69,69
2009-11-15,69,69
2009-11-16,77,78
2009-11-17,83,84
2009-11-18,76,84
2009-11-19,76,77
2009-11-20,77,81
2009-11-21,77,77
2009-11-22,77,77
2009-11-23,85,87
2009-11-24,85,89
2009-11-25,80,91
2009-11-26,80,80
2009-11-27,82,82
2009-11-28,83,83
2009-11-29,83,83
2009-11-30,89,92
2009-12-01,92,95
2009-12-02,82,93
2009-12-03,83,83
2009-12-04,90,90
2009-12-05,90,90
2009-12-06,90,90
2009-12-07,90,93
2009-12-08,91,91
2009-12-09,91,91
2009-12-10,79,97
2009-12-11,79,83
2009-12-12,79,79
2009-12-13,79,79
2009-12-14,84,84
2009-12-15,84,86
2009-12-16,78,90
2009-12-17,85,85
2009-12-18,84,87
2009-12-19,84,84
2009-12-20,84,84
2009-12-21,87,90
2009-12-22,91,93
2009-12-23,108,113
2009-12-24,108,108
2009-12-25,108,108
2009-12-26,108,108
2009-12-27,108,108
2009-12-28,114,116
2009-12-29,115,116
2009-12-30,92,118
2009-12-31,95,96
2010-01-01,95,95
2010-01-02,95,95
2010-01-03,95,95
2010-01-04,97,100
2010-01-05,109,109
2010-01-06,113,113
2010-01-07,114,115
2010-01-08,120,120
2010-01-09,120,120
2010-01-10,120,120
2010-01-11,125,125
2010-01-12,127,127
2010-01-13,103,129
2010-01-14,108,108
2010-01-15,95,114
2010-01-16,95,95
2010-01-17,96,96
2010-01-18,96,96
2010-01-19,102,103
2010-01-20,107,109
2010-01-21,106,113
2010-01-22,107,109
2010-01-23,107,107
2010-01-24,107,107
2010-01-25,114,116
2010-01-26,119,119
2010-01-27,108,125
2010-01-28,113,114
2010-01-29,112,116
2010-01-30,112,112
2010-01-31,112,112
2010-02-01,116,119
2010-02-02,124,125
2010-02-03,119,133
2010-02-04,128,131
2010-02-05,131,134
2010-02-06,132,132
2010-02-07,132,132
2010-02-08,133,136
2010-02-09,137,138
2010-02-10,119,139
2010-02-11,119,122
2010-02-12,119,121
2010-02-13,119,119
2010-02-14,119,119
2010-02-15,119,119
2010-02-16,121,122
2010-02-17,115,129
2010-02-18,122,124
2010-02-19,124,126
2010-02-20,124,124
2010-02-21,124,124
2010-02-22,132,133
2010-02-23,137,140
2010-02-24,122,140
2010-02-25,127,129
2010-02-26,130,132
2010-02-27,130,130
2010-02-28,130,130
2010-03-01,136,136
2010-03-02,144,149
2010-03-03,126,153
2010-03-04,131,133
2010-03-05,136,136
2010-03-06,136,136
2010-03-07,136,136
2010-03-08,144,146
2010-03-09,148,154
2010-03-10,133,150
2010-03-11,139,139
2010-03-12,148,151
2010-03-13,148,148
2010-03-14,148,148
2010-03-15,161,161
2010-03-16,161,166
2010-03-17,143,168
2010-03-18,141,153
2010-03-19,141,143
2010-03-20,141,141
2010-03-21,141,141
2010-03-22,140,144
2010-03-23,136,142
2010-03-24,110,140
2010-03-25,110,110
2010-03-26,109,115
2010-03-27,111,111
2010-03-28,111,111
2010-03-29,120,120
2010-03-30,123,123
2010-03-31,120,131
2010-04-01,135,136
2010-04-02,145,147
2010-04-03,145,145
2010-04-04,145,145
2010-04-05,138,149
2010-04-06,132,138
2010-04-07,95,132
2010-04-08,103,105
2010-04-09,105,105
2010-04-10,105,105
2010-04-11,105,105
2010-04-12,104,105
2010-04-13,103,108
2010-04-14,91,104
2010-04-15,87,92
2010-04-16,94,94
2010-04-17,94,94
2010-04-18,94,94
2010-04-19,95,96
2010-04-20,101,102
2010-04-21,119,122
2010-04-22,120,121
2010-04-23,118,122
2010-04-24,118,118
2010-04-25,118,118
2010-04-26,120,121
2010-04-27,121,124
2010-04-28,101,126
2010-04-29,104,104
2010-04-30,103,105
2010-05-01,103,103
2010-05-02,103,103
2010-05-03,105,105
2010-05-04,104,106
2010-05-05,91,107
2010-05-06,96,97
2010-05-07,96,100
2010-05-08,97,97
2010-05-09,97,97
2010-05-10,105,107
2010-05-11,104,108
2010-05-12,91,109
2010-05-13,97,98
2010-05-14,96,98
2010-05-15,96,96
2010-05-16,96,96
2010-05-17,101,101
2010-05-18,104,105
2010-05-19,99,111
2010-05-20,102,103
2010-05-21,100,103
2010-05-22,100,100
2010-05-23,100,100
2010-05-24,101,103
2010-05-25,104,107
2010-05-26,92,106
2010-05-27,91,96
2010-05-28,91,95
2010-05-29,91,91
2010-05-30,91,91
2010-05-31,91,91
2010-06-01,102,102
2010-06-02,103,110
2010-06-03,108,108
2010-06-04,108,108
2010-06-05,108,108
2010-06-06,108,108
2010-06-07,107,109
2010-06-08,113,113
2010-06-09,108,117
2010-06-10,115,116
2010-06-11,115,117
2010-06-12,115,115
2010-06-13,115,115
2010-06-14,119,121
2010-06-15,122,125
2010-06-16,111,125
2010-06-17,113,114
2010-06-18,117,119
2010-06-19,117,117
2010-06-20,117,117
2010-06-21,121,122
2010-06-22,123,129
2010-06-23,111,127
2010-06-24,115,115
2010-06-25,120,120
2010-06-26,120,120
2010-06-27,120,120
2010-06-28,127,128
2010-06-29,138,139
2010-06-30,124,139
2010-07-01,122,129
2010-07-02,126,130
2010-07-03,127,127
2010-07-04,127,127
2010-07-05,127,127
2010-07-06,134,135
2010-07-07,122,137
2010-07-08,123,123
2010-07-09,125,125
2010-07-10,125,125
2010-07-11,125,125
2010-07-12,126,130
2010-07-13,126,130
2010-07-14,104,128
2010-07-15,106,109
2010-07-16,106,107
2010-07-17,106,106
2010-07-18,106,106
2010-07-19,110,112
2010-07-20,113,113
2010-07-21,113,118
2010-07-22,119,120
2010-07-23,118,119
2010-07-24,118,118
2010-07-25,118,118
2010-07-26,118,125
2010-07-27,115,119
2010-07-28,109,119
2010-07-29,115,115
2010-07-30,111,116
2010-07-31,111,111
2010-08-01,112,112
2010-08-02,126,126
2010-08-03,131,132
2010-08-04,122,139
2010-08-05,127,130
2010-08-06,129,130
2010-08-07,130,130
2010-08-08,135,135
2010-08-09,142,142
2010-08-10,146,146
2010-08-11,137,146
2010-08-12,144,146
2010-08-13,146,148
2010-08-14,146,146
2010-08-15,146,146
2010-08-16,152,152
2010-08-17,152,153
2010-08-18,139,158
2010-08-19,144,146
2010-08-20,146,147
2010-08-21,146,146
2010-08-22,146,146
2010-08-23,150,150
2010-08-24,148,156
2010-08-25,130,153
2010-08-26,129,135
2010-08-27,127,132
2010-08-28,127,127
2010-08-29,127,127
2010-08-30,135,137
2010-08-31,137,139
2010-09-01,130,145
2010-09-02,136,138
2010-09-03,136,138
2010-09-04,136,136
2010-09-05,136,136
2010-09-06,136,136
2010-09-07,148,149
2010-09-08,131,153
2010-09-09,136,138
2010-09-10,113,137
2010-09-11,113,113
2010-09-12,113,113
2010-09-13,112,115
2010-09-14,115,116
2010-09-15,113,122
2010-09-16,116,117
2010-09-17,120,121
2010-09-18,120,120
2010-09-19,120,120
2010-09-20,119,121
2010-09-21,126,127
2010-09-22,127,134
2010-09-23,124,129
2010-09-24,121,126
2010-09-25,121,121
2010-09-26,121,121
2010-09-27,124,127
2010-09-28,127,127
2010-09-29,121,130
2010-09-30,119,121
2010-10-01,117,122
2010-10-02,117,117
2010-10-03,117,117
2010-10-04,118,125
2010-10-05,126,132
2010-10-06,120,134
2010-10-07,122,123
2010-10-08,122,125
2010-10-09,122,122
2010-10-10,122,122
2010-10-11,121,122
2010-10-12,127,127
2010-10-13,118,130
2010-10-14,124,126
2010-10-15,123,125
2010-10-16,123,123
2010-10-17,127,127
2010-10-18,138,141
2010-10-19,139,140
2010-10-20,132,143
2010-10-21,141,141
2010-10-22,142,144
2010-10-23,142,142
2010-10-24,142,142
2010-10-25,139,146
2010-10-26,136,141
2010-10-27,115,140
2010-10-28,117,118
2010-10-29,114,119
2010-10-30,114,114
2010-10-31,114,114
2010-11-01,126,127
2010-11-02,133,134
2010-11-03,123,135
2010-11-04,126,127
2010-11-05,126,128
2010-11-06,126,126
2010-11-07,126,126
2010-11-08,132,132
2010-11-09,130,137
2010-11-10,118,134
2010-11-11,118,118
2010-11-12,118,118
2010-11-13,118,118
2010-11-14,118,118
2010-11-15,122,122
2010-11-16,131,133
2010-11-17,126,140
2010-11-18,127,130
2010-11-19,120,127
2010-11-20,120,120
2010-11-21,120,120
2010-11-22,127,129
2010-11-23,132,134
2010-11-24,127,143
2010-11-25,127,127
2010-11-26,127,128
2010-11-27,127,127
2010-11-28,127,127
2010-11-29,130,132
2010-11-30,140,142
2010-12-01,122,141
2010-12-02,128,131
2010-12-03,129,130
2010-12-04,129,129
2010-12-05,129,129
2010-12-06,134,136
2010-12-07,138,138
2010-12-08,138,141
2010-12-09,138,139
2010-12-10,137,139
2010-12-11,137,137
2010-12-12,137,137
2010-12-13,138,142
2010-12-14,141,141
2010-12-15,123,144
2010-12-16,128,131
2010-12-17,130,132
2010-12-18,130,130
2010-12-19,130,130
2010-12-20,136,139
2010-12-21,142,143
2010-12-22,128,153
2010-12-23,133,136
2010-12-24,133,133
2010-12-25,133,133
2010-12-26,133,133
2010-12-27,136,140
2010-12-28,140,143
2010-12-29,130,142
2010-12-30,131,131
2010-12-31,131,131
2011-01-01,131,131
2011-01-02,130,131
2011-01-03,134,137
2011-01-04,137,138
2011-01-05,121,140
2011-01-06,134,136
2011-01-07,139,139
2011-01-08,139,139
2011-01-09,139,139
2011-01-10,143,143
2011-01-11,146,148
2011-01-12,138,148
2011-01-13,141,143
2011-01-14,147,148
2011-01-15,147,147
2011-01-16,147,147
2011-01-17,147,147
2011-01-18,151,151
2011-01-19,140,156
2011-01-20,146,147
2011-01-21,147,153
2011-01-22,146,147
2011-01-23,146,146
2011-01-24,145,150
2011-01-25,147,151
2011-01-26,143,157
2011-01-27,142,143
2011-01-28,147,147
2011-01-29,147,147
2011-01-30,147,147
2011-01-31,154,158
2011-02-01,159,159
2011-02-02,160,160
2011-02-03,160,166
2011-02-04,148,165
2011-02-05,148,148
2011-02-06,148,148
2011-02-07,155,155
2011-02-08,157,159
2011-02-09,142,158
2011-02-10,145,145
2011-02-11,145,147
2011-02-12,146,146
2011-02-13,146,146
2011-02-14,144,149
2011-02-15,144,145
2011-02-16,133,147
2011-02-17,134,135
2011-02-18,134,139
2011-02-19,134,134
2011-02-20,134,134
2011-02-21,134,134
2011-02-22,138,144
2011-02-23,128,149
2011-02-24,132,133
2011-02-25,138,144
2011-02-26,138,138
