Date,Midnight population,24-hour population
2008-10-01,0.0,0.0
2008-10-02,0.0,0.0
2008-10-03,0.0,0.0
2008-10-04,0.0,0.0
2008-10-05,0.0,0.0
2008-10-06,0.0,0.0
2008-10-07,0.0,0.0
2008-10-08,0.0,0.0
2008-10-09,0.0,0.0
2008-10-10,0.0,0.0
2008-10-11,0.0,0.0
2008-10-12,0.0,0.0
2008-10-13,0.0,0.0
2008-10-14,0.0,0.0
2008-10-15,0.0,0.0
2008-10-16,0.0,0.0
2008-10-17,0.0,0.0
2008-10-18,0.0,0.0
2008-10-19,0.0,0.0
2008-10-20,0.0,0.0
2008-10-21,0.0,0.0
2008-10-22,0.0,0.0
2008-10-23,0.0,0.0
2008-10-24,0.0,0.0
2008-10-25,0.0,0.0
2008-10-26,0.0,0.0
2008-10-27,0.0,0.0
2008-10-28,0.0,0.0
2008-10-29,0.0,0.0
2008-10-30,175.0,182.0
2008-10-31,175.0,183.0
2008-11-01,175.0,183.0
2008-11-02,174.0,182.0
2008-11-03,175.0,182.0
2008-11-04,176.0,184.0
2008-11-05,176.0,184.0
2008-11-06,177.0,184.0
2008-11-07,177.0,185.0
2008-11-08,176.0,184.0
2008-11-09,176.0,183.0
2008-11-10,175.0,183.0
2008-11-11,175.0,183.0
2008-11-12,175.0,183.0
2008-11-13,175.0,183.0
2008-11-14,174.0,183.0
2008-11-15,174.0,182.0
2008-11-16,174.0,182.0
2008-11-17,175.0,182.0
2008-11-18,175.0,183.0
2008-11-19,175.0,182.0
2008-11-20,175.0,183.0
2008-11-21,174.0,183.0
2008-11-22,174.0,182.0
2008-11-23,173.0,181.0
2008-11-24,173.0,181.0
2008-11-25,172.0,181.0
2008-11-26,171.0,180.0
2008-11-27,171.0,179.0
2008-11-28,171.0,179.0
2008-11-29,170.0,178.0
2008-11-30,170.0,177.0
2008-12-01,170.0,177.0
2008-12-02,169.0,177.0
2008-12-03,169.0,177.0
2008-12-04,169.0,176.0
2008-12-05,169.0,177.0
2008-12-06,168.0,176.0
2008-12-07,168.0,175.0
2008-12-08,169.0,176.0
2008-12-09,169.0,176.0
2008-12-10,168.0,177.0
2008-12-11,168.0,177.0
2008-12-12,167.0,176.0
2008-12-13,167.0,176.0
2008-12-14,167.0,175.0
2008-12-15,167.0,176.0
2008-12-16,167.0,176.0
2008-12-17,167.0,176.0
2008-12-18,167.0,176.0
2008-12-19,167.0,176.0
2008-12-20,167.0,176.0
2008-12-21,168.0,175.0
2008-12-22,169.0,176.0
2008-12-23,169.0,177.0
2008-12-24,169.0,178.0
2008-12-25,169.0,177.0
2008-12-26,169.0,177.0
2008-12-27,169.0,177.0
2008-12-28,169.0,177.0
2008-12-29,170.0,177.0
2008-12-30,170.0,178.0
2008-12-31,171.0,178.0
2009-01-01,171.0,179.0
2009-01-02,170.0,179.0
2009-01-03,169.0,178.0
2009-01-04,168.0,176.0
2009-01-05,168.0,175.0
2009-01-06,167.0,175.0
2009-01-07,166.0,174.0
2009-01-08,166.0,173.0
2009-01-09,165.0,173.0
2009-01-10,165.0,172.0
2009-01-11,165.0,171.0
2009-01-12,164.0,171.0
2009-01-13,164.0,171.0
2009-01-14,164.0,170.0
2009-01-15,164.0,170.0
2009-01-16,163.0,169.0
2009-01-17,162.0,168.0
2009-01-18,160.0,167.0
2009-01-19,159.0,165.0
2009-01-20,158.0,164.0
2009-01-21,156.0,163.0
2009-01-22,156.0,162.0
2009-01-23,155.0,161.0
2009-01-24,154.0,160.0
2009-01-25,153.0,159.0
2009-01-26,152.0,159.0
2009-01-27,151.0,158.0
2009-01-28,151.0,158.0
2009-01-29,150.0,157.0
2009-01-30,149.0,156.0
2009-01-31,148.0,155.0
2009-02-01,148.0,154.0
2009-02-02,147.0,154.0
