Date,Midnight population,24-hour population
2008-10-01,160,161
2008-10-02,177,180
2008-10-03,174,185
2008-10-04,157,174
2008-10-05,158,158
2008-10-06,167,175
2008-10-07,171,179
2008-10-08,175,181
2008-10-09,193,194
2008-10-10,176,196
2008-10-11,177,177
2008-10-12,177,177
2008-10-13,178,178
2008-10-14,180,183
2008-10-15,171,181
2008-10-16,166,175
2008-10-17,162,186
2008-10-18,156,171
2008-10-19,159,161
2008-10-20,178,179
2008-10-21,179,181
2008-10-22,184,194
2008-10-23,187,189
2008-10-24,179,193
2008-10-25,179,179
2008-10-26,179,179
2008-10-27,201,201
2008-10-28,190,209
2008-10-29,163,199
2008-10-30,183,184
2008-10-31,170,189
2008-11-01,170,170
2008-11-02,170,170
2008-11-03,183,187
2008-11-04,175,193
2008-11-05,178,186
2008-11-06,188,188
2008-11-07,171,194
2008-11-08,170,171
2008-11-09,171,171
2008-11-10,165,173
2008-11-11,167,167
2008-11-12,176,179
2008-11-13,168,186
2008-11-14,156,180
2008-11-15,161,161
2008-11-16,162,162
2008-11-17,176,176
2008-11-18,172,188
2008-11-19,174,176
2008-11-20,182,189
2008-11-21,165,196
2008-11-22,163,165
2008-11-23,163,163
2008-11-24,173,174
2008-11-25,167,184
2008-11-26,171,177
2008-11-27,171,171
2008-11-28,164,186
2008-11-29,164,164
2008-11-30,164,164
2008-12-01,158,175
2008-12-02,157,163
2008-12-03,175,175
2008-12-04,181,185
2008-12-05,173,195
2008-12-06,173,173
2008-12-07,173,173
2008-12-08,177,187
2008-12-09,165,188
2008-12-10,160,175
2008-12-11,156,170
2008-12-12,145,166
2008-12-13,164,164
2008-12-14,164,164
2008-12-15,146,180
2008-12-16,160,163
2008-12-17,180,181
2008-12-18,183,189
2008-12-19,182,184
2008-12-20,183,183
2008-12-21,183,183
2008-12-22,185,192
2008-12-23,167,194
2008-12-24,172,180
2008-12-25,172,172
2008-12-26,172,172
2008-12-27,172,172
2008-12-28,172,172
2008-12-29,176,180
2008-12-30,182,184
2008-12-31,169,191
2009-01-01,169,169
2009-01-02,151,179
2009-01-03,151,151
2009-01-04,151,151
2009-01-05,146,152
2009-01-06,141,152
2009-01-07,148,157
2009-01-08,164,164
2009-01-09,144,168
2009-01-10,146,146
2009-01-11,146,146
2009-01-12,155,161
2009-01-13,150,160
2009-01-14,154,154
2009-01-15,154,157
2009-01-16,146,164
2009-01-17,146,146
2009-01-18,146,146
2009-01-19,147,147
2009-01-20,144,149
2009-01-21,139,153
2009-01-22,148,165
2009-01-23,140,159
2009-01-24,140,140
2009-01-25,142,142
2009-01-26,157,164
2009-01-27,148,158
2009-01-28,155,157
2009-01-29,157,157
2009-01-30,139,158
2009-01-31,142,142
2009-02-01,142,142
2009-02-02,139,160
2009-02-03,130,143
2009-02-04,141,145
2009-02-05,154,156
2009-02-06,146,163
2009-02-07,145,146
2009-02-08,147,147
2009-02-09,157,161
2009-02-10,141,165
2009-02-11,151,152
2009-02-12,158,159
2009-02-13,144,160
2009-02-14,144,144
2009-02-15,144,144
2009-02-16,152,152
2009-02-17,138,157
2009-02-18,141,151
2009-02-19,152,158
2009-02-20,141,171
2009-02-21,146,146
2009-02-22,152,152
2009-02-23,148,163
2009-02-24,139,154
2009-02-25,145,146
2009-02-26,148,157
2009-02-27,142,155
2009-02-28,130,142
2009-03-01,130,130
2009-03-02,134,143
2009-03-03,125,144
2009-03-04,132,134
2009-03-05,143,149
2009-03-06,136,151
2009-03-07,136,136
2009-03-08,140,140
2009-03-09,142,149
2009-03-10,145,167
2009-03-11,142,147
2009-03-12,158,168
2009-03-13,152,161
2009-03-14,155,155
2009-03-15,155,155
2009-03-16,158,162
2009-03-17,143,166
2009-03-18,158,160
2009-03-19,164,172
2009-03-20,151,169
2009-03-21,156,156
2009-03-22,156,156
2009-03-23,152,162
2009-03-24,147,167
2009-03-25,152,158
2009-03-26,155,162
2009-03-27,142,164
2009-03-28,142,142
2009-03-29,144,144
2009-03-30,156,159
2009-03-31,138,165
2009-04-01,142,148
2009-04-02,148,153
2009-04-03,128,153
2009-04-04,128,128
2009-04-05,130,130
2009-04-06,125,141
2009-04-07,115,131
2009-04-08,120,121
2009-04-09,129,142
2009-04-10,118,137
2009-04-11,120,120
2009-04-12,121,121
2009-04-13,118,126
2009-04-14,115,125
2009-04-15,123,130
2009-04-16,130,140
2009-04-17,111,135
2009-04-18,111,111
2009-04-19,114,114
2009-04-20,116,124
2009-04-21,102,123
2009-04-22,110,116
2009-04-23,114,118
2009-04-24,96,120
2009-04-25,104,104
2009-04-26,109,109
2009-04-27,121,126
2009-04-28,116,132
2009-04-29,123,131
2009-04-30,125,130
2009-05-01,102,132
2009-05-02,102,102
2009-05-03,102,102
2009-05-04,107,111
2009-05-05,105,113
2009-05-06,108,111
2009-05-07,115,123
2009-05-08,113,126
2009-05-09,114,114
2009-05-10,114,114
2009-05-11,115,122
2009-05-12,118,127
2009-05-13,122,128
2009-05-14,130,136
2009-05-15,107,134
2009-05-16,107,107
2009-05-17,109,109
2009-05-18,124,128
2009-05-19,120,136
2009-05-20,127,139
2009-05-21,153,157
2009-05-22,143,162
2009-05-23,142,143
2009-05-24,142,142
2009-05-25,142,142
2009-05-26,151,158
2009-05-27,152,163
2009-05-28,176,176
2009-05-29,156,179
2009-05-30,159,159
2009-05-31,159,159
2009-06-01,162,171
2009-06-02,162,179
2009-06-03,153,165
2009-06-04,176,179
2009-06-05,148,179
2009-06-06,148,148
2009-06-07,148,148
2009-06-08,154,156
2009-06-09,149,165
2009-06-10,138,152
2009-06-11,162,163
2009-06-12,145,171
2009-06-13,145,145
2009-06-14,147,147
2009-06-15,156,161
2009-06-16,155,168
2009-06-17,155,166
2009-06-18,149,162
2009-06-19,118,153
2009-06-20,118,118
2009-06-21,118,118
2009-06-22,131,135
2009-06-23,143,148
2009-06-24,154,159
2009-06-25,167,180
2009-06-26,157,177
2009-06-27,157,158
2009-06-28,157,157
2009-06-29,157,164
2009-06-30,157,168
2009-07-01,151,163
2009-07-02,147,175
2009-07-03,153,153
2009-07-04,153,153
2009-07-05,153,153
2009-07-06,147,163
2009-07-07,135,151
2009-07-08,137,149
2009-07-09,138,145
2009-07-10,121,146
2009-07-11,121,121
2009-07-12,122,122
2009-07-13,129,133
2009-07-14,122,140
2009-07-15,125,143
2009-07-16,132,137
2009-07-17,119,142
2009-07-18,124,124
2009-07-19,124,124
2009-07-20,122,132
2009-07-21,126,138
2009-07-22,139,149
2009-07-23,145,151
2009-07-24,119,146
2009-07-25,119,119
2009-07-26,120,120
2009-07-27,139,142
2009-07-28,134,158
2009-07-29,140,149
2009-07-30,150,151
2009-07-31,136,158
2009-08-01,136,136
2009-08-02,136,136
2009-08-03,141,146
2009-08-04,141,147
2009-08-05,138,150
2009-08-06,134,145
2009-08-07,124,146
2009-08-08,124,125
2009-08-09,124,124
2009-08-10,129,133
2009-08-11,136,137
2009-08-12,135,151
2009-08-13,137,144
2009-08-14,115,141
2009-08-15,116,116
2009-08-16,117,117
2009-08-17,120,124
2009-08-18,141,141
2009-08-19,137,146
2009-08-20,151,156
2009-08-21,122,157
2009-08-22,123,123
2009-08-23,123,123
2009-08-24,141,150
2009-08-25,133,148
2009-08-26,129,143
2009-08-27,139,145
2009-08-28,125,147
2009-08-29,125,125
2009-08-30,125,125
2009-08-31,133,139
2009-09-01,125,145
2009-09-02,126,132
2009-09-03,124,132
2009-09-04,117,141
2009-09-05,117,117
2009-09-06,120,120
2009-09-07,120,120
2009-09-08,116,130
2009-09-09,133,134
2009-09-10,131,145
2009-09-11,128,137
2009-09-12,128,128
2009-09-13,133,133
2009-09-14,151,158
2009-09-15,142,155
2009-09-16,146,148
2009-09-17,160,162
2009-09-18,143,164
2009-09-19,144,144
2009-09-20,151,151
2009-09-21,149,157
2009-09-22,143,156
2009-09-23,152,154
2009-09-24,159,170
2009-09-25,138,164
2009-09-26,142,142
2009-09-27,142,142
2009-09-28,142,148
2009-09-29,151,166
2009-09-30,140,156
2009-10-01,145,151
2009-10-02,130,149
2009-10-03,130,130
2009-10-04,134,134
2009-10-05,134,140
2009-10-06,134,146
2009-10-07,133,145
2009-10-08,134,142
2009-10-09,126,136
2009-10-10,126,126
2009-10-11,130,130
2009-10-12,130,130
2009-10-13,130,143
2009-10-14,135,139
2009-10-15,145,152
2009-10-16,131,157
2009-10-17,132,132
2009-10-18,132,132
2009-10-19,131,136
2009-10-20,132,144
2009-10-21,132,143
2009-10-22,147,149
2009-10-23,138,154
2009-10-24,144,144
2009-10-25,144,144
2009-10-26,144,150
2009-10-27,140,149
2009-10-28,148,151
2009-10-29,156,164
2009-10-30,147,164
2009-10-31,147,147
2009-11-01,151,151
2009-11-02,156,162
2009-11-03,154,166
2009-11-04,152,161
2009-11-05,158,161
2009-11-06,152,165
2009-11-07,153,153
2009-11-08,153,153
2009-11-09,158,166
2009-11-10,168,172
2009-11-11,162,170
2009-11-12,151,162
2009-11-13,146,163
2009-11-14,147,147
2009-11-15,149,149
2009-11-16,152,159
2009-11-17,129,161
2009-11-18,135,140
2009-11-19,137,142
2009-11-20,117,139
2009-11-21,120,120
2009-11-22,120,120
2009-11-23,132,137
2009-11-24,141,148
2009-11-25,150,156
2009-11-26,150,150
2009-11-27,129,152
2009-11-28,130,130
2009-11-29,131,131
2009-11-30,135,141
2009-12-01,127,148
2009-12-02,140,141
2009-12-03,145,152
2009-12-04,134,155
2009-12-05,134,134
2009-12-06,134,134
2009-12-07,150,159
2009-12-08,146,167
2009-12-09,144,146
