Date,Midnight population,24-hour population,N,N2
2008-10-01,-1.0,-1.0,1500,1456
2008-10-02,-1.0,-1.0,1506,1442
2008-10-03,-1.0,-1.0,1521,1461
2008-10-04,-1.0,-1.0,1492,1492
2008-10-05,-1.0,-1.0,1492,1492
2008-10-06,-1.0,-1.0,1511,1445
2008-10-07,-1.0,-1.0,1516,1433
2008-10-08,-1.0,-1.0,1480,1438
2008-10-09,-1.0,-1.0,1499,1454
2008-10-10,-1.0,-1.0,1493,1457
2008-10-11,-1.0,-1.0,1488,1488
2008-10-12,-1.0,-1.0,1488,1488
2008-10-13,-1.0,-1.0,1488,1488
2008-10-14,-1.0,-1.0,1493,1426
2008-10-15,-1.0,-1.0,1504,1451
2008-10-16,-1.0,-1.0,1503,1451
2008-10-17,-1.0,-1.0,1499,1463
2008-10-18,-1.0,-1.0,1494,1494
2008-10-19,-1.0,-1.0,1494,1494
2008-10-20,-1.0,-1.0,1495,1448
2008-10-21,-1.0,-1.0,1490,1438
2008-10-22,-1.0,-1.0,1490,1467
2008-10-23,-1.0,-1.0,1498,1456
2008-10-24,-1.0,-1.0,1489,1446
2008-10-25,-1.0,-1.0,1490,1489
2008-10-26,-1.0,-1.0,1489,1489
2008-10-27,-1.0,-1.0,1490,1453
2008-10-28,-1.0,-1.0,1502,1442
2008-10-29,-1.0,-1.0,1490,1447
2008-10-30,1461.0,1496.0,1491,1456
2008-10-31,1461.0,1495.0,1489,1446
2008-11-01,1463.0,1495.0,1489,1489
2008-11-02,1464.0,1494.0,1489,1489
2008-11-03,1462.0,1494.0,1489,1439
2008-11-04,1460.0,1494.0,1496,1438
2008-11-05,1460.0,1493.0,1498,1440
2008-11-06,1460.0,1493.0,1489,1439
2008-11-07,1460.0,1493.0,1480,1436
2008-11-08,1461.0,1492.0,1486,1486
2008-11-09,1462.0,1492.0,1486,1485
2008-11-10,1461.0,1492.0,1489,1459
2008-11-11,1459.0,1491.0,1459,1439
2008-11-12,1458.0,1491.0,1489,1443
2008-11-13,1459.0,1491.0,1497,1448
2008-11-14,1458.0,1491.0,1495,1441
2008-11-15,1460.0,1490.0,1493,1493
2008-11-16,1461.0,1490.0,1493,1493
2008-11-17,1460.0,1490.0,1494,1460
2008-11-18,1458.0,1490.0,1500,1437
2008-11-19,1457.0,1490.0,1495,1438
2008-11-20,1458.0,1491.0,1500,1448
2008-11-21,1458.0,1491.0,1494,1461
2008-11-22,1459.0,1491.0,1490,1490
2008-11-23,1460.0,1491.0,1490,1490
2008-11-24,1458.0,1491.0,1493,1435
2008-11-25,1457.0,1491.0,1507,1448
2008-11-26,1457.0,1491.0,1492,1458
2008-11-27,1459.0,1491.0,1491,1491
2008-11-28,1460.0,1491.0,1491,1487
2008-11-29,1461.0,1491.0,1492,1492
2008-11-30,1463.0,1491.0,1492,1492
2008-12-01,1461.0,1491.0,1494,1438
2008-12-02,1460.0,1492.0,1495,1467
2008-12-03,1460.0,1492.0,1502,1442
2008-12-04,1461.0,1492.0,1495,1451
2008-12-05,1461.0,1492.0,1484,1437
2008-12-06,1462.0,1491.0,1464,1463
2008-12-07,1462.0,1490.0,1463,1463
2008-12-08,1460.0,1489.0,1463,1411
2008-12-09,1458.0,1489.0,1471,1422
2008-12-10,1458.0,1489.0,1492,1454
2008-12-11,1458.0,1490.0,1493,1455
2008-12-12,1459.0,1490.0,1492,1458
2008-12-13,1460.0,1490.0,1491,1491
2008-12-14,1462.0,1490.0,1491,1491
2008-12-15,1461.0,1490.0,1493,1472
2008-12-16,1459.0,1490.0,1503,1424
2008-12-17,1458.0,1490.0,1480,1429
2008-12-18,1459.0,1490.0,1492,1463
2008-12-19,1460.0,1489.0,1494,1464
2008-12-20,1461.0,1489.0,1492,1492
2008-12-21,1462.0,1489.0,1492,1492
2008-12-22,1461.0,1490.0,1505,1453
2008-12-23,1459.0,1489.0,1476,1430
2008-12-24,1459.0,1488.0,1467,1452
2008-12-25,1461.0,1488.0,1484,1484
2008-12-26,1461.0,1487.0,1484,1484
2008-12-27,1461.0,1487.0,1484,1484
2008-12-28,1461.0,1487.0,1485,1485
2008-12-29,1459.0,1487.0,1487,1425
2008-12-30,1457.0,1486.0,1460,1427
2008-12-31,1456.0,1484.0,1448,1400
2009-01-01,1454.0,1482.0,1439,1424
2009-01-02,1454.0,1480.0,1445,1438
2009-01-03,1455.0,1480.0,1486,1486
2009-01-04,1457.0,1480.0,1486,1486
2009-01-05,1457.0,1481.0,1493,1467
2009-01-06,1457.0,1483.0,1520,1457
2009-01-07,1458.0,1485.0,1513,1461
2009-01-08,1461.0,1487.0,1545,1506
2009-01-09,1463.0,1489.0,1546,1512
2009-01-10,1466.0,1490.0,1534,1533
2009-01-11,1468.0,1492.0,1533,1532
2009-01-12,1468.0,1494.0,1551,1493
2009-01-13,1469.0,1496.0,1548,1502
2009-01-14,1470.0,1497.0,1546,1507
2009-01-15,1473.0,1499.0,1566,1512
2009-01-16,1475.0,1502.0,1548,1509
2009-01-17,1478.0,1504.0,1548,1548
2009-01-18,1481.0,1505.0,1548,1548
2009-01-19,1483.0,1507.0,1548,1548
2009-01-20,1483.0,1510.0,1562,1487
2009-01-21,1484.0,1511.0,1549,1492
2009-01-22,1487.0,1513.0,1548,1518
2009-01-23,1489.0,1516.0,1552,1520
2009-01-24,1491.0,1518.0,1543,1543
2009-01-25,1493.0,1520.0,1543,1543
2009-01-26,1494.0,1522.0,1554,1517
2009-01-27,1495.0,1525.0,1547,1511
2009-01-28,1498.0,1526.0,1545,1512
2009-01-29,1501.0,1530.0,1560,1520
2009-01-30,1505.0,1533.0,1542,1511
2009-01-31,1509.0,1536.0,1542,1542
2009-02-01,1512.0,1540.0,1542,1542
2009-02-02,1513.0,1542.0,1546,1514
2009-02-03,1514.0,1544.0,1572,1519
2009-02-04,1515.0,1547.0,1564,1488
2009-02-05,1517.0,1548.0,1558,1515
2009-02-06,1519.0,1550.0,1556,1515
2009-02-07,1520.0,1549.0,1540,1540
2009-02-08,1521.0,1549.0,1540,1540
2009-02-09,1520.0,1549.0,1542,1504
2009-02-10,1519.0,1550.0,1564,1511
2009-02-11,1520.0,1550.0,1546,1507
2009-02-12,1520.0,1551.0,1555,1517
2009-02-13,1520.0,1551.0,1546,1521
2009-02-14,1522.0,1550.0,1547,1545
2009-02-15,1523.0,1550.0,1545,1545
2009-02-16,1523.0,1550.0,1545,1545
2009-02-17,1521.0,1550.0,1549,1501
2009-02-18,1520.0,1550.0,1571,1510
2009-02-19,1520.0,1550.0,1549,1497
2009-02-20,1521.0,1550.0,1553,1515
2009-02-21,1522.0,1550.0,1544,1544
