Date,Midnight population,24-hour population
2008-10-01,68,68
2008-10-02,70,70
2008-10-03,71,75
2008-10-04,62,71
2008-10-05,62,62
2008-10-06,65,66
2008-10-07,76,76
2008-10-08,75,77
2008-10-09,84,84
2008-10-10,94,97
2008-10-11,94,94
2008-10-12,96,96
2008-10-13,96,96
2008-10-14,97,97
2008-10-15,103,105
2008-10-16,99,109
2008-10-17,105,105
2008-10-18,87,105
2008-10-19,67,87
2008-10-20,75,75
2008-10-21,77,77
2008-10-22,78,78
2008-10-23,84,85
2008-10-24,86,93
2008-10-25,73,90
2008-10-26,92,92
2008-10-27,93,93
2008-10-28,102,102
2008-10-29,84,106
2008-10-30,111,113
2008-10-31,109,121
2008-11-01,109,109
2008-11-02,109,109
2008-11-03,111,113
2008-11-04,116,117
2008-11-05,101,116
2008-11-06,108,109
2008-11-07,103,116
2008-11-08,88,103
2008-11-09,87,88
2008-11-10,96,97
2008-11-11,96,96
2008-11-12,86,97
2008-11-13,88,91
2008-11-14,106,106
2008-11-15,86,106
2008-11-16,86,86
2008-11-17,88,88
2008-11-18,90,102
2008-11-19,74,95
2008-11-20,94,95
2008-11-21,104,107
2008-11-22,93,104
2008-11-23,93,93
2008-11-24,122,125
2008-11-25,135,145
2008-11-26,134,136
2008-11-27,134,134
2008-11-28,123,138
2008-11-29,123,123
2008-11-30,123,123
2008-12-01,126,128
2008-12-02,115,127
2008-12-03,99,119
2008-12-04,105,108
2008-12-05,100,124
2008-12-06,100,100
2008-12-07,100,100
2008-12-08,116,116
2008-12-09,91,129
2008-12-10,81,103
2008-12-11,83,84
2008-12-12,77,89
2008-12-13,77,77
2008-12-14,78,78
2008-12-15,82,83
2008-12-16,84,88
2008-12-17,87,89
2008-12-18,95,95
2008-12-19,96,106
2008-12-20,76,96
2008-12-21,76,76
2008-12-22,78,79
2008-12-23,86,94
2008-12-24,105,107
2008-12-25,112,112
2008-12-26,127,127
2008-12-27,110,128
2008-12-28,111,111
2008-12-29,135,137
2008-12-30,138,152
2008-12-31,138,143
2009-01-01,138,138
2009-01-02,133,139
2009-01-03,134,135
2009-01-04,134,134
2009-01-05,137,137
2009-01-06,132,138
2009-01-07,145,145
2009-01-08,151,151
2009-01-09,141,155
2009-01-10,143,143
2009-01-11,143,143
2009-01-12,155,156
2009-01-13,152,169
2009-01-14,136,155
2009-01-15,141,146
2009-01-16,126,149
2009-01-17,126,126
2009-01-18,127,127
2009-01-19,127,127
2009-01-20,102,132
2009-01-21,116,120
2009-01-22,138,141
2009-01-23,131,146
2009-01-24,132,132
2009-01-25,132,132
2009-01-26,137,138
2009-01-27,140,159
2009-01-28,153,160
2009-01-29,172,180
2009-01-30,160,183
2009-01-31,147,160
2009-02-01,146,148
2009-02-02,147,151
2009-02-03,132,149
2009-02-04,112,135
2009-02-05,127,130
2009-02-06,113,135
2009-02-07,94,114
2009-02-08,93,94
2009-02-09,103,105
2009-02-10,121,142
2009-02-11,116,124
2009-02-12,131,136
2009-02-13,115,137
2009-02-14,106,115
2009-02-15,107,107
2009-02-16,108,108
2009-02-17,100,114
2009-02-18,122,129
2009-02-19,120,122
2009-02-20,96,127
2009-02-21,98,98
2009-02-22,91,98
2009-02-23,114,115
2009-02-24,85,117
2009-02-25,101,105
2009-02-26,132,133
2009-02-27,115,134
2009-02-28,126,126
2009-03-01,117,126
2009-03-02,137,137
