Date,Midnight population,24-hour population
2008-10-01,266,272
2008-10-02,263,276
2008-10-03,259,268
2008-10-04,258,265
2008-10-05,259,262
2008-10-06,252,266
2008-10-07,251,260
2008-10-08,258,266
2008-10-09,253,263
2008-10-10,248,266
2008-10-11,245,250
2008-10-12,245,248
2008-10-13,245,250
2008-10-14,252,268
2008-10-15,260,266
2008-10-16,262,270
2008-10-17,257,275
2008-10-18,254,262
2008-10-19,267,271
2008-10-20,261,278
2008-10-21,269,275
2008-10-22,272,281
2008-10-23,279,287
2008-10-24,280,290
2008-10-25,281,285
2008-10-26,282,287
2008-10-27,282,291
2008-10-28,283,295
2008-10-29,306,312
2008-10-30,302,311
2008-10-31,286,304
2008-11-01,294,296
2008-11-02,294,296
2008-11-03,287,300
2008-11-04,287,293
2008-11-05,291,296
2008-11-06,286,302
2008-11-07,274,290
2008-11-08,280,280
2008-11-09,279,284
2008-11-10,270,288
2008-11-11,266,277
2008-11-12,269,279
2008-11-13,259,273
2008-11-14,249,260
2008-11-15,253,256
2008-11-16,257,258
2008-11-17,259,272
2008-11-18,270,288
2008-11-19,276,286
2008-11-20,268,290
2008-11-21,261,278
2008-11-22,264,270
2008-11-23,261,265
2008-11-24,256,276
2008-11-25,258,270
2008-11-26,259,270
2008-11-27,259,261
2008-11-28,265,272
2008-11-29,264,268
2008-11-30,262,268
2008-12-01,256,273
2008-12-02,256,269
2008-12-03,253,271
2008-12-04,256,261
2008-12-05,255,263
2008-12-06,253,260
2008-12-07,255,257
2008-12-08,248,258
2008-12-09,248,263
2008-12-10,245,254
2008-12-11,249,257
2008-12-12,244,257
2008-12-13,245,250
2008-12-14,245,252
2008-12-15,242,255
2008-12-16,251,260
2008-12-17,255,266
2008-12-18,268,280
2008-12-19,271,276
2008-12-20,271,276
2008-12-21,270,278
2008-12-22,263,275
2008-12-23,263,273
2008-12-24,267,270
2008-12-25,267,269
2008-12-26,264,268
2008-12-27,265,267
2008-12-28,265,266
2008-12-29,268,273
2008-12-30,261,271
2008-12-31,256,266
2009-01-01,254,259
2009-01-02,249,255
2009-01-03,249,250
2009-01-04,250,250
2009-01-05,256,261
2009-01-06,263,268
2009-01-07,263,273
2009-01-08,268,276
2009-01-09,257,273
2009-01-10,254,261
2009-01-11,257,258
2009-01-12,261,271
2009-01-13,269,273
2009-01-14,266,276
2009-01-15,273,280
2009-01-16,269,278
2009-01-17,275,279
2009-01-18,277,280
2009-01-19,277,281
2009-01-20,269,286
2009-01-21,268,279
2009-01-22,274,287
2009-01-23,277,281
2009-01-24,281,282
2009-01-25,277,283
2009-01-26,269,282
2009-01-27,266,279
2009-01-28,259,271
2009-01-29,268,275
2009-01-30,270,280
2009-01-31,266,272
2009-02-01,271,272
2009-02-02,258,280
2009-02-03,247,266
2009-02-04,252,256
2009-02-05,252,270
2009-02-06,244,260
2009-02-07,249,252
2009-02-08,247,252
2009-02-09,238,250
2009-02-10,240,246
