Date,Midnight population,24-hour population
2008-10-01,814,821
2008-10-02,838,850
2008-10-03,813,869
2008-10-04,806,828
2008-10-05,815,815
2008-10-06,773,842
2008-10-07,784,805
2008-10-08,760,834
2008-10-09,753,788
2008-10-10,769,787
2008-10-11,785,791
2008-10-12,786,789
2008-10-13,784,791
2008-10-14,785,803
2008-10-15,784,810
2008-10-16,741,811
2008-10-17,729,767
2008-10-18,754,756
2008-10-19,757,757
2008-10-20,749,777
2008-10-21,773,803
2008-10-22,734,792
2008-10-23,740,778
2008-10-24,714,766
2008-10-25,730,731
2008-10-26,736,737
2008-10-27,708,744
2008-10-28,696,742
2008-10-29,741,773
2008-10-30,721,793
2008-10-31,734,761
2008-11-01,739,743
2008-11-02,748,749
2008-11-03,723,771
2008-11-04,747,779
2008-11-05,730,783
2008-11-06,764,780
2008-11-07,748,795
2008-11-08,757,758
2008-11-09,759,762
2008-11-10,757,786
2008-11-11,754,763
2008-11-12,755,779
2008-11-13,745,788
2008-11-14,762,787
2008-11-15,766,769
2008-11-16,776,776
2008-11-17,761,791
2008-11-18,745,792
2008-11-19,714,807
2008-11-20,701,740
2008-11-21,720,749
2008-11-22,762,773
2008-11-23,761,764
2008-11-24,756,780
2008-11-25,743,772
2008-11-26,722,769
2008-11-27,728,728
2008-11-28,750,754
2008-11-29,759,760
2008-11-30,763,763
2008-12-01,752,775
2008-12-02,754,779
2008-12-03,729,770
2008-12-04,723,744
2008-12-05,749,760
2008-12-06,739,757
2008-12-07,743,743
2008-12-08,737,778
2008-12-09,703,768
2008-12-10,715,754
2008-12-11,688,747
2008-12-12,720,741
2008-12-13,738,739
2008-12-14,746,750
2008-12-15,728,765
2008-12-16,777,801
2008-12-17,715,825
2008-12-18,710,754
2008-12-19,747,780
2008-12-20,785,785
2008-12-21,788,788
2008-12-22,787,809
2008-12-23,767,803
2008-12-24,775,790
2008-12-25,775,776
2008-12-26,786,786
2008-12-27,788,788
2008-12-28,793,793
2008-12-29,783,812
2008-12-30,779,799
2008-12-31,777,788
2009-01-01,782,784
2009-01-02,783,789
2009-01-03,785,787
2009-01-04,789,789
2009-01-05,779,812
2009-01-06,774,798
2009-01-07,755,795
2009-01-08,740,789
2009-01-09,764,783
2009-01-10,768,768
2009-01-11,774,774
2009-01-12,739,803
2009-01-13,726,795
2009-01-14,683,792
2009-01-15,678,727
2009-01-16,736,762
2009-01-17,755,757
