Date,Midnight population,24-hour population
2008-10-01,323,360
2008-10-02,306,323
2008-10-03,313,322
2008-10-04,313,313
2008-10-05,313,313
2008-10-06,320,328
2008-10-07,309,326
2008-10-08,306,316
2008-10-09,298,310
2008-10-10,309,318
2008-10-11,309,309
2008-10-12,308,309
2008-10-13,308,308
2008-10-14,330,339
2008-10-15,315,346
2008-10-16,311,328
2008-10-17,355,376
2008-10-18,355,355
2008-10-19,355,355
2008-10-20,404,409
2008-10-21,397,415
2008-10-22,408,428
2008-10-23,379,410
2008-10-24,331,387
2008-10-25,331,331
2008-10-26,331,331
2008-10-27,322,342
2008-10-28,325,331
2008-10-29,341,343
2008-10-30,340,351
2008-10-31,370,372
2008-11-01,369,370
2008-11-02,369,369
2008-11-03,364,384
2008-11-04,348,367
2008-11-05,351,362
2008-11-06,358,371
2008-11-07,377,390
2008-11-08,377,377
2008-11-09,377,377
2008-11-10,379,387
2008-11-11,370,381
2008-11-12,363,388
2008-11-13,359,371
2008-11-14,372,389
2008-11-15,372,372
2008-11-16,372,372
2008-11-17,371,380
2008-11-18,352,376
2008-11-19,346,365
2008-11-20,355,370
2008-11-21,365,379
2008-11-22,365,365
2008-11-23,365,365
2008-11-24,366,372
2008-11-25,367,369
2008-11-26,363,379
2008-11-27,363,363
2008-11-28,364,373
2008-11-29,364,364
2008-11-30,364,364
2008-12-01,354,369
2008-12-02,350,355
2008-12-03,355,360
2008-12-04,359,364
2008-12-05,361,373
2008-12-06,361,361
2008-12-07,364,364
2008-12-08,366,374
2008-12-09,368,376
2008-12-10,371,381
2008-12-11,359,376
2008-12-12,376,391
2008-12-13,376,376
2008-12-14,376,376
2008-12-15,377,383
2008-12-16,375,380
2008-12-17,364,378
2008-12-18,341,368
2008-12-19,359,363
2008-12-20,359,359
2008-12-21,359,359
2008-12-22,353,365
2008-12-23,353,357
2008-12-24,346,366
2008-12-25,346,346
2008-12-26,346,346
2008-12-27,346,346
2008-12-28,346,346
2008-12-29,340,349
2008-12-30,336,342
2008-12-31,340,341
2009-01-01,340,340
2009-01-02,352,353
2009-01-03,352,352
2009-01-04,352,352
2009-01-05,359,363
2009-01-06,347,367
2009-01-07,354,358
2009-01-08,351,360
2009-01-09,369,381
2009-01-10,369,369
2009-01-11,369,369
2009-01-12,377,380
2009-01-13,363,380
2009-01-14,388,390
2009-01-15,378,395
2009-01-16,367,402
2009-01-17,367,367
2009-01-18,367,367
2009-01-19,367,367
2009-01-20,349,373
2009-01-21,356,370
2009-01-22,345,364
2009-01-23,341,349
2009-01-24,342,346
2009-01-25,342,342
2009-01-26,331,346
2009-01-27,333,341
2009-01-28,335,344
2009-01-29,335,344
2009-01-30,338,350
2009-01-31,322,338
2009-02-01,322,322
2009-02-02,321,333
2009-02-03,308,334
2009-02-04,334,337
2009-02-05,322,338
2009-02-06,326,334
2009-02-07,326,326
2009-02-08,326,326
2009-02-09,329,332
2009-02-10,323,336
2009-02-11,334,339
2009-02-12,317,340
2009-02-13,330,333
2009-02-14,330,330
2009-02-15,331,331
2009-02-16,326,331
2009-02-17,325,335
2009-02-18,332,339
2009-02-19,321,339
2009-02-20,324,335
2009-02-21,324,324
2009-02-22,324,324
2009-02-23,326,329
2009-02-24,331,339
2009-02-25,343,343
2009-02-26,336,350
2009-02-27,346,354
2009-02-28,346,346
2009-03-01,347,347
2009-03-02,341,352
2009-03-03,333,352
2009-03-04,331,340
2009-03-05,333,339
2009-03-06,370,384
2009-03-07,370,370
2009-03-08,371,371
2009-03-09,370,376
2009-03-10,333,373
2009-03-11,348,356
2009-03-12,354,361
2009-03-13,364,369
2009-03-14,364,364
2009-03-15,353,364
2009-03-16,355,364
2009-03-17,356,368
2009-03-18,364,376
2009-03-19,363,371
2009-03-20,365,384
2009-03-21,365,365
2009-03-22,365,365
2009-03-23,362,366
2009-03-24,345,364
2009-03-25,351,360
2009-03-26,345,357
2009-03-27,348,359
2009-03-28,349,349
2009-03-29,349,349
2009-03-30,342,352
2009-03-31,336,347
2009-04-01,336,344
2009-04-02,335,339
2009-04-03,329,344
2009-04-04,329,329
2009-04-05,328,329
2009-04-06,333,335
2009-04-07,326,345
2009-04-08,330,335
2009-04-09,315,335
2009-04-10,315,318
2009-04-11,315,315
2009-04-12,315,315
2009-04-13,319,323
2009-04-14,312,320
2009-04-15,309,318
2009-04-16,298,311
2009-04-17,301,313
2009-04-18,300,303
2009-04-19,311,311
2009-04-20,318,324
2009-04-21,315,319
2009-04-22,315,317
2009-04-23,279,316
2009-04-24,314,320
2009-04-25,344,344
2009-04-26,334,344
2009-04-27,332,337
2009-04-28,329,337
2009-04-29,305,334
2009-04-30,305,310
2009-05-01,300,320
2009-05-02,300,300
2009-05-03,300,300
2009-05-04,304,305
2009-05-05,308,310
2009-05-06,318,320
2009-05-07,331,342
2009-05-08,343,346
2009-05-09,344,344
2009-05-10,340,344
2009-05-11,339,344
2009-05-12,340,348
2009-05-13,336,343
2009-05-14,333,340
2009-05-15,359,368
2009-05-16,355,359
2009-05-17,355,355
2009-05-18,372,373
2009-05-19,366,372
2009-05-20,370,376
2009-05-21,374,379
2009-05-22,370,378
2009-05-23,374,374
2009-05-24,374,374
2009-05-25,375,375
2009-05-26,367,377
2009-05-27,366,370
2009-05-28,360,378
2009-05-29,375,385
2009-05-30,377,377
