Date,Midnight population,24-hour population
2008-10-01,18,29
2008-10-02,25,37
2008-10-03,4,27
2008-10-04,4,5
2008-10-05,18,18
2008-10-06,37,48
2008-10-07,31,61
2008-10-08,40,67
2008-10-09,19,57
2008-10-10,22,35
2008-10-11,22,22
2008-10-12,22,22
2008-10-13,28,31
2008-10-14,32,54
2008-10-15,22,49
2008-10-16,25,41
2008-10-17,31,51
2008-10-18,31,33
2008-10-19,30,31
2008-10-20,50,70
2008-10-21,56,96
2008-10-22,3,57
2008-10-23,12,13
2008-10-24,2,12
2008-10-25,2,2
2008-10-26,2,2
2008-10-27,44,44
2008-10-28,35,73
2008-10-29,44,66
2008-10-30,30,66
2008-10-31,40,63
2008-11-01,40,40
2008-11-02,40,40
2008-11-03,43,70
2008-11-04,25,61
2008-11-05,34,49
2008-11-06,22,49
2008-11-07,13,33
2008-11-08,13,13
2008-11-09,13,13
2008-11-10,22,30
2008-11-11,23,23
2008-11-12,13,33
2008-11-13,23,33
2008-11-14,32,46
2008-11-15,32,33
2008-11-16,31,32
2008-11-17,49,74
2008-11-18,34,81
2008-11-19,2,34
2008-11-20,21,21
2008-11-21,2,21
2008-11-22,2,2
2008-11-23,12,12
2008-11-24,30,38
2008-11-25,38,66
2008-11-26,40,72
2008-11-27,40,40
2008-11-28,14,52
2008-11-29,14,14
2008-11-30,14,14
2008-12-01,26,37
2008-12-02,33,50
2008-12-03,31,54
2008-12-04,2,31
2008-12-05,2,2
2008-12-06,2,2
2008-12-07,2,3
2008-12-08,37,37
2008-12-09,26,55
2008-12-10,50,66
2008-12-11,17,55
2008-12-12,51,64
2008-12-13,42,52
2008-12-14,47,47
2008-12-15,60,95
2008-12-16,41,82
2008-12-17,67,85
2008-12-18,20,79
2008-12-19,2,20
2008-12-20,2,2
2008-12-21,2,2
2008-12-22,26,26
2008-12-23,2,27
2008-12-24,2,2
2008-12-25,3,3
2008-12-26,2,3
2008-12-27,3,3
2008-12-28,2,3
2008-12-29,25,25
2008-12-30,41,63
2008-12-31,2,41
2009-01-01,2,2
2009-01-02,2,2
2009-01-03,2,2
2009-01-04,2,2
2009-01-05,65,66
2009-01-06,55,102
2009-01-07,42,84
2009-01-08,24,61
2009-01-09,4,26
2009-01-10,4,4
2009-01-11,13,14
2009-01-12,31,40
2009-01-13,42,62
2009-01-14,54,87
2009-01-15,49,68
2009-01-16,6,53
2009-01-17,6,6
2009-01-18,6,6
2009-01-19,4,6
2009-01-20,47,48
2009-01-21,5,50
2009-01-22,2,5
2009-01-23,2,2
2009-01-24,2,2
2009-01-25,3,3
2009-01-26,37,38
2009-01-27,40,70
2009-01-28,14,48
2009-01-29,2,14
2009-01-30,2,2
2009-01-31,2,2
2009-02-01,2,2
2009-02-02,26,26
2009-02-03,3,27
2009-02-04,2,3
2009-02-05,13,13
2009-02-06,2,13
2009-02-07,2,2
2009-02-08,13,13
2009-02-09,37,44
2009-02-10,22,55
2009-02-11,4,24
2009-02-12,2,4
2009-02-13,2,2
2009-02-14,2,3
2009-02-15,3,3
2009-02-16,6,7
2009-02-17,14,20
2009-02-18,16,27
2009-02-19,7,20
2009-02-20,4,8
2009-02-21,4,5
2009-02-22,4,4
2009-02-23,20,20
2009-02-24,4,21
2009-02-25,17,19
2009-02-26,8,22
2009-02-27,8,12
2009-02-28,8,9
2009-03-01,10,10
2009-03-02,13,16
2009-03-03,24,34
2009-03-04,21,32
2009-03-05,7,24
2009-03-06,12,14
2009-03-07,11,12
2009-03-08,10,12
2009-03-09,7,13
2009-03-10,3,8
2009-03-11,10,12
2009-03-12,9,16
2009-03-13,2,9
2009-03-14,3,3
2009-03-15,4,4
2009-03-16,4,6
2009-03-17,3,5
2009-03-18,4,4
2009-03-19,7,9
2009-03-20,22,26
2009-03-21,21,22
2009-03-22,21,21
2009-03-23,8,27
2009-03-24,40,45
2009-03-25,7,45
2009-03-26,34,39
2009-03-27,3,35
2009-03-28,3,3
2009-03-29,3,3
2009-03-30,3,3
2009-03-31,7,8
2009-04-01,7,11
2009-04-02,4,9
2009-04-03,2,4
2009-04-04,3,3
2009-04-05,3,3
2009-04-06,8,8
2009-04-07,11,15
2009-04-08,8,14
2009-04-09,17,21
2009-04-10,5,20
2009-04-11,5,5
2009-04-12,5,6
2009-04-13,10,12
2009-04-14,2,10
2009-04-15,16,16
2009-04-16,1,16
2009-04-17,9,9
2009-04-18,8,9
2009-04-19,8,8
2009-04-20,1,8
2009-04-21,3,3
2009-04-22,12,13
2009-04-23,3,14
2009-04-24,3,6
2009-04-25,3,3
2009-04-26,3,3
2009-04-27,7,9
2009-04-28,6,11
2009-04-29,9,14
2009-04-30,10,19
2009-05-01,5,14
2009-05-02,4,5
2009-05-03,4,5
2009-05-04,16,21
2009-05-05,15,27
2009-05-06,7,20
2009-05-07,4,11
2009-05-08,5,9
2009-05-09,5,6
2009-05-10,5,7
2009-05-11,4,11
2009-05-12,12,20
2009-05-13,8,20
2009-05-14,3,12
2009-05-15,2,5
2009-05-16,2,2
2009-05-17,4,4
2009-05-18,9,13
2009-05-19,20,29
2009-05-20,14,34
2009-05-21,8,19
2009-05-22,7,12
2009-05-23,6,7
2009-05-24,7,7
2009-05-25,6,7
2009-05-26,9,15
2009-05-27,7,15
2009-05-28,7,15
2009-05-29,19,23
2009-05-30,19,20
2009-05-31,19,19
2009-06-01,16,32
2009-06-02,24,40
2009-06-03,26,40
2009-06-04,28,37
2009-06-05,18,39
2009-06-06,19,19
2009-06-07,18,19
2009-06-08,18,35
2009-06-09,28,38
2009-06-10,15,38
2009-06-11,5,19
2009-06-12,4,7
2009-06-13,4,4
2009-06-14,4,4
2009-06-15,16,18
2009-06-16,29,38
2009-06-17,22,44
2009-06-18,7,25
2009-06-19,5,11
2009-06-20,6,6
2009-06-21,5,6
2009-06-22,8,12
2009-06-23,29,38
2009-06-24,12,36
2009-06-25,10,21
2009-06-26,19,28
2009-06-27,22,22
2009-06-28,20,22
2009-06-29,9,28
2009-06-30,3,10
2009-07-01,6,7
2009-07-02,9,14
2009-07-03,9,9
2009-07-04,9,9
2009-07-05,9,9
2009-07-06,6,15
2009-07-07,14,21
2009-07-08,12,24
2009-07-09,3,14
2009-07-10,7,10
2009-07-11,7,8
2009-07-12,7,7
2009-07-13,2,10
2009-07-14,1,3
2009-07-15,2,3
2009-07-16,12,13
2009-07-17,6,18
2009-07-18,6,8
2009-07-19,6,6
2009-07-20,9,15
2009-07-21,20,28
2009-07-22,13,29
2009-07-23,8,21
2009-07-24,3,12
2009-07-25,3,3
2009-07-26,3,4
2009-07-27,5,9
2009-07-28,6,12
2009-07-29,3,11
2009-07-30,2,5
2009-07-31,1,3
2009-08-01,1,1
2009-08-02,2,2
2009-08-03,1,3
2009-08-04,3,3
2009-08-05,0,3
2009-08-06,0,0
2009-08-07,0,0
2009-08-08,0,0
2009-08-09,1,1
2009-08-10,0,1
2009-08-11,0,0
2009-08-12,0,0
2009-08-13,3,3
2009-08-14,0,3
2009-08-15,0,0
2009-08-16,0,0
2009-08-17,0,0
2009-08-18,29,29
2009-08-19,11,38
2009-08-20,5,14
2009-08-21,3,7
2009-08-22,3,3
2009-08-23,2,3
2009-08-24,1,2
2009-08-25,23,23
2009-08-26,4,26
2009-08-27,2,4
2009-08-28,10,11
2009-08-29,10,10
2009-08-30,10,10
2009-08-31,6,11
