Date,Midnight population,24-hour population,N,N2
2008-10-01,-1.0,-1.0,479,405
2008-10-02,-1.0,-1.0,553,475
2008-10-03,-1.0,-1.0,576,419
2008-10-04,-1.0,-1.0,433,422
2008-10-05,-1.0,-1.0,475,472
2008-10-06,-1.0,-1.0,499,417
2008-10-07,-1.0,-1.0,465,385
2008-10-08,-1.0,-1.0,429,396
2008-10-09,-1.0,-1.0,466,359
2008-10-10,-1.0,-1.0,417,375
2008-10-11,-1.0,-1.0,383,380
2008-10-12,-1.0,-1.0,383,372
2008-10-13,-1.0,-1.0,385,360
2008-10-14,-1.0,-1.0,397,361
2008-10-15,-1.0,-1.0,402,364
2008-10-16,-1.0,-1.0,436,332
2008-10-17,-1.0,-1.0,448,383
2008-10-18,-1.0,-1.0,396,395
2008-10-19,-1.0,-1.0,464,463
2008-10-20,-1.0,-1.0,505,397
2008-10-21,-1.0,-1.0,541,360
2008-10-22,-1.0,-1.0,409,382
2008-10-23,-1.0,-1.0,461,314
2008-10-24,-1.0,-1.0,379,345
2008-10-25,-1.0,-1.0,350,343
2008-10-26,-1.0,-1.0,390,389
2008-10-27,-1.0,-1.0,485,425
2008-10-28,-1.0,-1.0,467,369
2008-10-29,-1.0,-1.0,399,356
2008-10-30,388.0,444.0,435,413
2008-10-31,384.0,443.0,461,304
2008-11-01,379.0,435.0,325,322
2008-11-02,378.0,429.0,398,396
2008-11-03,377.0,429.0,421,390
2008-11-04,376.0,428.0,451,428
2008-11-05,375.0,427.0,472,394
2008-11-06,377.0,427.0,467,441
2008-11-07,376.0,430.0,510,354
2008-11-08,376.0,427.0,382,380
2008-11-09,378.0,428.0,424,424
2008-11-10,378.0,430.0,450,376
2008-11-11,380.0,431.0,434,429
2008-11-12,381.0,435.0,503,409
2008-11-13,383.0,439.0,503,426
2008-11-14,381.0,441.0,472,297
2008-11-15,382.0,439.0,364,362
2008-11-16,384.0,438.0,429,425
2008-11-17,381.0,441.0,488,327
2008-11-18,377.0,438.0,359,332
2008-11-19,375.0,434.0,397,339
2008-11-20,376.0,430.0,421,379
2008-11-21,374.0,432.0,477,326
2008-11-22,375.0,428.0,339,338
2008-11-23,376.0,429.0,395,384
2008-11-24,376.0,431.0,421,359
2008-11-25,377.0,433.0,449,401
2008-11-26,375.0,432.0,446,382
2008-11-27,378.0,431.0,452,442
2008-11-28,378.0,434.0,479,349
2008-11-29,375.0,432.0,367,327
2008-11-30,376.0,428.0,354,352
2008-12-01,378.0,431.0,402,366
2008-12-02,377.0,430.0,376,361
2008-12-03,375.0,430.0,414,348
2008-12-04,372.0,429.0,415,331
2008-12-05,370.0,425.0,369,349
2008-12-06,368.0,422.0,381,378
2008-12-07,371.0,420.0,439,438
2008-12-08,373.0,424.0,498,420
2008-12-09,371.0,424.0,435,392
2008-12-10,373.0,424.0,447,412
2008-12-11,373.0,426.0,481,425
2008-12-12,371.0,426.0,499,352
2008-12-13,368.0,421.0,361,356
2008-12-14,372.0,419.0,417,416
2008-12-15,373.0,422.0,449,372
2008-12-16,372.0,422.0,433,398
2008-12-17,374.0,420.0,435,410
2008-12-18,378.0,425.0,509,435
2008-12-19,378.0,428.0,492,356
2008-12-20,379.0,428.0,397,391
2008-12-21,382.0,426.0,438,434
2008-12-22,383.0,431.0,477,356
2008-12-23,383.0,431.0,402,394
2008-12-24,384.0,431.0,424,376
2008-12-25,383.0,429.0,379,369
2008-12-26,382.0,426.0,370,368
2008-12-27,380.0,424.0,368,365
2008-12-28,380.0,420.0,365,355
2008-12-29,382.0,422.0,426,387
2008-12-30,381.0,423.0,406,318
2008-12-31,379.0,421.0,335,311
2009-01-01,377.0,419.0,313,309
2009-01-02,376.0,416.0,322,314
2009-01-03,376.0,413.0,316,313
2009-01-04,375.0,412.0,337,320
2009-01-05,372.0,411.0,369,300
2009-01-06,368.0,408.0,345,322
2009-01-07,364.0,403.0,348,292
2009-01-08,361.0,401.0,362,298
2009-01-09,355.0,396.0,298,243
2009-01-10,349.0,388.0,247,247
2009-01-11,348.0,382.0,310,306
2009-01-12,345.0,382.0,358,265
2009-01-13,340.0,378.0,305,280
2009-01-14,337.0,373.0,318,286
2009-01-15,333.0,370.0,322,265
2009-01-16,328.0,366.0,314,276
2009-01-17,323.0,358.0,279,276
2009-01-18,320.0,351.0,277,277
2009-01-19,319.0,349.0,346,343
2009-01-20,314.0,348.0,393,302
2009-01-21,313.0,343.0,334,317
2009-01-22,310.0,342.0,373,298
2009-01-23,307.0,339.0,341,286
2009-01-24,304.0,336.0,292,289
2009-01-25,302.0,334.0,305,303
2009-01-26,301.0,334.0,355,325
2009-01-27,299.0,334.0,361,316
2009-01-28,298.0,333.0,414,342
2009-01-29,299.0,335.0,451,337
2009-01-30,299.0,335.0,356,329
2009-01-31,300.0,336.0,336,333
2009-02-01,300.0,336.0,333,323
2009-02-02,301.0,338.0,368,347
2009-02-03,302.0,340.0,377,327
2009-02-04,305.0,341.0,398,388
2009-02-05,304.0,345.0,482,303
2009-02-06,304.0,345.0,339,302
2009-02-07,304.0,343.0,304,295
2009-02-08,306.0,343.0,316,304
2009-02-09,309.0,348.0,372,318
2009-02-10,309.0,349.0,348,317
2009-02-11,311.0,349.0,353,340
2009-02-12,312.0,352.0,409,298
2009-02-13,312.0,353.0,333,298
2009-02-14,315.0,353.0,337,330
2009-02-15,316.0,354.0,332,332
2009-02-16,319.0,356.0,359,356
2009-02-17,321.0,362.0,431,340
2009-02-18,321.0,362.0,354,323
2009-02-19,321.0,361.0,369,321
2009-02-20,321.0,362.0,363,301
2009-02-21,321.0,360.0,324,314
2009-02-22,323.0,360.0,328,327
2009-02-23,324.0,363.0,371,343
2009-02-24,326.0,365.0,379,342
2009-02-25,327.0,367.0,409,365
2009-02-26,328.0,368.0,408,345
2009-02-27,328.0,367.0,376,350
2009-02-28,328.0,364.0,352,342
2009-03-01,329.0,363.0,344,344
2009-03-02,331.0,367.0,428,405
2009-03-03,333.0,371.0,455,384
2009-03-04,335.0,372.0,421,388
2009-03-05,336.0,374.0,414,377
2009-03-06,336.0,374.0,413,379
2009-03-07,339.0,371.0,381,378
2009-03-08,342.0,373.0,413,397
2009-03-09,346.0,378.0,440,414
2009-03-10,348.0,382.0,453,365
2009-03-11,352.0,386.0,489,457
2009-03-12,355.0,392.0,516,403
2009-03-13,357.0,395.0,442,395
2009-03-14,360.0,395.0,403,384
2009-03-15,365.0,398.0,446,446
2009-03-16,368.0,403.0,488,422
2009-03-17,371.0,408.0,458,419
2009-03-18,372.0,412.0,501,393
2009-03-19,374.0,414.0,471,385
2009-03-20,375.0,416.0,424,379
2009-03-21,378.0,416.0,385,383
2009-03-22,381.0,418.0,395,394
2009-03-23,384.0,421.0,429,423
2009-03-24,387.0,426.0,469,421
2009-03-25,390.0,430.0,505,434
2009-03-26,392.0,435.0,536,403
2009-03-27,394.0,437.0,447,397
2009-03-28,395.0,436.0,400,394
2009-03-29,397.0,438.0,408,408
2009-03-30,400.0,441.0,460,433
2009-03-31,403.0,446.0,488,434
2009-04-01,404.0,450.0,559,427
2009-04-02,405.0,454.0,575,429
2009-04-03,406.0,455.0,446,396
2009-04-04,406.0,455.0,399,398
2009-04-05,407.0,454.0,399,397
2009-04-06,408.0,456.0,445,412
2009-04-07,409.0,459.0,482,438
2009-04-08,409.0,461.0,498,405
2009-04-09,411.0,461.0,475,416
2009-04-10,409.0,460.0,464,394
2009-04-11,408.0,457.0,402,395
2009-04-12,413.0,459.0,521,521
2009-04-13,416.0,467.0,633,489
2009-04-14,414.0,470.0,531,394
2009-04-15,413.0,469.0,478,390
2009-04-16,416.0,472.0,521,484
2009-04-17,416.0,473.0,534,393
2009-04-18,416.0,471.0,419,396
2009-04-19,416.0,470.0,396,396
2009-04-20,417.0,471.0,430,398
2009-04-21,417.0,473.0,429,387
2009-04-22,415.0,472.0,406,385
2009-04-23,414.0,471.0,445,391
2009-04-24,413.0,468.0,427,396
2009-04-25,413.0,464.0,396,396
2009-04-26,413.0,462.0,397,395
2009-04-27,413.0,463.0,417,409
2009-04-28,414.0,467.0,535,420
2009-04-29,413.0,467.0,468,403
2009-04-30,411.0,466.0,449,377
2009-05-01,409.0,461.0,419,378
2009-05-02,408.0,455.0,395,394
2009-05-03,408.0,453.0,394,392
2009-05-04,409.0,454.0,429,422
2009-05-05,410.0,458.0,516,419
2009-05-06,411.0,460.0,500,453
