Date,Midnight population,24-hour population
2008-10-01,39,40
2008-10-02,32,39
2008-10-03,28,37
2008-10-04,28,28
2008-10-05,28,28
2008-10-06,33,33
2008-10-07,36,38
2008-10-08,42,42
2008-10-09,30,44
2008-10-10,28,36
2008-10-11,28,28
2008-10-12,28,28
2008-10-13,28,28
2008-10-14,35,35
2008-10-15,35,35
2008-10-16,32,41
2008-10-17,39,42
2008-10-18,39,39
2008-10-19,39,39
2008-10-20,45,46
2008-10-21,37,51
2008-10-22,38,41
2008-10-23,32,43
2008-10-24,32,34
2008-10-25,35,35
2008-10-26,35,35
2008-10-27,36,36
2008-10-28,38,43
2008-10-29,33,41
2008-10-30,38,38
2008-10-31,40,41
2008-11-01,40,40
2008-11-02,40,40
2008-11-03,36,43
2008-11-04,38,38
2008-11-05,31,41
2008-11-06,32,32
2008-11-07,30,32
2008-11-08,30,30
2008-11-09,30,30
2008-11-10,31,32
2008-11-11,31,31
2008-11-12,28,35
2008-11-13,33,34
2008-11-14,36,36
2008-11-15,37,37
2008-11-16,37,37
2008-11-17,39,39
2008-11-18,35,43
2008-11-19,33,39
2008-11-20,33,33
2008-11-21,34,35
2008-11-22,34,34
2008-11-23,34,34
2008-11-24,33,35
2008-11-25,37,40
2008-11-26,36,37
2008-11-27,36,36
2008-11-28,24,37
2008-11-29,24,24
2008-11-30,24,24
2008-12-01,23,24
2008-12-02,24,24
2008-12-03,27,28
2008-12-04,24,30
2008-12-05,28,30
2008-12-06,28,28
2008-12-07,28,28
2008-12-08,28,28
2008-12-09,30,31
2008-12-10,37,37
2008-12-11,35,39
2008-12-12,35,39
2008-12-13,35,35
2008-12-14,35,35
2008-12-15,37,37
2008-12-16,29,43
2008-12-17,31,33
2008-12-18,32,33
2008-12-19,32,36
2008-12-20,32,32
2008-12-21,32,32
2008-12-22,29,33
2008-12-23,27,33
2008-12-24,30,30
2008-12-25,30,30
2008-12-26,30,30
2008-12-27,30,30
2008-12-28,30,30
2008-12-29,32,32
2008-12-30,28,32
2008-12-31,26,28
2009-01-01,26,26
2009-01-02,32,32
2009-01-03,32,32
2009-01-04,32,32
2009-01-05,31,33
2009-01-06,20,33
2009-01-07,23,23
2009-01-08,22,23
2009-01-09,22,26
2009-01-10,22,22
2009-01-11,22,22
2009-01-12,18,22
2009-01-13,25,25
2009-01-14,26,26
2009-01-15,19,27
2009-01-16,21,22
2009-01-17,21,21
2009-01-18,21,21
2009-01-19,21,21
2009-01-20,24,24
2009-01-21,25,25
2009-01-22,19,27
2009-01-23,18,20
2009-01-24,17,18
2009-01-25,17,17
2009-01-26,16,17
2009-01-27,21,21
2009-01-28,25,25
2009-01-29,24,25
2009-01-30,25,26
2009-01-31,25,25
2009-02-01,25,25
2009-02-02,26,27
2009-02-03,25,27
2009-02-04,28,29
2009-02-05,32,33
2009-02-06,26,35
2009-02-07,26,26
2009-02-08,26,26
2009-02-09,27,27
2009-02-10,32,34
2009-02-11,38,40
2009-02-12,38,39
2009-02-13,39,39
2009-02-14,39,39
2009-02-15,39,39
2009-02-16,39,39
2009-02-17,37,41
2009-02-18,38,38
2009-02-19,37,44
2009-02-20,30,41
2009-02-21,30,30
2009-02-22,30,30
2009-02-23,28,30
2009-02-24,27,30
2009-02-25,31,32
2009-02-26,27,36
2009-02-27,28,28
2009-02-28,28,28
2009-03-01,28,28
2009-03-02,30,30
2009-03-03,32,33
2009-03-04,31,33
2009-03-05,32,34
2009-03-06,31,34
2009-03-07,31,31
2009-03-08,31,31
2009-03-09,33,33
2009-03-10,33,37
2009-03-11,34,36
2009-03-12,35,35
2009-03-13,32,38
2009-03-14,32,32
2009-03-15,32,32
2009-03-16,30,34
2009-03-17,34,34
2009-03-18,36,37
2009-03-19,37,40
2009-03-20,29,40
2009-03-21,29,29
2009-03-22,29,29
2009-03-23,30,31
2009-03-24,32,36
2009-03-25,29,36
2009-03-26,32,32
2009-03-27,35,36
2009-03-28,35,35
2009-03-29,35,35
2009-03-30,36,37
2009-03-31,38,40
2009-04-01,41,43
2009-04-02,41,47
2009-04-03,30,45
2009-04-04,30,30
2009-04-05,30,30
2009-04-06,36,37
2009-04-07,38,39
2009-04-08,36,43
2009-04-09,31,41
2009-04-10,31,31
2009-04-11,31,31
2009-04-12,31,31
2009-04-13,33,33
2009-04-14,34,34
2009-04-15,34,38
2009-04-16,26,38
2009-04-17,26,28
2009-04-18,26,26
2009-04-19,26,26
2009-04-20,30,30
2009-04-21,35,36
2009-04-22,33,36
2009-04-23,31,35
2009-04-24,24,34
2009-04-25,24,24
2009-04-26,28,29
2009-04-27,28,35
2009-04-28,30,30
2009-04-29,29,30
2009-04-30,28,31
2009-05-01,34,34
2009-05-02,34,34
2009-05-03,34,34
2009-05-04,28,36
2009-05-05,33,34
2009-05-06,29,38
2009-05-07,27,30
2009-05-08,27,27
2009-05-09,27,27
2009-05-10,27,27
2009-05-11,29,30
2009-05-12,25,32
2009-05-13,25,26
2009-05-14,30,30
