Date,Midnight population,24-hour population
2008-10-01,74,78
2008-10-02,73,74
2008-10-03,73,73
2008-10-04,73,73
2008-10-05,73,73
2008-10-06,74,75
2008-10-07,78,78
2008-10-08,77,80
2008-10-09,80,87
2008-10-10,79,80
2008-10-11,79,79
2008-10-12,79,79
2008-10-13,79,80
2008-10-14,77,80
2008-10-15,75,78
2008-10-16,79,79
2008-10-17,77,81
2008-10-18,77,77
2008-10-19,77,77
2008-10-20,76,77
2008-10-21,72,76
2008-10-22,73,74
2008-10-23,72,73
2008-10-24,67,72
2008-10-25,67,67
2008-10-26,67,67
2008-10-27,69,70
2008-10-28,70,74
2008-10-29,72,72
2008-10-30,72,73
2008-10-31,72,75
2008-11-01,71,72
2008-11-02,71,71
2008-11-03,64,72
2008-11-04,63,64
2008-11-05,57,63
2008-11-06,54,57
2008-11-07,54,55
2008-11-08,54,54
2008-11-09,54,54
2008-11-10,50,54
2008-11-11,50,50
2008-11-12,51,51
2008-11-13,47,51
2008-11-14,48,48
2008-11-15,48,48
2008-11-16,48,48
2008-11-17,51,53
2008-11-18,51,53
2008-11-19,52,53
2008-11-20,53,54
2008-11-21,53,54
2008-11-22,53,53
2008-11-23,52,53
2008-11-24,53,53
2008-11-25,48,54
2008-11-26,54,54
2008-11-27,54,54
2008-11-28,55,55
2008-11-29,55,55
2008-11-30,55,55
2008-12-01,63,63
2008-12-02,71,72
2008-12-03,74,74
2008-12-04,67,77
2008-12-05,73,74
2008-12-06,73,73
2008-12-07,73,73
2008-12-08,79,109
2008-12-09,79,81
2008-12-10,70,81
2008-12-11,77,79
2008-12-12,75,80
2008-12-13,75,75
2008-12-14,75,75
2008-12-15,73,75
2008-12-16,78,82
2008-12-17,84,84
2008-12-18,74,85
2008-12-19,75,77
2008-12-20,75,75
2008-12-21,75,75
2008-12-22,76,77
2008-12-23,79,83
2008-12-24,78,79
2008-12-25,78,78
2008-12-26,78,78
2008-12-27,78,78
2008-12-28,78,78
2008-12-29,79,79
2008-12-30,82,83
2008-12-31,82,82
2009-01-01,82,82
2009-01-02,85,85
2009-01-03,85,85
2009-01-04,85,85
2009-01-05,78,86
2009-01-06,77,78
2009-01-07,81,81
2009-01-08,83,83
2009-01-09,87,92
2009-01-10,87,87
2009-01-11,87,87
2009-01-12,83,88
2009-01-13,69,85
2009-01-14,71,71
2009-01-15,75,75
2009-01-16,79,81
2009-01-17,79,79
2009-01-18,79,79
2009-01-19,79,79
2009-01-20,77,81
2009-01-21,68,77
2009-01-22,71,71
2009-01-23,74,75
2009-01-24,74,74
2009-01-25,74,74
2009-01-26,76,77
2009-01-27,73,81
2009-01-28,72,73
2009-01-29,68,72
2009-01-30,68,71
2009-01-31,68,68
2009-02-01,68,68
2009-02-02,69,69
2009-02-03,70,76
2009-02-04,72,72
2009-02-05,69,72
2009-02-06,82,82
2009-02-07,82,82
2009-02-08,82,82
2009-02-09,84,85
2009-02-10,81,88
2009-02-11,86,87
2009-02-12,85,86
2009-02-13,86,87
2009-02-14,86,86
2009-02-15,86,86
2009-02-16,86,86
2009-02-17,88,90
2009-02-18,63,89
2009-02-19,74,74
2009-02-20,80,81
2009-02-21,78,80
2009-02-22,78,78
2009-02-23,86,86
2009-02-24,82,94
2009-02-25,88,89
2009-02-26,86,90
2009-02-27,91,92
2009-02-28,91,91
2009-03-01,91,91
2009-03-02,91,91
2009-03-03,69,94
2009-03-04,76,77
2009-03-05,79,81
2009-03-06,86,86
2009-03-07,86,86
2009-03-08,86,86
2009-03-09,88,92
2009-03-10,81,98
2009-03-11,85,85
2009-03-12,90,90
2009-03-13,96,96
2009-03-14,96,96
2009-03-15,96,96
2009-03-16,97,97
2009-03-17,80,103
2009-03-18,82,82
2009-03-19,90,91
2009-03-20,93,93
2009-03-21,93,93
2009-03-22,93,93
2009-03-23,95,95
2009-03-24,76,99
2009-03-25,80,80
2009-03-26,83,85
2009-03-27,90,91
2009-03-28,90,90
2009-03-29,90,90
2009-03-30,93,94
2009-03-31,93,94
2009-04-01,95,95
2009-04-02,85,96
2009-04-03,87,89
2009-04-04,86,87
2009-04-05,86,86
2009-04-06,89,89
2009-04-07,79,96
2009-04-08,82,85
2009-04-09,86,87
