Date,Midnight population,24-hour population
2008-10-01,555,571
2008-10-02,541,622
2008-10-03,515,614
2008-10-04,470,515
2008-10-05,470,470
2008-10-06,489,524
2008-10-07,533,599
2008-10-08,534,625
2008-10-09,536,635
2008-10-10,518,606
2008-10-11,464,519
2008-10-12,464,464
2008-10-13,512,513
2008-10-14,531,566
2008-10-15,565,619
2008-10-16,537,618
2008-10-17,531,582
2008-10-18,526,531
2008-10-19,526,526
2008-10-20,582,610
2008-10-21,600,656
2008-10-22,557,663
2008-10-23,595,642
2008-10-24,578,633
2008-10-25,552,578
2008-10-26,552,552
2008-10-27,615,628
2008-10-28,629,686
2008-10-29,581,677
2008-10-30,604,659
2008-10-31,615,671
2008-11-01,568,615
2008-11-02,568,568
2008-11-03,612,635
2008-11-04,596,672
2008-11-05,620,666
2008-11-06,601,690
2008-11-07,605,678
2008-11-08,555,605
2008-11-09,555,555
2008-11-10,631,635
2008-11-11,616,664
2008-11-12,627,680
2008-11-13,580,698
2008-11-14,614,666
2008-11-15,593,614
2008-11-16,594,594
2008-11-17,589,631
2008-11-18,605,643
2008-11-19,629,679
2008-11-20,587,691
2008-11-21,574,632
2008-11-22,548,574
2008-11-23,548,548
2008-11-24,551,589
2008-11-25,572,611
2008-11-26,578,643
2008-11-27,568,578
2008-11-28,555,596
2008-11-29,554,555
2008-11-30,554,554
2008-12-01,621,633
2008-12-02,567,647
2008-12-03,600,647
2008-12-04,579,660
2008-12-05,563,619
2008-12-06,539,563
2008-12-07,541,541
2008-12-08,557,568
2008-12-09,590,605
2008-12-10,583,663
2008-12-11,605,660
2008-12-12,594,652
2008-12-13,560,603
2008-12-14,550,560
2008-12-15,645,661
2008-12-16,616,712
2008-12-17,611,702
2008-12-18,574,686
2008-12-19,579,637
2008-12-20,537,579
2008-12-21,537,537
2008-12-22,559,564
2008-12-23,602,638
2008-12-24,569,637
2008-12-25,566,569
2008-12-26,553,566
2008-12-27,553,553
2008-12-28,553,553
2008-12-29,605,623
2008-12-30,565,641
2008-12-31,573,593
2009-01-01,544,573
2009-01-02,576,581
2009-01-03,543,576
2009-01-04,543,543
2009-01-05,543,547
2009-01-06,622,629
2009-01-07,588,697
2009-01-08,603,679
2009-01-09,568,659
2009-01-10,531,568
2009-01-11,531,531
2009-01-12,629,632
2009-01-13,561,658
2009-01-14,573,645
2009-01-15,534,647
2009-01-16,540,574
2009-01-17,513,540
2009-01-18,513,513
2009-01-19,523,524
2009-01-20,535,568
2009-01-21,580,614
2009-01-22,542,621
2009-01-23,582,620
2009-01-24,517,582
2009-01-25,517,517
2009-01-26,520,533
2009-01-27,518,520
2009-01-28,533,568
2009-01-29,521,566
2009-01-30,604,631
2009-01-31,513,604
2009-02-01,513,513
2009-02-02,558,562
2009-02-03,546,598
2009-02-04,582,634
2009-02-05,543,629
2009-02-06,567,608
2009-02-07,520,567
2009-02-08,520,520
2009-02-09,563,566
2009-02-10,623,676
2009-02-11,558,688
2009-02-12,541,627
2009-02-13,492,588
2009-02-14,462,492
2009-02-15,462,462
2009-02-16,462,462
2009-02-17,500,525
2009-02-18,504,606
2009-02-19,459,559
2009-02-20,447,531
2009-02-21,395,447
2009-02-22,395,395
2009-02-23,409,444
2009-02-24,428,474
2009-02-25,489,553
2009-02-26,453,541
2009-02-27,486,552
2009-02-28,421,486
2009-03-01,421,421
2009-03-02,495,513
2009-03-03,529,566
2009-03-04,544,618
2009-03-05,506,618
2009-03-06,524,560
2009-03-07,497,524
2009-03-08,497,497
2009-03-09,571,582
2009-03-10,549,628
2009-03-11,564,646
2009-03-12,538,605
2009-03-13,536,583
2009-03-14,495,536
2009-03-15,495,495
2009-03-16,540,544
2009-03-17,580,622
2009-03-18,555,627
2009-03-19,559,600
2009-03-20,538,601
2009-03-21,514,538
2009-03-22,514,514
2009-03-23,571,575
2009-03-24,577,664
2009-03-25,529,651
2009-03-26,542,596
2009-03-27,513,582
2009-03-28,501,513
2009-03-29,501,501
2009-03-30,497,540
2009-03-31,510,555
2009-04-01,474,527
2009-04-02,487,501
2009-04-03,491,508
2009-04-04,485,491
2009-04-05,485,485
2009-04-06,481,502
2009-04-07,555,569
2009-04-08,554,619
2009-04-09,537,614
2009-04-10,533,566
2009-04-11,522,533
2009-04-12,522,522
2009-04-13,543,562
2009-04-14,569,603
2009-04-15,531,621
2009-04-16,575,623
2009-04-17,506,599
2009-04-18,492,506
2009-04-19,492,492
2009-04-20,513,525
2009-04-21,564,583
2009-04-22,517,603
2009-04-23,551,584
2009-04-24,517,582
2009-04-25,507,517
2009-04-26,507,507
2009-04-27,528,536
2009-04-28,546,599
2009-04-29,510,603
2009-04-30,489,534
2009-05-01,484,507
2009-05-02,482,484
2009-05-03,482,482
2009-05-04,510,525
2009-05-05,493,536
2009-05-06,502,521
2009-05-07,512,541
2009-05-08,511,550
2009-05-09,494,511
2009-05-10,494,494
2009-05-11,499,523
2009-05-12,498,555
2009-05-13,457,523
2009-05-14,479,513
2009-05-15,444,504
2009-05-16,433,444
2009-05-17,433,433
2009-05-18,468,481
2009-05-19,499,542
2009-05-20,466,541
2009-05-21,429,507
2009-05-22,508,536
2009-05-23,505,508
2009-05-24,505,505
2009-05-25,505,505
2009-05-26,539,551
2009-05-27,536,585
2009-05-28,515,568
2009-05-29,513,536
2009-05-30,540,549
2009-05-31,540,540
2009-06-01,579,591
2009-06-02,574,631
2009-06-03,546,599
2009-06-04,543,570
2009-06-05,543,574
2009-06-06,538,543
2009-06-07,538,538
2009-06-08,552,581
2009-06-09,557,599
2009-06-10,543,595
2009-06-11,537,563
2009-06-12,543,564
2009-06-13,530,543
2009-06-14,530,530
2009-06-15,574,581
2009-06-16,557,642
2009-06-17,554,593
2009-06-18,536,569
2009-06-19,534,558
2009-06-20,528,534
2009-06-21,528,528
2009-06-22,552,557
2009-06-23,557,592
2009-06-24,537,586
2009-06-25,522,557
2009-06-26,542,560
2009-06-27,533,542
2009-06-28,533,533
2009-06-29,526,546
2009-06-30,557,564
2009-07-01,551,592
2009-07-02,541,614
2009-07-03,530,541
2009-07-04,530,530
2009-07-05,530,530
2009-07-06,544,551
2009-07-07,553,578
2009-07-08,515,578
2009-07-09,506,532
2009-07-10,516,543
2009-07-11,510,516
2009-07-12,510,510
2009-07-13,530,548
2009-07-14,533,581
2009-07-15,549,571
2009-07-16,525,575
2009-07-17,564,577
2009-07-18,532,564
2009-07-19,532,532
2009-07-20,574,578
2009-07-21,548,617
2009-07-22,476,581
2009-07-23,484,508
2009-07-24,511,535
2009-07-25,497,511
2009-07-26,497,497
2009-07-27,488,520
2009-07-28,511,535
2009-07-29,510,543
2009-07-30,496,523
2009-07-31,505,527
2009-08-01,491,505
2009-08-02,491,491
2009-08-03,518,520
2009-08-04,485,565
2009-08-05,477,500
2009-08-06,484,500
2009-08-07,541,560
2009-08-08,524,541
2009-08-09,524,524
2009-08-10,532,546
2009-08-11,553,580
2009-08-12,559,586
2009-08-13,540,594
2009-08-14,545,578
2009-08-15,534,545
2009-08-16,534,534
2009-08-17,535,563
2009-08-18,544,579
2009-08-19,539,577
