Date,Midnight population,24-hour population
2008-10-01,0.0,0.0
2008-10-02,0.0,0.0
2008-10-03,0.0,0.0
2008-10-04,0.0,0.0
2008-10-05,0.0,0.0
2008-10-06,0.0,0.0
2008-10-07,0.0,0.0
2008-10-08,0.0,0.0
2008-10-09,0.0,0.0
2008-10-10,0.0,0.0
2008-10-11,0.0,0.0
2008-10-12,0.0,0.0
2008-10-13,0.0,0.0
2008-10-14,0.0,0.0
2008-10-15,0.0,0.0
2008-10-16,0.0,0.0
2008-10-17,0.0,0.0
2008-10-18,0.0,0.0
2008-10-19,0.0,0.0
2008-10-20,0.0,0.0
2008-10-21,0.0,0.0
2008-10-22,0.0,0.0
2008-10-23,0.0,0.0
2008-10-24,0.0,0.0
2008-10-25,0.0,0.0
2008-10-26,0.0,0.0
2008-10-27,0.0,0.0
2008-10-28,0.0,0.0
2008-10-29,0.0,0.0
2008-10-30,903.0,966.0
2008-10-31,902.0,965.0
2008-11-01,900.0,962.0
2008-11-02,899.0,958.0
2008-11-03,898.0,958.0
2008-11-04,897.0,958.0
2008-11-05,895.0,957.0
2008-11-06,895.0,955.0
2008-11-07,890.0,953.0
2008-11-08,888.0,948.0
2008-11-09,888.0,944.0
2008-11-10,888.0,945.0
2008-11-11,890.0,946.0
2008-11-12,888.0,948.0
2008-11-13,887.0,946.0
2008-11-14,881.0,944.0
2008-11-15,876.0,936.0
2008-11-16,873.0,930.0
2008-11-17,870.0,927.0
2008-11-18,867.0,925.0
2008-11-19,864.0,923.0
2008-11-20,864.0,920.0
2008-11-21,862.0,919.0
2008-11-22,861.0,916.0
2008-11-23,861.0,914.0
2008-11-24,858.0,914.0
2008-11-25,859.0,913.0
2008-11-26,857.0,913.0
2008-11-27,855.0,910.0
2008-11-28,851.0,907.0
2008-11-29,850.0,903.0
2008-11-30,850.0,901.0
2008-12-01,851.0,902.0
2008-12-02,853.0,906.0
2008-12-03,855.0,909.0
2008-12-04,857.0,911.0
2008-12-05,858.0,914.0
2008-12-06,859.0,914.0
2008-12-07,865.0,914.0
2008-12-08,867.0,920.0
2008-12-09,869.0,925.0
2008-12-10,866.0,926.0
2008-12-11,861.0,923.0
2008-12-12,857.0,918.0
2008-12-13,854.0,913.0
2008-12-14,855.0,909.0
2008-12-15,857.0,911.0
2008-12-16,855.0,913.0
2008-12-17,855.0,912.0
2008-12-18,856.0,912.0
2008-12-19,856.0,912.0
2008-12-20,856.0,911.0
2008-12-21,858.0,910.0
2008-12-22,860.0,913.0
2008-12-23,860.0,916.0
2008-12-24,858.0,917.0
2008-12-25,855.0,913.0
2008-12-26,855.0,909.0
2008-12-27,855.0,908.0
2008-12-28,857.0,906.0
2008-12-29,858.0,909.0
2008-12-30,859.0,912.0
2008-12-31,862.0,914.0
2009-01-01,862.0,914.0
2009-01-02,861.0,914.0
2009-01-03,857.0,912.0
2009-01-04,858.0,906.0
2009-01-05,857.0,908.0
2009-01-06,856.0,910.0
2009-01-07,854.0,910.0
2009-01-08,853.0,908.0
2009-01-09,856.0,907.0
2009-01-10,857.0,910.0
2009-01-11,860.0,910.0
2009-01-12,862.0,913.0
2009-01-13,863.0,916.0
2009-01-14,864.0,919.0
2009-01-15,865.0,920.0
2009-01-16,866.0,922.0
2009-01-17,866.0,923.0
2009-01-18,868.0,921.0
2009-01-19,869.0,922.0
2009-01-20,870.0,925.0
2009-01-21,870.0,925.0
2009-01-22,871.0,925.0
2009-01-23,875.0,926.0
2009-01-24,876.0,931.0
2009-01-25,877.0,932.0
2009-01-26,878.0,935.0
2009-01-27,877.0,939.0
2009-01-28,876.0,940.0
2009-01-29,874.0,937.0
2009-01-30,868.0,935.0
2009-01-31,863.0,928.0
2009-02-01,860.0,922.0
2009-02-02,857.0,919.0
