Date,Midnight population,24-hour population
2008-10-01,864,925
2008-10-02,894,959
2008-10-03,880,978
2008-10-04,907,907
2008-10-05,935,935
2008-10-06,940,"1,005"
2008-10-07,904,"1,010"
2008-10-08,950,"1,012"
2008-10-09,893,998
2008-10-10,869,978
2008-10-11,889,891
2008-10-12,883,922
2008-10-13,942,942
2008-10-14,933,"1,015"
2008-10-15,964,"1,015"
2008-10-16,963,"1,045"
2008-10-17,930,"1,035"
2008-10-18,914,970
2008-10-19,914,952
2008-10-20,889,974
2008-10-21,867,968
2008-10-22,844,947
2008-10-23,860,911
2008-10-24,878,938
2008-10-25,925,925
2008-10-26,874,950
2008-10-27,888,945
2008-10-28,917,960
2008-10-29,922,989
2008-10-30,856,964
2008-10-31,842,918
2008-11-01,829,863
2008-11-02,851,851
2008-11-03,862,910
2008-11-04,917,941
2008-11-05,886,972
2008-11-06,896,940
2008-11-07,803,949
2008-11-08,845,847
2008-11-09,861,863
2008-11-10,877,925
2008-11-11,941,945
2008-11-12,902,"1,003"
2008-11-13,899,965
2008-11-14,791,959
2008-11-15,809,813
2008-11-16,844,844
2008-11-17,818,892
2008-11-18,824,882
2008-11-19,805,905
2008-11-20,847,891
2008-11-21,790,903
2008-11-22,833,833
2008-11-23,864,864
2008-11-24,853,925
2008-11-25,888,922
2008-11-26,829,957
2008-11-27,862,862
2008-11-28,795,915
2008-11-29,829,829
2008-11-30,849,849
2008-12-01,856,915
2008-12-02,927,959
2008-12-03,918,"1,010"
2008-12-04,975,980
2008-12-05,900,"1,067"
2008-12-06,939,939
2008-12-07,968,968
2008-12-08,928,"1,022"
2008-12-09,917,998
2008-12-10,780,965
2008-12-11,792,842
2008-12-12,774,856
2008-12-13,810,813
2008-12-14,841,844
2008-12-15,849,889
2008-12-16,796,905
2008-12-17,809,851
2008-12-18,845,874
2008-12-19,830,920
2008-12-20,832,868
2008-12-21,859,861
2008-12-22,873,922
2008-12-23,876,963
2008-12-24,783,934
2008-12-25,808,809
2008-12-26,832,832
2008-12-27,847,847
2008-12-28,860,860
2008-12-29,858,900
2008-12-30,902,945
2008-12-31,929,973
2009-01-01,919,965
2009-01-02,890,995
2009-01-03,876,927
2009-01-04,903,903
2009-01-05,915,996
2009-01-06,951,"1,009"
2009-01-07,869,"1,022"
2009-01-08,871,947
2009-01-09,882,948
2009-01-10,825,927
2009-01-11,846,847
2009-01-12,877,905
2009-01-13,886,944
2009-01-14,868,972
2009-01-15,836,933
2009-01-16,840,920
2009-01-17,846,888
2009-01-18,874,875
2009-01-19,871,905
2009-01-20,873,942
2009-01-21,885,929
2009-01-22,899,951
2009-01-23,904,977
2009-01-24,836,954
2009-01-25,858,858
2009-01-26,881,946
2009-01-27,846,970
2009-01-28,836,913
2009-01-29,832,879
2009-01-30,744,900
2009-01-31,770,770
2009-02-01,788,788
2009-02-02,795,839
2009-02-03,860,886
2009-02-04,871,946
2009-02-05,902,946
2009-02-06,840,999
2009-02-07,883,884
