Date,Midnight population,24-hour population
2008-10-01,43,45
2008-10-02,41,47
2008-10-03,35,45
2008-10-04,35,35
2008-10-05,35,35
2008-10-06,37,37
2008-10-07,37,37
2008-10-08,41,42
2008-10-09,36,42
2008-10-10,32,37
2008-10-11,32,32
2008-10-12,32,32
2008-10-13,32,32
2008-10-14,34,35
2008-10-15,38,38
2008-10-16,38,44
2008-10-17,39,39
2008-10-18,39,39
2008-10-19,39,39
2008-10-20,39,40
2008-10-21,34,40
2008-10-22,35,35
2008-10-23,30,35
2008-10-24,36,36
2008-10-25,36,36
2008-10-26,36,36
2008-10-27,37,37
2008-10-28,37,39
2008-10-29,36,37
2008-10-30,37,37
2008-10-31,38,38
2008-11-01,38,38
2008-11-02,38,38
2008-11-03,38,41
2008-11-04,38,38
2008-11-05,37,40
2008-11-06,36,38
2008-11-07,37,37
2008-11-08,37,37
2008-11-09,37,37
2008-11-10,37,37
2008-11-11,37,37
2008-11-12,33,37
2008-11-13,34,34
2008-11-14,35,37
2008-11-15,35,35
2008-11-16,35,35
2008-11-17,35,35
2008-11-18,31,37
2008-11-19,30,31
2008-11-20,33,33
2008-11-21,33,34
2008-11-22,33,33
2008-11-23,33,33
2008-11-24,31,33
2008-11-25,35,36
2008-11-26,36,38
2008-11-27,36,36
2008-11-28,34,39
2008-11-29,34,34
2008-11-30,37,37
2008-12-01,37,40
2008-12-02,38,39
2008-12-03,28,38
2008-12-04,33,34
2008-12-05,32,35
2008-12-06,32,32
2008-12-07,32,32
2008-12-08,35,35
2008-12-09,39,39
2008-12-10,40,40
2008-12-11,40,40
2008-12-12,40,40
2008-12-13,40,40
2008-12-14,40,40
2008-12-15,38,40
2008-12-16,42,42
2008-12-17,41,42
2008-12-18,39,41
2008-12-19,39,39
2008-12-20,39,39
2008-12-21,39,39
2008-12-22,39,41
2008-12-23,36,41
2008-12-24,37,38
2008-12-25,37,37
2008-12-26,37,37
2008-12-27,37,37
2008-12-28,38,38
2008-12-29,35,38
2008-12-30,29,35
2008-12-31,29,29
2009-01-01,29,29
2009-01-02,29,33
2009-01-03,29,29
2009-01-04,29,29
2009-01-05,30,30
2009-01-06,28,31
2009-01-07,30,30
2009-01-08,31,31
2009-01-09,33,34
2009-01-10,33,33
2009-01-11,33,33
2009-01-12,31,33
2009-01-13,34,34
2009-01-14,35,36
2009-01-15,37,37
2009-01-16,37,38
2009-01-17,37,37
2009-01-18,37,37
2009-01-19,37,37
2009-01-20,37,37
2009-01-21,36,37
2009-01-22,36,41
2009-01-23,33,37
2009-01-24,33,33
2009-01-25,33,33
2009-01-26,33,34
2009-01-27,35,36
2009-01-28,37,37
2009-01-29,36,38
2009-01-30,35,36
2009-01-31,35,35
2009-02-01,35,35
2009-02-02,36,36
2009-02-03,35,37
2009-02-04,35,35
2009-02-05,37,39
2009-02-06,30,40
2009-02-07,30,30
2009-02-08,30,30
2009-02-09,30,30
2009-02-10,29,31
2009-02-11,32,33
2009-02-12,35,36
2009-02-13,35,35
2009-02-14,35,35
2009-02-15,35,35
2009-02-16,35,35
2009-02-17,38,39
2009-02-18,40,42
2009-02-19,43,49
2009-02-20,38,45
2009-02-21,38,38
2009-02-22,38,38
2009-02-23,43,43
2009-02-24,36,45
2009-02-25,39,39
2009-02-26,38,41
2009-02-27,41,41
2009-02-28,41,41
2009-03-01,41,41
2009-03-02,41,41
2009-03-03,42,42
2009-03-04,42,44
2009-03-05,39,42
2009-03-06,38,40
2009-03-07,38,38
2009-03-08,38,38
2009-03-09,40,43
2009-03-10,34,40
2009-03-11,36,39
2009-03-12,36,36
2009-03-13,33,39
2009-03-14,33,33
2009-03-15,33,33
2009-03-16,34,35
2009-03-17,36,36
2009-03-18,37,37
2009-03-19,38,41
2009-03-20,38,42
2009-03-21,38,38
2009-03-22,38,38
2009-03-23,37,39
2009-03-24,38,40
2009-03-25,39,40
2009-03-26,37,40
2009-03-27,37,37
2009-03-28,37,37
2009-03-29,37,37
2009-03-30,38,38
2009-03-31,44,45
2009-04-01,39,49
2009-04-02,38,39
2009-04-03,38,40
2009-04-04,38,38
2009-04-05,43,43
2009-04-06,41,46
2009-04-07,41,41
2009-04-08,40,46
2009-04-09,39,43
2009-04-10,36,39
2009-04-11,36,36
2009-04-12,36,36
2009-04-13,37,37
2009-04-14,40,40
2009-04-15,41,44
2009-04-16,40,43
2009-04-17,44,44
2009-04-18,44,44
2009-04-19,44,44
2009-04-20,44,44
2009-04-21,44,44
2009-04-22,44,45
2009-04-23,37,44
2009-04-24,34,37
2009-04-25,34,34
2009-04-26,34,34
2009-04-27,34,34
2009-04-28,36,36
2009-04-29,41,41
2009-04-30,39,42
2009-05-01,42,45
2009-05-02,42,42
2009-05-03,42,42
2009-05-04,41,47
2009-05-05,44,46
2009-05-06,46,46
2009-05-07,44,47
2009-05-08,43,44
2009-05-09,43,43
2009-05-10,43,43
2009-05-11,42,43
2009-05-12,33,42
2009-05-13,35,36
2009-05-14,35,39
2009-05-15,35,37
2009-05-16,35,35
2009-05-17,35,35
2009-05-18,36,36
2009-05-19,36,37
2009-05-20,32,36
2009-05-21,33,33
2009-05-22,32,36
2009-05-23,32,32
2009-05-24,32,32
2009-05-25,32,32
2009-05-26,34,34
2009-05-27,35,35
2009-05-28,35,35
2009-05-29,33,35
2009-05-30,33,33
2009-05-31,33,33
2009-06-01,35,35
2009-06-02,35,35
2009-06-03,40,40
2009-06-04,40,44
2009-06-05,37,41
2009-06-06,37,37
2009-06-07,37,37
2009-06-08,36,37
2009-06-09,37,37
2009-06-10,37,37
2009-06-11,38,39
2009-06-12,40,41
2009-06-13,41,41
2009-06-14,41,41
2009-06-15,46,46
2009-06-16,45,46
2009-06-17,46,48
2009-06-18,45,49
2009-06-19,40,45
2009-06-20,40,40
2009-06-21,40,40
2009-06-22,43,44
2009-06-23,43,46
2009-06-24,40,43
2009-06-25,37,43
2009-06-26,35,38
2009-06-27,37,39
2009-06-28,37,37
2009-06-29,33,38
2009-06-30,34,34
2009-07-01,34,35
2009-07-02,36,38
2009-07-03,36,36
2009-07-04,36,36
2009-07-05,36,36
2009-07-06,39,39
2009-07-07,39,40
2009-07-08,40,40
2009-07-09,44,50
2009-07-10,42,46
2009-07-11,42,42
2009-07-12,46,46
2009-07-13,40,47
2009-07-14,46,46
2009-07-15,54,55
2009-07-16,57,58
2009-07-17,57,57
2009-07-18,57,57
2009-07-19,57,57
2009-07-20,57,57
2009-07-21,55,57
2009-07-22,56,57
2009-07-23,54,58
2009-07-24,55,55
2009-07-25,55,55
2009-07-26,55,55
2009-07-27,59,59
2009-07-28,58,59
2009-07-29,55,61
2009-07-30,60,60
2009-07-31,57,62
2009-08-01,57,57
2009-08-02,62,62
2009-08-03,58,63
2009-08-04,60,60
2009-08-05,50,60
2009-08-06,51,51
2009-08-07,52,53
2009-08-08,52,52
2009-08-09,52,52
2009-08-10,54,55
2009-08-11,56,56
2009-08-12,55,56
2009-08-13,55,56
2009-08-14,44,58
2009-08-15,44,44
2009-08-16,44,44
2009-08-17,50,50
2009-08-18,51,54
2009-08-19,40,52
2009-08-20,36,40
2009-08-21,35,36
2009-08-22,35,35
2009-08-23,35,35
2009-08-24,38,39
2009-08-25,38,38
2009-08-26,35,38
2009-08-27,35,35
2009-08-28,35,36
2009-08-29,35,35
2009-08-30,35,35
2009-08-31,35,35
2009-09-01,40,40
2009-09-02,44,45
2009-09-03,45,46
2009-09-04,46,47
2009-09-05,46,46
2009-09-06,46,46
2009-09-07,46,46
2009-09-08,45,48
2009-09-09,49,49
2009-09-10,58,58
2009-09-11,59,59
2009-09-12,59,59
2009-09-13,53,59
2009-09-14,55,56
2009-09-15,52,55
2009-09-16,53,54
2009-09-17,46,53
2009-09-18,51,51
2009-09-19,51,51
2009-09-20,51,51
2009-09-21,53,53
2009-09-22,56,57
2009-09-23,57,59
2009-09-24,58,59
2009-09-25,61,61
2009-09-26,61,61
2009-09-27,61,61
2009-09-28,61,62
2009-09-29,63,66
2009-09-30,62,65
2009-10-01,63,65
2009-10-02,60,68
2009-10-03,60,60
2009-10-04,60,60
2009-10-05,57,61
2009-10-06,55,58
2009-10-07,57,58
2009-10-08,54,57
2009-10-09,54,55
2009-10-10,55,55
2009-10-11,55,55
2009-10-12,55,55
2009-10-13,45,56
2009-10-14,45,47
2009-10-15,49,49
2009-10-16,40,50
2009-10-17,40,40
2009-10-18,40,40
2009-10-19,38,42
2009-10-20,38,38
2009-10-21,37,38
2009-10-22,37,37
2009-10-23,36,38
2009-10-24,36,36
2009-10-25,37,37
2009-10-26,40,41
2009-10-27,43,45
2009-10-28,41,47
2009-10-29,45,45
2009-10-30,46,46
2009-10-31,46,46
2009-11-01,46,46
2009-11-02,45,46
2009-11-03,44,46
2009-11-04,45,50
2009-11-05,43,47
2009-11-06,41,43
2009-11-07,41,41
2009-11-08,42,42
2009-11-09,42,44
2009-11-10,39,42
2009-11-11,39,39
2009-11-12,40,40
2009-11-13,39,40
2009-11-14,39,39
2009-11-15,39,39
2009-11-16,39,39
2009-11-17,40,40
2009-11-18,40,40
2009-11-19,39,41
2009-11-20,38,39
2009-11-21,38,38
2009-11-22,38,38
2009-11-23,39,39
2009-11-24,38,39
2009-11-25,37,39
2009-11-26,37,37
2009-11-27,37,38
2009-11-28,37,37
2009-11-29,37,37
2009-11-30,36,37
2009-12-01,33,36
2009-12-02,34,37
2009-12-03,34,34
2009-12-04,34,34
2009-12-05,34,34
2009-12-06,34,34
2009-12-07,31,34
2009-12-08,30,32
