Date,Midnight population,24-hour population,N,N2
2008-10-01,-1.0,-1.0,1002,928
2008-10-02,-1.0,-1.0,1052,943
2008-10-03,-1.0,-1.0,1010,850
2008-10-04,-1.0,-1.0,914,911
2008-10-05,-1.0,-1.0,911,911
2008-10-06,-1.0,-1.0,981,889
2008-10-07,-1.0,-1.0,899,897
2008-10-08,-1.0,-1.0,936,876
2008-10-09,-1.0,-1.0,965,822
2008-10-10,-1.0,-1.0,860,817
2008-10-11,-1.0,-1.0,817,817
2008-10-12,-1.0,-1.0,817,817
2008-10-13,-1.0,-1.0,817,817
2008-10-14,-1.0,-1.0,981,951
2008-10-15,-1.0,-1.0,957,790
2008-10-16,-1.0,-1.0,907,802
2008-10-17,-1.0,-1.0,977,929
2008-10-18,-1.0,-1.0,929,929
2008-10-19,-1.0,-1.0,929,929
2008-10-20,-1.0,-1.0,985,908
2008-10-21,-1.0,-1.0,929,926
2008-10-22,-1.0,-1.0,956,917
2008-10-23,-1.0,-1.0,1064,908
2008-10-24,-1.0,-1.0,1049,1003
2008-10-25,-1.0,-1.0,1003,1003
2008-10-26,-1.0,-1.0,1049,1048
2008-10-27,-1.0,-1.0,1178,1089
2008-10-28,-1.0,-1.0,1119,1118
2008-10-29,-1.0,-1.0,1144,1010
2008-10-30,915.0,973.0,1054,883
2008-10-31,914.0,972.0,964,901
2008-11-01,912.0,967.0,901,901
2008-11-02,914.0,963.0,901,901
2008-11-03,916.0,967.0,1040,984
2008-11-04,919.0,972.0,1038,988
2008-11-05,923.0,973.0,1030,1006
2008-11-06,923.0,977.0,1027,904
2008-11-07,924.0,979.0,974,913
2008-11-08,927.0,977.0,915,915
2008-11-09,931.0,979.0,915,915
2008-11-10,938.0,987.0,1050,1029
2008-11-11,945.0,994.0,1029,1029
2008-11-12,952.0,1004.0,1120,1025
2008-11-13,952.0,1006.0,1041,955
2008-11-14,960.0,1009.0,1052,1020
2008-11-15,967.0,1013.0,1020,1020
2008-11-16,970.0,1014.0,1020,1020
2008-11-17,973.0,1020.0,1105,1017
2008-11-18,977.0,1024.0,1050,1046
2008-11-19,985.0,1030.0,1157,1154
2008-11-20,987.0,1038.0,1160,980
2008-11-21,990.0,1041.0,1072,1010
2008-11-22,993.0,1040.0,1010,1010
2008-11-23,993.0,1038.0,1010,1010
2008-11-24,995.0,1041.0,1098,1035
2008-11-25,994.0,1042.0,1062,1043
2008-11-26,992.0,1039.0,1083,1013
2008-11-27,988.0,1035.0,1013,1013
2008-11-28,986.0,1031.0,1028,930
2008-11-29,987.0,1027.0,930,930
2008-11-30,988.0,1026.0,930,930
2008-12-01,992.0,1032.0,1084,1027
2008-12-02,996.0,1037.0,1048,1003
2008-12-03,998.0,1037.0,1053,1049
2008-12-04,996.0,1040.0,1106,931
