Date,Midnight population,24-hour population,Midnight population count,24-hour population count
2008-10-01,-1.0,-1.0,284,297
2008-10-02,-1.0,-1.0,280,303
2008-10-03,-1.0,-1.0,277,293
2008-10-04,-1.0,-1.0,277,277
2008-10-05,-1.0,-1.0,277,277
2008-10-06,-1.0,-1.0,270,285
2008-10-07,-1.0,-1.0,275,287
2008-10-08,-1.0,-1.0,272,287
2008-10-09,-1.0,-1.0,261,290
2008-10-10,-1.0,-1.0,266,279
2008-10-11,-1.0,-1.0,266,266
2008-10-12,-1.0,-1.0,266,266
2008-10-13,-1.0,-1.0,266,266
2008-10-14,-1.0,-1.0,273,287
2008-10-15,-1.0,-1.0,279,291
2008-10-16,-1.0,-1.0,279,298
2008-10-17,-1.0,-1.0,294,298
2008-10-18,-1.0,-1.0,294,294
2008-10-19,-1.0,-1.0,294,294
2008-10-20,-1.0,-1.0,290,302
2008-10-21,-1.0,-1.0,287,308
2008-10-22,-1.0,-1.0,282,299
2008-10-23,-1.0,-1.0,284,294
2008-10-24,-1.0,-1.0,265,296
2008-10-25,-1.0,-1.0,265,265
2008-10-26,-1.0,-1.0,265,265
2008-10-27,-1.0,-1.0,275,276
2008-10-28,-1.0,-1.0,271,289
2008-10-29,-1.0,-1.0,262,286
2008-10-30,275.0,287.0,259,285
2008-10-31,274.0,286.0,259,273
2008-11-01,274.0,284.0,259,259
2008-11-02,273.0,283.0,259,259
2008-11-03,273.0,284.0,283,287
2008-11-04,273.0,284.0,281,283
2008-11-05,273.0,284.0,259,293
2008-11-06,273.0,284.0,276,291
2008-11-07,273.0,284.0,280,284
2008-11-08,274.0,284.0,280,280
2008-11-09,274.0,284.0,280,280
2008-11-10,275.0,285.0,276,289
2008-11-11,275.0,285.0,276,276
2008-11-12,275.0,286.0,261,284
2008-11-13,275.0,285.0,269,280
2008-11-14,275.0,285.0,275,281
2008-11-15,274.0,284.0,275,275
2008-11-16,274.0,283.0,275,275
2008-11-17,273.0,283.0,281,288
2008-11-18,273.0,283.0,284,295
2008-11-19,273.0,283.0,276,300
2008-11-20,272.0,283.0,273,289
2008-11-21,272.0,282.0,267,283
2008-11-22,271.0,281.0,267,267
2008-11-23,271.0,280.0,267,267
2008-11-24,272.0,281.0,283,284
2008-11-25,272.0,282.0,276,302
2008-11-26,272.0,282.0,270,287
