Date,Midnight population,24-hour population
2008-10-01,123,124
2008-10-02,127,130
2008-10-03,125,137
2008-10-04,115,125
2008-10-05,115,115
2008-10-06,109,120
2008-10-07,118,121
2008-10-08,125,129
2008-10-09,140,146
2008-10-10,130,151
2008-10-11,130,130
2008-10-12,130,130
2008-10-13,130,130
2008-10-14,148,150
2008-10-15,145,153
2008-10-16,150,153
2008-10-17,150,157
2008-10-18,147,159
2008-10-19,150,150
2008-10-20,155,157
2008-10-21,165,167
2008-10-22,172,180
2008-10-23,173,175
2008-10-24,164,174
2008-10-25,164,164
2008-10-26,164,164
2008-10-27,168,170
2008-10-28,153,178
2008-10-29,141,160
2008-10-30,146,147
2008-10-31,140,154
2008-11-01,140,140
2008-11-02,141,141
2008-11-03,153,156
2008-11-04,149,166
2008-11-05,157,172
2008-11-06,167,169
2008-11-07,155,167
2008-11-08,155,155
2008-11-09,155,155
2008-11-10,161,163
2008-11-11,163,163
2008-11-12,168,169
2008-11-13,156,175
2008-11-14,149,162
2008-11-15,152,152
2008-11-16,153,153
2008-11-17,170,174
2008-11-18,163,185
2008-11-19,167,172
2008-11-20,173,177
2008-11-21,165,180
2008-11-22,165,165
2008-11-23,165,165
2008-11-24,167,168
2008-11-25,155,170
2008-11-26,162,163
2008-11-27,162,162
2008-11-28,158,174
2008-11-29,159,159
2008-11-30,159,159
2008-12-01,155,161
2008-12-02,157,163
2008-12-03,163,164
2008-12-04,176,178
2008-12-05,163,177
2008-12-06,163,163
2008-12-07,163,163
2008-12-08,171,173
2008-12-09,168,181
2008-12-10,150,176
2008-12-11,151,158
2008-12-12,138,156
2008-12-13,141,141
2008-12-14,145,145
2008-12-15,127,154
2008-12-16,133,137
2008-12-17,133,137
2008-12-18,137,143
2008-12-19,141,155
2008-12-20,141,141
2008-12-21,141,141
2008-12-22,143,144
2008-12-23,157,165
2008-12-24,152,157
2008-12-25,152,152
2008-12-26,152,152
2008-12-27,152,152
2008-12-28,151,152
2008-12-29,155,160
2008-12-30,174,175
2008-12-31,171,180
2009-01-01,171,171
2009-01-02,161,181
2009-01-03,161,161
2009-01-04,161,161
2009-01-05,163,168
2009-01-06,166,178
2009-01-07,167,168
2009-01-08,173,176
2009-01-09,161,183
2009-01-10,161,161
2009-01-11,162,162
2009-01-12,178,185
2009-01-13,172,185
2009-01-14,175,179
2009-01-15,191,192
2009-01-16,175,198
2009-01-17,175,175
2009-01-18,175,175
2009-01-19,175,175
2009-01-20,178,189
2009-01-21,171,189
2009-01-22,163,177
2009-01-23,161,171
2009-01-24,163,163
2009-01-25,163,163
2009-01-26,170,171
2009-01-27,157,180
2009-01-28,174,178
2009-01-29,183,185
2009-01-30,185,199
2009-01-31,184,185
2009-02-01,184,184
2009-02-02,181,209
2009-02-03,176,196
2009-02-04,177,180
2009-02-05,195,199
2009-02-06,183,207
2009-02-07,183,183
2009-02-08,183,183
2009-02-09,183,194
2009-02-10,175,191
2009-02-11,186,194
2009-02-12,195,197
2009-02-13,170,204
2009-02-14,170,170
2009-02-15,171,171
2009-02-16,172,172
2009-02-17,163,194
2009-02-18,166,172
2009-02-19,173,175
2009-02-20,161,178
2009-02-21,163,163
2009-02-22,163,163
2009-02-23,173,187
2009-02-24,174,189
2009-02-25,188,192
2009-02-26,204,211
2009-02-27,210,230
2009-02-28,204,210
2009-03-01,204,204
2009-03-02,207,215
2009-03-03,196,215
2009-03-04,202,205
2009-03-05,194,205
2009-03-06,176,196
2009-03-07,176,176
2009-03-08,176,176
2009-03-09,184,192
2009-03-10,172,194
2009-03-11,170,172
2009-03-12,168,172
2009-03-13,154,175
2009-03-14,155,155
2009-03-15,155,155
2009-03-16,162,171
2009-03-17,167,185
2009-03-18,165,175
2009-03-19,198,218
2009-03-20,186,204
2009-03-21,186,186
2009-03-22,187,187
2009-03-23,179,209
2009-03-24,161,179
2009-03-25,170,176
2009-03-26,182,189
2009-03-27,172,199
2009-03-28,172,172
2009-03-29,172,172
2009-03-30,173,176
2009-03-31,166,186
2009-04-01,176,182
2009-04-02,186,188
2009-04-03,171,192
2009-04-04,171,171
2009-04-05,171,171
2009-04-06,176,191
2009-04-07,164,188
2009-04-08,167,172
2009-04-09,184,194
2009-04-10,187,206
2009-04-11,188,188
2009-04-12,188,188
2009-04-13,185,188
2009-04-14,170,194
2009-04-15,167,172
2009-04-16,181,186
2009-04-17,166,188
2009-04-18,166,166
2009-04-19,166,166
2009-04-20,171,178
2009-04-21,151,182
2009-04-22,154,155
2009-04-23,153,159
2009-04-24,132,160
2009-04-25,132,132
2009-04-26,131,132
2009-04-27,134,143
2009-04-28,109,141
2009-04-29,114,117
2009-04-30,117,119
2009-05-01,103,123
2009-05-02,104,104
2009-05-03,104,104
2009-05-04,108,111
2009-05-05,102,118
2009-05-06,105,108
2009-05-07,96,108
2009-05-08,93,98
2009-05-09,94,94
2009-05-10,94,94
2009-05-11,97,100
2009-05-12,91,101
2009-05-13,95,97
2009-05-14,100,103
2009-05-15,88,103
2009-05-16,88,88
2009-05-17,88,88
2009-05-18,105,106
2009-05-19,101,111
2009-05-20,99,104
2009-05-21,113,113
2009-05-22,112,126
2009-05-23,112,112
2009-05-24,112,112
2009-05-25,112,112
2009-05-26,137,140
2009-05-27,137,148
2009-05-28,138,141
2009-05-29,126,143
2009-05-30,126,126
2009-05-31,126,126
2009-06-01,140,144
2009-06-02,133,150
2009-06-03,124,137
2009-06-04,134,139
2009-06-05,126,145
2009-06-06,126,126
2009-06-07,125,126
2009-06-08,136,139
2009-06-09,131,140
2009-06-10,128,137
2009-06-11,155,157
2009-06-12,135,157
2009-06-13,135,135
2009-06-14,135,135
2009-06-15,138,142
2009-06-16,138,154
2009-06-17,132,141
2009-06-18,144,159
2009-06-19,124,149
2009-06-20,124,124
2009-06-21,124,124
2009-06-22,138,141
2009-06-23,143,146
2009-06-24,150,152
2009-06-25,155,157
2009-06-26,142,160
2009-06-27,142,142
2009-06-28,142,142
2009-06-29,159,164
2009-06-30,163,170
2009-07-01,163,168
2009-07-02,139,169
2009-07-03,139,139
2009-07-04,139,139
2009-07-05,139,139
2009-07-06,140,152
2009-07-07,138,150
2009-07-08,139,147
2009-07-09,143,145
2009-07-10,137,153
2009-07-11,137,137
2009-07-12,138,138
2009-07-13,144,148
2009-07-14,145,154
2009-07-15,148,157
2009-07-16,148,150
2009-07-17,138,159
2009-07-18,138,138
2009-07-19,138,138
2009-07-20,139,142
2009-07-21,128,142
2009-07-22,124,135
2009-07-23,138,140
2009-07-24,129,152
2009-07-25,129,129
2009-07-26,129,129
2009-07-27,140,143
2009-07-28,138,148
2009-07-29,145,149
2009-07-30,147,150
2009-07-31,124,152
2009-08-01,124,124
2009-08-02,124,124
2009-08-03,130,133
2009-08-04,125,134
2009-08-05,123,132
2009-08-06,133,135
2009-08-07,110,138
2009-08-08,110,110
2009-08-09,110,110
2009-08-10,119,119
2009-08-11,126,131
2009-08-12,127,137
2009-08-13,145,146
2009-08-14,135,157
2009-08-15,135,135
2009-08-16,135,135
2009-08-17,146,148
2009-08-18,153,154
2009-08-19,165,168
2009-08-20,168,170
2009-08-21,141,174
2009-08-22,141,141
2009-08-23,141,141
2009-08-24,146,149
2009-08-25,144,154
2009-08-26,138,157
2009-08-27,149,152
2009-08-28,125,155
2009-08-29,125,125
2009-08-30,125,125
2009-08-31,135,137
2009-09-01,129,144
2009-09-02,131,136
2009-09-03,128,147
2009-09-04,124,144
2009-09-05,124,124
2009-09-06,124,124
2009-09-07,124,124
2009-09-08,132,133
2009-09-09,130,133
2009-09-10,136,139
2009-09-11,118,139
2009-09-12,118,118
2009-09-13,118,118
2009-09-14,119,121
2009-09-15,111,124
2009-09-16,130,130
2009-09-17,138,141
2009-09-18,136,149
2009-09-19,136,136
2009-09-20,136,136
2009-09-21,144,146
2009-09-22,149,158
2009-09-23,153,154
2009-09-24,146,155
2009-09-25,134,159
2009-09-26,134,134
2009-09-27,134,134
2009-09-28,138,145
2009-09-29,137,146
2009-09-30,139,153
2009-10-01,144,147
2009-10-02,130,154
2009-10-03,130,130
2009-10-04,130,130
2009-10-05,144,147
2009-10-06,143,153
2009-10-07,143,154
2009-10-08,150,153
2009-10-09,138,152
2009-10-10,138,138
2009-10-11,138,138
2009-10-12,138,138
2009-10-13,128,143
2009-10-14,130,137
2009-10-15,134,137
2009-10-16,117,142
2009-10-17,118,118
2009-10-18,118,118
2009-10-19,127,128
2009-10-20,116,141
2009-10-21,120,125
2009-10-22,138,138
2009-10-23,129,145
2009-10-24,129,129
2009-10-25,129,129
2009-10-26,137,140
2009-10-27,122,145
2009-10-28,126,129
2009-10-29,137,141
2009-10-30,123,146
2009-10-31,123,123
2009-11-01,123,123
2009-11-02,123,127
2009-11-03,126,131
2009-11-04,132,134
2009-11-05,134,139
2009-11-06,131,142
2009-11-07,131,131
2009-11-08,131,131
2009-11-09,142,145
2009-11-10,146,148
2009-11-11,134,146
2009-11-12,142,145
2009-11-13,143,155
2009-11-14,144,144
2009-11-15,144,144
2009-11-16,151,153
2009-11-17,133,157
2009-11-18,134,137
2009-11-19,134,138
2009-11-20,129,140
2009-11-21,129,129
2009-11-22,129,129
2009-11-23,129,130
2009-11-24,129,137
2009-11-25,131,136
2009-11-26,131,131
2009-11-27,120,131
2009-11-28,120,120
2009-11-29,121,121
2009-11-30,125,130
2009-12-01,117,135
2009-12-02,120,121
2009-12-03,123,126
2009-12-04,103,124
2009-12-05,103,103
2009-12-06,103,103
2009-12-07,113,113
2009-12-08,118,124
2009-12-09,118,118
2009-12-10,122,126
2009-12-11,114,134
2009-12-12,114,114
2009-12-13,114,114
2009-12-14,107,120
2009-12-15,108,118
2009-12-16,118,120
2009-12-17,125,127
2009-12-18,120,133
2009-12-19,120,120
2009-12-20,120,120
2009-12-21,123,126
2009-12-22,114,130
2009-12-23,112,115
2009-12-24,102,113
2009-12-25,102,102
2009-12-26,102,102
2009-12-27,102,102
2009-12-28,102,105
2009-12-29,98,105
2009-12-30,102,108
2009-12-31,98,102
2010-01-01,98,98
2010-01-02,98,98
2010-01-03,98,98
2010-01-04,98,99
2010-01-05,97,104
2010-01-06,102,102
2010-01-07,105,109
2010-01-08,102,112
2010-01-09,102,102
2010-01-10,102,102
2010-01-11,107,113
2010-01-12,111,117
2010-01-13,114,115
2010-01-14,113,115
2010-01-15,107,119
2010-01-16,107,107
2010-01-17,107,107
2010-01-18,107,107
2010-01-19,108,116
2010-01-20,120,123
2010-01-21,119,121
2010-01-22,113,123
2010-01-23,113,113
2010-01-24,113,113
2010-01-25,123,126
2010-01-26,111,126
2010-01-27,109,117
2010-01-28,114,115
2010-01-29,108,120
2010-01-30,108,108
2010-01-31,108,108
2010-02-01,113,116
2010-02-02,112,126
2010-02-03,111,116
2010-02-04,110,117
2010-02-05,103,115
2010-02-06,103,103
2010-02-07,103,103
2010-02-08,104,108
2010-02-09,94,110
2010-02-10,101,102
2010-02-11,104,109
2010-02-12,104,111
2010-02-13,104,104
2010-02-14,104,104
2010-02-15,104,104
2010-02-16,108,116
2010-02-17,109,112
2010-02-18,111,117
2010-02-19,102,116
2010-02-20,102,102
2010-02-21,102,102
2010-02-22,102,104
2010-02-23,103,112
2010-02-24,110,110
2010-02-25,109,117
2010-02-26,100,114
2010-02-27,100,100
2010-02-28,100,100
2010-03-01,104,104
2010-03-02,102,117
2010-03-03,106,110
2010-03-04,109,111
2010-03-05,93,109
2010-03-06,93,93
2010-03-07,93,93
2010-03-08,102,104
2010-03-09,95,111
2010-03-10,102,102
2010-03-11,105,109
2010-03-12,96,110
2010-03-13,96,96
2010-03-14,96,96
2010-03-15,101,103
2010-03-16,100,110
2010-03-17,111,111
2010-03-18,111,117
2010-03-19,106,119
2010-03-20,106,106
2010-03-21,106,106
2010-03-22,118,124
2010-03-23,117,127
2010-03-24,117,126
2010-03-25,131,138
2010-03-26,120,139
2010-03-27,120,120
2010-03-28,120,120
2010-03-29,132,138
2010-03-30,124,144
2010-03-31,132,135
2010-04-01,150,155
2010-04-02,144,156
2010-04-03,143,144
2010-04-04,143,143
2010-04-05,163,163
2010-04-06,155,172
2010-04-07,163,165
2010-04-08,178,186
2010-04-09,174,185
2010-04-10,174,174
2010-04-11,174,174
2010-04-12,187,192
2010-04-13,167,193
2010-04-14,172,179
2010-04-15,186,192
2010-04-16,170,194
2010-04-17,170,170
2010-04-18,170,170
2010-04-19,189,191
2010-04-20,171,198
2010-04-21,175,177
2010-04-22,186,190
2010-04-23,168,190
2010-04-24,168,168
2010-04-25,168,168
2010-04-26,171,174
2010-04-27,166,183
2010-04-28,172,174
2010-04-29,183,187
2010-04-30,169,191
2010-05-01,169,169
2010-05-02,169,169
2010-05-03,188,192
2010-05-04,155,197
2010-05-05,171,174
2010-05-06,168,176
2010-05-07,160,178
2010-05-08,160,160
2010-05-09,160,160
2010-05-10,172,179
2010-05-11,161,180
2010-05-12,180,187
2010-05-13,197,204
2010-05-14,199,212
2010-05-15,199,199
2010-05-16,199,199
2010-05-17,217,218
2010-05-18,206,231
2010-05-19,201,212
2010-05-20,215,217
2010-05-21,210,231
2010-05-22,211,211
2010-05-23,211,211
2010-05-24,219,224
2010-05-25,205,228
2010-05-26,206,211
2010-05-27,227,228
2010-05-28,214,237
2010-05-29,215,215
2010-05-30,215,215
2010-05-31,215,215
2010-06-01,201,229
2010-06-02,214,216
2010-06-03,222,225
2010-06-04,217,238
2010-06-05,217,217
2010-06-06,217,217
2010-06-07,225,226
2010-06-08,228,245
2010-06-09,236,241
2010-06-10,232,241
2010-06-11,221,240
2010-06-12,221,221
2010-06-13,221,221
2010-06-14,232,239
2010-06-15,228,247
2010-06-16,228,234
2010-06-17,231,236
2010-06-18,207,238
2010-06-19,207,207
2010-06-20,207,207
2010-06-21,211,214
2010-06-22,202,224
2010-06-23,202,211
2010-06-24,202,213
2010-06-25,192,227
2010-06-26,192,192
2010-06-27,192,192
2010-06-28,205,209
2010-06-29,197,212
2010-06-30,196,202
2010-07-01,211,215
2010-07-02,196,218
2010-07-03,196,196
2010-07-04,196,196
2010-07-05,196,196
2010-07-06,195,210
2010-07-07,189,209
2010-07-08,190,204
2010-07-09,179,193
2010-07-10,179,179
2010-07-11,178,179
2010-07-12,195,197
2010-07-13,185,210
2010-07-14,181,189
2010-07-15,187,193
2010-07-16,180,193
2010-07-17,180,180
2010-07-18,180,180
2010-07-19,192,193
2010-07-20,188,209
2010-07-21,190,197
2010-07-22,203,208
2010-07-23,208,229
2010-07-24,208,208
2010-07-25,208,208
2010-07-26,227,233
2010-07-27,219,230
2010-07-28,216,219
2010-07-29,226,227
2010-07-30,219,230
2010-07-31,219,219
2010-08-01,219,219
2010-08-02,212,229
2010-08-03,212,228
2010-08-04,211,217
2010-08-05,221,221
2010-08-06,218,227
2010-08-07,218,218
2010-08-08,218,218
2010-08-09,223,223
2010-08-10,201,226
2010-08-11,203,206
2010-08-12,207,209
2010-08-13,199,213
2010-08-14,199,199
2010-08-15,199,199
2010-08-16,205,209
2010-08-17,194,209
2010-08-18,200,201
2010-08-19,204,206
2010-08-20,207,215
2010-08-21,207,207
2010-08-22,207,207
2010-08-23,183,207
2010-08-24,190,192
2010-08-25,190,190
2010-08-26,193,195
2010-08-27,205,213
2010-08-28,205,205
2010-08-29,205,205
2010-08-30,208,211
2010-08-31,206,220
2010-09-01,213,215
2010-09-02,210,215
2010-09-03,212,223
2010-09-04,211,212
2010-09-05,211,211
2010-09-06,211,211
2010-09-07,211,223
2010-09-08,216,219
2010-09-09,223,228
2010-09-10,220,237
2010-09-11,220,220
2010-09-12,220,220
2010-09-13,215,226
2010-09-14,210,220
2010-09-15,224,226
2010-09-16,240,241
2010-09-17,245,248
2010-09-18,227,245
2010-09-19,227,227
2010-09-20,245,259
2010-09-21,235,257
2010-09-22,237,242
2010-09-23,245,247
2010-09-24,230,247
2010-09-25,230,230
2010-09-26,230,230
2010-09-27,229,232
2010-09-28,215,230
2010-09-29,212,216
2010-09-30,222,231
2010-10-01,201,224
2010-10-02,201,201
2010-10-03,201,201
2010-10-04,202,206
2010-10-05,195,208
2010-10-06,198,201
