Date,Midnight population,24-hour population
2008-10-01,0.0,0.0
2008-10-02,0.0,0.0
2008-10-03,0.0,0.0
2008-10-04,0.0,0.0
2008-10-05,0.0,0.0
2008-10-06,0.0,0.0
2008-10-07,0.0,0.0
2008-10-08,0.0,0.0
2008-10-09,0.0,0.0
2008-10-10,0.0,0.0
2008-10-11,0.0,0.0
2008-10-12,0.0,0.0
2008-10-13,0.0,0.0
2008-10-14,0.0,0.0
2008-10-15,0.0,0.0
2008-10-16,0.0,0.0
2008-10-17,0.0,0.0
2008-10-18,0.0,0.0
2008-10-19,0.0,0.0
2008-10-20,0.0,0.0
2008-10-21,0.0,0.0
2008-10-22,0.0,0.0
2008-10-23,0.0,0.0
2008-10-24,0.0,0.0
2008-10-25,0.0,0.0
2008-10-26,0.0,0.0
2008-10-27,0.0,0.0
2008-10-28,0.0,0.0
2008-10-29,0.0,0.0
2008-10-30,688.0,731.0
2008-10-31,689.0,733.0
2008-11-01,689.0,734.0
2008-11-02,689.0,731.0
2008-11-03,690.0,733.0
2008-11-04,690.0,735.0
2008-11-05,689.0,736.0
2008-11-06,686.0,733.0
2008-11-07,680.0,729.0
2008-11-08,676.0,722.0
2008-11-09,666.0,712.0
2008-11-10,663.0,704.0
2008-11-11,660.0,701.0
2008-11-12,659.0,699.0
2008-11-13,657.0,697.0
2008-11-14,656.0,696.0
2008-11-15,654.0,694.0
2008-11-16,652.0,691.0
2008-11-17,652.0,689.0
2008-11-18,650.0,691.0
2008-11-19,648.0,689.0
2008-11-20,646.0,686.0
2008-11-21,642.0,684.0
2008-11-22,639.0,680.0
2008-11-23,637.0,675.0
2008-11-24,636.0,674.0
2008-11-25,634.0,674.0
2008-11-26,635.0,673.0
2008-11-27,635.0,672.0
2008-11-28,633.0,671.0
2008-11-29,631.0,668.0
2008-11-30,628.0,663.0
2008-12-01,627.0,660.0
2008-12-02,627.0,662.0
2008-12-03,625.0,662.0
2008-12-04,624.0,660.0
2008-12-05,624.0,660.0
2008-12-06,624.0,659.0
2008-12-07,626.0,658.0
2008-12-08,629.0,660.0
2008-12-09,632.0,666.0
2008-12-10,635.0,670.0
2008-12-11,638.0,675.0
2008-12-12,641.0,679.0
2008-12-13,640.0,681.0
2008-12-14,637.0,678.0
2008-12-15,634.0,674.0
2008-12-16,631.0,673.0
2008-12-17,630.0,671.0
2008-12-18,632.0,671.0
2008-12-19,634.0,674.0
2008-12-20,634.0,675.0
2008-12-21,634.0,671.0
2008-12-22,632.0,672.0
2008-12-23,631.0,672.0
2008-12-24,635.0,674.0
2008-12-25,638.0,676.0
2008-12-26,639.0,677.0
2008-12-27,639.0,677.0
2008-12-28,641.0,677.0
2008-12-29,640.0,679.0
2008-12-30,639.0,679.0
2008-12-31,639.0,679.0
2009-01-01,638.0,677.0
2009-01-02,637.0,675.0
2009-01-03,635.0,672.0
2009-01-04,633.0,668.0
2009-01-05,631.0,665.0
2009-01-06,630.0,665.0
2009-01-07,630.0,665.0
2009-01-08,630.0,665.0
2009-01-09,631.0,667.0
2009-01-10,631.0,666.0
2009-01-11,630.0,664.0
2009-01-12,634.0,664.0
2009-01-13,638.0,670.0
2009-01-14,641.0,674.0
2009-01-15,645.0,679.0
2009-01-16,647.0,682.0
2009-01-17,644.0,680.0
2009-01-18,642.0,675.0
2009-01-19,641.0,672.0
2009-01-20,642.0,673.0
2009-01-21,645.0,675.0
2009-01-22,644.0,676.0
2009-01-23,642.0,675.0
2009-01-24,637.0,673.0
2009-01-25,631.0,667.0
2009-01-26,625.0,662.0
2009-01-27,622.0,660.0
2009-01-28,624.0,659.0
2009-01-29,626.0,662.0
2009-01-30,628.0,666.0
2009-01-31,627.0,669.0
2009-02-01,627.0,666.0
2009-02-02,628.0,668.0
