Date,Midnight population,24-hour population
2008-10-01,774,805
2008-10-02,808,822
2008-10-03,823,850
2008-10-04,822,823
2008-10-05,822,822
2008-10-06,796,858
2008-10-07,792,831
2008-10-08,793,820
2008-10-09,781,814
2008-10-10,786,805
2008-10-11,816,816
2008-10-12,815,817
2008-10-13,814,815
2008-10-14,799,851
2008-10-15,755,823
2008-10-16,784,794
2008-10-17,833,850
2008-10-18,882,884
2008-10-19,882,882
2008-10-20,878,944
2008-10-21,874,942
2008-10-22,878,929
2008-10-23,910,928
2008-10-24,898,966
2008-10-25,896,899
2008-10-26,896,896
2008-10-27,920,969
2008-10-28,932,978
2008-10-29,955,"1,001"
2008-10-30,967,"1,017"
2008-10-31,993,"1,034"
2008-11-01,994,994
2008-11-02,994,994
2008-11-03,"1,005","1,043"
2008-11-04,984,"1,039"
2008-11-05,986,"1,032"
2008-11-06,987,"1,030"
2008-11-07,"1,017","1,033"
2008-11-08,"1,017","1,017"
2008-11-09,"1,017","1,017"
2008-11-10,987,"1,052"
2008-11-11,987,987
2008-11-12,"1,004","1,033"
2008-11-13,"1,019","1,045"
2008-11-14,"1,045","1,083"
2008-11-15,"1,045","1,045"
2008-11-16,"1,045","1,045"
2008-11-17,"1,025","1,070"
2008-11-18,"1,014","1,081"
2008-11-19,"1,000","1,039"
2008-11-20,951,"1,026"
2008-11-21,966,979
2008-11-22,965,966
2008-11-23,965,965
2008-11-24,978,"1,022"
2008-11-25,"1,022","1,050"
2008-11-26,"1,012","1,047"
2008-11-27,"1,051","1,051"
2008-11-28,"1,051","1,052"
2008-11-29,"1,051","1,051"
2008-11-30,"1,051","1,051"
2008-12-01,"1,095","1,108"
2008-12-02,"1,078","1,145"
2008-12-03,"1,094","1,121"
2008-12-04,"1,131","1,156"
2008-12-05,"1,120","1,160"
2008-12-06,"1,120","1,120"
2008-12-07,"1,120","1,120"
2008-12-08,"1,131","1,184"
2008-12-09,"1,120","1,173"
2008-12-10,"1,125","1,159"
2008-12-11,"1,149","1,179"
2008-12-12,"1,143","1,178"
2008-12-13,"1,142","1,143"
2008-12-14,"1,142","1,142"
2008-12-15,"1,132","1,180"
2008-12-16,"1,117","1,176"
2008-12-17,"1,037","1,118"
2008-12-18,"1,075","1,082"
2008-12-19,"1,089","1,130"
2008-12-20,"1,088","1,089"
2008-12-21,"1,088","1,088"
2008-12-22,"1,102","1,151"
2008-12-23,"1,084","1,112"
2008-12-24,"1,123","1,158"
2008-12-25,"1,122","1,123"
2008-12-26,"1,122","1,122"
2008-12-27,"1,122","1,122"
2008-12-28,"1,122","1,122"
2008-12-29,"1,148","1,168"
2008-12-30,"1,178","1,211"
2008-12-31,"1,201","1,242"
2009-01-01,"1,201","1,201"
2009-01-02,"1,184","1,215"
2009-01-03,"1,184","1,185"
2009-01-04,"1,184","1,184"
2009-01-05,"1,202","1,243"
2009-01-06,"1,141","1,213"
2009-01-07,"1,160","1,195"
2009-01-08,"1,192","1,214"
2009-01-09,"1,201","1,232"
2009-01-10,"1,200","1,201"
2009-01-11,"1,200","1,200"
2009-01-12,"1,168","1,212"
2009-01-13,"1,220","1,242"
2009-01-14,"1,243","1,299"
2009-01-15,"1,254","1,300"
2009-01-16,"1,261","1,293"
2009-01-17,"1,259","1,261"
2009-01-18,"1,259","1,259"
2009-01-19,"1,259","1,259"
2009-01-20,"1,295","1,358"
2009-01-21,"1,307","1,375"
2009-01-22,"1,274","1,358"
2009-01-23,"1,332","1,362"
2009-01-24,"1,331","1,332"
2009-01-25,"1,331","1,331"
2009-01-26,"1,318","1,383"
2009-01-27,"1,331","1,371"
2009-01-28,"1,336","1,418"
2009-01-29,"1,365","1,412"
2009-01-30,"1,321","1,401"
2009-01-31,"1,341","1,341"
2009-02-01,"1,341","1,341"
2009-02-02,"1,331","1,376"
2009-02-03,"1,310","1,376"
2009-02-04,"1,294","1,362"
2009-02-05,"1,291","1,348"
2009-02-06,"1,250","1,360"
2009-02-07,"1,250","1,250"
2009-02-08,"1,250","1,250"
2009-02-09,"1,218","1,299"
2009-02-10,"1,230","1,268"
2009-02-11,"1,250","1,291"
2009-02-12,"1,208","1,272"
2009-02-13,"1,232","1,260"
2009-02-14,"1,232","1,232"
2009-02-15,"1,232","1,232"
2009-02-16,"1,232","1,232"
2009-02-17,"1,214","1,265"
2009-02-18,"1,182","1,283"
2009-02-19,"1,169","1,202"
2009-02-20,"1,191","1,240"
2009-02-21,"1,186","1,191"
2009-02-22,"1,185","1,186"
2009-02-23,"1,156","1,227"
2009-02-24,"1,169","1,219"
2009-02-25,"1,148","1,233"
2009-02-26,"1,203","1,244"
2009-02-27,"1,202","1,264"
2009-02-28,"1,203","1,204"
2009-03-01,"1,203","1,203"
2009-03-02,"1,121","1,209"
2009-03-03,"1,104","1,196"
2009-03-04,"1,162","1,259"
2009-03-05,"1,181","1,210"
2009-03-06,"1,195","1,234"
2009-03-07,"1,193","1,195"
2009-03-08,"1,193","1,193"
2009-03-09,"1,183","1,223"
2009-03-10,"1,191","1,217"
2009-03-11,"1,186","1,248"
2009-03-12,"1,190","1,257"
2009-03-13,"1,221","1,262"
2009-03-14,"1,222","1,222"
2009-03-15,"1,222","1,222"
2009-03-16,"1,217","1,261"
2009-03-17,"1,188","1,269"
2009-03-18,"1,204","1,253"
2009-03-19,"1,213","1,251"
2009-03-20,"1,228","1,240"
2009-03-21,"1,236","1,238"
2009-03-22,"1,236","1,236"
2009-03-23,"1,258","1,273"
2009-03-24,"1,263","1,301"
2009-03-25,"1,282","1,345"
2009-03-26,"1,258","1,319"
2009-03-27,"1,267","1,300"
2009-03-28,"1,267","1,267"
2009-03-29,"1,267","1,267"
2009-03-30,"1,260","1,316"
2009-03-31,"1,275","1,297"
2009-04-01,"1,262","1,329"
2009-04-02,"1,249","1,287"
2009-04-03,"1,295","1,306"
2009-04-04,"1,295","1,295"
2009-04-05,"1,295","1,295"
2009-04-06,"1,318","1,346"
2009-04-07,"1,342","1,397"
2009-04-08,"1,335","1,415"
2009-04-09,"1,331","1,366"
2009-04-10,"1,321","1,353"
2009-04-11,"1,321","1,321"
2009-04-12,"1,321","1,321"
2009-04-13,"1,349","1,362"
2009-04-14,"1,354","1,431"
2009-04-15,"1,348","1,408"
2009-04-16,"1,342","1,408"
2009-04-17,"1,350","1,369"
2009-04-18,"1,347","1,350"
2009-04-19,"1,347","1,347"
2009-04-20,"1,332","1,364"
2009-04-21,"1,301","1,391"
2009-04-22,"1,316","1,378"
2009-04-23,"1,316","1,334"
2009-04-24,"1,342","1,364"
2009-04-25,"1,342","1,342"
2009-04-26,"1,342","1,342"
2009-04-27,"1,308","1,373"
2009-04-28,"1,318","1,398"
2009-04-29,"1,312","1,362"
2009-04-30,"1,283","1,351"
2009-05-01,"1,308","1,322"
2009-05-02,"1,308","1,308"
2009-05-03,"1,308","1,308"
2009-05-04,"1,326","1,346"
2009-05-05,"1,328","1,387"
2009-05-06,"1,328","1,408"
2009-05-07,"1,308","1,404"
2009-05-08,"1,308","1,330"
2009-05-09,"1,308","1,308"
2009-05-10,"1,308","1,308"
2009-05-11,"1,328","1,358"
2009-05-12,"1,338","1,376"
2009-05-13,"1,347","1,408"
2009-05-14,"1,358","1,385"
2009-05-15,"1,357","1,382"
2009-05-16,"1,357","1,357"
2009-05-17,"1,357","1,357"
2009-05-18,"1,357","1,404"
2009-05-19,"1,343","1,386"
2009-05-20,"1,268","1,377"
2009-05-21,"1,295","1,338"
2009-05-22,"1,305","1,357"
2009-05-23,"1,305","1,305"
2009-05-24,"1,305","1,305"
2009-05-25,"1,305","1,305"
2009-05-26,"1,331","1,344"
2009-05-27,"1,340","1,411"
2009-05-28,"1,335","1,382"
2009-05-29,"1,342","1,373"
2009-05-30,"1,346","1,347"
2009-05-31,"1,346","1,346"
2009-06-01,"1,303","1,352"
2009-06-02,"1,299","1,341"
2009-06-03,"1,287","1,343"
2009-06-04,"1,286","1,306"
2009-06-05,"1,272","1,299"
2009-06-06,"1,272","1,272"
2009-06-07,"1,272","1,272"
2009-06-08,"1,266","1,284"
2009-06-09,"1,247","1,275"
2009-06-10,"1,226","1,286"
2009-06-11,"1,220","1,268"
2009-06-12,"1,210","1,266"
2009-06-13,"1,210","1,210"
2009-06-14,"1,209","1,210"
2009-06-15,"1,189","1,246"
2009-06-16,"1,177","1,228"
2009-06-17,"1,149","1,192"
2009-06-18,"1,170","1,177"
2009-06-19,"1,161","1,179"
2009-06-20,"1,161","1,161"
2009-06-21,"1,161","1,161"
2009-06-22,"1,144","1,173"
2009-06-23,"1,126","1,147"
2009-06-24,"1,119","1,178"
2009-06-25,"1,133","1,192"
2009-06-26,"1,119","1,141"
2009-06-27,"1,119","1,119"
2009-06-28,"1,124","1,124"
2009-06-29,"1,106","1,159"
2009-06-30,"1,080","1,156"
2009-07-01,"1,099","1,131"
2009-07-02,"1,057","1,116"
2009-07-03,"1,057","1,058"
2009-07-04,"1,057","1,057"
2009-07-05,"1,057","1,057"
2009-07-06,"1,074","1,086"
2009-07-07,"1,079","1,098"
2009-07-08,"1,108","1,160"
2009-07-09,"1,079","1,121"
2009-07-10,"1,178","1,221"
2009-07-11,"1,178","1,179"
2009-07-12,"1,178","1,178"
2009-07-13,"1,184","1,223"
2009-07-14,"1,175","1,230"
2009-07-15,"1,169","1,200"
2009-07-16,"1,181","1,202"
2009-07-17,"1,168","1,197"
2009-07-18,"1,167","1,168"
2009-07-19,"1,167","1,167"
2009-07-20,"1,184","1,201"
2009-07-21,"1,187","1,212"
2009-07-22,"1,177","1,243"
2009-07-23,"1,191","1,258"
2009-07-24,"1,222","1,253"
2009-07-25,"1,222","1,222"
2009-07-26,"1,222","1,222"
2009-07-27,"1,207","1,264"
2009-07-28,"1,173","1,243"
2009-07-29,"1,161","1,200"
2009-07-30,"1,163","1,215"
2009-07-31,"1,162","1,191"
2009-08-01,"1,162","1,162"
2009-08-02,"1,162","1,163"
2009-08-03,"1,217","1,226"
2009-08-04,"1,207","1,252"
2009-08-05,"1,203","1,280"
2009-08-06,"1,223","1,242"
2009-08-07,"1,254","1,289"
2009-08-08,"1,258","1,261"
2009-08-09,"1,258","1,259"
2009-08-10,"1,229","1,285"
2009-08-11,"1,244","1,274"
2009-08-12,"1,257","1,288"
2009-08-13,"1,267","1,284"
2009-08-14,"1,265","1,292"
2009-08-15,"1,266","1,266"
2009-08-16,"1,266","1,266"
2009-08-17,"1,264","1,309"
2009-08-18,"1,236","1,314"
2009-08-19,"1,257","1,317"
2009-08-20,"1,242","1,302"
