Date,Midnight population,24-hour population,N,N2
2008-10-01,-1.0,-1.0,348,90
2008-10-02,-1.0,-1.0,337,134
2008-10-03,-1.0,-1.0,286,125
2008-10-04,-1.0,-1.0,140,48
2008-10-05,-1.0,-1.0,80,71
2008-10-06,-1.0,-1.0,312,140
2008-10-07,-1.0,-1.0,344,114
2008-10-08,-1.0,-1.0,289,87
2008-10-09,-1.0,-1.0,283,108
2008-10-10,-1.0,-1.0,246,120
2008-10-11,-1.0,-1.0,130,41
2008-10-12,-1.0,-1.0,46,39
2008-10-13,-1.0,-1.0,67,62
2008-10-14,-1.0,-1.0,271,72
2008-10-15,-1.0,-1.0,317,97
2008-10-16,-1.0,-1.0,295,97
2008-10-17,-1.0,-1.0,253,44
2008-10-18,-1.0,-1.0,51,41
2008-10-19,-1.0,-1.0,43,41
2008-10-20,-1.0,-1.0,211,58
2008-10-21,-1.0,-1.0,255,49
2008-10-22,-1.0,-1.0,246,54
2008-10-23,-1.0,-1.0,204,37
2008-10-24,-1.0,-1.0,268,59
2008-10-25,-1.0,-1.0,101,42
2008-10-26,-1.0,-1.0,44,36
2008-10-27,-1.0,-1.0,230,58
2008-10-28,-1.0,-1.0,252,39
2008-10-29,-1.0,-1.0,244,37
2008-10-30,69.0,215.0,258,35
2008-10-31,67.0,211.0,213,34
2008-11-01,64.0,201.0,38,30
2008-11-02,61.0,192.0,33,30
2008-11-03,60.0,194.0,201,41
2008-11-04,60.0,200.0,248,58
2008-11-05,57.0,197.0,226,45
2008-11-06,54.0,193.0,225,37
2008-11-07,53.0,189.0,170,38
2008-11-08,50.0,181.0,46,34
2008-11-09,47.0,174.0,35,32
2008-11-10,47.0,176.0,193,33
2008-11-11,47.0,176.0,40,32
2008-11-12,46.0,181.0,210,44
2008-11-13,45.0,179.0,216,33
2008-11-14,42.0,175.0,198,27
2008-11-15,40.0,166.0,30,27
2008-11-16,40.0,159.0,30,28
2008-11-17,40.0,164.0,218,38
2008-11-18,39.0,171.0,251,27
2008-11-19,38.0,170.0,177,32
2008-11-20,37.0,168.0,197,27
2008-11-21,37.0,166.0,183,26
2008-11-22,36.0,160.0,27,15
2008-11-23,34.0,152.0,19,14
2008-11-24,34.0,156.0,231,27
2008-11-25,33.0,162.0,224,17
2008-11-26,32.0,161.0,187,15
2008-11-27,31.0,153.0,18,10
2008-11-28,30.0,146.0,26,11
2008-11-29,29.0,137.0,12,10
2008-11-30,29.0,131.0,23,22
2008-12-01,28.0,137.0,221,18
2008-12-02,28.0,145.0,268,32
2008-12-03,28.0,145.0,203,19
2008-12-04,26.0,144.0,212,22
2008-12-05,26.0,143.0,202,33
2008-12-06,26.0,137.0,36,35
2008-12-07,26.0,132.0,39,33
2008-12-08,26.0,138.0,206,30
2008-12-09,25.0,144.0,213,20
2008-12-10,25.0,144.0,189,24
2008-12-11,24.0,149.0,195,15
2008-12-12,24.0,147.0,161,19
2008-12-13,23.0,141.0,24,15
2008-12-14,23.0,135.0,16,15
2008-12-15,23.0,141.0,213,39
2008-12-16,23.0,149.0,272,22
2008-12-17,22.0,149.0,232,25
2008-12-18,23.0,149.0,231,47
2008-12-19,24.0,151.0,255,72
2008-12-20,24.0,148.0,104,10
2008-12-21,23.0,143.0,17,11
2008-12-22,23.0,148.0,204,10
2008-12-23,25.0,155.0,204,79
2008-12-24,25.0,154.0,219,9
2008-12-25,24.0,147.0,16,10
2008-12-26,24.0,141.0,12,10
2008-12-27,24.0,141.0,12,10
2008-12-28,25.0,142.0,37,35
2008-12-29,26.0,148.0,199,40
2008-12-30,26.0,154.0,214,9
2008-12-31,26.0,153.0,179,18
2009-01-01,25.0,145.0,20,9
2009-01-02,25.0,140.0,66,10
2009-01-03,24.0,134.0,33,8
2009-01-04,23.0,128.0,8,8
2009-01-05,23.0,133.0,204,16
2009-01-06,23.0,139.0,224,32
2009-01-07,22.0,140.0,219,14
2009-01-08,22.0,138.0,176,11
2009-01-09,21.0,137.0,148,12
2009-01-10,21.0,131.0,18,7
2009-01-11,21.0,126.0,11,7
2009-01-12,21.0,131.0,180,15
2009-01-13,21.0,137.0,196,11
2009-01-14,19.0,138.0,216,7
2009-01-15,19.0,135.0,199,10
2009-01-16,19.0,132.0,142,11
2009-01-17,17.0,125.0,16,7
2009-01-18,15.0,117.0,9,7
2009-01-19,15.0,114.0,10,7
2009-01-20,15.0,122.0,284,12
2009-01-21,16.0,122.0,183,25
2009-01-22,13.0,124.0,272,14
2009-01-23,13.0,123.0,179,8
2009-01-24,13.0,123.0,13,7
2009-01-25,14.0,123.0,25,24
2009-01-26,15.0,131.0,243,38
2009-01-27,14.0,138.0,258,8
2009-01-28,13.0,140.0,251,7
2009-01-29,13.0,140.0,211,9
2009-01-30,13.0,142.0,248,20
2009-01-31,13.0,143.0,58,8
2009-02-01,13.0,142.0,22,15
2009-02-02,13.0,149.0,253,6
2009-02-03,13.0,159.0,288,12
2009-02-04,13.0,160.0,245,16
2009-02-05,12.0,161.0,244,13
2009-02-06,12.0,161.0,229,9
2009-02-07,12.0,158.0,84,6
2009-02-08,12.0,154.0,22,9
2009-02-09,12.0,161.0,248,25
2009-02-10,12.0,168.0,223,9
2009-02-11,12.0,170.0,215,15
2009-02-12,12.0,171.0,230,8
2009-02-13,13.0,170.0,181,11
2009-02-14,12.0,163.0,17,6
2009-02-15,12.0,159.0,9,6
2009-02-16,12.0,159.0,8,6
2009-02-17,13.0,166.0,221,18
2009-02-18,13.0,175.0,292,10
2009-02-19,13.0,173.0,226,31
2009-02-20,13.0,176.0,255,8
2009-02-21,13.0,167.0,22,9
2009-02-22,13.0,162.0,17,8
2009-02-23,13.0,170.0,254,33
2009-02-24,14.0,179.0,310,33
2009-02-25,15.0,181.0,302,66
2009-02-26,15.0,183.0,299,22
2009-02-27,15.0,182.0,239,16
2009-02-28,15.0,176.0,29,8
2009-03-01,15.0,169.0,16,9
2009-03-02,15.0,175.0,249,17
2009-03-03,16.0,185.0,324,36
2009-03-04,16.0,186.0,274,17
2009-03-05,16.0,183.0,196,11
2009-03-06,16.0,181.0,199,10
2009-03-07,16.0,174.0,32,6
2009-03-08,16.0,167.0,9,7
2009-03-09,16.0,171.0,210,18
2009-03-10,17.0,178.0,231,17
2009-03-11,17.0,178.0,252,27
2009-03-12,17.0,180.0,280,8
2009-03-13,17.0,181.0,241,27
2009-03-14,17.0,174.0,29,6
2009-03-15,17.0,168.0,8,7
2009-03-16,18.0,175.0,223,28
2009-03-17,18.0,185.0,308,12
2009-03-18,18.0,192.0,211,7
2009-03-19,17.0,191.0,186,9
2009-03-20,17.0,186.0,150,6
2009-03-21,16.0,179.0,20,7
2009-03-22,16.0,171.0,11,7
2009-03-23,17.0,174.0,123,20
2009-03-24,17.0,181.0,224,18
2009-03-25,17.0,180.0,207,16
2009-03-26,16.0,176.0,189,11
2009-03-27,14.0,170.0,138,12
2009-03-28,14.0,161.0,19,16
2009-03-29,14.0,154.0,21,15
2009-03-30,14.0,160.0,217,16
2009-03-31,15.0,166.0,202,23
2009-04-01,15.0,165.0,229,23
2009-04-02,14.0,160.0,168,9
2009-04-03,14.0,156.0,135,11
2009-04-04,14.0,150.0,17,10
2009-04-05,14.0,144.0,16,11
2009-04-06,15.0,148.0,158,36
2009-04-07,15.0,156.0,258,12
2009-04-08,15.0,156.0,208,22
2009-04-09,16.0,157.0,255,48
2009-04-10,16.0,156.0,231,12
2009-04-11,16.0,147.0,18,11
2009-04-12,15.0,140.0,14,11
2009-04-13,16.0,145.0,183,21
2009-04-14,16.0,155.0,306,11
2009-04-15,15.0,155.0,224,10
2009-04-16,15.0,151.0,201,6
2009-04-17,15.0,149.0,137,6
2009-04-18,15.0,143.0,16,7
2009-04-19,15.0,139.0,11,7
2009-04-20,15.0,143.0,140,23
2009-04-21,16.0,150.0,239,13
2009-04-22,15.0,152.0,182,8
2009-04-23,15.0,149.0,133,6
2009-04-24,15.0,148.0,177,9
2009-04-25,14.0,143.0,23,6
2009-04-26,14.0,138.0,9,6
2009-04-27,14.0,144.0,195,25
2009-04-28,14.0,152.0,247,13
2009-04-29,14.0,150.0,167,11
2009-04-30,14.0,149.0,171,10
2009-05-01,13.0,145.0,116,10
2009-05-02,13.0,140.0,22,8
2009-05-03,13.0,136.0,12,8
2009-05-04,14.0,140.0,129,23
2009-05-05,14.0,148.0,264,11
2009-05-06,13.0,150.0,223,11
2009-05-07,13.0,150.0,250,8
2009-05-08,12.0,148.0,154,8
2009-05-09,11.0,140.0,13,7
2009-05-10,11.0,133.0,12,7
2009-05-11,11.0,139.0,186,19
2009-05-12,11.0,146.0,239,16
2009-05-13,11.0,148.0,242,11
2009-05-14,11.0,144.0,193,10
2009-05-15,11.0,142.0,165,9
2009-05-16,11.0,136.0,16,7
2009-05-17,11.0,132.0,10,7
2009-05-18,12.0,138.0,204,29
2009-05-19,12.0,146.0,238,15
2009-05-20,12.0,148.0,217,31
2009-05-21,12.0,148.0,217,18
2009-05-22,12.0,148.0,204,12
2009-05-23,12.0,144.0,19,7
2009-05-24,12.0,139.0,10,7
2009-05-25,12.0,138.0,8,7
2009-05-26,12.0,144.0,170,7
2009-05-27,12.0,145.0,240,13
2009-05-28,12.0,144.0,198,9
2009-05-29,12.0,143.0,137,8
2009-05-30,12.0,138.0,34,8
2009-05-31,12.0,135.0,12,7
2009-06-01,12.0,139.0,141,5
2009-06-02,12.0,146.0,223,10
2009-06-03,11.0,146.0,142,7
2009-06-04,11.0,142.0,142,8
2009-06-05,11.0,137.0,84,5
2009-06-06,11.0,129.0,11,7
2009-06-07,11.0,125.0,13,6
2009-06-08,11.0,128.0,120,9
2009-06-09,11.0,132.0,115,12
2009-06-10,11.0,131.0,155,13
2009-06-11,10.0,129.0,178,10
