Date,Midnight population,24-hour population
2008-10-01,393,424
2008-10-02,435,452
2008-10-03,397,502
2008-10-04,415,447
2008-10-05,415,415
2008-10-06,349,442
2008-10-07,398,399
2008-10-08,365,422
2008-10-09,379,381
2008-10-10,371,416
2008-10-11,372,372
2008-10-12,372,372
2008-10-13,372,372
2008-10-14,371,386
2008-10-15,374,397
2008-10-16,376,393
2008-10-17,263,395
2008-10-18,266,266
2008-10-19,272,290
2008-10-20,303,305
2008-10-21,319,341
2008-10-22,276,348
2008-10-23,307,311
2008-10-24,312,339
2008-10-25,293,316
2008-10-26,273,311
2008-10-27,281,307
2008-10-28,304,318
2008-10-29,276,324
2008-10-30,290,298
2008-10-31,279,329
2008-11-01,252,283
2008-11-02,264,264
2008-11-03,313,317
2008-11-04,310,341
2008-11-05,278,341
2008-11-06,299,300
2008-11-07,283,334
2008-11-08,294,294
2008-11-09,277,298
2008-11-10,286,314
2008-11-11,294,295
2008-11-12,325,327
2008-11-13,339,359
2008-11-14,344,359
2008-11-15,352,352
2008-11-16,375,375
2008-11-17,354,396
2008-11-18,358,373
2008-11-19,374,387
2008-11-20,394,394
2008-11-21,379,427
2008-11-22,362,402
2008-11-23,367,367
2008-11-24,362,414
2008-11-25,359,386
2008-11-26,366,375
2008-11-27,386,386
2008-11-28,310,410
2008-11-29,321,322
2008-11-30,331,331
2008-12-01,356,365
2008-12-02,341,400
2008-12-03,363,394
2008-12-04,373,385
2008-12-05,331,420
2008-12-06,315,340
2008-12-07,302,327
2008-12-08,317,344
2008-12-09,311,336
2008-12-10,292,348
2008-12-11,288,322
2008-12-12,276,319
2008-12-13,230,291
2008-12-14,220,234
2008-12-15,235,252
2008-12-16,280,281
2008-12-17,268,299
2008-12-18,263,291
2008-12-19,277,296
2008-12-20,268,286
2008-12-21,271,271
2008-12-22,300,303
2008-12-23,333,334
2008-12-24,336,375
2008-12-25,302,341
2008-12-26,278,308
2008-12-27,255,283
2008-12-28,259,259
2008-12-29,297,304
2008-12-30,320,328
2008-12-31,300,339
2009-01-01,311,311
2009-01-02,312,338
2009-01-03,290,318
2009-01-04,274,290
2009-01-05,294,303
2009-01-06,258,312
2009-01-07,225,272
2009-01-08,202,241
2009-01-09,135,220
2009-01-10,140,140
2009-01-11,147,147
2009-01-12,158,173
2009-01-13,267,273
2009-01-14,270,295
2009-01-15,287,292
2009-01-16,301,306
2009-01-17,304,304
2009-01-18,264,305
2009-01-19,140,270
2009-01-20,162,170
2009-01-21,199,201
2009-01-22,229,259
2009-01-23,282,282
2009-01-24,270,296
2009-01-25,269,295
2009-01-26,310,312
2009-01-27,324,353
2009-01-28,226,344
2009-01-29,255,267
2009-01-30,306,328
2009-01-31,319,319
2009-02-01,294,325
2009-02-02,236,318
2009-02-03,262,270
2009-02-04,194,283
2009-02-05,231,235
2009-02-06,244,251
2009-02-07,227,257
2009-02-08,200,233
2009-02-09,185,236
2009-02-10,226,231
2009-02-11,195,248
2009-02-12,224,229
2009-02-13,225,264
2009-02-14,207,237
2009-02-15,223,224
2009-02-16,242,242
2009-02-17,282,284
2009-02-18,295,301
2009-02-19,312,315
2009-02-20,236,340
2009-02-21,214,248
2009-02-22,208,235
2009-02-23,248,249
2009-02-24,231,273
2009-02-25,258,263
2009-02-26,263,303
2009-02-27,256,297
2009-02-28,241,277
2009-03-01,253,253
2009-03-02,267,268
2009-03-03,242,279
2009-03-04,219,275
2009-03-05,260,264
2009-03-06,277,308
2009-03-07,281,327
2009-03-08,311,311
2009-03-09,303,353
2009-03-10,325,328
2009-03-11,302,367
2009-03-12,276,334
2009-03-13,260,312
2009-03-14,231,274
2009-03-15,243,243
2009-03-16,255,266
2009-03-17,263,265
2009-03-18,271,287
2009-03-19,269,306
2009-03-20,302,309
2009-03-21,312,312
2009-03-22,326,327
2009-03-23,356,356
2009-03-24,386,405
2009-03-25,338,423
2009-03-26,322,369
2009-03-27,266,352
2009-03-28,251,290
2009-03-29,222,262
2009-03-30,246,256
2009-03-31,211,289
2009-04-01,214,232
2009-04-02,223,247
2009-04-03,257,273
2009-04-04,267,267
2009-04-05,265,294
2009-04-06,260,286
2009-04-07,290,294
2009-04-08,312,318
2009-04-09,336,340
2009-04-10,353,373
2009-04-11,370,370
