Date,Midnight population,24-hour population
2008-10-01,40,41
2008-10-02,46,46
2008-10-03,34,47
2008-10-04,34,34
2008-10-05,34,34
2008-10-06,39,40
2008-10-07,38,39
2008-10-08,40,40
2008-10-09,44,45
2008-10-10,34,46
2008-10-11,34,34
2008-10-12,34,34
2008-10-13,34,34
2008-10-14,37,37
2008-10-15,43,44
2008-10-16,51,52
2008-10-17,39,54
2008-10-18,39,39
2008-10-19,42,42
2008-10-20,43,43
2008-10-21,44,46
2008-10-22,36,44
2008-10-23,48,48
2008-10-24,31,50
2008-10-25,31,31
2008-10-26,31,31
2008-10-27,31,31
2008-10-28,39,39
2008-10-29,45,48
2008-10-30,47,48
2008-10-31,48,52
2008-11-01,48,48
2008-11-02,66,66
2008-11-03,36,68
2008-11-04,37,37
2008-11-05,36,37
2008-11-06,37,38
2008-11-07,25,38
2008-11-08,25,25
2008-11-09,25,25
2008-11-10,30,30
2008-11-11,30,30
2008-11-12,28,32
2008-11-13,28,28
2008-11-14,26,32
2008-11-15,26,26
2008-11-16,26,26
2008-11-17,30,31
2008-11-18,30,30
2008-11-19,33,33
2008-11-20,44,45
2008-11-21,40,48
2008-11-22,40,40
2008-11-23,40,40
2008-11-24,45,45
2008-11-25,47,47
2008-11-26,51,53
2008-11-27,51,51
2008-11-28,41,51
2008-11-29,41,41
2008-11-30,41,41
2008-12-01,47,49
2008-12-02,50,52
2008-12-03,50,51
2008-12-04,63,63
2008-12-05,48,66
2008-12-06,48,48
2008-12-07,49,49
2008-12-08,54,55
2008-12-09,53,56
2008-12-10,52,53
2008-12-11,51,52
2008-12-12,46,54
2008-12-13,46,46
2008-12-14,47,47
2008-12-15,49,49
2008-12-16,56,56
2008-12-17,61,61
2008-12-18,68,68
2008-12-19,54,72
2008-12-20,53,54
2008-12-21,53,53
2008-12-22,55,56
2008-12-23,48,56
2008-12-24,49,50
2008-12-25,49,49
2008-12-26,49,49
2008-12-27,49,49
2008-12-28,49,49
2008-12-29,48,49
2008-12-30,50,50
2008-12-31,54,54
2009-01-01,54,54
2009-01-02,46,54
2009-01-03,46,46
2009-01-04,46,46
2009-01-05,46,46
2009-01-06,50,50
2009-01-07,55,56
2009-01-08,57,58
2009-01-09,52,60
2009-01-10,52,52
2009-01-11,51,52
2009-01-12,51,52
2009-01-13,54,55
2009-01-14,53,55
2009-01-15,52,53
2009-01-16,49,54
2009-01-17,49,49
2009-01-18,49,49
2009-01-19,49,49
2009-01-20,49,49
2009-01-21,47,49
2009-01-22,44,48
2009-01-23,38,44
2009-01-24,38,38
2009-01-25,38,38
2009-01-26,31,38
2009-01-27,30,31
2009-01-28,31,34
2009-01-29,34,37
2009-01-30,22,34
2009-01-31,22,22
2009-02-01,22,22
2009-02-02,21,25
2009-02-03,36,37
2009-02-04,37,38
2009-02-05,46,47
2009-02-06,39,49
2009-02-07,39,39
2009-02-08,39,39
2009-02-09,39,39
2009-02-10,40,41
2009-02-11,40,40
2009-02-12,42,42
2009-02-13,24,42
2009-02-14,24,24
2009-02-15,24,24
2009-02-16,24,24
2009-02-17,27,27
2009-02-18,31,31
2009-02-19,32,33
2009-02-20,30,37
2009-02-21,30,30
2009-02-22,30,30
2009-02-23,35,35
2009-02-24,37,37
2009-02-25,40,40
2009-02-26,41,42
2009-02-27,40,44
2009-02-28,40,40
2009-03-01,40,40
2009-03-02,40,42
2009-03-03,43,43
2009-03-04,48,48
2009-03-05,56,56
2009-03-06,42,58
2009-03-07,42,42
2009-03-08,42,42
2009-03-09,48,49
2009-03-10,51,51
2009-03-11,53,55
2009-03-12,54,56
2009-03-13,45,57
2009-03-14,45,45
2009-03-15,45,45
2009-03-16,54,54
2009-03-17,57,57
2009-03-18,61,62
2009-03-19,59,61
2009-03-20,54,61
2009-03-21,54,54
2009-03-22,54,54
2009-03-23,55,55
2009-03-24,58,59
2009-03-25,59,60
2009-03-26,64,71
2009-03-27,44,68
2009-03-28,44,44
2009-03-29,44,44
2009-03-30,40,44
2009-03-31,32,40
2009-04-01,32,32
2009-04-02,44,44
2009-04-03,19,47
2009-04-04,19,19
2009-04-05,19,19
2009-04-06,23,24
2009-04-07,25,26
2009-04-08,24,25
2009-04-09,25,26
2009-04-10,21,26
2009-04-11,21,21
2009-04-12,20,21
2009-04-13,20,21
2009-04-14,23,23
2009-04-15,26,26
2009-04-16,36,36
2009-04-17,29,36
2009-04-18,29,29
2009-04-19,29,29
2009-04-20,29,31
2009-04-21,30,31
2009-04-22,32,33
2009-04-23,38,38
2009-04-24,30,43
2009-04-25,31,31
2009-04-26,31,31
2009-04-27,33,33
2009-04-28,33,33
2009-04-29,36,36
2009-04-30,32,36
2009-05-01,27,32
2009-05-02,27,27
2009-05-03,27,27
2009-05-04,27,27
2009-05-05,27,27
2009-05-06,27,27
2009-05-07,27,27
2009-05-08,22,28
2009-05-09,22,22
2009-05-10,22,22
2009-05-11,23,23
2009-05-12,22,23
2009-05-13,24,25
2009-05-14,27,29
2009-05-15,22,29
2009-05-16,22,22
2009-05-17,22,22
2009-05-18,21,22
2009-05-19,22,22
2009-05-20,20,22
2009-05-21,28,29
2009-05-22,19,31
2009-05-23,19,19
2009-05-24,19,19
2009-05-25,19,19
2009-05-26,22,22
2009-05-27,21,22
2009-05-28,23,23
2009-05-29,22,25
2009-05-30,22,22
2009-05-31,22,22
2009-06-01,21,22
2009-06-02,22,22
2009-06-03,21,23
2009-06-04,22,22
2009-06-05,16,24
2009-06-06,16,16
2009-06-07,16,16
2009-06-08,17,17
2009-06-09,17,17
2009-06-10,16,17
2009-06-11,18,18
2009-06-12,15,19
2009-06-13,15,15
2009-06-14,15,15
2009-06-15,16,16
2009-06-16,18,19
2009-06-17,18,18
2009-06-18,24,24
2009-06-19,17,24
2009-06-20,17,17
2009-06-21,17,17
2009-06-22,18,18
2009-06-23,19,19
2009-06-24,24,24
2009-06-25,25,25
2009-06-26,22,29
2009-06-27,33,33
2009-06-28,33,33
2009-06-29,29,33
2009-06-30,34,34
2009-07-01,27,36
2009-07-02,22,27
2009-07-03,22,22
2009-07-04,22,22
2009-07-05,22,22
2009-07-06,23,24
2009-07-07,26,27
2009-07-08,26,28
2009-07-09,39,40
2009-07-10,29,40
2009-07-11,29,29
2009-07-12,29,29
2009-07-13,29,29
2009-07-14,29,29
2009-07-15,30,30
2009-07-16,31,32
2009-07-17,19,31
2009-07-18,19,19
2009-07-19,19,19
2009-07-20,20,20
2009-07-21,21,21
2009-07-22,21,21
2009-07-23,26,28
2009-07-24,21,30
2009-07-25,21,21
2009-07-26,21,21
2009-07-27,27,27
2009-07-28,28,31
2009-07-29,25,28
2009-07-30,27,28
2009-07-31,20,28
2009-08-01,20,20
2009-08-02,19,20
2009-08-03,19,23
2009-08-04,21,21
2009-08-05,22,22
2009-08-06,25,27
2009-08-07,21,26
2009-08-08,21,21
2009-08-09,21,21
2009-08-10,24,24
2009-08-11,24,24
2009-08-12,25,27
2009-08-13,24,25
2009-08-14,21,25
2009-08-15,21,21
2009-08-16,21,21
2009-08-17,22,23
2009-08-18,22,22
2009-08-19,25,25
2009-08-20,28,28
2009-08-21,24,30
2009-08-22,24,24
2009-08-23,24,24
2009-08-24,24,24
2009-08-25,25,25
2009-08-26,23,25
2009-08-27,30,30
2009-08-28,21,30
2009-08-29,21,21
2009-08-30,21,21
2009-08-31,23,23
2009-09-01,24,24
2009-09-02,23,24
2009-09-03,32,32
2009-09-04,21,35
2009-09-05,21,21
2009-09-06,21,21
2009-09-07,21,21
2009-09-08,21,22
2009-09-09,22,22
2009-09-10,30,30
2009-09-11,23,31
2009-09-12,23,23
2009-09-13,23,23
2009-09-14,24,25
2009-09-15,24,24
2009-09-16,24,24
2009-09-17,25,48
