Date,Midnight population,24-hour population
2008-10-01,50,50
2008-10-02,51,51
2008-10-03,42,57
2008-10-04,42,42
2008-10-05,42,42
2008-10-06,42,43
2008-10-07,49,50
2008-10-08,53,54
2008-10-09,57,57
2008-10-10,56,60
2008-10-11,56,56
2008-10-12,56,56
2008-10-13,56,56
2008-10-14,58,60
2008-10-15,56,58
2008-10-16,57,58
2008-10-17,47,65
2008-10-18,47,47
2008-10-19,47,47
2008-10-20,56,58
2008-10-21,55,59
2008-10-22,59,59
2008-10-23,59,60
2008-10-24,54,65
2008-10-25,54,54
2008-10-26,54,54
2008-10-27,58,59
2008-10-28,65,66
2008-10-29,62,65
2008-10-30,61,63
2008-10-31,44,63
2008-11-01,44,44
2008-11-02,44,44
2008-11-03,44,47
2008-11-04,51,53
2008-11-05,52,52
2008-11-06,51,52
2008-11-07,50,61
2008-11-08,50,50
2008-11-09,50,50
2008-11-10,55,57
2008-11-11,55,55
2008-11-12,55,55
2008-11-13,56,57
2008-11-14,55,59
2008-11-15,55,55
2008-11-16,55,55
2008-11-17,58,60
2008-11-18,58,59
2008-11-19,59,60
2008-11-20,52,68
2008-11-21,51,58
2008-11-22,51,51
2008-11-23,51,51
2008-11-24,55,58
2008-11-25,58,60
2008-11-26,51,65
2008-11-27,51,51
2008-11-28,48,51
2008-11-29,48,48
2008-11-30,48,48
2008-12-01,49,51
2008-12-02,50,51
2008-12-03,49,50
2008-12-04,47,53
2008-12-05,46,47
2008-12-06,47,47
2008-12-07,47,47
2008-12-08,49,51
2008-12-09,51,51
2008-12-10,54,54
2008-12-11,59,59
2008-12-12,48,60
2008-12-13,48,48
2008-12-14,48,48
2008-12-15,53,54
2008-12-16,47,54
2008-12-17,52,53
2008-12-18,53,54
2008-12-19,42,55
2008-12-20,42,42
2008-12-21,42,42
2008-12-22,45,46
2008-12-23,44,45
2008-12-24,36,44
2008-12-25,36,36
2008-12-26,36,36
2008-12-27,36,36
2008-12-28,36,36
