Date,Midnight population,24-hour population
2008-10-01,0.0,0.0
2008-10-02,0.0,0.0
2008-10-03,0.0,0.0
2008-10-04,0.0,0.0
2008-10-05,0.0,0.0
2008-10-06,0.0,0.0
2008-10-07,0.0,0.0
2008-10-08,0.0,0.0
2008-10-09,0.0,0.0
2008-10-10,0.0,0.0
2008-10-11,0.0,0.0
2008-10-12,0.0,0.0
2008-10-13,0.0,0.0
2008-10-14,0.0,0.0
2008-10-15,0.0,0.0
2008-10-16,0.0,0.0
2008-10-17,0.0,0.0
2008-10-18,0.0,0.0
2008-10-19,0.0,0.0
2008-10-20,0.0,0.0
2008-10-21,0.0,0.0
2008-10-22,0.0,0.0
2008-10-23,0.0,0.0
2008-10-24,0.0,0.0
2008-10-25,0.0,0.0
2008-10-26,0.0,0.0
2008-10-27,0.0,0.0
2008-10-28,0.0,0.0
2008-10-29,0.0,0.0
2008-10-30,106.0,108.0
2008-10-31,106.0,108.0
2008-11-01,106.0,108.0
2008-11-02,105.0,108.0
2008-11-03,105.0,108.0
2008-11-04,105.0,107.0
2008-11-05,104.0,107.0
2008-11-06,104.0,107.0
2008-11-07,104.0,106.0
2008-11-08,103.0,106.0
2008-11-09,103.0,105.0
2008-11-10,102.0,104.0
2008-11-11,101.0,104.0
2008-11-12,100.0,103.0
2008-11-13,100.0,102.0
2008-11-14,99.0,102.0
2008-11-15,99.0,102.0
2008-11-16,99.0,102.0
2008-11-17,98.0,101.0
2008-11-18,99.0,101.0
2008-11-19,99.0,102.0
2008-11-20,99.0,102.0
2008-11-21,99.0,102.0
2008-11-22,99.0,102.0
2008-11-23,99.0,102.0
2008-11-24,99.0,102.0
2008-11-25,99.0,102.0
2008-11-26,99.0,101.0
2008-11-27,99.0,101.0
2008-11-28,99.0,101.0
2008-11-29,99.0,101.0
2008-11-30,99.0,101.0
2008-12-01,98.0,101.0
2008-12-02,98.0,101.0
2008-12-03,98.0,100.0
2008-12-04,98.0,100.0
2008-12-05,97.0,100.0
2008-12-06,97.0,99.0
2008-12-07,97.0,99.0
2008-12-08,97.0,99.0
2008-12-09,97.0,99.0
2008-12-10,97.0,99.0
2008-12-11,98.0,99.0
2008-12-12,98.0,100.0
2008-12-13,98.0,100.0
2008-12-14,98.0,100.0
2008-12-15,98.0,100.0
2008-12-16,98.0,100.0
2008-12-17,98.0,100.0
2008-12-18,98.0,100.0
2008-12-19,97.0,99.0
2008-12-20,97.0,99.0
2008-12-21,97.0,99.0
2008-12-22,97.0,99.0
2008-12-23,97.0,99.0
2008-12-24,97.0,98.0
2008-12-25,97.0,98.0
2008-12-26,97.0,98.0
2008-12-27,97.0,98.0
2008-12-28,97.0,98.0
2008-12-29,97.0,99.0
2008-12-30,97.0,99.0
2008-12-31,97.0,99.0
2009-01-01,97.0,99.0
2009-01-02,97.0,99.0
2009-01-03,97.0,99.0
2009-01-04,98.0,99.0
2009-01-05,98.0,100.0
2009-01-06,98.0,100.0
2009-01-07,98.0,100.0
2009-01-08,98.0,99.0
2009-01-09,97.0,99.0
2009-01-10,97.0,99.0
2009-01-11,97.0,98.0
2009-01-12,96.0,98.0
2009-01-13,95.0,97.0
2009-01-14,95.0,97.0
2009-01-15,94.0,96.0
2009-01-16,93.0,95.0
2009-01-17,93.0,94.0
2009-01-18,92.0,94.0
2009-01-19,91.0,93.0
2009-01-20,91.0,93.0
2009-01-21,90.0,92.0
2009-01-22,90.0,92.0
2009-01-23,89.0,91.0
2009-01-24,89.0,91.0
2009-01-25,89.0,90.0
2009-01-26,88.0,90.0
2009-01-27,88.0,90.0
2009-01-28,88.0,90.0
2009-01-29,88.0,89.0
2009-01-30,88.0,90.0
2009-01-31,88.0,90.0
2009-02-01,88.0,89.0
2009-02-02,88.0,89.0
