Date,Midnight population,24-hour population
2008-10-01,0.0,0.0
2008-10-02,0.0,0.0
2008-10-03,0.0,0.0
2008-10-04,0.0,0.0
2008-10-05,0.0,0.0
2008-10-06,0.0,0.0
2008-10-07,0.0,0.0
2008-10-08,0.0,0.0
2008-10-09,0.0,0.0
2008-10-10,0.0,0.0
2008-10-11,0.0,0.0
2008-10-12,0.0,0.0
2008-10-13,0.0,0.0
2008-10-14,0.0,0.0
2008-10-15,0.0,0.0
2008-10-16,0.0,0.0
2008-10-17,0.0,0.0
2008-10-18,0.0,0.0
2008-10-19,0.0,0.0
2008-10-20,0.0,0.0
2008-10-21,0.0,0.0
2008-10-22,0.0,0.0
2008-10-23,0.0,0.0
2008-10-24,0.0,0.0
2008-10-25,0.0,0.0
2008-10-26,0.0,0.0
2008-10-27,0.0,0.0
2008-10-28,0.0,0.0
2008-10-29,0.0,0.0
2008-10-30,863.0,886.0
2008-10-31,857.0,879.0
2008-11-01,850.0,872.0
2008-11-02,844.0,865.0
2008-11-03,838.0,859.0
2008-11-04,832.0,853.0
2008-11-05,829.0,850.0
2008-11-06,827.0,848.0
2008-11-07,824.0,844.0
2008-11-08,824.0,844.0
2008-11-09,828.0,845.0
2008-11-10,831.0,848.0
2008-11-11,834.0,851.0
2008-11-12,840.0,858.0
2008-11-13,845.0,864.0
2008-11-14,846.0,866.0
2008-11-15,849.0,868.0
2008-11-16,851.0,870.0
2008-11-17,853.0,873.0
2008-11-18,855.0,876.0
2008-11-19,857.0,879.0
2008-11-20,859.0,881.0
2008-11-21,856.0,880.0
2008-11-22,854.0,877.0
2008-11-23,852.0,873.0
2008-11-24,852.0,875.0
2008-11-25,852.0,876.0
2008-11-26,850.0,875.0
2008-11-27,849.0,873.0
2008-11-28,848.0,871.0
2008-11-29,849.0,870.0
2008-11-30,850.0,871.0
2008-12-01,852.0,873.0
2008-12-02,854.0,875.0
2008-12-03,859.0,880.0
2008-12-04,863.0,884.0
2008-12-05,867.0,888.0
2008-12-06,872.0,892.0
2008-12-07,879.0,897.0
2008-12-08,882.0,901.0
2008-12-09,883.0,904.0
2008-12-10,884.0,906.0
2008-12-11,884.0,906.0
2008-12-12,878.0,902.0
2008-12-13,874.0,896.0
2008-12-14,868.0,890.0
2008-12-15,861.0,884.0
2008-12-16,855.0,879.0
2008-12-17,850.0,877.0
2008-12-18,843.0,871.0
2008-12-19,841.0,867.0
2008-12-20,839.0,864.0
2008-12-21,840.0,863.0
2008-12-22,845.0,868.0
2008-12-23,849.0,873.0
2008-12-24,852.0,875.0
2008-12-25,855.0,877.0
2008-12-26,861.0,880.0
2008-12-27,866.0,886.0
2008-12-28,871.0,890.0
2008-12-29,876.0,896.0
2008-12-30,880.0,901.0
2008-12-31,885.0,906.0
2009-01-01,890.0,910.0
2009-01-02,891.0,912.0
2009-01-03,894.0,914.0
2009-01-04,895.0,914.0
2009-01-05,894.0,914.0
2009-01-06,891.0,914.0
2009-01-07,888.0,910.0
2009-01-08,884.0,907.0
2009-01-09,879.0,903.0
2009-01-10,877.0,899.0
2009-01-11,877.0,898.0
2009-01-12,876.0,897.0
2009-01-13,875.0,896.0
2009-01-14,876.0,898.0
2009-01-15,876.0,897.0
2009-01-16,878.0,896.0
2009-01-17,881.0,898.0
2009-01-18,881.0,897.0
2009-01-19,879.0,897.0
2009-01-20,876.0,894.0
2009-01-21,872.0,891.0
2009-01-22,868.0,888.0
2009-01-23,862.0,882.0
2009-01-24,860.0,880.0
2009-01-25,858.0,879.0
2009-01-26,856.0,878.0
2009-01-27,853.0,876.0
2009-01-28,848.0,872.0
2009-01-29,844.0,867.0
2009-01-30,837.0,863.0
2009-01-31,830.0,856.0
2009-02-01,824.0,849.0
2009-02-02,820.0,846.0
