Date,Midnight population,24-hour population,Midnight count,24-hour count
2008-10-01,-1.0,-1.0,960,1036
2008-10-02,-1.0,-1.0,973,984
2008-10-03,-1.0,-1.0,952,979
2008-10-04,-1.0,-1.0,938,970
2008-10-05,-1.0,-1.0,938,938
2008-10-06,-1.0,-1.0,899,938
2008-10-07,-1.0,-1.0,863,900
2008-10-08,-1.0,-1.0,848,904
2008-10-09,-1.0,-1.0,831,849
2008-10-10,-1.0,-1.0,748,832
2008-10-11,-1.0,-1.0,750,750
2008-10-12,-1.0,-1.0,756,756
2008-10-13,-1.0,-1.0,758,759
2008-10-14,-1.0,-1.0,772,774
2008-10-15,-1.0,-1.0,913,914
2008-10-16,-1.0,-1.0,875,918
2008-10-17,-1.0,-1.0,872,875
2008-10-18,-1.0,-1.0,872,872
2008-10-19,-1.0,-1.0,872,872
2008-10-20,-1.0,-1.0,854,872
2008-10-21,-1.0,-1.0,838,854
2008-10-22,-1.0,-1.0,892,908
2008-10-23,-1.0,-1.0,880,908
2008-10-24,-1.0,-1.0,877,929
2008-10-25,-1.0,-1.0,876,877
2008-10-26,-1.0,-1.0,874,876
2008-10-27,-1.0,-1.0,889,900
2008-10-28,-1.0,-1.0,844,889
2008-10-29,-1.0,-1.0,860,895
2008-10-30,863.0,886.0,812,860
2008-10-31,857.0,879.0,777,816
2008-11-01,850.0,872.0,777,777
2008-11-02,844.0,865.0,777,777
2008-11-03,838.0,859.0,758,778
2008-11-04,832.0,853.0,744,760
2008-11-05,829.0,850.0,823,854
2008-11-06,827.0,848.0,797,824
2008-11-07,824.0,844.0,739,797
2008-11-08,824.0,844.0,851,851
2008-11-09,828.0,845.0,855,855
2008-11-10,831.0,848.0,840,857
2008-11-11,834.0,851.0,844,846
2008-11-12,840.0,858.0,945,959
2008-11-13,845.0,864.0,915,958
2008-11-14,846.0,866.0,954,979
2008-11-15,849.0,868.0,954,954
2008-11-16,851.0,870.0,954,954
2008-11-17,853.0,873.0,916,961
2008-11-18,855.0,876.0,935,951
2008-11-19,857.0,879.0,918,966
2008-11-20,859.0,881.0,882,919
2008-11-21,856.0,880.0,812,882
2008-11-22,854.0,877.0,812,812
2008-11-23,852.0,873.0,815,815
2008-11-24,852.0,875.0,884,931
2008-11-25,852.0,876.0,880,902
2008-11-26,850.0,875.0,825,885
2008-11-27,849.0,873.0,825,825
2008-11-28,848.0,871.0,828,834
2008-11-29,849.0,870.0,828,828
2008-11-30,850.0,871.0,828,828
2008-12-01,852.0,873.0,822,837
2008-12-02,854.0,875.0,837,847
2008-12-03,859.0,880.0,897,914
2008-12-04,863.0,884.0,878,902
2008-12-05,867.0,888.0,936,956
2008-12-06,872.0,892.0,951,952
2008-12-07,879.0,897.0,951,951
2008-12-08,882.0,901.0,937,973
2008-12-09,883.0,904.0,897,949
2008-12-10,884.0,906.0,869,898
2008-12-11,884.0,906.0,823,869
2008-12-12,878.0,902.0,784,823
2008-12-13,874.0,896.0,785,785
2008-12-14,868.0,890.0,787,787
2008-12-15,861.0,884.0,740,788
