Date,Midnight population,24-hour population
2008-10-01,960,"1,036"
2008-10-02,973,984
2008-10-03,952,979
2008-10-04,938,970
2008-10-05,938,938
2008-10-06,899,938
2008-10-07,863,900
2008-10-08,848,904
2008-10-09,831,849
2008-10-10,748,832
2008-10-11,750,750
2008-10-12,756,756
2008-10-13,758,759
2008-10-14,772,774
2008-10-15,913,914
2008-10-16,875,918
2008-10-17,872,875
2008-10-18,872,872
2008-10-19,872,872
2008-10-20,854,872
2008-10-21,838,854
2008-10-22,892,908
2008-10-23,880,908
2008-10-24,877,929
2008-10-25,876,877
2008-10-26,874,876
2008-10-27,889,900
2008-10-28,844,889
2008-10-29,860,895
2008-10-30,812,860
2008-10-31,777,816
2008-11-01,777,777
2008-11-02,777,777
2008-11-03,758,778
2008-11-04,744,760
2008-11-05,823,854
2008-11-06,797,824
2008-11-07,739,797
2008-11-08,851,851
2008-11-09,855,855
2008-11-10,840,857
2008-11-11,844,846
2008-11-12,945,959
2008-11-13,915,958
2008-11-14,954,979
2008-11-15,954,954
2008-11-16,954,954
2008-11-17,916,961
2008-11-18,935,951
2008-11-19,918,966
2008-11-20,882,919
2008-11-21,812,882
2008-11-22,812,812
2008-11-23,815,815
2008-11-24,884,931
2008-11-25,880,902
2008-11-26,825,885
2008-11-27,825,825
2008-11-28,828,834
2008-11-29,828,828
2008-11-30,828,828
2008-12-01,822,837
2008-12-02,837,847
2008-12-03,897,914
2008-12-04,878,902
2008-12-05,936,956
2008-12-06,951,952
2008-12-07,951,951
2008-12-08,937,973
2008-12-09,897,949
2008-12-10,869,898
2008-12-11,823,869
2008-12-12,784,823
2008-12-13,785,785
2008-12-14,787,787
2008-12-15,740,788
2008-12-16,764,810
2008-12-17,763,877
2008-12-18,742,772
2008-12-19,836,860
2008-12-20,842,843
2008-12-21,842,842
2008-12-22,947,954
2008-12-23,938,962
2008-12-24,981,983
2008-12-25,981,981
2008-12-26,980,981
2008-12-27,979,980
2008-12-28,979,979
2008-12-29,974,994
2008-12-30,964,983
2008-12-31,970,972
2009-01-01,970,970
2009-01-02,954,976
2009-01-03,958,959
2009-01-04,958,958
2009-01-05,927,973
2009-01-06,867,927
2009-01-07,830,872
2009-01-08,777,838
2009-01-09,725,778
2009-01-10,768,768
2009-01-11,774,774
2009-01-12,756,777
2009-01-13,752,757
2009-01-14,778,847
2009-01-15,767,781
2009-01-16,830,842
2009-01-17,829,830
2009-01-18,829,829
2009-01-19,775,829
2009-01-20,762,775
2009-01-21,840,863
2009-01-22,812,855
2009-01-23,807,825
2009-01-24,921,923
2009-01-25,922,922
2009-01-26,907,953
2009-01-27,885,916
2009-01-28,835,892
2009-01-29,825,838
2009-01-30,769,840
2009-01-31,769,770
2009-02-01,769,769
2009-02-02,844,870
2009-02-03,844,858
2009-02-04,942,952
2009-02-05,926,942
2009-02-06,899,956
2009-02-07,972,972
2009-02-08,972,972
2009-02-09,969,984
2009-02-10,959,981
2009-02-11,943,970
2009-02-12,914,943
2009-02-13,942,966
2009-02-14,942,942
2009-02-15,942,942
2009-02-16,938,942
2009-02-17,908,946
2009-02-18,940,958
2009-02-19,913,965
2009-02-20,873,926
2009-02-21,873,873
2009-02-22,873,873
2009-02-23,875,887
2009-02-24,867,886
2009-02-25,864,879
2009-02-26,872,879
2009-02-27,836,875
2009-02-28,914,914
2009-03-01,922,922
2009-03-02,927,942
2009-03-03,913,955
2009-03-04,925,969
2009-03-05,895,944
2009-03-06,875,906
