Date,Midnight population,24-hour population
2008-10-01,24,114
2008-10-02,11,108
2008-10-03,6,83
2008-10-04,6,20
2008-10-05,19,22
2008-10-06,9,119
2008-10-07,10,70
2008-10-08,10,135
2008-10-09,23,62
2008-10-10,25,101
2008-10-11,9,36
2008-10-12,15,34
2008-10-13,27,75
2008-10-14,10,134
2008-10-15,13,91
2008-10-16,14,94
2008-10-17,16,119
2008-10-18,14,58
2008-10-19,17,17
2008-10-20,16,90
2008-10-21,48,106
2008-10-22,19,172
2008-10-23,48,103
2008-10-24,21,152
2008-10-25,19,36
2008-10-26,47,47
2008-10-27,26,148
2008-10-28,51,141
2008-10-29,33,152
2008-10-30,30,102
2008-10-31,31,114
2008-11-01,31,42
2008-11-02,31,37
2008-11-03,32,119
2008-11-04,9,102
2008-11-05,10,73
2008-11-06,10,77
2008-11-07,16,107
2008-11-08,9,43
2008-11-09,8,19
2008-11-10,9,112
2008-11-11,8,12
2008-11-12,79,133
2008-11-13,11,159
2008-11-14,10,89
2008-11-15,10,23
2008-11-16,9,26
2008-11-17,13,84
2008-11-18,9,87
2008-11-19,30,112
2008-11-20,17,132
2008-11-21,20,144
2008-11-22,19,51
2008-11-23,14,29
2008-11-24,11,82
2008-11-25,16,122
2008-11-26,28,127
2008-11-27,15,68
2008-11-28,18,131
2008-11-29,11,42
2008-11-30,14,21
2008-12-01,10,105
2008-12-02,14,77
2008-12-03,18,86
2008-12-04,14,103
2008-12-05,10,102
2008-12-06,12,25
2008-12-07,17,32
2008-12-08,19,122
2008-12-09,29,139
2008-12-10,13,129
2008-12-11,9,71
2008-12-12,10,110
2008-12-13,16,17
2008-12-14,16,31
2008-12-15,9,101
2008-12-16,13,102
2008-12-17,18,77
2008-12-18,17,83
2008-12-19,21,124
2008-12-20,13,44
2008-12-21,27,31
2008-12-22,10,95
2008-12-23,20,90
2008-12-24,10,111
2008-12-25,10,17
2008-12-26,40,71
2008-12-27,28,76
2008-12-28,12,45
2008-12-29,10,109
2008-12-30,20,62
2008-12-31,13,130
2009-01-01,10,15
2009-01-02,9,98
2009-01-03,14,21
2009-01-04,10,27
2009-01-05,8,82
2009-01-06,8,62
2009-01-07,9,69
2009-01-08,13,77
2009-01-09,11,112
2009-01-10,10,22
2009-01-11,9,36
2009-01-12,11,98
2009-01-13,12,102
2009-01-14,24,120
2009-01-15,49,137
2009-01-16,53,172
2009-01-17,20,86
2009-01-18,9,44
2009-01-19,8,22
2009-01-20,42,141
2009-01-21,9,117
2009-01-22,22,90
2009-01-23,10,126
2009-01-24,12,37
2009-01-25,12,19
2009-01-26,14,91
2009-01-27,22,106
2009-01-28,12,124
2009-01-29,7,82
2009-01-30,9,89
2009-01-31,34,35
2009-02-01,8,62
2009-02-02,7,83
2009-02-03,15,120
2009-02-04,6,96
2009-02-05,9,83
2009-02-06,9,128
2009-02-07,9,51
2009-02-08,6,12
2009-02-09,8,121
2009-02-10,13,62
2009-02-11,28,119
2009-02-12,21,109
2009-02-13,9,107
2009-02-14,25,39
2009-02-15,10,64
2009-02-16,22,51
2009-02-17,28,150
2009-02-18,22,103
2009-02-19,23,110
2009-02-20,7,88
2009-02-21,17,29
2009-02-22,12,29
2009-02-23,5,120
2009-02-24,39,73
2009-02-25,7,119
2009-02-26,14,95
