Date,Midnight population,24-hour population
2008-10-01,0.0,0.0
2008-10-02,0.0,0.0
2008-10-03,0.0,0.0
2008-10-04,0.0,0.0
2008-10-05,0.0,0.0
2008-10-06,0.0,0.0
2008-10-07,0.0,0.0
2008-10-08,0.0,0.0
2008-10-09,0.0,0.0
2008-10-10,0.0,0.0
2008-10-11,0.0,0.0
2008-10-12,0.0,0.0
2008-10-13,0.0,0.0
2008-10-14,0.0,0.0
2008-10-15,0.0,0.0
2008-10-16,0.0,0.0
2008-10-17,0.0,0.0
2008-10-18,0.0,0.0
2008-10-19,0.0,0.0
2008-10-20,0.0,0.0
2008-10-21,0.0,0.0
2008-10-22,0.0,0.0
2008-10-23,0.0,0.0
2008-10-24,0.0,0.0
2008-10-25,0.0,0.0
2008-10-26,0.0,0.0
2008-10-27,0.0,0.0
2008-10-28,0.0,0.0
2008-10-29,0.0,0.0
2008-10-30,307.0,314.0
2008-10-31,328.0,336.0
2008-11-01,349.0,358.0
2008-11-02,370.0,379.0
2008-11-03,392.0,401.0
2008-11-04,414.0,423.0
2008-11-05,435.0,445.0
2008-11-06,450.0,461.0
2008-11-07,467.0,477.0
2008-11-08,482.0,492.0
2008-11-09,496.0,506.0
2008-11-10,509.0,520.0
2008-11-11,521.0,532.0
2008-11-12,532.0,543.0
2008-11-13,542.0,554.0
2008-11-14,552.0,564.0
2008-11-15,562.0,574.0
2008-11-16,574.0,586.0
2008-11-17,585.0,597.0
2008-11-18,593.0,606.0
2008-11-19,602.0,616.0
2008-11-20,610.0,625.0
2008-11-21,619.0,634.0
2008-11-22,627.0,642.0
2008-11-23,634.0,649.0
2008-11-24,640.0,656.0
2008-11-25,645.0,662.0
2008-11-26,650.0,668.0
2008-11-27,657.0,674.0
2008-11-28,663.0,680.0
2008-11-29,669.0,686.0
2008-11-30,672.0,688.0
2008-12-01,674.0,690.0
2008-12-02,677.0,693.0
2008-12-03,679.0,696.0
2008-12-04,682.0,698.0
2008-12-05,684.0,701.0
2008-12-06,688.0,703.0
2008-12-07,691.0,706.0
2008-12-08,694.0,709.0
2008-12-09,698.0,713.0
2008-12-10,701.0,716.0
2008-12-11,703.0,719.0
2008-12-12,706.0,723.0
2008-12-13,711.0,726.0
2008-12-14,717.0,732.0
2008-12-15,722.0,737.0
2008-12-16,722.0,740.0
2008-12-17,724.0,742.0
2008-12-18,725.0,744.0
2008-12-19,725.0,744.0
2008-12-20,726.0,743.0
2008-12-21,726.0,742.0
2008-12-22,725.0,741.0
2008-12-23,722.0,740.0
2008-12-24,720.0,737.0
2008-12-25,719.0,735.0
2008-12-26,717.0,732.0
2008-12-27,714.0,729.0
2008-12-28,711.0,726.0
2008-12-29,709.0,723.0
2008-12-30,706.0,721.0
2008-12-31,703.0,720.0
2009-01-01,701.0,718.0
2009-01-02,698.0,714.0
2009-01-03,696.0,711.0
2009-01-04,694.0,709.0
2009-01-05,692.0,707.0
2009-01-06,691.0,706.0
2009-01-07,690.0,706.0
2009-01-08,688.0,704.0
2009-01-09,686.0,703.0
2009-01-10,687.0,702.0
2009-01-11,687.0,701.0
2009-01-12,687.0,701.0
2009-01-13,683.0,699.0
2009-01-14,679.0,697.0
2009-01-15,677.0,693.0
2009-01-16,675.0,691.0
2009-01-17,673.0,688.0
2009-01-18,673.0,686.0
2009-01-19,674.0,686.0
2009-01-20,674.0,687.0
2009-01-21,673.0,687.0
2009-01-22,672.0,686.0
2009-01-23,670.0,686.0
2009-01-24,671.0,686.0
2009-01-25,671.0,687.0
2009-01-26,671.0,688.0
2009-01-27,671.0,688.0
2009-01-28,672.0,690.0
2009-01-29,675.0,692.0
2009-01-30,678.0,694.0
2009-01-31,682.0,698.0
2009-02-01,686.0,702.0
2009-02-02,690.0,706.0
