Date,Midnight population,24-hour population,N,N2
2008-10-01,-1.0,-1.0,2,2
2008-10-02,-1.0,-1.0,2,2
2008-10-03,-1.0,-1.0,2,2
2008-10-04,-1.0,-1.0,2,2
2008-10-05,-1.0,-1.0,2,2
2008-10-06,-1.0,-1.0,39,39
2008-10-07,-1.0,-1.0,181,169
2008-10-08,-1.0,-1.0,170,155
2008-10-09,-1.0,-1.0,213,199
2008-10-10,-1.0,-1.0,235,234
2008-10-11,-1.0,-1.0,271,269
2008-10-12,-1.0,-1.0,311,293
2008-10-13,-1.0,-1.0,326,322
2008-10-14,-1.0,-1.0,324,324
2008-10-15,-1.0,-1.0,341,340
2008-10-16,-1.0,-1.0,348,345
2008-10-17,-1.0,-1.0,364,347
2008-10-18,-1.0,-1.0,367,367
2008-10-19,-1.0,-1.0,455,455
2008-10-20,-1.0,-1.0,458,409
2008-10-21,-1.0,-1.0,412,396
2008-10-22,-1.0,-1.0,425,406
2008-10-23,-1.0,-1.0,443,440
2008-10-24,-1.0,-1.0,490,489
2008-10-25,-1.0,-1.0,527,527
2008-10-26,-1.0,-1.0,531,531
2008-10-27,-1.0,-1.0,532,530
2008-10-28,-1.0,-1.0,563,522
2008-10-29,-1.0,-1.0,538,537
2008-10-30,307.0,314.0,561,545
2008-10-31,328.0,336.0,653,636
2008-11-01,349.0,358.0,644,640
2008-11-02,370.0,379.0,641,640
2008-11-03,392.0,401.0,675,664
2008-11-04,414.0,423.0,666,650
2008-11-05,435.0,445.0,676,669
2008-11-06,450.0,461.0,672,629
2008-11-07,467.0,477.0,652,643
2008-11-08,482.0,492.0,649,649
2008-11-09,496.0,506.0,663,661
2008-11-10,509.0,520.0,687,671
2008-11-11,521.0,532.0,686,649
2008-11-12,532.0,543.0,652,652
2008-11-13,542.0,554.0,652,623
2008-11-14,552.0,564.0,644,625
2008-11-15,562.0,574.0,643,643
2008-11-16,574.0,586.0,710,710
2008-11-17,585.0,597.0,714,706
2008-11-18,593.0,606.0,727,701
2008-11-19,602.0,616.0,744,678
2008-11-20,610.0,625.0,679,645
2008-11-21,619.0,634.0,702,653
2008-11-22,627.0,642.0,689,689
2008-11-23,634.0,649.0,710,710
2008-11-24,640.0,656.0,722,707
2008-11-25,645.0,662.0,719,663
2008-11-26,650.0,668.0,719,703
2008-11-27,657.0,674.0,728,728
2008-11-28,663.0,680.0,729,722
2008-11-29,669.0,686.0,724,717
2008-11-30,672.0,688.0,717,717
2008-12-01,674.0,690.0,717,713
2008-12-02,677.0,693.0,715,711
2008-12-03,679.0,696.0,769,738
2008-12-04,682.0,698.0,743,731
2008-12-05,684.0,701.0,741,737
2008-12-06,688.0,703.0,740,740
2008-12-07,691.0,706.0,744,744
2008-12-08,694.0,709.0,745,744
2008-12-09,698.0,713.0,782,770
2008-12-10,701.0,716.0,784,758
2008-12-11,703.0,719.0,759,718
2008-12-12,706.0,723.0,772,746
2008-12-13,711.0,726.0,755,753
