Date,Midnight population,24-hour population
2008-10-01,2,2
2008-10-02,2,2
2008-10-03,2,2
2008-10-04,2,2
2008-10-05,2,2
2008-10-06,39,39
2008-10-07,169,181
2008-10-08,155,170
2008-10-09,199,213
2008-10-10,234,235
2008-10-11,269,271
2008-10-12,293,311
2008-10-13,322,326
2008-10-14,324,324
2008-10-15,340,341
2008-10-16,345,348
2008-10-17,347,364
2008-10-18,367,367
2008-10-19,455,455
2008-10-20,409,458
2008-10-21,396,412
2008-10-22,406,425
2008-10-23,440,443
2008-10-24,489,490
2008-10-25,527,527
2008-10-26,531,531
2008-10-27,530,532
2008-10-28,522,563
2008-10-29,537,538
2008-10-30,545,561
2008-10-31,636,653
2008-11-01,640,644
2008-11-02,640,641
2008-11-03,664,675
2008-11-04,650,666
2008-11-05,669,676
2008-11-06,629,672
2008-11-07,643,652
2008-11-08,649,649
2008-11-09,661,663
2008-11-10,671,687
2008-11-11,649,686
2008-11-12,652,652
2008-11-13,623,652
2008-11-14,625,644
2008-11-15,643,643
2008-11-16,710,710
2008-11-17,706,714
2008-11-18,701,727
2008-11-19,678,744
2008-11-20,645,679
2008-11-21,653,702
2008-11-22,689,689
2008-11-23,710,710
2008-11-24,707,722
2008-11-25,663,719
2008-11-26,703,719
2008-11-27,728,728
2008-11-28,722,729
2008-11-29,717,724
2008-11-30,717,717
2008-12-01,713,717
2008-12-02,711,715
2008-12-03,738,769
2008-12-04,731,743
2008-12-05,737,741
2008-12-06,740,740
2008-12-07,744,744
2008-12-08,744,745
2008-12-09,770,782
2008-12-10,758,784
2008-12-11,718,759
2008-12-12,746,772
2008-12-13,753,755
2008-12-14,812,812
2008-12-15,794,812
2008-12-16,724,798
2008-12-17,760,767
2008-12-18,739,772
2008-12-19,662,751
2008-12-20,664,664
2008-12-21,664,664
2008-12-22,654,667
2008-12-23,638,665
2008-12-24,635,643
2008-12-25,638,638
2008-12-26,640,641
2008-12-27,640,640
2008-12-28,641,641
2008-12-29,640,641
2008-12-30,618,642
2008-12-31,649,687
2009-01-01,649,649
2009-01-02,651,653
2009-01-03,665,667
2009-01-04,665,665
2009-01-05,697,701
2009-01-06,692,714
2009-01-07,724,736
2009-01-08,701,732
2009-01-09,717,729
2009-01-10,747,747
2009-01-11,747,747
2009-01-12,735,751
2009-01-13,705,736
2009-01-14,681,756
2009-01-15,662,683
2009-01-16,676,707
2009-01-17,679,680
2009-01-18,680,680
2009-01-19,681,681
2009-01-20,664,682
2009-01-21,646,665
2009-01-22,588,649
2009-01-23,580,634
2009-01-24,656,656
2009-01-25,657,657
2009-01-26,648,657
2009-01-27,637,648
2009-01-28,668,699
2009-01-29,696,700
2009-01-30,733,760
2009-01-31,772,773
2009-02-01,780,780
2009-02-02,772,781
2009-02-03,732,774
2009-02-04,718,762
2009-02-05,695,728
2009-02-06,695,713
2009-02-07,714,714
2009-02-08,722,722
2009-02-09,732,736
2009-02-10,722,757
2009-02-11,729,735
2009-02-12,724,734
2009-02-13,755,757
2009-02-14,750,761
2009-02-15,751,751
2009-02-16,732,751
2009-02-17,705,733
2009-02-18,689,705
2009-02-19,635,692
2009-02-20,644,673
2009-02-21,673,677
2009-02-22,694,694
2009-02-23,698,712
2009-02-24,703,717
2009-02-25,745,748
2009-02-26,745,772
2009-02-27,733,794
2009-02-28,735,735
2009-03-01,738,739
2009-03-02,733,738
2009-03-03,706,734
2009-03-04,744,759
2009-03-05,733,755
2009-03-06,681,746
2009-03-07,682,682
2009-03-08,680,684
2009-03-09,680,686
2009-03-10,664,685
2009-03-11,723,734
2009-03-12,735,754
2009-03-13,731,776
2009-03-14,733,733
2009-03-15,736,736
2009-03-16,742,747
2009-03-17,740,757
2009-03-18,764,768
2009-03-19,744,771
2009-03-20,704,745
2009-03-21,736,736
2009-03-22,741,741
2009-03-23,734,741
2009-03-24,713,736
2009-03-25,741,744
2009-03-26,727,759
2009-03-27,753,780
2009-03-28,754,754
2009-03-29,780,780
2009-03-30,768,783
2009-03-31,761,770
2009-04-01,741,762
2009-04-02,721,743
2009-04-03,672,721
2009-04-04,713,714
2009-04-05,718,718
2009-04-06,719,724
2009-04-07,715,726
2009-04-08,691,717
2009-04-09,676,694
2009-04-10,679,679
2009-04-11,680,681
2009-04-12,681,681
2009-04-13,670,682
2009-04-14,630,672
2009-04-15,627,633
2009-04-16,547,631
2009-04-17,530,556
2009-04-18,529,530
2009-04-19,529,530
2009-04-20,518,533
2009-04-21,499,519
2009-04-22,522,532
2009-04-23,512,530
2009-04-24,490,513
2009-04-25,486,490
2009-04-26,486,486
2009-04-27,496,497
2009-04-28,456,499
2009-04-29,452,474
2009-04-30,443,452
2009-05-01,439,449
2009-05-02,439,439
2009-05-03,441,441
2009-05-04,437,442
2009-05-05,433,446
2009-05-06,463,466
2009-05-07,456,472
2009-05-08,478,491
2009-05-09,505,505
2009-05-10,562,564
2009-05-11,560,565
2009-05-12,562,568
2009-05-13,587,594
2009-05-14,620,626
2009-05-15,629,640
2009-05-16,633,634
2009-05-17,643,643
2009-05-18,624,643
2009-05-19,616,624
2009-05-20,622,639
2009-05-21,599,625
2009-05-22,558,604
2009-05-23,558,560
2009-05-24,585,585
2009-05-25,597,599
2009-05-26,583,602
2009-05-27,591,599
2009-05-28,588,598
2009-05-29,599,603
2009-05-30,619,619
2009-05-31,619,619
2009-06-01,611,620
2009-06-02,610,632
2009-06-03,594,628
2009-06-04,577,596
2009-06-05,542,585
2009-06-06,548,549
2009-06-07,556,556
2009-06-08,564,581
2009-06-09,566,580
2009-06-10,615,624
2009-06-11,598,626
2009-06-12,570,602
2009-06-13,581,581
2009-06-14,587,587
2009-06-15,582,587
2009-06-16,558,602
2009-06-17,555,560
2009-06-18,548,565
2009-06-19,539,552
2009-06-20,541,542
2009-06-21,546,546
2009-06-22,543,549
2009-06-23,533,544
2009-06-24,549,552
2009-06-25,541,558
2009-06-26,529,545
2009-06-27,538,538
2009-06-28,561,561
2009-06-29,547,575
2009-06-30,583,588
2009-07-01,572,585
2009-07-02,565,574
2009-07-03,545,565
2009-07-04,555,555
2009-07-05,556,558
2009-07-06,548,556
2009-07-07,551,560
2009-07-08,542,562
2009-07-09,513,552
2009-07-10,489,517
2009-07-11,503,513
2009-07-12,547,547
2009-07-13,544,551
2009-07-14,551,559
2009-07-15,568,584
2009-07-16,548,588
2009-07-17,529,556
2009-07-18,542,544
2009-07-19,553,553
2009-07-20,546,554
2009-07-21,535,547
2009-07-22,498,556
2009-07-23,492,509
2009-07-24,494,514
2009-07-25,493,497
2009-07-26,550,550
2009-07-27,550,557
2009-07-28,540,552
2009-07-29,558,576
2009-07-30,551,585
2009-07-31,553,581
2009-08-01,557,564
2009-08-02,562,562
2009-08-03,557,563
2009-08-04,541,558
2009-08-05,566,570
2009-08-06,550,580
2009-08-07,586,601
2009-08-08,587,587
2009-08-09,589,589
2009-08-10,564,595
2009-08-11,554,573
2009-08-12,585,595
2009-08-13,583,588
2009-08-14,609,649
2009-08-15,646,647
2009-08-16,684,684
2009-08-17,668,687
2009-08-18,656,672
2009-08-19,652,659
2009-08-20,651,669
2009-08-21,654,661
2009-08-22,657,657
2009-08-23,695,695
2009-08-24,676,702
2009-08-25,676,684
2009-08-26,687,711
2009-08-27,692,699
2009-08-28,672,724
2009-08-29,670,676
2009-08-30,677,678
2009-08-31,648,684
2009-09-01,656,669
2009-09-02,709,721
2009-09-03,717,729
2009-09-04,689,728
2009-09-05,696,696
2009-09-06,704,704
2009-09-07,734,735
2009-09-08,738,744
2009-09-09,712,743
2009-09-10,712,722
2009-09-11,670,724
2009-09-12,711,713
2009-09-13,757,757
2009-09-14,747,758
2009-09-15,717,750
2009-09-16,724,727
2009-09-17,711,734
2009-09-18,713,735
2009-09-19,712,716
2009-09-20,719,719
2009-09-21,707,723
2009-09-22,703,720
2009-09-23,706,718
2009-09-24,726,735
2009-09-25,656,730
2009-09-26,681,690
2009-09-27,685,685
2009-09-28,681,688
2009-09-29,688,696
2009-09-30,669,694
2009-10-01,662,681
2009-10-02,648,685
2009-10-03,663,663
2009-10-04,668,669
2009-10-05,652,671
2009-10-06,646,668
2009-10-07,655,671
2009-10-08,629,662
2009-10-09,626,633
2009-10-10,645,645
2009-10-11,649,651
2009-10-12,622,651
2009-10-13,612,627
2009-10-14,591,617
2009-10-15,567,600
2009-10-16,611,659
2009-10-17,656,657
2009-10-18,667,667
2009-10-19,660,669
2009-10-20,679,696
2009-10-21,706,745
2009-10-22,678,708
2009-10-23,694,734
2009-10-24,757,758
2009-10-25,770,770
2009-10-26,759,774
2009-10-27,747,768
2009-10-28,765,780
2009-10-29,766,795
2009-10-30,757,774
2009-10-31,763,763
2009-11-01,802,802
2009-11-02,798,805
2009-11-03,821,829
2009-11-04,815,847
2009-11-05,759,821
2009-11-06,759,772
2009-11-07,771,771
2009-11-08,783,783
2009-11-09,745,795
2009-11-10,726,754
2009-11-11,756,762
2009-11-12,748,759
2009-11-13,723,756
2009-11-14,763,764
2009-11-15,768,768
2009-11-16,739,772
2009-11-17,711,745
2009-11-18,698,746
2009-11-19,662,702
2009-11-20,668,706
2009-11-21,746,746
2009-11-22,750,750
2009-11-23,751,758
2009-11-24,699,756
2009-11-25,715,749
2009-11-26,735,735
2009-11-27,743,761
2009-11-28,758,758
2009-11-29,769,769
2009-11-30,761,775
2009-12-01,749,765
2009-12-02,799,808
2009-12-03,796,807
2009-12-04,798,851
2009-12-05,797,810
2009-12-06,802,803
2009-12-07,807,829
2009-12-08,787,810
2009-12-09,816,828
2009-12-10,776,827
2009-12-11,725,795
2009-12-12,738,738
2009-12-13,745,745
2009-12-14,740,758
2009-12-15,749,786
2009-12-16,808,817
2009-12-17,773,813
2009-12-18,785,818
2009-12-19,780,794
2009-12-20,782,783
2009-12-21,784,789
2009-12-22,730,795
2009-12-23,756,768
2009-12-24,763,776
2009-12-25,774,774
2009-12-26,775,775
2009-12-27,789,789
2009-12-28,790,794
2009-12-29,818,822
2009-12-30,820,844
2009-12-31,812,825
2010-01-01,816,816
2010-01-02,814,824
2010-01-03,816,816
2010-01-04,840,841
2010-01-05,833,841
2010-01-06,783,839
2010-01-07,788,797
2010-01-08,802,831
2010-01-09,812,812
2010-01-10,815,815
2010-01-11,812,815
2010-01-12,804,816
2010-01-13,799,805
2010-01-14,786,807
2010-01-15,759,806
2010-01-16,763,764
2010-01-17,767,767
2010-01-18,769,769
2010-01-19,756,770
2010-01-20,749,762
2010-01-21,737,753
2010-01-22,727,739
2010-01-23,734,734
2010-01-24,734,734
2010-01-25,724,737
2010-01-26,712,725
2010-01-27,690,735
2010-01-28,601,712
2010-01-29,633,641
2010-01-30,652,653
2010-01-31,665,666
2010-02-01,658,669
2010-02-02,645,668
2010-02-03,697,707
2010-02-04,700,723
2010-02-05,775,815
2010-02-06,802,802
2010-02-07,803,803
2010-02-08,793,808
2010-02-09,791,805
2010-02-10,758,797
2010-02-11,727,759
2010-02-12,707,735
2010-02-13,711,711
2010-02-14,711,711
2010-02-15,713,713
2010-02-16,681,717
2010-02-17,681,699
2010-02-18,696,719
2010-02-19,687,719
2010-02-20,689,689
2010-02-21,679,694
2010-02-22,677,684
2010-02-23,701,716
2010-02-24,709,734
2010-02-25,732,761
2010-02-26,747,767
2010-02-27,753,753
2010-02-28,757,757
2010-03-01,750,764
2010-03-02,751,765
2010-03-03,751,785
2010-03-04,731,765
2010-03-05,745,756
2010-03-06,798,798
2010-03-07,807,807
2010-03-08,807,841
2010-03-09,813,835
2010-03-10,782,816
2010-03-11,797,832
2010-03-12,808,815
2010-03-13,814,814
2010-03-14,816,816
2010-03-15,812,821
2010-03-16,784,822
2010-03-17,756,801
2010-03-18,712,761
2010-03-19,748,758
2010-03-20,763,763
2010-03-21,770,770
2010-03-22,756,776
2010-03-23,723,760
2010-03-24,700,733
2010-03-25,691,711
2010-03-26,644,702
2010-03-27,700,700
2010-03-28,785,785
2010-03-29,793,808
2010-03-30,804,812
2010-03-31,811,821
2010-04-01,801,815
2010-04-02,799,815
2010-04-03,811,811
2010-04-04,822,822
2010-04-05,804,826
2010-04-06,797,818
2010-04-07,795,820
2010-04-08,782,805
2010-04-09,760,786
2010-04-10,794,794
2010-04-11,799,799
2010-04-12,790,801
2010-04-13,784,825
2010-04-14,788,807
2010-04-15,751,792
2010-04-16,777,792
2010-04-17,792,792
2010-04-18,795,809
2010-04-19,792,801
2010-04-20,793,796
2010-04-21,803,853
2010-04-22,753,811
2010-04-23,716,765
2010-04-24,715,724
2010-04-25,715,715
2010-04-26,723,744
2010-04-27,760,785
2010-04-28,772,781
2010-04-29,779,796
2010-04-30,762,813
2010-05-01,775,776
2010-05-02,778,779
2010-05-03,774,793
2010-05-04,756,777
2010-05-05,749,790
2010-05-06,728,776
2010-05-07,720,769
2010-05-08,742,744
2010-05-09,774,776
2010-05-10,775,788
2010-05-11,778,787
2010-05-12,772,798
2010-05-13,767,808
2010-05-14,767,818
2010-05-15,811,811
2010-05-16,812,821
2010-05-17,800,816
2010-05-18,801,811
2010-05-19,804,813
2010-05-20,798,820
2010-05-21,782,806
2010-05-22,839,839
2010-05-23,858,860
2010-05-24,865,882
2010-05-25,871,883
2010-05-26,846,879
2010-05-27,806,852
2010-05-28,810,828
2010-05-29,825,825
2010-05-30,831,833
2010-05-31,846,849
2010-06-01,861,874
2010-06-02,843,879
2010-06-03,845,854
2010-06-04,847,860
2010-06-05,871,871
2010-06-06,866,874
2010-06-07,863,868
2010-06-08,867,873
2010-06-09,890,913
2010-06-10,881,899
2010-06-11,831,886
2010-06-12,847,847
2010-06-13,882,883
2010-06-14,850,894
2010-06-15,815,884
2010-06-16,832,843
2010-06-17,822,870
2010-06-18,794,828
2010-06-19,847,847
2010-06-20,875,876
2010-06-21,857,884
2010-06-22,832,868
2010-06-23,829,861
2010-06-24,835,849
2010-06-25,854,863
2010-06-26,864,865
2010-06-27,887,887
2010-06-28,737,890
2010-06-29,59,753
2010-06-30,1,59
2010-07-01,1,1
2010-07-02,148,148
2010-07-03,264,270
2010-07-04,430,430
2010-07-05,473,473
2010-07-06,481,485
2010-07-07,536,541
2010-07-08,522,543
2010-07-09,563,603
2010-07-10,572,573
2010-07-11,575,575
2010-07-12,574,585
2010-07-13,601,614
2010-07-14,597,607
2010-07-15,637,669
2010-07-16,632,647
2010-07-17,640,641
2010-07-18,662,662
2010-07-19,650,665
2010-07-20,654,656
2010-07-21,642,677
2010-07-22,647,655
2010-07-23,619,653
2010-07-24,627,627
2010-07-25,637,638
2010-07-26,623,639
2010-07-27,617,636
2010-07-28,610,629
2010-07-29,588,614
2010-07-30,579,589
2010-07-31,591,591
2010-08-01,612,613
2010-08-02,598,619
2010-08-03,576,602
2010-08-04,569,581
2010-08-05,571,583
2010-08-06,560,588
2010-08-07,597,597
2010-08-08,597,599
2010-08-09,599,605
2010-08-10,615,629
2010-08-11,593,618
2010-08-12,614,658
2010-08-13,598,653
2010-08-14,608,610
2010-08-15,618,620
2010-08-16,634,647
2010-08-17,647,662
2010-08-18,648,660
2010-08-19,625,661
2010-08-20,622,632
2010-08-21,656,656
2010-08-22,663,666
2010-08-23,647,670
2010-08-24,684,693
2010-08-25,656,694
2010-08-26,650,666
2010-08-27,644,689
2010-08-28,653,653
2010-08-29,658,659
2010-08-30,675,686
2010-08-31,670,681
2010-09-01,650,683
2010-09-02,618,668
2010-09-03,606,626
2010-09-04,648,648
2010-09-05,674,675
2010-09-06,679,693
2010-09-07,661,680
2010-09-08,643,673
2010-09-09,620,650
2010-09-10,645,683
2010-09-11,660,660
2010-09-12,662,662
2010-09-13,653,664
2010-09-14,653,671
2010-09-15,661,666
2010-09-16,668,688
2010-09-17,639,675
2010-09-18,658,658
2010-09-19,660,660
2010-09-20,658,671
2010-09-21,647,666
2010-09-22,666,684
2010-09-23,669,698
2010-09-24,652,678
2010-09-25,659,659
2010-09-26,664,664
2010-09-27,654,673
2010-09-28,633,665
2010-09-29,614,653
2010-09-30,595,632
2010-10-01,619,632
2010-10-02,647,649
2010-10-03,658,658
2010-10-04,647,661
2010-10-05,648,667
2010-10-06,651,660
2010-10-07,647,673
2010-10-08,620,652
2010-10-09,638,638
2010-10-10,651,651
2010-10-11,654,654
2010-10-12,630,660
2010-10-13,634,657
2010-10-14,649,660
2010-10-15,629,670
2010-10-16,661,664
2010-10-17,668,669
2010-10-18,651,669
2010-10-19,633,659
2010-10-20,635,655
2010-10-21,640,660
2010-10-22,624,648
2010-10-23,632,632
2010-10-24,645,645
2010-10-25,646,668
2010-10-26,631,653
2010-10-27,608,647
2010-10-28,622,640
2010-10-29,617,636
2010-10-30,634,634
2010-10-31,642,642
2010-11-01,621,651
2010-11-02,647,669
2010-11-03,671,687
2010-11-04,680,692
2010-11-05,651,717
2010-11-06,737,737
2010-11-07,787,787
2010-11-08,799,813
2010-11-09,808,818
2010-11-10,788,826
2010-11-11,801,802
2010-11-12,805,826
2010-11-13,807,807
2010-11-14,814,814
2010-11-15,814,823
2010-11-16,805,818
2010-11-17,799,828
2010-11-18,792,828
2010-11-19,767,814
2010-11-20,796,796
2010-11-21,799,799
2010-11-22,802,809
2010-11-23,798,814
2010-11-24,810,816
2010-11-25,815,815
2010-11-26,801,816
2010-11-27,803,803
2010-11-28,804,805
2010-11-29,799,809
2010-11-30,802,817
2010-12-01,801,814
2010-12-02,788,824
2010-12-03,724,822
2010-12-04,776,776
2010-12-05,789,790
2010-12-06,791,804
2010-12-07,793,800
2010-12-08,765,807
2010-12-09,780,795
2010-12-10,787,802
2010-12-11,806,806
2010-12-12,807,807
2010-12-13,799,815
2010-12-14,802,816
2010-12-15,764,805
2010-12-16,787,801
2010-12-17,769,804
2010-12-18,803,803
2010-12-19,807,807
2010-12-20,793,812
2010-12-21,793,821
2010-12-22,766,810
2010-12-23,760,810
2010-12-24,794,796
2010-12-25,798,800
2010-12-26,804,805
2010-12-27,794,805
2010-12-28,768,800
2010-12-29,745,768
2010-12-30,765,770
2010-12-31,771,778
2011-01-01,777,778
2011-01-02,787,789
2011-01-03,787,795
2011-01-04,784,800
2011-01-05,783,812
2011-01-06,797,808
2011-01-07,788,827
2011-01-08,796,797
2011-01-09,812,812
2011-01-10,801,823
2011-01-11,810,826
2011-01-12,809,825
2011-01-13,770,814
2011-01-14,757,805
2011-01-15,790,792
2011-01-16,819,820
2011-01-17,818,820
2011-01-18,794,819
2011-01-19,776,828
2011-01-20,785,811
2011-01-21,777,827
2011-01-22,806,806
2011-01-23,808,810
2011-01-24,794,812
2011-01-25,779,802
2011-01-26,766,795
2011-01-27,776,800
2011-01-28,784,805
2011-01-29,802,802
2011-01-30,811,812
2011-01-31,794,822
2011-02-01,816,836
2011-02-02,830,862
2011-02-03,828,856
2011-02-04,824,828
2011-02-05,870,870
2011-02-06,874,874
2011-02-07,855,887
2011-02-08,854,877
2011-02-09,850,901
2011-02-10,841,862
2011-02-11,860,898
2011-02-12,872,872
2011-02-13,882,882
2011-02-14,868,887
2011-02-15,854,878
2011-02-16,849,896
2011-02-17,832,880
2011-02-18,818,872
2011-02-19,862,863
2011-02-20,871,871
2011-02-21,877,877
2011-02-22,858,890
2011-02-23,868,880
2011-02-24,864,887
2011-02-25,855,873
2011-02-26,872,876
2011-02-27,876,876
2011-02-28,856,883
2011-03-01,852,868
2011-03-02,840,878
2011-03-03,844,866
2011-03-04,828,853
2011-03-05,858,865
2011-03-06,863,864
2011-03-07,845,866
2011-03-08,842,909
2011-03-09,871,897
2011-03-10,859,880
2011-03-11,825,896
2011-03-12,877,877
2011-03-13,879,879
2011-03-14,864,894
2011-03-15,853,871
2011-03-16,861,891
2011-03-17,850,904
2011-03-18,809,884
2011-03-19,860,861
2011-03-20,877,877
2011-03-21,868,891
2011-03-22,861,880
2011-03-23,852,883
2011-03-24,849,877
2011-03-25,850,902
2011-03-26,869,869
2011-03-27,881,882
2011-03-28,846,886
2011-03-29,842,865
2011-03-30,830,879
2011-03-31,830,877
2011-04-01,831,859
2011-04-02,854,855
2011-04-03,855,856
2011-04-04,871,894
2011-04-05,857,883
2011-04-06,845,898
2011-04-07,854,873
2011-04-08,813,878
2011-04-09,878,879
2011-04-10,889,889
2011-04-11,906,935
2011-04-12,946,968
2011-04-13,965,999
2011-04-14,990,"1,018"
2011-04-15,986,"1,012"
2011-04-16,999,"1,000"
2011-04-17,999,"1,001"
2011-04-18,988,"1,003"
2011-04-19,977,998
2011-04-20,995,"1,010"
2011-04-21,984,999
2011-04-22,977,"1,000"
2011-04-23,988,988
2011-04-24,989,989
2011-04-25,974,991
2011-04-26,961,990
2011-04-27,968,"1,007"
2011-04-28,948,"1,011"
2011-04-29,949,"1,001"
2011-04-30,968,970
2011-05-01,969,970
2011-05-02,955,971
2011-05-03,949,966
2011-05-04,937,981
2011-05-05,914,966
2011-05-06,911,968
2011-05-07,930,930
2011-05-08,933,934
2011-05-09,921,936
2011-05-10,908,933
2011-05-11,916,931
2011-05-12,898,925
2011-05-13,899,947
2011-05-14,907,909
2011-05-15,935,935
2011-05-16,956,973
2011-05-17,957,974
2011-05-18,954,"1,021"
2011-05-19,948,"1,010"
2011-05-20,945,999
2011-05-21,945,948
2011-05-22,968,969
2011-05-23,959,970
2011-05-24,955,980
2011-05-25,954,972
2011-05-26,956,976
2011-05-27,951,961
2011-05-28,970,972
2011-05-29,969,975
2011-05-30,971,972
2011-05-31,954,978
