Date,Midnight population,24-hour population
2008-10-01,135,135
2008-10-02,140,150
2008-10-03,140,140
2008-10-04,139,140
2008-10-05,138,139
2008-10-06,140,140
2008-10-07,140,140
2008-10-08,143,145
2008-10-09,145,145
2008-10-10,132,155
2008-10-11,132,132
2008-10-12,132,132
2008-10-13,132,132
2008-10-14,133,135
2008-10-15,134,135
2008-10-16,127,140
2008-10-17,128,128
2008-10-18,129,129
2008-10-19,129,129
2008-10-20,131,132
2008-10-21,131,131
2008-10-22,130,131
2008-10-23,123,134
2008-10-24,121,123
2008-10-25,121,121
2008-10-26,122,122
2008-10-27,123,124
2008-10-28,126,126
2008-10-29,129,130
2008-10-30,132,139
2008-10-31,137,138
2008-11-01,137,137
2008-11-02,137,137
2008-11-03,137,140
2008-11-04,135,137
2008-11-05,135,137
2008-11-06,119,136
2008-11-07,106,121
2008-11-08,105,106
2008-11-09,105,105
2008-11-10,102,106
2008-11-11,101,102
2008-11-12,104,104
2008-11-13,107,109
2008-11-14,117,117
2008-11-15,118,118
2008-11-16,119,119
2008-11-17,127,128
2008-11-18,127,138
2008-11-19,136,137
2008-11-20,135,137
2008-11-21,138,138
2008-11-22,138,138
2008-11-23,138,138
2008-11-24,135,138
2008-11-25,142,150
2008-11-26,142,145
2008-11-27,142,142
2008-11-28,143,145
2008-11-29,143,143
2008-11-30,143,143
2008-12-01,144,146
2008-12-02,143,151
2008-12-03,143,144
2008-12-04,141,143
2008-12-05,142,143
2008-12-06,141,142
2008-12-07,141,141
2008-12-08,141,142
2008-12-09,150,151
2008-12-10,140,154
2008-12-11,139,140
2008-12-12,145,146
2008-12-13,145,145
2008-12-14,145,145
2008-12-15,145,147
2008-12-16,138,145
2008-12-17,140,142
2008-12-18,139,140
2008-12-19,139,140
2008-12-20,139,139
2008-12-21,139,139
2008-12-22,135,141
2008-12-23,135,136
2008-12-24,137,137
2008-12-25,137,137
2008-12-26,137,137
2008-12-27,137,137
2008-12-28,137,137
2008-12-29,134,138
2008-12-30,145,145
2008-12-31,131,149
2009-01-01,131,131
2009-01-02,135,136
2009-01-03,135,135
2009-01-04,135,135
2009-01-05,135,136
2009-01-06,135,143
2009-01-07,137,137
2009-01-08,137,140
2009-01-09,151,155
2009-01-10,151,151
2009-01-11,151,151
2009-01-12,151,152
2009-01-13,148,152
2009-01-14,140,149
2009-01-15,143,143
2009-01-16,160,160
2009-01-17,160,160
2009-01-18,160,160
2009-01-19,160,160
2009-01-20,165,166
2009-01-21,154,168
2009-01-22,155,155
2009-01-23,169,170
2009-01-24,169,169
2009-01-25,169,169
2009-01-26,168,172
2009-01-27,170,171
2009-01-28,176,177
2009-01-29,170,188
2009-01-30,176,176
2009-01-31,176,176
2009-02-01,176,176
2009-02-02,178,179
2009-02-03,177,183
2009-02-04,174,181
2009-02-05,176,177
2009-02-06,177,179
2009-02-07,177,177
2009-02-08,177,177
2009-02-09,178,179
2009-02-10,179,179
2009-02-11,174,186
2009-02-12,183,183
2009-02-13,187,188
2009-02-14,186,187
2009-02-15,186,186
2009-02-16,186,186
2009-02-17,186,192
2009-02-18,184,194
2009-02-19,182,186
2009-02-20,180,182
2009-02-21,180,180
2009-02-22,180,180
2009-02-23,181,184
2009-02-24,180,192
2009-02-25,181,187
2009-02-26,182,182
2009-02-27,182,183
2009-02-28,181,182
2009-03-01,181,181
2009-03-02,181,181
2009-03-03,171,185
2009-03-04,168,173
2009-03-05,170,175
2009-03-06,174,174
2009-03-07,174,174
2009-03-08,174,174
2009-03-09,176,176
2009-03-10,177,179
2009-03-11,159,181
2009-03-12,159,161
2009-03-13,157,159
2009-03-14,157,157
2009-03-15,157,157
2009-03-16,154,159
2009-03-17,155,155
2009-03-18,135,159
2009-03-19,149,149
2009-03-20,155,157
2009-03-21,155,155
2009-03-22,155,155
2009-03-23,155,157
2009-03-24,151,158
2009-03-25,161,162
2009-03-26,164,167
2009-03-27,165,165
2009-03-28,165,165
2009-03-29,165,165
2009-03-30,169,171
2009-03-31,169,172
2009-04-01,175,175
2009-04-02,168,176
2009-04-03,166,169
2009-04-04,166,166
2009-04-05,166,166
2009-04-06,167,167
2009-04-07,167,167
2009-04-08,176,176
2009-04-09,166,176
2009-04-10,166,168
2009-04-11,166,166
2009-04-12,166,166
2009-04-13,154,167
2009-04-14,152,154
2009-04-15,161,161
2009-04-16,161,166
2009-04-17,170,170
2009-04-18,170,170
2009-04-19,170,170
2009-04-20,170,173
2009-04-21,152,171
2009-04-22,157,157
2009-04-23,155,158
2009-04-24,155,158
2009-04-25,155,155
2009-04-26,155,155
2009-04-27,159,161
2009-04-28,167,169
2009-04-29,168,176
2009-04-30,172,172
2009-05-01,171,174
2009-05-02,171,171
2009-05-03,171,171
2009-05-04,173,174
2009-05-05,157,175
2009-05-06,157,160
2009-05-07,157,158
2009-05-08,157,159
2009-05-09,157,157
2009-05-10,157,157
2009-05-11,157,159
2009-05-12,159,160
2009-05-13,156,170
2009-05-14,157,157
2009-05-15,161,162
2009-05-16,157,161
2009-05-17,157,157
2009-05-18,157,158
2009-05-19,154,161
2009-05-20,162,165
2009-05-21,160,162
2009-05-22,163,165
2009-05-23,163,163
2009-05-24,163,163
2009-05-25,163,163
2009-05-26,164,167
2009-05-27,165,172
2009-05-28,169,171
2009-05-29,173,174
2009-05-30,172,173
2009-05-31,172,172
2009-06-01,170,175
2009-06-02,175,177
2009-06-03,186,188
2009-06-04,172,188
2009-06-05,175,178
2009-06-06,175,175
2009-06-07,175,175
2009-06-08,180,185
2009-06-09,177,181
2009-06-10,184,185
2009-06-11,182,184
2009-06-12,187,188
2009-06-13,187,187
2009-06-14,187,187
2009-06-15,180,191
2009-06-16,180,191
2009-06-17,181,183
2009-06-18,180,181
2009-06-19,175,190
2009-06-20,175,175
2009-06-21,175,175
2009-06-22,176,181
2009-06-23,179,181
2009-06-24,170,188
2009-06-25,178,178
2009-06-26,182,184
2009-06-27,182,182
2009-06-28,182,182
2009-06-29,185,189
2009-06-30,185,190
2009-07-01,188,197
2009-07-02,188,188
2009-07-03,188,188
2009-07-04,188,188
2009-07-05,188,188
2009-07-06,186,188
2009-07-07,184,186
2009-07-08,190,192
2009-07-09,187,190
2009-07-10,179,187
2009-07-11,179,179
2009-07-12,179,179
2009-07-13,179,186
2009-07-14,183,186
2009-07-15,186,186
2009-07-16,185,186
2009-07-17,185,187
2009-07-18,186,186
2009-07-19,186,186
2009-07-20,183,186
2009-07-21,176,195
2009-07-22,183,184
2009-07-23,181,186
2009-07-24,181,183
2009-07-25,181,181
2009-07-26,181,181
2009-07-27,183,187
2009-07-28,183,186
2009-07-29,177,183
2009-07-30,182,183
2009-07-31,186,186
2009-08-01,186,186
2009-08-02,186,186
2009-08-03,192,195
2009-08-04,184,195
2009-08-05,186,187
2009-08-06,183,186
2009-08-07,182,183
2009-08-08,182,182
2009-08-09,182,182
2009-08-10,182,189
2009-08-11,187,189
2009-08-12,185,194
2009-08-13,184,185
2009-08-14,183,184
2009-08-15,183,183
2009-08-16,183,183
2009-08-17,181,187
