Date,Midnight population,24-hour population
2008-10-01,41,51
2008-10-02,44,46
2008-10-03,47,47
2008-10-04,47,47
2008-10-05,47,47
2008-10-06,48,52
2008-10-07,46,51
2008-10-08,49,49
2008-10-09,50,51
2008-10-10,51,52
2008-10-11,51,51
2008-10-12,51,51
2008-10-13,51,51
2008-10-14,52,52
2008-10-15,48,53
2008-10-16,41,49
2008-10-17,44,45
2008-10-18,44,44
2008-10-19,44,44
2008-10-20,48,48
2008-10-21,50,51
2008-10-22,44,52
2008-10-23,45,45
2008-10-24,45,46
2008-10-25,45,45
2008-10-26,45,45
2008-10-27,48,48
2008-10-28,49,49
2008-10-29,43,49
2008-10-30,43,43
2008-10-31,43,43
2008-11-01,43,43
2008-11-02,43,43
2008-11-03,44,44
2008-11-04,46,46
2008-11-05,42,48
2008-11-06,43,43
2008-11-07,44,44
2008-11-08,44,44
2008-11-09,44,44
2008-11-10,44,44
2008-11-11,44,44
2008-11-12,44,47
2008-11-13,41,45
2008-11-14,43,43
2008-11-15,43,43
2008-11-16,43,43
2008-11-17,44,44
2008-11-18,46,46
2008-11-19,39,46
2008-11-20,37,39
2008-11-21,40,40
2008-11-22,40,40
2008-11-23,40,40
2008-11-24,42,42
2008-11-25,43,43
2008-11-26,40,44
2008-11-27,40,40
2008-11-28,41,41
2008-11-29,41,41
2008-11-30,41,41
2008-12-01,41,41
2008-12-02,44,44
2008-12-03,36,44
2008-12-04,37,38
2008-12-05,38,38
2008-12-06,38,38
2008-12-07,38,38
2008-12-08,40,41
2008-12-09,40,41
2008-12-10,39,42
2008-12-11,40,40
2008-12-12,40,40
2008-12-13,40,40
2008-12-14,40,40
2008-12-15,44,45
2008-12-16,48,48
2008-12-17,45,54
2008-12-18,46,47
2008-12-19,46,46
2008-12-20,46,46
2008-12-21,46,46
2008-12-22,47,47
2008-12-23,55,55
2008-12-24,51,57
2008-12-25,51,51
2008-12-26,51,51
2008-12-27,51,51
2008-12-28,52,52
2008-12-29,51,53
2008-12-30,54,54
2008-12-31,49,55
2009-01-01,49,49
2009-01-02,49,49
2009-01-03,49,49
2009-01-04,49,49
2009-01-05,49,49
2009-01-06,54,59
2009-01-07,46,59
2009-01-08,46,46
2009-01-09,30,46
2009-01-10,30,30
2009-01-11,30,30
2009-01-12,31,32
2009-01-13,31,31
2009-01-14,28,32
2009-01-15,27,28
2009-01-16,27,27
2009-01-17,27,27
2009-01-18,27,27
2009-01-19,27,27
2009-01-20,31,31
2009-01-21,28,35
2009-01-22,30,30
2009-01-23,33,33
2009-01-24,33,33
2009-01-25,33,33
2009-01-26,32,34
2009-01-27,33,34
2009-01-28,22,33
2009-01-29,24,24
2009-01-30,18,25
2009-01-31,18,18
2009-02-01,18,18
2009-02-02,20,20
2009-02-03,21,21
2009-02-04,30,30
2009-02-05,21,30
2009-02-06,22,22
2009-02-07,22,22
2009-02-08,22,22
2009-02-09,23,24
2009-02-10,17,28
2009-02-11,13,17
2009-02-12,17,17
2009-02-13,18,18
2009-02-14,18,18
2009-02-15,18,18
2009-02-16,13,18
2009-02-17,13,14
2009-02-18,14,16
2009-02-19,15,16
2009-02-20,19,19
2009-02-21,19,19
2009-02-22,19,19
2009-02-23,20,20
2009-02-24,23,23
2009-02-25,17,26
2009-02-26,19,19
2009-02-27,21,23
2009-02-28,21,21
2009-03-01,21,21
2009-03-02,21,22
2009-03-03,21,21
2009-03-04,22,23
2009-03-05,25,25
2009-03-06,28,28
2009-03-07,28,28
2009-03-08,28,28
2009-03-09,28,30
2009-03-10,43,43
2009-03-11,30,44
2009-03-12,32,32
2009-03-13,35,35
2009-03-14,35,35
