Date,Midnight population,24-hour population
2008-10-01,68,88
2008-10-02,73,79
2008-10-03,78,78
2008-10-04,78,78
2008-10-05,78,78
2008-10-06,78,78
2008-10-07,81,81
2008-10-08,62,87
2008-10-09,62,67
2008-10-10,64,68
2008-10-11,64,64
2008-10-12,64,64
2008-10-13,64,64
2008-10-14,63,64
2008-10-15,68,69
2008-10-16,63,75
2008-10-17,60,63
2008-10-18,60,60
2008-10-19,60,60
2008-10-20,69,71
2008-10-21,78,79
2008-10-22,74,86
2008-10-23,72,74
2008-10-24,70,72
2008-10-25,70,70
2008-10-26,70,70
2008-10-27,76,81
2008-10-28,75,76
2008-10-29,55,82
2008-10-30,62,64
2008-10-31,61,63
2008-11-01,61,61
2008-11-02,61,61
2008-11-03,58,61
2008-11-04,64,65
2008-11-05,55,67
2008-11-06,60,63
2008-11-07,65,66
2008-11-08,65,65
2008-11-09,65,65
2008-11-10,69,70
2008-11-11,69,69
2008-11-12,60,73
2008-11-13,62,64
2008-11-14,68,68
2008-11-15,68,68
2008-11-16,68,68
2008-11-17,69,70
2008-11-18,75,80
2008-11-19,62,81
2008-11-20,70,72
2008-11-21,71,73
2008-11-22,71,71
2008-11-23,71,71
2008-11-24,67,71
2008-11-25,64,68
2008-11-26,51,64
2008-11-27,51,51
2008-11-28,57,57
2008-11-29,57,57
2008-11-30,57,57
2008-12-01,64,64
2008-12-02,68,68
2008-12-03,59,77
2008-12-04,60,60
2008-12-05,66,68
2008-12-06,66,66
2008-12-07,66,66
2008-12-08,72,74
2008-12-09,78,79
2008-12-10,60,78
2008-12-11,59,60
2008-12-12,60,60
2008-12-13,60,60
2008-12-14,60,60
2008-12-15,62,62
2008-12-16,61,63
2008-12-17,70,83
2008-12-18,72,73
2008-12-19,68,73
2008-12-20,68,68
2008-12-21,68,68
2008-12-22,75,78
2008-12-23,83,85
2008-12-24,65,83
2008-12-25,65,65
2008-12-26,65,65
2008-12-27,65,65
2008-12-28,65,65
2008-12-29,65,65
2008-12-30,73,73
2008-12-31,77,84
2009-01-01,77,77
2009-01-02,77,77
2009-01-03,77,77
2009-01-04,77,77
2009-01-05,74,78
2009-01-06,78,79
2009-01-07,66,79
2009-01-08,72,72
2009-01-09,75,77
2009-01-10,75,75
2009-01-11,75,75
