Date,Midnight population,24-hour population
2008-10-01,27,29
2008-10-02,28,28
2008-10-03,29,29
2008-10-04,29,29
2008-10-05,29,29
2008-10-06,29,31
2008-10-07,29,29
2008-10-08,30,30
2008-10-09,32,32
2008-10-10,28,33
2008-10-11,28,28
2008-10-12,28,28
2008-10-13,28,28
2008-10-14,28,31
2008-10-15,27,30
2008-10-16,28,28
2008-10-17,32,32
2008-10-18,32,32
2008-10-19,32,32
2008-10-20,31,34
2008-10-21,34,34
2008-10-22,36,38
2008-10-23,33,40
2008-10-24,32,37
2008-10-25,32,32
2008-10-26,32,32
2008-10-27,30,32
2008-10-28,27,31
2008-10-29,26,27
2008-10-30,28,29
2008-10-31,28,29
2008-11-01,28,28
2008-11-02,28,28
2008-11-03,29,32
2008-11-04,28,33
2008-11-05,28,30
2008-11-06,26,29
2008-11-07,25,28
2008-11-08,25,25
2008-11-09,25,25
2008-11-10,26,26
2008-11-11,26,26
2008-11-12,29,29
2008-11-13,28,31
2008-11-14,25,28
2008-11-15,25,25
2008-11-16,25,25
2008-11-17,24,26
2008-11-18,24,27
2008-11-19,23,25
2008-11-20,25,25
2008-11-21,23,27
2008-11-22,23,23
2008-11-23,23,23
2008-11-24,24,26
2008-11-25,27,29
2008-11-26,26,28
2008-11-27,26,26
2008-11-28,27,27
2008-11-29,27,27
2008-11-30,27,27
2008-12-01,29,29
2008-12-02,26,31
2008-12-03,25,27
2008-12-04,26,27
2008-12-05,25,27
2008-12-06,25,25
2008-12-07,25,25
2008-12-08,24,25
2008-12-09,21,25
2008-12-10,19,21
2008-12-11,21,22
2008-12-12,23,23
2008-12-13,23,23
2008-12-14,23,23
2008-12-15,23,24
2008-12-16,25,26
2008-12-17,29,30
2008-12-18,33,34
2008-12-19,33,33
2008-12-20,33,33
2008-12-21,33,33
2008-12-22,40,40
2008-12-23,46,48
2008-12-24,49,51
2008-12-25,49,49
2008-12-26,49,49
2008-12-27,49,49
2008-12-28,49,49
2008-12-29,55,57
2008-12-30,52,58
2008-12-31,56,56
2009-01-01,56,56
2009-01-02,55,57
2009-01-03,55,55
2009-01-04,55,55
2009-01-05,56,56
2009-01-06,57,57
2009-01-07,57,59
2009-01-08,50,57
2009-01-09,48,50
2009-01-10,47,48
2009-01-11,47,47
2009-01-12,43,47
2009-01-13,41,45
2009-01-14,41,43
2009-01-15,37,42
2009-01-16,34,38
2009-01-17,34,34
2009-01-18,34,34
2009-01-19,34,34
2009-01-20,34,35
2009-01-21,33,36
2009-01-22,35,37
2009-01-23,35,37
2009-01-24,35,35
2009-01-25,35,35
2009-01-26,31,36
2009-01-27,38,40
2009-01-28,38,40
2009-01-29,31,42
2009-01-30,30,36
2009-01-31,30,30
2009-02-01,30,30
2009-02-02,30,32
2009-02-03,29,33
2009-02-04,30,33
2009-02-05,33,33
2009-02-06,29,34
2009-02-07,29,29
2009-02-08,29,29
2009-02-09,30,30
2009-02-10,30,32
2009-02-11,30,32
2009-02-12,26,31
2009-02-13,25,27
2009-02-14,25,25
2009-02-15,25,25
2009-02-16,25,25
2009-02-17,24,25
2009-02-18,23,24
2009-02-19,23,23
2009-02-20,24,28
2009-02-21,24,24
2009-02-22,24,24
2009-02-23,22,25
2009-02-24,23,25
2009-02-25,24,25
2009-02-26,28,32
2009-02-27,29,31
2009-02-28,29,29
2009-03-01,28,29
2009-03-02,23,28
2009-03-03,22,25
2009-03-04,22,22
2009-03-05,22,23
2009-03-06,20,22
2009-03-07,20,20
2009-03-08,20,20
2009-03-09,20,21
2009-03-10,19,20
2009-03-11,19,19
2009-03-12,23,23
2009-03-13,23,25
2009-03-14,23,23
2009-03-15,23,23
2009-03-16,23,24
2009-03-17,23,24
2009-03-18,25,27
2009-03-19,22,25
2009-03-20,24,24
2009-03-21,25,25
2009-03-22,25,25
2009-03-23,24,27
2009-03-24,25,26
2009-03-25,29,29
2009-03-26,28,32
2009-03-27,30,34
2009-03-28,30,30
2009-03-29,30,30
2009-03-30,26,30
2009-03-31,27,28
2009-04-01,25,28
2009-04-02,25,25
2009-04-03,25,27
2009-04-04,25,25
2009-04-05,25,25
2009-04-06,25,25
2009-04-07,24,27
2009-04-08,24,25
2009-04-09,24,24
2009-04-10,23,24
2009-04-11,23,23
2009-04-12,23,23
2009-04-13,23,23
2009-04-14,21,25
2009-04-15,19,22
2009-04-16,20,23
2009-04-17,18,22
2009-04-18,18,18
2009-04-19,18,18
