Date,Midnight population,24-hour population
2008-10-01,101,101
2008-10-02,113,118
2008-10-03,119,121
2008-10-04,119,119
2008-10-05,119,119
2008-10-06,120,121
2008-10-07,106,120
2008-10-08,106,106
2008-10-09,115,117
2008-10-10,120,120
2008-10-11,120,120
2008-10-12,120,120
2008-10-13,120,120
2008-10-14,110,123
2008-10-15,109,110
2008-10-16,120,121
2008-10-17,120,120
2008-10-18,120,120
2008-10-19,120,120
2008-10-20,121,123
2008-10-21,107,122
2008-10-22,104,108
2008-10-23,114,116
2008-10-24,115,123
2008-10-25,115,115
2008-10-26,115,115
2008-10-27,134,135
2008-10-28,96,134
2008-10-29,89,96
2008-10-30,107,107
2008-10-31,103,107
2008-11-01,103,103
2008-11-02,103,103
2008-11-03,128,129
2008-11-04,96,130
2008-11-05,95,96
2008-11-06,95,95
2008-11-07,105,105
2008-11-08,105,105
2008-11-09,105,105
2008-11-10,95,105
2008-11-11,95,96
2008-11-12,95,96
2008-11-13,98,102
2008-11-14,108,110
2008-11-15,108,108
2008-11-16,108,108
2008-11-17,118,118
2008-11-18,102,118
2008-11-19,102,104
2008-11-20,112,114
2008-11-21,111,112
2008-11-22,121,121
2008-11-23,127,128
2008-11-24,139,149
2008-11-25,113,139
2008-11-26,86,113
2008-11-27,86,86
2008-11-28,101,101
2008-11-29,101,101
2008-11-30,101,101
2008-12-01,100,101
2008-12-02,89,101
2008-12-03,89,89
2008-12-04,89,89
2008-12-05,106,107
2008-12-06,106,106
2008-12-07,106,106
2008-12-08,106,106
2008-12-09,98,107
2008-12-10,98,98
2008-12-11,117,118
2008-12-12,117,117
2008-12-13,117,117
2008-12-14,117,117
2008-12-15,132,132
2008-12-16,94,132
2008-12-17,92,94
2008-12-18,119,120
2008-12-19,119,119
2008-12-20,119,119
2008-12-21,119,119
2008-12-22,119,119
2008-12-23,105,125
2008-12-24,105,105
2008-12-25,105,105
2008-12-26,105,105
2008-12-27,105,105
2008-12-28,105,105
2008-12-29,105,105
2008-12-30,97,105
2008-12-31,97,97
2009-01-01,97,97
2009-01-02,108,109
2009-01-03,108,108
2009-01-04,108,108
2009-01-05,106,108
2009-01-06,97,106
2009-01-07,97,97
2009-01-08,111,112
2009-01-09,111,111
2009-01-10,111,111
2009-01-11,111,111
2009-01-12,121,123
2009-01-13,101,122
2009-01-14,101,102
2009-01-15,115,117
2009-01-16,113,115
2009-01-17,113,113
2009-01-18,113,113
2009-01-19,113,113
2009-01-20,100,115
2009-01-21,100,100
2009-01-22,120,120
2009-01-23,121,121
2009-01-24,121,121
2009-01-25,121,121
2009-01-26,134,134
2009-01-27,107,135
2009-01-28,107,107
2009-01-29,118,122
2009-01-30,117,118
2009-01-31,117,117
2009-02-01,117,117
2009-02-02,116,117
2009-02-03,102,117
2009-02-04,102,102
2009-02-05,112,114
2009-02-06,112,112
2009-02-07,112,112
2009-02-08,112,112
2009-02-09,116,118
2009-02-10,94,117
2009-02-11,94,94
2009-02-12,102,108
2009-02-13,102,102
2009-02-14,102,102
2009-02-15,102,102
2009-02-16,102,102
2009-02-17,90,103
2009-02-18,90,91
2009-02-19,101,105
2009-02-20,100,101
2009-02-21,100,100
2009-02-22,100,100
2009-02-23,103,103
2009-02-24,95,103
2009-02-25,96,96
2009-02-26,116,117
2009-02-27,116,116
2009-02-28,116,116
2009-03-01,116,116
2009-03-02,116,116
2009-03-03,101,116
2009-03-04,100,101
2009-03-05,118,120
2009-03-06,117,118
2009-03-07,117,117
2009-03-08,117,117
2009-03-09,117,117
2009-03-10,106,117
2009-03-11,107,107
2009-03-12,121,121
2009-03-13,121,121
2009-03-14,121,121
2009-03-15,121,121
2009-03-16,121,122
2009-03-17,109,121
2009-03-18,108,111
2009-03-19,118,123
2009-03-20,118,118
2009-03-21,118,118
2009-03-22,118,118
2009-03-23,133,135
2009-03-24,104,133
2009-03-25,103,105
2009-03-26,112,118
2009-03-27,112,112
2009-03-28,112,112
2009-03-29,124,124
2009-03-30,124,124
2009-03-31,116,124
2009-04-01,115,116
2009-04-02,130,130
2009-04-03,129,131
2009-04-04,129,129
2009-04-05,129,129
2009-04-06,144,147
2009-04-07,146,146
2009-04-08,104,146
2009-04-09,94,105
2009-04-10,93,95
2009-04-11,93,93
2009-04-12,93,93
2009-04-13,94,95
2009-04-14,81,96
2009-04-15,81,84
2009-04-16,94,96
2009-04-17,93,94
2009-04-18,93,93
2009-04-19,93,93
2009-04-20,104,108
2009-04-21,84,104
2009-04-22,83,84
2009-04-23,99,101
2009-04-24,108,108
2009-04-25,109,109
2009-04-26,109,109
2009-04-27,115,118
2009-04-28,92,115
2009-04-29,92,92
2009-04-30,108,108
2009-05-01,108,109
2009-05-02,108,108
2009-05-03,108,108
2009-05-04,107,108
2009-05-05,84,108
2009-05-06,82,84
2009-05-07,94,95
2009-05-08,98,98
2009-05-09,98,98
2009-05-10,98,98
2009-05-11,98,98
2009-05-12,90,101
2009-05-13,88,91
2009-05-14,88,88
2009-05-15,88,88
2009-05-16,88,88
2009-05-17,89,89
2009-05-18,88,89
2009-05-19,78,89
2009-05-20,76,78
2009-05-21,89,91
