Date,Midnight population,24-hour population
2008-10-01,0,40
2008-10-02,0,51
2008-10-03,2,42
2008-10-04,0,2
2008-10-05,0,0
2008-10-06,1,43
2008-10-07,0,31
2008-10-08,0,54
2008-10-09,3,66
2008-10-10,0,52
2008-10-11,0,0
2008-10-12,0,0
2008-10-13,0,0
2008-10-14,0,63
2008-10-15,1,41
2008-10-16,2,48
2008-10-17,0,74
2008-10-18,0,1
2008-10-19,0,0
2008-10-20,1,55
2008-10-21,0,42
2008-10-22,1,34
2008-10-23,0,45
2008-10-24,0,47
2008-10-25,0,0
2008-10-26,0,0
2008-10-27,4,78
2008-10-28,1,46
2008-10-29,3,56
2008-10-30,3,63
2008-10-31,0,47
2008-11-01,0,1
2008-11-02,0,0
2008-11-03,1,49
2008-11-04,1,34
2008-11-05,3,34
2008-11-06,1,61
2008-11-07,0,43
2008-11-08,0,0
2008-11-09,0,1
2008-11-10,0,55
2008-11-11,0,0
2008-11-12,0,38
2008-11-13,0,30
2008-11-14,0,51
2008-11-15,0,0
2008-11-16,0,0
2008-11-17,0,68
2008-11-18,1,40
2008-11-19,0,50
2008-11-20,0,60
2008-11-21,1,47
2008-11-22,0,3
2008-11-23,0,0
2008-11-24,0,52
2008-11-25,0,35
2008-11-26,0,34
2008-11-27,0,0
2008-11-28,0,50
2008-11-29,0,0
2008-11-30,0,0
2008-12-01,2,31
2008-12-02,0,30
2008-12-03,3,35
2008-12-04,0,74
2008-12-05,1,34
2008-12-06,0,1
2008-12-07,1,3
2008-12-08,10,76
2008-12-09,6,53
2008-12-10,9,52
2008-12-11,1,42
2008-12-12,0,42
2008-12-13,0,0
2008-12-14,0,0
2008-12-15,0,50
2008-12-16,1,37
2008-12-17,0,28
2008-12-18,0,27
2008-12-19,0,32
2008-12-20,0,0
2008-12-21,0,0
2008-12-22,0,50
2008-12-23,0,36
2008-12-24,0,37
2008-12-25,0,0
2008-12-26,0,6
2008-12-27,0,0
2008-12-28,0,0
2008-12-29,0,57
2008-12-30,0,25
2008-12-31,0,41
2009-01-01,0,0
2009-01-02,0,61
2009-01-03,0,0
2009-01-04,0,0
2009-01-05,0,48
2009-01-06,1,29
2009-01-07,1,52
2009-01-08,0,39
