Date,Midnight population,24-hour population,Midnight count,24-hour count
2008-10-01,-1.0,-1.0,1706,1797
2008-10-02,-1.0,-1.0,1632,1774
2008-10-03,-1.0,-1.0,1608,1729
2008-10-04,-1.0,-1.0,1691,1691
2008-10-05,-1.0,-1.0,1684,1720
2008-10-06,-1.0,-1.0,1699,1731
2008-10-07,-1.0,-1.0,1721,1778
2008-10-08,-1.0,-1.0,1674,1806
2008-10-09,-1.0,-1.0,1659,1717
2008-10-10,-1.0,-1.0,1594,1756
2008-10-11,-1.0,-1.0,1597,1639
2008-10-12,-1.0,-1.0,1593,1624
2008-10-13,-1.0,-1.0,1593,1593
2008-10-14,-1.0,-1.0,1450,1609
2008-10-15,-1.0,-1.0,1417,1569
2008-10-16,-1.0,-1.0,1472,1508
2008-10-17,-1.0,-1.0,1520,1555
2008-10-18,-1.0,-1.0,1552,1555
2008-10-19,-1.0,-1.0,1597,1597
2008-10-20,-1.0,-1.0,1510,1646
2008-10-21,-1.0,-1.0,1508,1573
2008-10-22,-1.0,-1.0,1541,1608
2008-10-23,-1.0,-1.0,1583,1622
2008-10-24,-1.0,-1.0,1553,1689
2008-10-25,-1.0,-1.0,1578,1581
2008-10-26,-1.0,-1.0,1576,1578
2008-10-27,-1.0,-1.0,1589,1613
2008-10-28,-1.0,-1.0,1531,1666
2008-10-29,-1.0,-1.0,1627,1658
2008-10-30,1586.0,1656.0,1539,1684
2008-10-31,1582.0,1649.0,1560,1606
2008-11-01,1581.0,1644.0,1615,1630
2008-11-02,1581.0,1641.0,1599,1616
2008-11-03,1573.0,1638.0,1471,1608
2008-11-04,1569.0,1633.0,1558,1586
2008-11-05,1564.0,1632.0,1556,1677
2008-11-06,1560.0,1626.0,1580,1609
2008-11-07,1554.0,1621.0,1509,1661
2008-11-08,1550.0,1615.0,1535,1536
2008-11-09,1548.0,1608.0,1535,1535
2008-11-10,1542.0,1605.0,1410,1565
2008-11-11,1537.0,1599.0,1442,1444
2008-11-12,1533.0,1597.0,1474,1517
2008-11-13,1539.0,1597.0,1619,1632
2008-11-14,1543.0,1601.0,1543,1685
2008-11-15,1548.0,1605.0,1619,1620
2008-11-16,1551.0,1607.0,1619,1619
2008-11-17,1551.0,1611.0,1550,1678
2008-11-18,1550.0,1611.0,1582,1602
2008-11-19,1555.0,1614.0,1637,1715
2008-11-20,1560.0,1618.0,1670,1690
2008-11-21,1562.0,1623.0,1616,1758
2008-11-22,1563.0,1624.0,1610,1665
2008-11-23,1564.0,1622.0,1584,1611
2008-11-24,1562.0,1622.0,1494,1591
2008-11-25,1557.0,1621.0,1424,1561
2008-11-26,1553.0,1619.0,1494,1545
2008-11-27,1553.0,1614.0,1513,1513
2008-11-28,1551.0,1613.0,1573,1626
2008-11-29,1553.0,1610.0,1608,1608
2008-11-30,1555.0,1610.0,1608,1608
2008-12-01,1554.0,1610.0,1580,1612
2008-12-02,1552.0,1613.0,1561,1708
2008-12-03,1554.0,1614.0,1514,1638
2008-12-04,1553.0,1613.0,1524,1572
2008-12-05,1555.0,1612.0,1615,1646
2008-12-06,1558.0,1615.0,1677,1678
2008-12-07,1564.0,1615.0,1677,1677
2008-12-08,1564.0,1620.0,1558,1684
2008-12-09,1561.0,1624.0,1428,1644
2008-12-10,1562.0,1621.0,1450,1474
2008-12-11,1565.0,1625.0,1525,1580
2008-12-12,1569.0,1629.0,1593,1634
2008-12-13,1570.0,1630.0,1643,1651
2008-12-14,1573.0,1628.0,1644,1644
2008-12-15,1569.0,1630.0,1506,1682
2008-12-16,1567.0,1629.0,1542,1568
2008-12-17,1566.0,1627.0,1515,1622
2008-12-18,1563.0,1626.0,1519,1577
2008-12-19,1561.0,1621.0,1552,1576
2008-12-20,1557.0,1618.0,1576,1576
2008-12-21,1556.0,1612.0,1576,1576
2008-12-22,1550.0,1610.0,1423,1633
2008-12-23,1544.0,1606.0,1419,1490
2008-12-24,1543.0,1604.0,1461,1511
2008-12-25,1546.0,1602.0,1521,1522
2008-12-26,1547.0,1602.0,1521,1522
2008-12-27,1548.0,1602.0,1524,1524
2008-12-28,1546.0,1599.0,1523,1524
2008-12-29,1543.0,1597.0,1515,1545
