Date,Midnight population,24-hour population
2008-10-01,3,3
2008-10-02,0,3
2008-10-03,18,18
2008-10-04,20,20
2008-10-05,21,21
2008-10-06,23,23
2008-10-07,19,23
2008-10-08,19,19
2008-10-09,18,19
2008-10-10,25,27
2008-10-11,25,25
2008-10-12,27,27
2008-10-13,28,28
2008-10-14,34,34
2008-10-15,39,39
2008-10-16,39,39
2008-10-17,39,50
2008-10-18,40,40
2008-10-19,40,40
2008-10-20,40,40
2008-10-21,34,41
2008-10-22,36,36
2008-10-23,35,36
2008-10-24,34,36
2008-10-25,35,35
2008-10-26,36,36
2008-10-27,35,37
2008-10-28,35,35
2008-10-29,33,37
2008-10-30,36,40
2008-10-31,36,37
2008-11-01,36,36
2008-11-02,36,36
2008-11-03,36,36
2008-11-04,32,36
2008-11-05,28,32
2008-11-06,28,28
2008-11-07,32,32
2008-11-08,32,32
2008-11-09,32,32
2008-11-10,33,34
2008-11-11,34,34
2008-11-12,33,36
2008-11-13,33,33
2008-11-14,32,33
2008-11-15,33,33
2008-11-16,33,33
2008-11-17,29,33
2008-11-18,30,31
2008-11-19,30,32
2008-11-20,31,31
2008-11-21,30,35
2008-11-22,30,30
2008-11-23,30,30
2008-11-24,28,30
2008-11-25,28,28
2008-11-26,27,29
2008-11-27,27,27
2008-11-28,27,27
2008-11-29,27,27
2008-11-30,27,27
2008-12-01,26,29
2008-12-02,26,26
2008-12-03,27,29
2008-12-04,28,28
2008-12-05,27,28
2008-12-06,27,27
2008-12-07,29,29
2008-12-08,27,29
2008-12-09,26,27
2008-12-10,27,29
2008-12-11,27,27
2008-12-12,27,27
2008-12-13,27,27
2008-12-14,27,27
2008-12-15,26,27
2008-12-16,27,28
2008-12-17,27,27
2008-12-18,30,31
2008-12-19,30,30
2008-12-20,31,31
2008-12-21,33,33
2008-12-22,33,33
2008-12-23,39,40
2008-12-24,39,40
2008-12-25,44,44
2008-12-26,40,45
2008-12-27,40,40
2008-12-28,40,40
2008-12-29,41,43
2008-12-30,41,41
2008-12-31,30,41
2009-01-01,30,30
2009-01-02,30,30
2009-01-03,31,31
2009-01-04,31,31
2009-01-05,30,32
2009-01-06,34,34
2009-01-07,32,35
2009-01-08,33,34
2009-01-09,34,34
2009-01-10,38,38
2009-01-11,38,38
2009-01-12,39,39
2009-01-13,38,40
2009-01-14,28,39
2009-01-15,28,28
2009-01-16,28,28
2009-01-17,28,28
2009-01-18,29,29
2009-01-19,29,29
2009-01-20,29,29
2009-01-21,27,29
2009-01-22,28,28
2009-01-23,28,28
2009-01-24,28,28
2009-01-25,28,28
2009-01-26,34,34
2009-01-27,28,37
2009-01-28,30,30
2009-01-29,24,30
2009-01-30,26,26
2009-01-31,26,26
2009-02-01,27,27
2009-02-02,27,27
2009-02-03,29,29
2009-02-04,22,29
2009-02-05,22,22
2009-02-06,21,22
2009-02-07,21,21
2009-02-08,21,21
2009-02-09,21,21
2009-02-10,21,21
2009-02-11,21,21
2009-02-12,21,21
2009-02-13,21,21
2009-02-14,22,22
2009-02-15,22,22
2009-02-16,23,23
2009-02-17,20,23
2009-02-18,23,24
2009-02-19,32,32
2009-02-20,33,33
2009-02-21,33,33
2009-02-22,33,33
2009-02-23,33,33
2009-02-24,31,33
2009-02-25,31,31
2009-02-26,20,31
2009-02-27,20,20
2009-02-28,20,20
2009-03-01,20,20
2009-03-02,18,20
2009-03-03,18,18
2009-03-04,18,18
2009-03-05,18,18
2009-03-06,16,18
2009-03-07,17,17
2009-03-08,17,17
2009-03-09,17,17
2009-03-10,17,17
2009-03-11,21,21
2009-03-12,23,24
2009-03-13,23,23
2009-03-14,25,25
2009-03-15,25,25
2009-03-16,22,25
2009-03-17,27,29
2009-03-18,23,27
2009-03-19,23,23
2009-03-20,25,28
2009-03-21,25,25
2009-03-22,26,26
2009-03-23,28,28
2009-03-24,29,29
2009-03-25,21,29
2009-03-26,21,21
2009-03-27,21,21
2009-03-28,21,21
2009-03-29,21,21
2009-03-30,19,21
2009-03-31,20,20
2009-04-01,23,23
2009-04-02,23,27
2009-04-03,25,25
2009-04-04,25,25
2009-04-05,25,25
2009-04-06,25,25
2009-04-07,25,25
2009-04-08,25,27
2009-04-09,20,25
2009-04-10,24,24
2009-04-11,24,24
2009-04-12,25,25
2009-04-13,25,25
2009-04-14,27,27
2009-04-15,28,28
2009-04-16,28,29
2009-04-17,27,28
2009-04-18,28,28
2009-04-19,29,29
2009-04-20,18,29
2009-04-21,18,18
2009-04-22,18,18
2009-04-23,28,29
2009-04-24,28,28
2009-04-25,30,30
2009-04-26,30,30
2009-04-27,29,30
2009-04-28,28,29
2009-04-29,34,34
2009-04-30,33,38
2009-05-01,33,33
2009-05-02,37,37
2009-05-03,37,37
2009-05-04,38,39
2009-05-05,39,39
2009-05-06,28,41
2009-05-07,28,28
2009-05-08,28,28
2009-05-09,28,28
2009-05-10,28,28
2009-05-11,29,29
2009-05-12,31,31
2009-05-13,30,34
2009-05-14,31,31
2009-05-15,32,32
2009-05-16,32,32
2009-05-17,34,34
2009-05-18,33,35
2009-05-19,33,33
2009-05-20,22,33
2009-05-21,22,23
2009-05-22,24,24
2009-05-23,24,24
2009-05-24,24,24
2009-05-25,23,24
2009-05-26,18,24
2009-05-27,24,24
2009-05-28,24,24
2009-05-29,34,36
2009-05-30,34,34
2009-05-31,34,34
2009-06-01,37,37
2009-06-02,37,37
2009-06-03,29,37
2009-06-04,29,30
2009-06-05,32,32
2009-06-06,32,32
2009-06-07,32,32
2009-06-08,28,32
2009-06-09,27,28
2009-06-10,27,29
2009-06-11,27,28
2009-06-12,36,37
2009-06-13,36,36
2009-06-14,36,36
2009-06-15,36,37
2009-06-16,35,36
2009-06-17,33,35
2009-06-18,36,36
2009-06-19,46,46
2009-06-20,46,46
2009-06-21,46,46
2009-06-22,46,46
2009-06-23,46,46
2009-06-24,41,49
2009-06-25,40,41
2009-06-26,40,40
2009-06-27,40,40
2009-06-28,52,52
2009-06-29,49,53
2009-06-30,49,49
2009-07-01,35,49
2009-07-02,34,36
2009-07-03,34,34
2009-07-04,42,42
2009-07-05,42,42
2009-07-06,40,42
2009-07-07,41,41
2009-07-08,30,41
2009-07-09,30,30
2009-07-10,44,45
2009-07-11,44,44
2009-07-12,44,44
2009-07-13,44,44
2009-07-14,46,46
2009-07-15,47,48
2009-07-16,46,47
2009-07-17,38,46
2009-07-18,40,40
2009-07-19,40,40
2009-07-20,45,46
2009-07-21,48,48
2009-07-22,46,48
2009-07-23,39,49
2009-07-24,38,39
2009-07-25,38,38
2009-07-26,38,38
2009-07-27,40,44
2009-07-28,35,42
2009-07-29,35,35
2009-07-30,35,37
2009-07-31,37,37
2009-08-01,37,37
2009-08-02,40,40
2009-08-03,41,50
2009-08-04,29,41
2009-08-05,30,30
2009-08-06,27,31
2009-08-07,28,28
2009-08-08,28,28
2009-08-09,28,28
2009-08-10,30,30
2009-08-11,30,36
2009-08-12,31,35
2009-08-13,38,38
2009-08-14,32,38
2009-08-15,35,35
2009-08-16,36,36
2009-08-17,32,36
2009-08-18,29,32
2009-08-19,27,29
2009-08-20,28,28
2009-08-21,29,31
2009-08-22,29,29
2009-08-23,29,29
2009-08-24,28,30
2009-08-25,28,28
2009-08-26,34,36
2009-08-27,34,34
2009-08-28,31,40
2009-08-29,31,32
2009-08-30,35,35
2009-08-31,29,36
2009-09-01,22,33
2009-09-02,23,23
2009-09-03,19,25
2009-09-04,16,20
2009-09-05,18,18
2009-09-06,18,18
2009-09-07,18,18
2009-09-08,19,22
2009-09-09,16,19
2009-09-10,19,19
2009-09-11,16,20
2009-09-12,18,18
2009-09-13,18,18
2009-09-14,22,22
2009-09-15,19,22
2009-09-16,18,19
2009-09-17,18,18
2009-09-18,19,19
2009-09-19,19,19
2009-09-20,19,19
2009-09-21,19,19
2009-09-22,18,19
2009-09-23,23,25
2009-09-24,23,25
2009-09-25,25,25
2009-09-26,25,25
2009-09-27,25,25
2009-09-28,24,25
2009-09-29,25,25
2009-09-30,20,25
2009-10-01,24,28
2009-10-02,24,24
2009-10-03,24,24
2009-10-04,26,26
2009-10-05,29,30
2009-10-06,20,31
2009-10-07,21,21
2009-10-08,15,22
2009-10-09,16,16
2009-10-10,16,16
2009-10-11,16,16
2009-10-12,16,16
2009-10-13,16,16
2009-10-14,16,16
2009-10-15,17,18
2009-10-16,20,21
2009-10-17,20,20
2009-10-18,20,20
2009-10-19,20,23
2009-10-20,23,26
2009-10-21,19,24
2009-10-22,19,19
2009-10-23,21,21
2009-10-24,22,22
2009-10-25,22,22
2009-10-26,26,27
2009-10-27,23,34
2009-10-28,23,23
2009-10-29,23,23
2009-10-30,24,24
2009-10-31,25,25
2009-11-01,30,30
2009-11-02,18,30
2009-11-03,14,23
2009-11-04,15,17
2009-11-05,15,15
2009-11-06,18,19
2009-11-07,18,18
2009-11-08,20,20
2009-11-09,15,21
2009-11-10,16,16
2009-11-11,18,18
2009-11-12,23,23
2009-11-13,28,28
2009-11-14,29,29
2009-11-15,31,31
2009-11-16,33,33
2009-11-17,23,35
2009-11-18,24,24
2009-11-19,24,24
2009-11-20,23,26
2009-11-21,25,25
2009-11-22,25,25
2009-11-23,25,25
