Date,Midnight population,24-hour population
2008-10-01,0.0,0.0
2008-10-02,0.0,0.0
2008-10-03,0.0,0.0
2008-10-04,0.0,0.0
2008-10-05,0.0,0.0
2008-10-06,0.0,0.0
2008-10-07,0.0,0.0
2008-10-08,0.0,0.0
2008-10-09,0.0,0.0
2008-10-10,0.0,0.0
2008-10-11,0.0,0.0
2008-10-12,0.0,0.0
2008-10-13,0.0,0.0
2008-10-14,0.0,0.0
2008-10-15,0.0,0.0
2008-10-16,0.0,0.0
2008-10-17,0.0,0.0
2008-10-18,0.0,0.0
2008-10-19,0.0,0.0
2008-10-20,0.0,0.0
2008-10-21,0.0,0.0
2008-10-22,0.0,0.0
2008-10-23,0.0,0.0
2008-10-24,0.0,0.0
2008-10-25,0.0,0.0
2008-10-26,0.0,0.0
2008-10-27,0.0,0.0
2008-10-28,0.0,0.0
2008-10-29,0.0,0.0
2008-10-30,35.0,37.0
2008-10-31,35.0,37.0
2008-11-01,35.0,37.0
2008-11-02,35.0,36.0
2008-11-03,34.0,36.0
2008-11-04,34.0,36.0
2008-11-05,34.0,35.0
2008-11-06,33.0,35.0
2008-11-07,33.0,34.0
2008-11-08,33.0,34.0
2008-11-09,33.0,34.0
2008-11-10,32.0,34.0
2008-11-11,32.0,33.0
2008-11-12,32.0,33.0
2008-11-13,31.0,33.0
2008-11-14,31.0,32.0
2008-11-15,31.0,32.0
2008-11-16,30.0,32.0
2008-11-17,30.0,32.0
2008-11-18,30.0,32.0
2008-11-19,30.0,31.0
2008-11-20,29.0,31.0
2008-11-21,29.0,30.0
2008-11-22,29.0,30.0
2008-11-23,28.0,29.0
2008-11-24,28.0,29.0
2008-11-25,27.0,29.0
2008-11-26,27.0,28.0
2008-11-27,27.0,28.0
2008-11-28,26.0,27.0
2008-11-29,26.0,27.0
2008-11-30,26.0,27.0
2008-12-01,25.0,26.0
2008-12-02,25.0,26.0
2008-12-03,25.0,26.0
2008-12-04,24.0,25.0
2008-12-05,24.0,25.0
2008-12-06,24.0,25.0
2008-12-07,23.0,24.0
2008-12-08,23.0,24.0
2008-12-09,23.0,24.0
2008-12-10,23.0,24.0
2008-12-11,23.0,24.0
2008-12-12,23.0,24.0
2008-12-13,23.0,24.0
2008-12-14,23.0,24.0
2008-12-15,23.0,24.0
2008-12-16,23.0,24.0
2008-12-17,23.0,24.0
2008-12-18,23.0,24.0
2008-12-19,23.0,24.0
2008-12-20,24.0,24.0
2008-12-21,24.0,24.0
2008-12-22,24.0,24.0
2008-12-23,24.0,24.0
2008-12-24,24.0,24.0
2008-12-25,24.0,24.0
2008-12-26,24.0,25.0
2008-12-27,24.0,25.0
2008-12-28,24.0,25.0
2008-12-29,24.0,25.0
2008-12-30,24.0,25.0
2008-12-31,24.0,25.0
2009-01-01,25.0,25.0
2009-01-02,25.0,26.0
2009-01-03,25.0,26.0
2009-01-04,25.0,26.0
2009-01-05,26.0,26.0
2009-01-06,26.0,27.0
2009-01-07,26.0,27.0
2009-01-08,26.0,27.0
2009-01-09,27.0,27.0
2009-01-10,27.0,27.0
2009-01-11,27.0,27.0
2009-01-12,27.0,28.0
2009-01-13,27.0,28.0
2009-01-14,27.0,28.0
2009-01-15,27.0,28.0
2009-01-16,27.0,28.0
2009-01-17,27.0,28.0
2009-01-18,27.0,28.0
2009-01-19,28.0,28.0
2009-01-20,27.0,28.0
2009-01-21,27.0,28.0
2009-01-22,28.0,28.0
2009-01-23,28.0,29.0
2009-01-24,28.0,29.0
2009-01-25,28.0,29.0
2009-01-26,28.0,29.0
2009-01-27,27.0,29.0
2009-01-28,27.0,28.0
2009-01-29,27.0,28.0
2009-01-30,26.0,28.0
2009-01-31,26.0,27.0
2009-02-01,26.0,27.0
2009-02-02,25.0,26.0
