Date,Midnight population,24-hour population
2008-10-01,"1,696","1,833"
2008-10-02,"1,619","1,754"
2008-10-03,"1,695","1,715"
2008-10-04,"1,570","1,696"
2008-10-05,"1,570","1,570"
2008-10-06,"1,594","1,608"
2008-10-07,"1,598","1,721"
2008-10-08,"1,810","1,829"
2008-10-09,"1,730","1,866"
2008-10-10,"1,806","1,817"
2008-10-11,"1,806","1,807"
2008-10-12,"1,806","1,806"
2008-10-13,"1,806","1,806"
2008-10-14,"1,792","1,865"
2008-10-15,"1,691","1,876"
2008-10-16,"1,673","1,801"
2008-10-17,"1,677","1,743"
2008-10-18,"1,676","1,678"
2008-10-19,"1,676","1,676"
2008-10-20,"1,550","1,718"
2008-10-21,"1,658","1,679"
2008-10-22,"1,577","1,686"
2008-10-23,"1,500","1,633"
2008-10-24,"1,632","1,647"
2008-10-25,"1,676","1,678"
2008-10-26,"1,676","1,677"
2008-10-27,"1,622","1,698"
2008-10-28,"1,684","1,760"
2008-10-29,"1,648","1,724"
2008-10-30,"1,589","1,714"
2008-10-31,"1,670","1,686"
2008-11-01,"1,704","1,704"
2008-11-02,"1,704","1,704"
2008-11-03,"1,730","1,735"
2008-11-04,"1,771","1,878"
2008-11-05,"1,797","1,812"
2008-11-06,"1,779","1,873"
2008-11-07,"1,855","1,873"
2008-11-08,"1,855","1,856"
2008-11-09,"1,855","1,855"
2008-11-10,"1,749","1,900"
2008-11-11,"1,749","1,749"
2008-11-12,"1,704","1,782"
2008-11-13,"1,698","1,822"
2008-11-14,"1,782","1,838"
2008-11-15,"1,781","1,782"
2008-11-16,"1,781","1,781"
2008-11-17,"1,813","1,821"
2008-11-18,"1,958","1,968"
2008-11-19,"1,867","1,993"
2008-11-20,"1,880","1,976"
2008-11-21,"1,966","1,980"
2008-11-22,"1,967","1,972"
2008-11-23,"1,967","1,967"
2008-11-24,"1,842","1,997"
2008-11-25,"1,920","1,948"
2008-11-26,"1,966","2,014"
2008-11-27,"1,966","1,966"
2008-11-28,"1,827","1,969"
2008-11-29,"1,827","1,827"
